,Suburb,House_price,Num_sales_houses,house_2bed_Rent_today,house_2bed_hous_avg,house_2bed_2025_avg,house_2bed_2026_avg,house_2bed_2027_avg,house_2bed_2028_avg,house_2bed_2029_avg,house_2bed_2030_avg,house_2bed_avg_future_rent,house_2bed_Price_change (%),house_3bed_Rent_today,house_3bed_hous_avg,house_3bed_2025_avg,house_3bed_2026_avg,house_3bed_2027_avg,house_3bed_2028_avg,house_3bed_2029_avg,house_3bed_2030_avg,house_3bed_avg_future_rent,house_3bed_Price_change (%),house_4bed_Rent_today,house_4bed_hous_avg,house_4bed_2025_avg,house_4bed_2026_avg,house_4bed_2027_avg,house_4bed_2028_avg,house_4bed_2029_avg,house_4bed_2030_avg,house_4bed_avg_future_rent,house_4bed_Price_change (%),House_ALL_avg_price_change(%),House_ALL_future_rent,House_Annual ROI (%),House_5yr ROI (%),apartment_price,Num_sales_units,unit_1bed_Rent_today,unit_1bed_unit_avg,unit_1bed_2025_avg,unit_1bed_2026_avg,unit_1bed_2027_avg,unit_1bed_2028_avg,unit_1bed_2029_avg,unit_1bed_2030_avg,unit_1bed_avg_future_rent,unit_1bed_Price_change (%),unit_2bed_Rent_today,unit_2bed_unit_avg,unit_2bed_2025_avg,unit_2bed_2026_avg,unit_2bed_2027_avg,unit_2bed_2028_avg,unit_2bed_2029_avg,unit_2bed_2030_avg,unit_2bed_avg_future_rent,unit_2bed_Price_change (%),unit_3bed_Rent_today,unit_3bed_unit_avg,unit_3bed_2025_avg,unit_3bed_2026_avg,unit_3bed_2027_avg,unit_3bed_2028_avg,unit_3bed_2029_avg,unit_3bed_2030_avg,unit_3bed_avg_future_rent,unit_3bed_Price_change (%),apartment_ALL_avg_price_change(%),apartment_ALL_future_rent,apartment_Annual ROI (%),apartment_5yr ROI (%),max_annual_roi
0,MORWELL,351000,96,349.227987999152,349.227987999152,352.2626668860647,371.93973522006354,399.94017534530695,426.1432411312566,453.06436184802334,469.66398279346686,403.177450174762,13.381071325349414,394.7559950287287,394.7559950287287,406.0653789486603,427.0756992464681,453.85310585486377,480.3308294795646,506.7251335212055,523.2115293645137,456.00252449200065,13.43118210398117,487.20625695932506,487.20625695932506,495.0233675526324,503.4531174371967,518.0974318243841,532.3651483208224,546.71370290227,555.6696400983216,519.7898092992789,6.268601607230284,11.02695167885362,459.6565946553472,6.809727328227366,34.04863664113683,232500.0,14.0,263.7953491912168,263.7953491912168,269.48837297804187,280.87442055169214,296.05581731655917,311.2372140814262,326.41861084629323,335.9069838243352,297.68239554136636,11.383624580325764,306.9880181148873,306.9880181148873,314.2427833672135,331.15555981445686,352.9438106328579,374.7754079416027,396.6072178231526,410.25209964883874,355.2806996204299,13.592824365955394,,,,,,,,,,,,,,,6.809727328227366
1,MILDURA,485000,165,385.33599366721154,385.33599366721154,394.0836380028911,412.8571595125949,444.6365134938972,472.7238160403451,502.6755882277371,520.0161293747973,447.4755483313535,13.886692780390291,472.13810724279386,472.13810724279386,490.20885385558654,526.3503470811718,574.5390047152852,622.7276623493987,670.9163199835122,701.0342310048331,579.702075176083,18.555042760648536,581.745307280729,581.745307280729,604.260705570561,648.1553567240333,705.2081905360081,762.5151374574633,819.7554749236994,855.5410813915859,711.0258934120114,18.182261339443155,16.874665626827326,579.4011723064826,6.212136280399402,31.06068140199701,357500.0,42.0,275.1108269121128,275.1108269121128,277.4720512149089,282.6821394948229,290.6564642244711,298.3706971032227,306.07027715002147,310.88145915630923,291.6062736079813,5.656753022414045,350.4991459409184,350.4991459409184,365.5854936837869,396.457860077578,438.95372176083094,483.04883123392153,528.7431884968498,558.0518091876664,445.9057214830788,21.396131725970886,456.84473680474525,456.84473680474525,467.91791948170464,490.7002261802213,524.8688410982107,560.2457153193002,596.8308488434897,620.2629288444363,531.0958880817296,13.980743015196905,13.677875921193944,422.86929439092984,6.150826100231707,30.754130501158535,6.212136280399402
2,SHEPPARTON,470500,188,392.1744330044693,392.1744330044693,404.23209152657876,430.3760011878603,467.55664235690773,505.8719504673024,545.5069270347129,570.8973819785708,473.80220393662887,17.228237913194114,460.2560316420556,460.2560316420556,470.5315133308648,491.08247670848306,518.4837612119742,545.8850457154655,573.2863302189568,590.4121330336388,521.4196131230626,11.730203456418803,591.0778719755461,591.0778719755461,603.9220572385285,632.0328235889531,669.7302869719763,707.3840854707397,745.0242960298849,768.5968460651309,673.9668953343943,12.298678753015318,13.752373374209412,556.3962374646952,6.149331423626812,30.74665711813406,460000.0,16.0,286.1077641369663,286.1077641369663,296.72182560983435,316.9910060172463,344.2031819196644,371.33304938222966,398.4907342425289,415.4313307789104,347.03984172676854,17.557660609404984,377.1761663265851,377.1761663265851,394.00131549201603,424.44774887173867,469.1192129725146,511.99915750423133,555.7376196544934,582.7450482010001,473.60375271751127,20.360393226960348,493.6662826895917,493.6662826895917,505.5567370685361,535.6196319572053,578.0350451234274,619.6612284558985,661.495683924814,687.6042340216565,583.0912633201613,15.336360919108555,17.75147158515796,467.91161925481373,5.289435695923981,26.447178479619904,6.149331423626812
3,SEYMOUR,443000,27,396.5665540714106,396.5665540714106,400.7180512671396,409.2159320945579,420.5355939351285,431.8548123641881,441.75912516918464,,416.77501148360153,4.848768965359631,413.6838380303958,413.6838380303958,420.5047041164296,434.1464362884971,452.3354125179205,470.52438874734383,488.7133649767672,500.0814751201568,454.2842313996444,8.937222681967025,582.7459026638378,582.7459026638378,589.4039864571776,602.7201540438572,616.0363216305368,,,,597.7265911988524,2.5062777456442076,5.430756464323622,489.5952780273661,5.746942315445381,28.734711577226904,222000.0,8.0,321.3720930232562,321.3720930232562,324.94767441860506,332.0988372093028,,,,,326.13953488372135,1.4617798060467913,354.4138229607011,354.4138229607011,362.96785515986494,386.39759516359567,415.3109793400577,445.43696216598084,476.5799636168309,496.5383656799549,419.6636491552837,15.54812439102603,,,,,,,,,,,,,,,5.746942315445381
4,PORTLAND,445000,57,381.7664902467672,381.7664902467672,386.3744362036283,394.9914288952678,406.2113219490438,417.4519133145386,428.68950233535685,435.7132507569828,407.31404910022644,6.272201734728975,422.188510816717,422.188510816717,424.7667106337627,431.1153953398621,440.6464056444751,450.9842724509201,461.7842537372187,468.6699097879171,442.87935120155333,4.671890962787288,571.2466422241619,571.2466422241619,575.7258452172507,587.7935288841501,612.4323731488522,627.5220428028599,646.3367359152436,656.0789563226692,611.0194463593125,6.509253407912335,5.817782035142867,487.07094888703074,5.691615582500135,28.458077912500674,395000.0,6.0,295.4422792745386,295.4422792745386,298.72739803178223,305.29763554626953,314.05795223225255,322.8182689182357,328.2934668469751,,310.7728334750089,4.933041935823885,354.43278488898795,354.43278488898795,362.1906847167013,375.0122638799355,392.54791094186277,410.0590037814403,427.56799475790865,438.5110066072312,394.3316642248668,10.118101830424301,,,,,,,,,,,,,,,5.691615582500135
5,BAIRNSDALE,450000,35,382.6,382.6,386.5000000000001,394.3000000000002,404.7000000000003,415.10000000000036,425.5000000000004,432.00000000000045,405.814285714286,5.720421022987346,453.6553078394306,453.6553078394306,459.0184834149238,469.4170736138809,482.8362283351406,495.90949096738666,508.7746274965607,516.7514977714928,483.7661013484023,6.2242462679885655,557.878787878788,557.878787878788,563.787878787879,575.606060606061,591.3636363636369,607.1212121212129,622.8787878787889,,586.4393939393944,4.870171812427399,5.6049463678011024,492.0065936673609,5.685409526822837,28.427047634114185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.685409526822837
6,HORSHAM,413100,68,352.3168185671455,352.3168185671455,353.9337828435302,360.90884602041706,370.4027035045813,379.8965609887455,389.39041847290974,395.3240794005124,371.7390299711202,5.224689859841615,403.1794617655056,403.1794617655056,408.3247655197788,416.7412492687738,427.68625886088444,438.7574900576945,449.8097319155661,456.7193712577872,428.7454755208558,5.962981585821203,507.6514007232515,507.6514007232515,512.8697927077887,517.564916266488,532.7687217548303,546.0990966586718,560.0157344149168,568.592118610417,535.0802544480521,5.126119586134617,5.437930343932479,445.1882533133427,5.603918947541472,28.01959473770736,343500.0,10.0,286.84816437556367,286.84816437556367,323.645817888327,346.03587858781543,346.93181445003415,360.84103401064147,370.12395698760326,377.1415747293168,344.5097487184717,16.737286697227322,302.37668484189294,302.37668484189294,304.3862933488076,312.4937070948295,319.98744648513923,327.94006547941774,335.79751781466626,340.7219686989207,320.52909768052484,5.663265198070919,403.61830981121,403.61830981121,409.4296765119833,419.26307589108075,429.8381275448351,441.5548719794295,452.8230810740334,,426.0878571354287,5.2734540419153335,9.224668645737859,363.7089011781418,5.505928052769541,27.529640263847703,5.603918947541472
7,BENALLA,465000,55,384.6017418286452,384.6017418286452,391.5043545716131,405.3095800575488,423.71654737212975,442.1235146867107,460.5304820012915,472.0348365729046,425.6887224415491,9.65188374670779,455.5004177079471,455.5004177079471,464.12590968672225,481.3016154132379,504.2057615063052,527.1099475370166,550.014133607024,564.3292499008028,506.6552907655795,10.096583217424808,531.1246914565816,531.1246914565816,535.3026933040068,547.4721818297724,562.4402483117655,577.2923957921251,592.1758912268738,601.4682719972287,563.8966248454791,5.811691708188148,8.520052890773583,498.7468793508692,5.577384457257032,27.88692228628516,340000.0,9.0,267.6250213510214,267.6250213510214,268.836038127808,262.4785058312167,271.7198034617627,278.6645477424107,285.79772513054803,290.2575317718348,275.0541676309432,2.7009757183137526,362.5015032104793,362.5015032104793,370.95257456538275,385.9356621357907,404.58613885528547,423.43989525881204,442.23981840922954,453.98920024108,406.23497038229425,10.765559432428681,465.7441600256794,465.7441600256794,,,,,,,465.7441600256794,0.0,4.488845050247478,382.34443267963894,5.84762073510036,29.2381036755018,5.84762073510036
8,NORTH BENDIGO,497500,23,405.128173369545,405.128173369545,415.9247086476126,434.6494330924416,460.8104809689705,486.8452324248982,512.9013222192729,529.1838643493296,463.6347450102958,12.619108526789024,464.9571671362051,464.9571671362051,472.63281200501285,489.24394129959103,511.9607519735472,534.3373867323565,556.8265271763971,570.852085040354,514.4015244804949,9.61201609855739,537.7711896623903,537.7711896623903,550.7504204320251,576.708881971295,611.3201640236549,645.9314460760148,680.5427281283747,702.1747794110997,615.028515672122,12.56158438853889,11.5975696712951,531.0215950543043,5.550376470919361,27.751882354596805,337500.0,7.0,262.70668609034993,262.70668609034993,265.27154684128647,268.5670890635063,275.2865057911026,282.2082912616861,289.2387301972707,,273.8798082075337,4.07957132375282,377.0381051613171,377.0381051613171,383.19661573871093,390.5651218823192,401.1207305618898,411.7268345613402,422.2088956484031,428.740969214475,402.0853246812079,6.229329443880951,441.9148936170213,441.9148936170213,446.38297872340434,455.31914893617034,467.23404255319167,479.148936170213,488.085106382979,,463.01418439716326,4.556942636133904,4.9552811345892245,379.659772428635,5.849572790011561,29.247863950057805,5.849572790011561
9,WARRNAMBOOL,600000,122,455.0411277318043,455.0411277318043,466.08693822683483,486.63261084502017,513.5182502861677,540.4038897273155,567.2895291684632,584.0930538191806,516.1521999721123,11.839738790924423,538.4194355524669,538.4194355524669,551.1181057692726,576.5154462028839,610.3785667810324,644.2416873591809,678.1048079373294,699.2692582986722,614.0067582715484,12.310503378148898,654.8,654.8,661.9999999999999,676.3999999999997,695.5999999999995,714.7999999999993,733.9999999999991,745.9999999999991,697.6571428571423,6.143009255467207,10.097750474846842,609.2720337002676,5.280357625402319,26.401788127011592,454000.0,33.0,325.48,325.48,329.20000000000005,336.6400000000001,346.5600000000002,356.48000000000025,366.4000000000003,372.6000000000004,347.62285714285736,6.369793207745721,408.29275041554337,408.29275041554337,416.97218718882044,434.33106073537454,457.4762254641133,480.62139019285206,503.7665549215909,518.2322828770527,459.9560645421925,11.232228055971198,493.4204569869277,493.4204569869277,499.918404184635,513.3880268689954,527.2248385493053,541.0616502296152,554.8984619099251,563.5464692101187,527.6369011342175,6.484846695471361,8.028955986396094,445.07194093975585,5.097740292702049,25.488701463510246,5.280357625402319
