,Suburb,apartment_price,Num_sales_units,unit_1bed_Rent_today,unit_1bed_unit_avg,unit_1bed_2025_avg,unit_1bed_2026_avg,unit_1bed_2027_avg,unit_1bed_2028_avg,unit_1bed_2029_avg,unit_1bed_2030_avg,unit_1bed_avg_future_rent,unit_1bed_Price_change (%),unit_2bed_Rent_today,unit_2bed_unit_avg,unit_2bed_2025_avg,unit_2bed_2026_avg,unit_2bed_2027_avg,unit_2bed_2028_avg,unit_2bed_2029_avg,unit_2bed_2030_avg,unit_2bed_avg_future_rent,unit_2bed_Price_change (%),unit_3bed_Rent_today,unit_3bed_unit_avg,unit_3bed_2025_avg,unit_3bed_2026_avg,unit_3bed_2027_avg,unit_3bed_2028_avg,unit_3bed_2029_avg,unit_3bed_2030_avg,unit_3bed_avg_future_rent,unit_3bed_Price_change (%),apartment_ALL_avg_price_change(%),apartment_ALL_future_rent,apartment_Annual ROI (%),apartment_5yr ROI (%)
362,SOUTH YARRA,575000,191,500.1036390151452,500.1036390151452,504.9355057365651,508.4288588913088,517.0111442778248,530.7213192824354,545.3812724991081,553.7026993152625,522.8977770025214,4.3591958103249455,707.3379361523314,707.3379361523314,717.4625856560274,733.6729336871272,752.5916052270745,770.7107739188909,788.6866182333893,799.90670608858,752.9098798519173,6.052775361182533,1068.247789572707,1068.247789572707,1108.6215720789528,1108.6716240049154,1154.5526739986194,1182.333774625099,1214.6290874470524,1232.219718742234,1152.7537486385115,7.330790219993852,5.91425379716711,809.5204684976501,0.14078616843437392,0.7039308421718695
129,DOCKLANDS,635000,117,592.1143208201815,592.1143208201815,603.8229518325843,615.135209780551,620.3429313847337,621.6858458663128,622.0321430461364,622.1044071410896,613.8911156959413,3.547338333944176,762.706321137941,762.706321137941,780.3177571390416,802.6021802021567,814.6764385155374,827.5645850160677,847.4946538095513,860.362408255314,813.6749062965157,6.26399865156969,1190.106469392229,1190.106469392229,1194.8678427779398,1194.7436700702306,1195.6297211818612,1221.301754062093,1254.0694512792704,1273.1046700619668,1217.6890826893703,2.265160597171712,4.025499194228526,881.751701560609,0.13885853567883608,0.6942926783941804
248,MALVERN EAST,486000,61,475.0501190589297,475.0501190589297,482.27450956271764,492.35179204056936,505.7881686777051,519.2245453148407,532.6609219519764,541.0586573501863,506.9155305652751,6.286138337646008,602.3864647770854,602.3864647770854,613.0936632365338,624.5440629205034,638.4590849949186,652.0983747276011,668.7540899421729,678.5697152896851,639.7007794126429,5.833088818465805,792.385896183801,792.385896183801,800.234313769811,815.69709415423,836.6661305450593,857.6351669358887,878.6042033267181,891.7098510709865,838.9903794266422,5.554829278816073,5.891352144975962,661.8688964681868,0.1361870157341948,0.680935078670974
371,ST KILDA,535000,159,458.0060452549102,458.0060452549102,455.7217772943885,448.3120819980214,446.0893787011283,460.8017358550323,478.9869183927567,487.3435171932421,462.1802078127827,0.9031461077977143,620.5549080798374,620.5549080798374,630.8421541689854,647.4913428773198,665.89623389737,682.4313448466559,698.3202460928742,708.1289296680895,664.8093085187331,6.656705896236511,949.2119689629212,949.2119689629212,951.7450754307148,969.6369048230192,996.8998998924918,1022.7732857252727,1049.0201858341231,1066.70540722663,1000.8561039850247,5.159996009064274,4.2399493376995,709.2818734388469,0.13257605111006485,0.6628802555503243
120,DANDENONG,400000,118,365.4933820890138,365.4933820890138,370.6219062269306,378.5558504244066,389.13444268770786,399.71303495100915,410.29162721431044,416.90324737887374,390.1019272817503,6.308234712965942,450.5524036124409,450.5524036124409,465.0889741896739,490.46474039932434,518.9550464568947,542.951911091175,563.9759440678391,576.1272777724994,515.4451853699782,12.589657173916228,603.4886388501214,603.4886388501214,612.1659294914368,635.4142447077388,660.5798651373027,681.8701055096449,701.3494613442156,712.9338748468879,658.2574456981927,8.320271529930011,9.072721138937395,521.2681861166403,0.13031704652916007,0.6515852326458004
418,WEST FOOTSCRAY,387800,34,350.9737977983177,350.9737977983177,348.76754409991844,350.12787682920407,360.7989080462141,371.15552006088103,380.458220822206,386.4439105558338,364.1036826017965,3.6060840444281714,479.1220169625961,479.1220169625961,482.40237099529907,490.28097872612693,503.80078689794925,517.7875368684697,531.8080275381559,540.5723027041284,506.5391458132464,5.412637715616677,602.4747214223594,602.4747214223594,607.5620773313742,618.570753769389,633.4127891556577,648.2631178936967,663.1135491348925,672.3950694468481,635.1131540220312,5.138994900826694,4.719238886957181,501.91866081235804,0.12942719463959723,0.6471359731979862
161,FOOTSCRAY,460000,101,439.2893303400182,439.2893303400182,440.46390212613426,442.20097285849397,445.78997025296144,452.45518368544685,461.3389773864739,467.7270277637373,449.89505205903794,2.357376830547585,571.5134684027685,571.5134684027685,558.2822491907611,539.2205056875495,557.1469015344694,595.3160362067601,610.6452645304836,612.937844815225,577.8660386240024,1.0993153770310626,702.2792455891946,702.2792455891946,706.2160743783395,715.8232984618928,735.2951406609951,754.7669828600976,774.2388250591999,786.408726433639,739.2897562061943,5.006225273149481,2.820972493576043,589.0169489630781,0.12804716281806044,0.6402358140903022
384,SWAN HILL,299000,8,222.412654364818,222.412654364818,227.67908092465478,238.86227253387102,254.30729981611984,270.30128446929086,286.84422649338427,297.4408890260625,256.8353868040287,13.402643953216634,355.3785034353335,355.3785034353335,363.44625858833365,379.5817688943339,401.09578263566755,422.6097963770012,444.12381011833486,457.5700687066684,403.4008555365247,11.904375373056975,449.0731512187873,449.0731512187873,451.564054222976,456.9176372996461,468.6092230243479,480.30080874904957,491.99239447375135,,466.40954483142633,3.716989458031974,9.67466959476853,375.54859572399323,0.12560153703143587,0.6280076851571793
360,SOUTH MELBOURNE,592500,70,531.4559258420654,531.4559258420654,531.4508351760503,537.4157124695316,556.5301343134424,574.9359523299344,588.1102549518445,595.3184798292457,559.3167564160165,4.981225799934432,675.4478155237236,675.4478155237236,666.3895369818425,650.5066250597163,645.4152002044066,657.7857635172811,676.1278319147098,686.9828915037782,665.5222378150654,-1.491396852679827,966.8779711746776,966.8779711746776,971.1676165940104,971.3758998714759,971.4192629923904,971.422843414801,971.4231390444597,971.4231612071068,970.7299848998462,0.39681618834160465,1.2955483785320698,731.856326376976,0.12352005508472169,0.6176002754236085
363,SOUTHBANK,595000,237,545.1959116692314,545.1959116692314,535.7917834809055,519.3872304934473,513.7078701792288,521.4767598783644,527.0193888876595,526.9066824371785,527.0693752894307,-3.4391177385039287,720.271822810337,720.271822810337,714.0688285199328,692.4994998420427,669.2845029695673,662.9911385804606,666.6353110591741,669.6999021118826,685.0644294133425,-5.139282071197952,983.5602005734618,983.5602005734618,966.0252122516551,963.6902312121505,963.2867500409375,963.1351401401522,963.0699528647258,963.0489888759016,966.5452108512834,-1.76039253323623,-3.446264114312704,726.2263385180189,0.12205484680975108,0.6102742340487554
62,BRUNSWICK,560000,115,465.20359245656266,465.20359245656266,469.57988069573537,479.72507227530303,493.126373067732,506.49463433945994,519.8562735537831,528.206396233809,494.59888894605496,5.943259709323446,597.1260869397593,597.1260869397593,607.5826934529294,625.7156069392519,646.7707371625927,665.9853641488036,684.3859535991919,695.6941362096842,646.1800826360304,7.59138156907592,822.4461366766478,822.4461366766478,836.8330833595576,856.8521689382553,872.5191411493979,901.8869825762422,917.7496974903353,944.337655353968,878.9464093634863,6.428181750893631,6.654274343097666,673.2417936485239,0.12022174886580785,0.6011087443290393
