,Suburb,Price_today,avg_future,Price_change (%)
130,MILDURA,450.0,608.4813813057538,35.21808473461195
108,SEAFORD-CARRUM DOWNS,550.0,726.7853592386463,32.14279258884478
96,BERWICK,595.0,748.5952303044492,25.814324420915824
137,SHEPPARTON,450.0,563.0579931137987,25.12399846973305
97,CRANBOURNE,580.0,715.2002582351976,23.31038935089613
102,PAKENHAM,530.0,652.8827218966109,23.185419225775632
90,CROYDON-LILYDALE,580.0,711.8508168739501,22.732899461025873
91,FERNTREE GULLY,580.0,706.2355668540788,21.764752905875653
105,FRANKSTON,530.0,638.5300375819613,20.477365581502134
138,SWAN HILL,400.0,480.9222650871312,20.230566271782806
142,WARRAGUL,520.0,624.0663540418852,20.012760392670238
95,YARRA RANGES,560.0,670.8371798767356,19.792353549417072
120,BENDIGO,450.0,537.3594233769325,19.41320519487388
144,WODONGA,475.0,561.7312127047561,18.259202674685497
93,ROWVILLE,647.0,763.623841506154,18.025323262156725
143,WARRNAMBOOL,500.0,589.21186389892,17.842372779784
121,FLORA HILL-BENDIGO EAST,450.0,527.7634730947949,17.28077179884331
122,GOLDEN SQUARE-KANGAROO FLAT,460.0,535.6690656529828,16.449796881083216
140,TRARALGON,440.0,511.63820708771493,16.281410701753394
132,MORWELL,360.0,417.6705961872368,16.019610052010226
85,THOMASTOWN-LALOR,500.0,579.8369772732929,15.967395454658572
98,DANDENONG,530.0,614.0036166088103,15.84973898279439
125,BENALLA,440.0,508.6891685245622,15.611174664673227
88,BAYSWATER,550.0,633.8276289906943,15.241387089217143
124,BAIRNSDALE,450.0,517.3820691092544,14.97379313538987
113,LARA,540.0,620.8409540205716,14.970547040846602
115,NORTH GEELONG,480.0,550.964100431031,14.784187589798137
100,NARRE WARREN-HAMPTON PARK,550.0,630.9190233962091,14.71254970840166
104,DROMANA-PORTSEA,575.0,659.5492663816733,14.704220240291011
131,MOE-NEWBOROUGH,360.0,412.1512335520063,14.4864537644462
36,NUNAWADING-MITCHAM,570.0,652.4361026486989,14.462474148894547
