Feature,Importance(%) for Prediction
bathrooms,26.63
bedrooms,20.99
Bachelor (%),14.33
Median_tot_fam_inc_weekly,8.51
Certificate_level (%),3.07
Median_tot_prsnl_inc_weekly,2.65
Graduate_diploma_certificate(%),2.46
population_est,2.31
num_metro_tram_stops,2.27
carspaces,1.97
Mortgage (%),1.87
days_listed,1.86
Median_age_persons,1.6
num_regional_bus_stops,0.87
postcode,0.84
Average_household_size,0.76
Other tenure (%),0.74
Total rented (%),0.62
Unemployment,0.57
num_metro_bus_stops,0.56
Advanced_&_Diploma (%),0.56
property_type,0.55
month_sin,0.38
Population-2023,0.36
num_metro_train_stops,0.36
num_schools_2km,0.34
Median_tot_hhd_inc_weekly,0.27
Total_persons,0.25
Owner occupied (%),0.2
month_cos,0.2
post_gradutae (%),0.17
agency,0.17
rate_per_100000_population,0.15
crime_rank,0.14
num_regional_train_stops,0.1
day_sin,0.1
day_cos,0.08
crime_per_person,0.06
Average_num_psns_per_bedroom,0.04
incidents_recorded,0.03
crime_index,0.01
available_year,0.0
