suburbs_id,loc_name,lga_name,area_ha,index_right,LGA_NAME25,year,local_government_area,incidents_recorded,rate_per_100000_population,population_est,crime_per_person,crime_index,crime_rank
11.0,BELL POST HILL,GREATER GEELONG CITY,544.0,157,Greater Geelong,2025,Greater Geelong,18979,6412.763575374,295956.6461000104,0.06412763575373999,1.1376520326714488,253.0
11.0,BELL POST HILL,GREATER GEELONG CITY,544.0,157,Greater Geelong,2024,Greater Geelong,16912,5840.484865229,289564.99999999395,0.05840484865229,1.036127310888285,333.0
11.0,BELL POST HILL,GREATER GEELONG CITY,544.0,157,Greater Geelong,2023,Greater Geelong,15199,5374.716659535,282787.00000001414,0.05374716659535,0.9534980139036989,392.0
11.0,BELL POST HILL,GREATER GEELONG CITY,544.0,157,Greater Geelong,2022,Greater Geelong,14534,5254.500164497,276600.99999999336,0.05254500164497001,0.9321710870128005,418.0
11.0,BELL POST HILL,GREATER GEELONG CITY,544.0,157,Greater Geelong,2021,Greater Geelong,15505,5722.838202944,270931.99999999587,0.05722838202943999,1.0152562834580032,346.0
11.0,BELL POST HILL,GREATER GEELONG CITY,544.0,157,Greater Geelong,2020,Greater Geelong,16999,6389.73672736,266036.0000000086,0.0638973672736,1.1335669701018976,258.0
11.0,BELL POST HILL,GREATER GEELONG CITY,544.0,157,Greater Geelong,2019,Greater Geelong,15777,6064.951140566,260134.0000000007,0.060649511405659995,1.0759486003217462,309.0
11.0,BELL POST HILL,GREATER GEELONG CITY,544.0,157,Greater Geelong,2018,Greater Geelong,16864,6661.005233534,253175.00000000445,0.06661005233534,1.1816911779915669,224.0
11.0,BELL POST HILL,GREATER GEELONG CITY,544.0,157,Greater Geelong,2017,Greater Geelong,18084,7339.762322229,246383.99999999048,0.07339762322229,1.302105625299331,161.0
11.0,BELL POST HILL,GREATER GEELONG CITY,544.0,157,Greater Geelong,2016,Greater Geelong,16889,7050.920765335,239529.0000000103,0.07050920765335,1.2508638821010751,189.0
44.0,WHITTINGTON,GREATER GEELONG CITY,156.0,157,Greater Geelong,2025,Greater Geelong,18979,6412.763575374,295956.6461000104,0.06412763575373999,1.1376520326714488,253.0
44.0,WHITTINGTON,GREATER GEELONG CITY,156.0,157,Greater Geelong,2024,Greater Geelong,16912,5840.484865229,289564.99999999395,0.05840484865229,1.036127310888285,333.0
44.0,WHITTINGTON,GREATER GEELONG CITY,156.0,157,Greater Geelong,2023,Greater Geelong,15199,5374.716659535,282787.00000001414,0.05374716659535,0.9534980139036989,392.0
44.0,WHITTINGTON,GREATER GEELONG CITY,156.0,157,Greater Geelong,2022,Greater Geelong,14534,5254.500164497,276600.99999999336,0.05254500164497001,0.9321710870128005,418.0
44.0,WHITTINGTON,GREATER GEELONG CITY,156.0,157,Greater Geelong,2021,Greater Geelong,15505,5722.838202944,270931.99999999587,0.05722838202943999,1.0152562834580032,346.0
44.0,WHITTINGTON,GREATER GEELONG CITY,156.0,157,Greater Geelong,2020,Greater Geelong,16999,6389.73672736,266036.0000000086,0.0638973672736,1.1335669701018976,258.0
44.0,WHITTINGTON,GREATER GEELONG CITY,156.0,157,Greater Geelong,2019,Greater Geelong,15777,6064.951140566,260134.0000000007,0.060649511405659995,1.0759486003217462,309.0
44.0,WHITTINGTON,GREATER GEELONG CITY,156.0,157,Greater Geelong,2018,Greater Geelong,16864,6661.005233534,253175.00000000445,0.06661005233534,1.1816911779915669,224.0
44.0,WHITTINGTON,GREATER GEELONG CITY,156.0,157,Greater Geelong,2017,Greater Geelong,18084,7339.762322229,246383.99999999048,0.07339762322229,1.302105625299331,161.0
44.0,WHITTINGTON,GREATER GEELONG CITY,156.0,157,Greater Geelong,2016,Greater Geelong,16889,7050.920765335,239529.0000000103,0.07050920765335,1.2508638821010751,189.0
32.0,CERES,GREATER GEELONG CITY,1240.0,196,Surf Coast,2025,Surf Coast,1018,2510.609182089,40547.927860000644,0.025106091820890002,0.4453929426332512,797.0
32.0,CERES,GREATER GEELONG CITY,1240.0,196,Surf Coast,2024,Surf Coast,957,2396.814265678,39928.000000003674,0.023968142656780003,0.4252052316033616,805.0
32.0,CERES,GREATER GEELONG CITY,1240.0,196,Surf Coast,2023,Surf Coast,804,2046.322219394,39290.00000000476,0.02046322219394,0.363026424572118,821.0
32.0,CERES,GREATER GEELONG CITY,1240.0,196,Surf Coast,2022,Surf Coast,1037,2681.526685974,38672.00000000503,0.02681526685974,0.4757144480853776,778.0
32.0,CERES,GREATER GEELONG CITY,1240.0,196,Surf Coast,2021,Surf Coast,1161,3083.829154271,37648.00000000175,0.030838291542709995,0.5470846483784908,736.0
32.0,CERES,GREATER GEELONG CITY,1240.0,196,Surf Coast,2020,Surf Coast,1042,2908.421023251,35826.999999995336,0.029084210232509997,0.5159664862232043,755.0
32.0,CERES,GREATER GEELONG CITY,1240.0,196,Surf Coast,2019,Surf Coast,896,2618.887557361,34213.0000000031,0.026188875573609997,0.46460199537232216,787.0
32.0,CERES,GREATER GEELONG CITY,1240.0,196,Surf Coast,2018,Surf Coast,951,2903.816793893,32750.000000001462,0.02903816793893,0.5151496759936601,757.0
32.0,CERES,GREATER GEELONG CITY,1240.0,196,Surf Coast,2017,Surf Coast,1068,3384.566629694,31555.000000001724,0.03384566629694,0.6004367790463522,706.0
32.0,CERES,GREATER GEELONG CITY,1240.0,196,Surf Coast,2016,Surf Coast,1205,3955.358608239,30464.99999999971,0.039553586082390006,0.7016977482044747,626.0
32.0,CERES,GREATER GEELONG CITY,1240.0,157,Greater Geelong,2025,Greater Geelong,18979,6412.763575374,295956.6461000104,0.06412763575373999,1.1376520326714488,253.0
32.0,CERES,GREATER GEELONG CITY,1240.0,157,Greater Geelong,2024,Greater Geelong,16912,5840.484865229,289564.99999999395,0.05840484865229,1.036127310888285,333.0
32.0,CERES,GREATER GEELONG CITY,1240.0,157,Greater Geelong,2023,Greater Geelong,15199,5374.716659535,282787.00000001414,0.05374716659535,0.9534980139036989,392.0
32.0,CERES,GREATER GEELONG CITY,1240.0,157,Greater Geelong,2022,Greater Geelong,14534,5254.500164497,276600.99999999336,0.05254500164497001,0.9321710870128005,418.0
32.0,CERES,GREATER GEELONG CITY,1240.0,157,Greater Geelong,2021,Greater Geelong,15505,5722.838202944,270931.99999999587,0.05722838202943999,1.0152562834580032,346.0
32.0,CERES,GREATER GEELONG CITY,1240.0,157,Greater Geelong,2020,Greater Geelong,16999,6389.73672736,266036.0000000086,0.0638973672736,1.1335669701018976,258.0
32.0,CERES,GREATER GEELONG CITY,1240.0,157,Greater Geelong,2019,Greater Geelong,15777,6064.951140566,260134.0000000007,0.060649511405659995,1.0759486003217462,309.0
32.0,CERES,GREATER GEELONG CITY,1240.0,157,Greater Geelong,2018,Greater Geelong,16864,6661.005233534,253175.00000000445,0.06661005233534,1.1816911779915669,224.0
32.0,CERES,GREATER GEELONG CITY,1240.0,157,Greater Geelong,2017,Greater Geelong,18084,7339.762322229,246383.99999999048,0.07339762322229,1.302105625299331,161.0
32.0,CERES,GREATER GEELONG CITY,1240.0,157,Greater Geelong,2016,Greater Geelong,16889,7050.920765335,239529.0000000103,0.07050920765335,1.2508638821010751,189.0
39.0,LEOPOLD,GREATER GEELONG CITY,2683.0,157,Greater Geelong,2025,Greater Geelong,18979,6412.763575374,295956.6461000104,0.06412763575373999,1.1376520326714488,253.0
39.0,LEOPOLD,GREATER GEELONG CITY,2683.0,157,Greater Geelong,2024,Greater Geelong,16912,5840.484865229,289564.99999999395,0.05840484865229,1.036127310888285,333.0
39.0,LEOPOLD,GREATER GEELONG CITY,2683.0,157,Greater Geelong,2023,Greater Geelong,15199,5374.716659535,282787.00000001414,0.05374716659535,0.9534980139036989,392.0
