SA2 code,postcode,Population-2023
201011005,3357,7323
201011006,3358,12869
201011008,3355,15431
201011484,3350,12885
201011484,3356,12885
201021011,3363,10085
201021011,3460,10085
201021012,3334,6408
201021012,3345,6408
201031013,3467,3594
201031014,3468,4709
201031014,3469,4709
201031015,3360,4940
201031017,3370,5644
201031017,3371,5644
201031017,3464,5644
202011022,3555,21258
202011025,3550,15236
202021027,3450,11495
202021028,3364,9397
202021028,3447,9397
202021028,3448,9397
202021028,3451,9397
202021028,3453,9397
202021028,3462,9397
202021030,3446,10571
202021030,3461,10571
202021031,3458,8044
202031032,3556,5154
202031033,3463,7256
202031033,3472,7256
202031033,3515,7256
202031033,3516,7256
202031033,3517,7256
202031033,3520,7256
202031033,3570,7256
202031033,3571,7256
202031033,3575,7256
202031033,3576,7256
203011035,3328,8467
203011035,3330,8467
203011035,3331,8467
203011035,3332,8467
203011035,3333,8467
203011035,3342,8467
203011036,3240,6781
203021042,3221,25142
203021043,3212,22090
203021045,3219,15197
203021045,3224,15197
203021046,3220,10362
203021047,3218,15718
203021486,3213,18401
203021486,3215,18401
203021487,3216,26663
203021488,3214,8950
203031049,3230,6215
203031049,3231,6215
203031049,3232,6215
203031049,3235,6215
203031051,3223,10282
203031052,3225,5725
203031053,3228,26034
203031489,3217,13295
203031490,3222,20220
203031490,3226,20220
203031490,3227,20220
204011054,3711,6836
204011054,3712,6836
204011054,3714,6836
204011054,3719,6836
204011057,3713,10905
204011057,3715,10905
204011057,3720,10905
204011057,3722,10905
204011058,3607,4716
204011058,3608,4716
204011058,3663,4716
204011058,3664,4716
204011058,3665,4716
204011060,3444,4566
204011060,3521,4566
204011060,3522,4566
204011060,3659,4566
204011060,3662,4566
204011060,3666,4566
204011060,3764,4566
204011061,3779,247
204011062,3660,4297
204011062,3717,4297
204011062,3718,4297
204021063,3672,10799
204021064,3670,3809
204021064,3673,3809
204021064,3725,3809
204021064,3726,3809
204021065,3687,4116
204021067,3677,10033
204021067,3682,10033
204021067,3732,10033
204021067,3733,10033
204021067,3735,10033
204021067,3746,10033
204031068,3747,4935
204031069,3697,8915
204031069,3698,8915
204031069,3740,8915
204031069,3741,8915
204031069,3744,8915
204031070,3683,3230
204031070,3685,3230
204031070,3688,3230
204031071,3737,4663
204031071,3738,4663
204031071,3739,4663
204031072,3700,6213
204031072,3704,6213
204031072,3705,6213
204031072,3708,6213
204031072,3709,6213
204031075,3695,5455
204031075,3749,5455
204031492,3690,14814
204031492,3691,14814
205011077,3831,6689
205011077,3832,6689
205011077,3833,6689
205011078,3824,8488
205011078,3835,8488
205011079,3818,24417
205011079,3820,24417
205011079,3821,24417
205011079,3822,24417
205021080,3707,0
205021082,3699,8499
205021082,3701,8499
205021082,3864,8499
205021082,3865,8499
205021082,3893,8499
205021082,3895,8499
205021082,3896,8499
205021082,3898,8499
205021082,3900,8499
205021082,3902,8499
205021083,3882,0
205021084,3903,11251
205021084,3904,11251
205021085,3885,6685
205021085,3886,6685
205021085,3887,6685
205021085,3888,6685
205021085,3889,6685
205021085,3890,6685
205021085,3891,6685
205021085,3892,6685
205021086,3875,7051
205021086,3878,7051
205031087,3957,9507
205031087,3958,9507
205031087,3959,9507
205031087,3964,9507
205031087,3965,9507
205031088,3921,140
205031089,3946,9894
205031089,3950,9894
205031089,3988,9894
205031090,3823,11643
205031090,3951,11643
205031090,3953,11643
205031090,3954,11643
205031090,3956,11643
205031091,3922,14273
205031091,3923,14273
205031092,3960,15
205031093,3925,28254
205031093,3945,28254
205031093,3979,28254
205031093,3990,28254
205031093,3991,28254
205031093,3992,28254
205031093,3995,28254
205031093,3996,28254
205041094,3842,12095
205041094,3869,12095
205041094,3871,12095
205041096,3840,14455
205051099,3723,23
205051100,3852,4966
205051100,3880,4966
205051100,3909,4966
205051101,3825,15178
205051101,3859,15178
205051101,3860,15178
205051101,3862,15178
205051102,3854,4888
205051102,3856,4888
205051102,3857,4888
205051102,3858,4888
205051102,3873,4888
205051103,3850,15363
205051104,3844,5580
205051104,3847,5580
205051104,3851,5580
205051104,3870,5580
205051104,3874,5580
205051104,3962,5580
205051104,3966,5580
205051104,3967,5580
205051104,3971,5580
206011496,3055,14273
206011496,3056,14273
206011496,3057,14273
206021500,3070,10731
206021500,3071,10731
206031116,3039,17203
206041117,3053,21376
206041119,3002,5100
206041121,3031,11404
206041124,3052,8003
206041506,3000,18017
206041506,3051,18017
206041510,3003,8724
206051128,3206,16861
206051511,3008,2493
206051511,3207,2493
206051512,3006,12512
206051512,3205,12512
206051514,3004,15480
206051514,3182,15480
206051514,3184,15480
206061136,3143,20268
206061136,3181,20268
206061138,3142,13337
206061516,3141,10508
206071140,3054,8531
206071143,3065,13382
206071145,3066,10973
206071145,3067,10973
206071145,3068,10973
206071145,3078,10973
206071518,3121,14884
207011147,3103,16725
207011152,3123,16878
207011155,3124,16182
207011155,3126,16182
207011520,3122,12921
207011522,3101,13438
207011522,3102,13438
207021156,3105,11647
207021159,3106,17457
207021160,3107,14445
207021425,3108,16300
207021425,3109,16300
207031162,3130,11047
207031163,3128,25286
207031164,3104,19021
207031164,3129,19021
207031166,3151,11885
207031167,3127,10645
208011172,3186,18828
208011173,3188,17861
208011173,3191,17861
208011173,3193,17861
208021174,3187,26178
208021177,3161,23932
208021177,3183,23932
208021178,3162,18653
208021179,3185,12455
208021182,3163,14038
208021427,3165,14462
208021427,3204,14462
208031185,3197,12352
208031188,3190,25282
208031188,3192,25282
208031189,3196,13915
208031191,3189,9426
208031191,3202,9426
208031192,3194,26
208031193,3195,21889
208041194,3144,21348
208041194,3146,21348
208041195,3145,23167
209011199,3081,15847
209011201,3079,7977
209011202,3093,16852
209011202,3094,16852
209011203,3084,19039
209011204,3087,9361
209021205,3085,11698
209021526,3072,14728
209021526,3073,14728
209031212,3099,5129
209031212,3759,5129
209031212,3760,5129
209031212,3761,5129
209031212,3763,5129
209031213,3088,9570
209031213,3090,9570
209031213,3091,9570
209031214,3095,6979
209031214,3097,6979
209031215,3089,14548
209031215,3096,14548
209041217,3083,6538
209041221,3082,11288
209041224,3658,26304
209041224,3758,26304
209041225,3751,14020
209041225,3753,14020
209041225,3755,14020
209041225,3757,14020
209041436,3752,12588
209041437,3750,30758
209041530,3074,13819
209041530,3075,13819
209041530,3076,13819
209041532,3754,13024
210011230,3040,7797
210011231,3041,10323
210011533,3034,12570
210011534,3033,15312
210011534,3042,15312
210021232,3437,14905
210021232,3438,14905
210021233,3440,3590
210021233,3441,3590
210021234,3431,4561
210021235,3432,11268
210021235,3433,11268
210021235,3434,11268
210021235,3435,11268
210021235,3442,11268
210021235,3756,11268
210021235,3762,11268
210031236,3058,8826
210031538,3044,17934
210031538,3046,17934
210041240,3430,14231
210041540,3427,16043
210041541,3429,11380
210051243,3047,16220
210051243,3060,16220
210051243,3061,16220
210051245,3049,18180
210051246,3059,24613
210051246,3428,24613
210051247,3048,14879
210051250,3043,6582
210051250,3045,6582
210051445,3063,31976
210051544,3062,9683
210051545,3064,15185
211011254,3179,17027
211011257,3180,7847
211011258,3178,10479
211011446,3152,24196
211011446,3155,24196
211021262,3111,10139
211021262,3113,10139
211031263,3153,11921
211031265,3115,18326
211031268,3114,9700
211031268,3134,9700
211031452,3135,5046
211031452,3136,5046
211041270,3132,17319
211041271,3131,12927
211041273,3133,12181
211051275,3116,12392
211051276,3775,14121
211051277,3137,10351
211051281,3138,23985
211051281,3140,23985
211051282,3154,9633
211051282,3159,9633
211051282,3765,9633
211051282,3766,9633
211051282,3767,9633
211051282,3785,9633
211051282,3787,9633
211051282,3788,9633
211051282,3789,9633
211051282,3791,9633
211051282,3792,9633
211051282,3793,9633
211051282,3795,9633
211051283,3796,9919
211051284,3158,9777
211051284,3160,9777
211051284,3786,9777
211051285,3770,7989
211051286,3139,16963
211051286,3777,16963
211051286,3778,16963
211051286,3797,16963
211051286,3799,16963
212011289,3781,18911
212011289,3782,18911
212011289,3783,18911
212011546,3808,26967
212011547,3813,10193
212011547,3814,10193
212011547,3815,10193
212011547,3816,10193
212011548,3981,11523
212011548,3984,11523
212011548,3987,11523
212011550,3809,8808
212011551,3812,6689
212011552,3810,27999
212021295,3177,12515
212021453,3156,12048
212021454,3802,13506
212021454,3803,13506
212021455,3804,13656
212021553,3807,19159
212021554,3806,12125
212031308,3980,8142
212031458,3805,17099
212031558,3978,14472
212031562,3976,13704
212041310,3169,14740
212041317,3171,23509
212041460,3172,20206
212041460,3174,20206
212041564,3975,9826
212041566,3173,16249
212041566,3175,16249
212051319,3125,20600
212051319,3147,20600
212051319,3148,20600
212051324,3149,20236
212051325,3170,20690
212051326,3166,24439
212051326,3167,24439
212051327,3150,20973
212051568,3168,14178
213011335,3021,17496
213011340,3036,16927
213011340,3038,16927
213011569,3022,18202
213011570,3020,8851
213021341,3018,13899
213021344,3015,19487
213021344,3025,19487
213021346,3016,16586
213031347,3019,20210
213031349,3032,13408
213031351,3011,12592
213031351,3012,12592
213031352,3013,16020
213041353,3341,26055
213041463,3023,20942
213041573,3340,3427
213041574,3335,16420
213041574,3336,16420
213041575,3037,16143
213041577,3337,8011
213051363,3026,12421
213051363,3028,12421
213051468,3211,28144
213051581,3030,9998
213051587,3027,10443
213051588,3029,19938
213051589,3338,11899
213051590,3024,13888
214011370,3201,22892
214011372,3200,19757
214011374,3910,25563
214011375,3198,17764
214011375,3199,17764
214011376,3977,13530
214021377,3936,13574
214021378,3916,6015
214021378,3928,6015
214021378,3929,6015
214021378,3937,6015
214021379,3915,23973
214021379,3918,23973
214021379,3919,23973
214021379,3920,23973
214021379,3926,23973
214021379,3927,23973
214021381,3930,18878
214021382,3934,20087
214021383,3941,19947
214021383,3942,19947
214021383,3943,19947
214021383,3944,19947
214021384,3938,23108
214021384,3939,23108
214021384,3940,23108
214021385,3911,18809
214021385,3912,18809
214021385,3913,18809
214021385,3933,18809
214021592,3931,10777
215011387,3373,3162
215011387,3375,3162
215011387,3378,3162
215011388,3400,16876
215011390,3414,6796
215011390,3415,6796
215011390,3418,6796
215011390,3419,6796
215011390,3420,6796
215011390,3423,6796
215011391,3465,3435
215011391,3475,3435
215011392,3374,8459
215011392,3377,8459
215011392,3380,8459
215011392,3381,8459
215011392,3384,8459
215011392,3387,8459
215011393,3318,2715
215011393,3319,2715
215011393,3409,2715
215011393,3412,2715
215011393,3413,2715
215011394,3385,6327
215011394,3388,6327
215011394,3390,6327
215011394,3391,6327
215011394,3392,6327
215011394,3396,6327
215011394,3424,6327
215011394,3487,6327
215021395,3498,7876
215021398,3489,3759
215021398,3490,3759
215021398,3491,3759
215021398,3494,3759
215021398,3501,3759
215021398,3506,3759
215021398,3507,3759
215021398,3509,3759
215021398,3512,3759
215021399,3496,6065
215021470,3500,16682
215021470,3505,16682
215031400,3393,6044
215031400,3395,6044
215031400,3477,6044
215031400,3478,6044
215031400,3480,6044
215031400,3482,6044
215031400,3483,6044
215031400,3485,6044
215031400,3488,6044
215031400,3518,6044
215031400,3525,6044
215031400,3529,6044
215031400,3530,6044
215031400,3531,6044
215031400,3533,6044
215031401,3527,6559
215031401,3537,6559
215031401,3540,6559
215031401,3542,6559
215031401,3567,6559
215031401,3568,6559
215031401,3580,6559
215031401,3581,6559
215031402,3579,3856
215031405,3544,6512
215031405,3546,6512
215031405,3549,6512
215031405,3583,6512
215031405,3584,6512
215031405,3585,6512
215031405,3586,6512
215031405,3588,6512
215031405,3589,6512
215031405,3590,6512
215031405,3591,6512
215031405,3594,6512
215031405,3595,6512
215031405,3596,6512
215031405,3597,6512
215031405,3599,6512
216011407,3621,10952
216011408,3562,3944
216011408,3563,3944
216011408,3564,3944
216011408,3565,3944
216011408,3566,3944
216011408,3572,3944
216011408,3573,3944
216011409,3561,3792
216011409,3622,3792
216011410,3523,4187
216011410,3551,4187
216011410,3557,4187
216011410,3558,4187
216011410,3559,4187
216011410,3612,4187
216011410,3623,4187
216011410,3624,4187
216021412,3649,2834
216021412,3675,2834
216021412,3678,2834
216021412,3727,2834
216021412,3728,2834
216021413,3635,12467
216021413,3636,12467
216021413,3637,12467
216021413,3638,12467
216021413,3639,12467
216021413,3640,12467
216021413,3641,12467
216021413,3644,12467
216021414,3730,8812
216031418,3633,4061
216031418,3634,4061
216031418,3646,4061
216031418,3647,4061
216031418,3669,4061
216031419,3610,10394
216031419,3614,10394
216031419,3616,10394
216031419,3617,10394
216031419,3618,10394
216031419,3620,10394
216031419,3629,10394
216031594,3630,16494
216031594,3631,16494
217011420,3292,8839
217011420,3303,8839
217011420,3309,8839
217011420,3310,8839
217011420,3311,8839
217011422,3305,11181
217011423,3294,6213
217011423,3300,6213
217011423,3302,6213
217011423,3312,6213
217011423,3314,6213
217011423,3315,6213
217011423,3317,6213
217011423,3401,6213
217011423,3407,6213
217031473,3241,5665
217031473,3242,5665
217031473,3250,5665
217031473,3254,5665
217031473,3321,5665
217031473,3329,5665
217031474,3251,5322
217031474,3264,5322
217031474,3322,5322
217031474,3323,5322
217031474,3324,5322
217031474,3325,5322
217031474,3352,5322
217031474,3361,5322
217031475,3260,7164
217031475,3267,7164
217031475,3269,7164
217031476,3233,3983
217031476,3234,3983
217031476,3236,3983
217031476,3237,3983
217031476,3238,3983
217031476,3239,3983
217031476,3243,3983
217031476,3249,3983
217031476,3266,3983
217041477,3265,7132
217041477,3268,7132
217041477,3270,7132
217041477,3271,7132
217041477,3272,7132
217041477,3273,7132
217041477,3274,7132
217041477,3276,7132
217041477,3278,7132
217041477,3279,7132
217041477,3293,7132
217041477,3351,7132
217041477,3379,7132
217041478,3275,10148
217041478,3282,10148
217041478,3283,10148
217041478,3284,10148
217041478,3285,10148
217041478,3286,10148
217041478,3287,10148
217041478,3289,10148
217041478,3301,10148
217041478,3304,10148
217041479,3281,22762
217041480,3277,13476
217041480,3280,13476
