School_Name,School_Type,Longitude,Latitude,Address_Town,Address_Postcode,Region_Name,LGA_Name,LGA_ID
Parade College,Secondary,145.06698,-37.69018,BUNDOORA,3083,NORTH-WESTERN VICTORIA,Banyule (C),66
Simonds Catholic College,Secondary,144.95288,-37.80597,WEST MELBOURNE,3003,SOUTH-WESTERN VICTORIA,Melbourne (C),460
St Marys College Melbourne,Secondary,144.997,-37.85936,ST KILDA EAST,3183,SOUTH-EASTERN VICTORIA,Port Phillip (C),590
St Patrick's College Ballarat,Secondary,143.83156,-37.55971,BALLARAT,3350,SOUTH-WESTERN VICTORIA,Ballarat (C),57
St Patrick's School,Primary,143.84715,-37.5644,BALLARAT,3350,SOUTH-WESTERN VICTORIA,Ballarat (C),57
St Alipius' Parish School,Primary,143.87401,-37.5617,BALLARAT EAST,3350,SOUTH-WESTERN VICTORIA,Ballarat (C),57
Emmanuel College Warrnambool,Secondary,142.47736,-38.37099,WARRNAMBOOL,3280,SOUTH-WESTERN VICTORIA,Warrnambool (C),673
Loreto College,Secondary,143.82347,-37.55686,BALLARAT,3350,SOUTH-WESTERN VICTORIA,Ballarat (C),57
St Mary's School,Primary,146.08901,-37.05835,MANSFIELD,3722,NORTH-EASTERN VICTORIA,Mansfield (S),425
Sacred Heart School,Primary,144.8814,-37.84003,NEWPORT,3015,SOUTH-WESTERN VICTORIA,Hobsons Bay (C),311
St Mary's School,Primary,144.90089,-37.8635,WILLIAMSTOWN,3016,SOUTH-WESTERN VICTORIA,Hobsons Bay (C),311
St Michaels Primary School,Primary,144.94625,-37.7933,NORTH MELBOURNE,3051,SOUTH-WESTERN VICTORIA,Melbourne (C),460
St Patrick's School,Primary,146.32195,-36.35616,WANGARATTA,3677,NORTH-EASTERN VICTORIA,Wangaratta (RC),670
St Mary's School,Primary,144.99759,-37.85902,ST KILDA EAST,3183,SOUTH-EASTERN VICTORIA,Port Phillip (C),590
Assumption College,Secondary,144.94763,-37.30101,KILMORE,3764,NORTH-EASTERN VICTORIA,Mitchell (S),485
St Brendan's School,Primary,144.93173,-37.7847,FLEMINGTON,3031,SOUTH-WESTERN VICTORIA,Moonee Valley (C),506
Catherine McAuley College,Secondary,144.27336,-36.75344,BENDIGO,3550,NORTH-WESTERN VICTORIA,Greater Bendigo (C),262
St Augustine's School,Primary,143.7368,-37.05183,MARYBOROUGH,3465,NORTH-WESTERN VICTORIA,Central Goldfields (S),167
St Mary's School,Primary,147.58563,-37.8414,BAIRNSDALE,3875,SOUTH-EASTERN VICTORIA,East Gippsland (S),211
St Aloysius' School,Primary,143.83767,-37.57811,REDAN,3350,SOUTH-WESTERN VICTORIA,Ballarat (C),57
St Joseph's School,Primary,145.03432,-37.82646,HAWTHORN,3122,NORTH-EASTERN VICTORIA,Boroondara (C),111
