StopName,StopType,Latitude,Longitude
10 Jarrah Dr,Metro Bus,-38.00283742,145.11071645
10 Oban Rd,Metro Bus,-37.79634151,145.25204746
10 Queens Pde,Metro Bus,-37.71958244,144.97125477
100 South Gippsland Hwy,Metro Bus,-38.0089989,145.22922904
1000 Steps/Mount Dandenong Tourist Rd,Metro Bus,-37.88975809,145.31834311
101 Normanby Ave,Metro Bus,-37.75850914,144.99044184
102 Lyrebird Dr,Metro Bus,-38.10805967,145.17992974
1039 Doncaster Rd,Metro Bus,-37.78913347,145.16274318
104 Research-Warrandyte Rd,Metro Bus,-37.72123695,145.20371182
105 Lyrebird Dr,Metro Bus,-38.10791342,145.17979651
105 South Gippsland Hwy,Metro Bus,-38.00891327,145.22952724
1053 Mount Dandenong Tourist Rd ,Metro Bus,-37.81305345,145.36199157
1054 Mount Dandenong Tourist Rd ,Metro Bus,-37.81259853,145.36362609
106 Normanby Ave,Metro Bus,-37.75844647,144.99046624
1068 Mount Dandenong Tourist Rd ,Metro Bus,-37.81103272,145.36834082
1069 Mount Dandenong Tourist Rd ,Metro Bus,-37.81079124,145.36782359
107 Cherry Lane,Metro Bus,-37.83801667,144.79491052
108 Old Geelong Rd,Metro Bus,-37.8783249,144.70998799
11 Finsbury Rd,Metro Bus,-38.15979001,145.31355056
11 Jarrah Dr,Metro Bus,-38.00298338,145.11082659
11 Miranda Rd,Metro Bus,-37.7078271,145.02622715
1100 Whitehorse Rd,Metro Bus,-37.81923166,145.13282328
1103 High Street Rd,Metro Bus,-37.87669656,145.19670177
111 William Angliss Dr,Metro Bus,-37.8166834,144.77844949
1113 Mount Dandenong Tourist Rd ,Metro Bus,-37.80982357,145.37736411
112 Fairbairn Rd,Metro Bus,-37.8045931,144.81910896
112 Gordon St,Metro Bus,-37.74527071,144.94912676
113 Weidlich Rd,Metro Bus,-37.6970988,145.13615242
1156 Mount Dandenong Tourist Rd ,Metro Bus,-37.81070284,145.37642474
116 Albert Ave,Metro Bus,-37.85221328,145.29856747
117 Ridge Rd,Metro Bus,-37.83329092,145.35072652
12 Bellara St,Metro Bus,-37.79306077,145.14079592
12 Maxia Rd,Metro Bus,-37.79776268,145.15785021
121 Fairbairn Rd,Metro Bus,-37.80450489,144.81872539
125 Gordon St,Metro Bus,-37.74503533,144.94906517
126 Lakeview Dr,Metro Bus,-37.77372448,145.34655568
127 Mt Dandenong Tourist Rd,Metro Bus,-37.88712495,145.33311741
13 Bellara St,Metro Bus,-37.79298978,145.14086584
13 Montalbo Rd,Metro Bus,-37.80737219,145.21716559
131 Centre Rd,Metro Bus,-38.15356955,145.20931555
1324 Sydney Rd,Metro Bus,-37.696905,144.95956757
133 Kensington Rd ,Metro Bus,-37.79958502,144.91832385
1349 Sydney Rd,Metro Bus,-37.69672286,144.95893744
135 Brady Rd,Metro Bus,-37.9553844,145.22425745
137 Lakeview Dr,Metro Bus,-37.77518832,145.34426361
1376 Mt Dandenong Tourist Rd,Metro Bus,-37.82920776,145.35971419
138 Centre Rd,Metro Bus,-38.15349905,145.20941999
1383 Mountain Hwy,Metro Bus,-37.85936197,145.31752233
1387 Mountain Hwy ,Metro Bus,-37.86038267,145.32084106
139 Miller St,Metro Bus,-37.77687469,144.98513059
1403 Mountain Hwy,Metro Bus,-37.86162731,145.32154032
144 Miller St,Metro Bus,-37.77697242,144.98504846
146 Mt. Dandenong Rd,Metro Bus,-37.80310572,145.25664711
15 Queens Pde,Metro Bus,-37.71963102,144.97093578
15 Stackpoole St,Metro Bus,-37.98037703,145.18255368
156 Kensington Rd,Metro Bus,-37.79897816,144.91916995
16 Kandanga Gr,Metro Bus,-37.77091554,145.09271409
16 Myola St,Metro Bus,-38.07419097,145.13379051
16 Williamson Rd,Metro Bus,-37.77526507,144.88358368
166 Albert Ave,Metro Bus,-37.84729709,145.29949876
166-180 Dohertys Rd,Metro Bus,-37.82711515,144.7753986
1670 Plenty Rd,Metro Bus,-37.58078674,145.10389541
168 Westcott Pde,Metro Bus,-37.72872975,144.65471007
17 Couper-Angus Gr,Metro Bus,-37.79860283,144.82362347
17 Maxia Rd,Metro Bus,-37.797639,145.15743307
17 Myola St,Metro Bus,-38.07422917,145.13392634
179 Humevale Rd,Metro Bus,-37.4971537,145.1749111
18 Dawson St,Metro Bus,-37.7711982,144.95901412
18 Mundara Dr,Metro Bus,-37.78743185,145.25288198
18 Rosebank Ave,Metro Bus,-37.7980788,145.23258527
184 Old Geelong Rd,Metro Bus,-37.87654728,144.71449953
19 Jumping Creek Rd,Metro Bus,-37.73610256,145.27765906
19 Kandanga Gr,Metro Bus,-37.77089642,145.09264646
19 Oban Rd,Metro Bus,-37.79641224,145.25195493
19 Research-Warrandyte Rd,Metro Bus,-37.70857061,145.18695678
190 The Boulevard,Metro Bus,-37.67606787,145.03210338
191 Waiora Rd,Metro Bus,-37.73291363,145.06024941
195 Westcott Pde,Metro Bus,-37.72889411,144.65481835
1954 Sydney Rd,Metro Bus,-37.65333809,144.95314373
196 Waiora Rd,Metro Bus,-37.73289786,145.06038599
20 Matthew Flinders Ave,Metro Bus,-37.98613381,145.25622953
200 Yan Yean Rd,Metro Bus,-37.66010589,145.12491424
2005 Plenty Rd,Metro Bus,-37.55259779,145.109324755
