Suburb;Q3_2024;Q4_2024;Q1_2025;Num_sales
ABBOTSFORD;1147500;1240000;1310000;9
ABERFELDIE;2487500;1900000;2045000;11
AINTREE;738600;690000;720000;39
AIREYS INLET;1450000;1649000;1312500;4
AIRPORT WEST;900800;915000;1000000;29
ALBANVALE;620000;612000;625000;23
ALBERT PARK;2450000;2265000;2046000;16
ALBION;780000;705000;738800;14
ALEXANDRA;525000;489000;680000;5
ALFREDTON;590000;590000;610000;83
ALLANSFORD;497000;555000;837500;4
ALPHINGTON;2185000;2090000;1965000;14
ALTONA;1180000;1150000;1200000;25
ALTONA EAST;1100000;1035000;950000;3
ALTONA MEADOWS;690000;760000;738500;20
ALTONA NORTH;950000;880000;1039500;44
ANGLESEA;1650000;1435000;1375000;18
APOLLO BAY;905000;890000;775000;6
ARARAT;390000;395000;377000;35
ARDEER;700000;670000;695000;12
ARMADALE;2317500;2450000;2588000;20
ARMSTRONG CREEK;665000;650000;648000;129
ASCOT (GREATER BENDIGO);610000;660000;622500;14
ASCOT VALE;1220000;1327500;1357500;45
ASHBURTON;1845000;1820000;1851000;30
ASHWOOD;1470000;1380000;1510000;17
ASPENDALE;1327500;1210000;1339300;14
ASPENDALE GARDENS;1180500;1247500;1225000;14
ATTWOOD;815000;785000;700000;7
AVENEL;512000;486000;569000;2
AVOCA;375000;405000;380000;9
AVONDALE HEIGHTS;1000000;965000;932500;34
BACCHUS MARSH;600000;575000;620000;40
BADGER CREEK;620000;617500;697500;6
BAIRNSDALE;430000;470000;450000;35
BALACLAVA;1307500;1302500;1450000;5
BALCOMBE;1675000;1590000;1580000;34
BALLAN;597500;580000;622500;12
BALLARAT CENTRAL;537500;590000;635000;34
BALLARAT EAST;462500;456000;500000;29
BALLARAT NORTH;525000;566000;515000;28
BALNARRING;1160000;1332500;1320000;6
BALNARRING BEACH;1570000;1875000;1187500;4
BALWYN;2730000;2860000;3100000;31
BALWYN NORTH;2160000;2360000;2325000;56
BANDIANA;595000;620000;629000;3
BANNOCKBURN;745500;705000;699000;17
BARANDUDA;617500;680000;615000;10
BARWON HEADS;1603500;1505000;1465000;16
BAXTER;705000;726300;752500;12
BAYSWATER;880800;886000;845500;26
BAYSWATER NORTH;907000;900000;910000;21
BEACONSFIELD;1020000;1060000;815000;25
BEAUFORT;355000;350000;395000;9
BEAUMARIS;2100000;2130000;1943000;35
BEEAC;380000;380000;460000;2
BEECHWORTH;877500;634800;790000;19
BELGRAVE;760000;800000;860000;11
BELGRAVE HEIGHTS;1100000;921000;1053100;4
BELL PARK;610000;628500;645000;25
BELL POST HILL;652500;685000;650000;25
BELLFIELD (BANYULE);1077500;896000;1090000;7
BELMONT;720000;715000;670000;62
