Suburb;Q3_2024;Q4-2024;Q1_2025;Num_sales_units
ABBOTSFORD;520000;519500;512300;86
ABERFELDIE;428200;832500;810000;2
AIRPORT WEST;670000;719000;654500;22
ALBERT PARK;1212500;665000;1000000;5
ALBION;330000;261000;410000;15
ALFREDTON;448000;340000;385000;9
ALPHINGTON;750000;855000;795000;27
ALTONA;660000;707500;753500;44
ALTONA EAST;750000;680000;728000;8
ALTONA MEADOWS;505000;580000;568800;6
ALTONA NORTH;720000;741000;715000;18
ARARAT;300000;390000;300000;4
ARDEER;575000;614000;557500;8
ARMADALE;620000;783000;630000;38
ASCOT VALE;517500;502500;500000;33
ASHBURTON;1457500;1210000;1250000;7
ASHWOOD;1345000;808000;1120500;10
ASPENDALE;810000;800000;821900;13
AVONDALE HEIGHTS;690000;769000;675000;5
BACCHUS MARSH;345000;450000;435000;8
BALACLAVA;550000;607500;530000;28
BALLAN;440000;395000;530000;3
BALLARAT CENTRAL;469000;418500;362500;6
BALLARAT EAST;350000;345000;365000;6
BALLARAT NORTH;457500;327500;410000;10
BALWYN;800000;830300;696000;31
BALWYN NORTH;1300000;980500;1312500;13
BARWON HEADS;1025000;1130000;890000;3
BAXTER;640000;640000;592000;5
BAYSWATER;670000;722500;665000;31
BAYSWATER NORTH;650000;670000;645000;21
BEACONSFIELD;715000;582000;602500;2
BEAUMARIS;1042500;1280000;1237500;14
BELL PARK;485000;555000;510000;6
BELL POST HILL;435500;413500;400000;4
BELLFIELD (BANYULE);686800;620000;912500;10
BELMONT;550000;546500;585000;26
BENALLA;332500;320000;340000;9
BENDIGO;530000;482500;536000;6
BENTLEIGH;711300;795000;742500;42
BENTLEIGH EAST;930500;880000;985000;59
BERWICK;660000;653500;730000;24
BITTERN;660000;571000;688500;7
BLACK HILL;420000;337000;376000;3
BLACK ROCK;927500;1325500;935000;18
BLACKBURN;659500;765000;855000;43
BLACKBURN NORTH;910000;791500;818000;5
BLACKBURN SOUTH;840000;700000;940000;13
BONBEACH;775000;648000;730500;33
BORONIA;671000;645000;647500;56
BOX HILL;590000;590000;520000;93
BOX HILL NORTH;926800;843000;884000;16
BOX HILL SOUTH;851500;930500;925000;14
BRAYBROOK;627000;640000;627500;26
BRIAR HILL;867000;1050000;730000;8
BRIGHT;665000;590000;600000;3
BRIGHTON;1111000;1470000;1495000;60
BRIGHTON EAST;1175000;1200000;1312000;17
BROADFORD;430000;430000;430000;0
BROADMEADOWS;447500;470000;455500;26
BROOKLYN;704000;650000;590000;18
BROWN HILL;350000;363800;360000;5
BRUNSWICK;570000;600000;560000;115
BRUNSWICK EAST;545000;532000;532500;68
BRUNSWICK WEST;450000;509000;430000;82
BULLEEN;555000;720000;884500;12
BUNDOORA;471300;465000;460000;52
BURWOOD;764500;727300;771000;40
BURWOOD EAST;876300;620000;605000;22
CAIRNLEA;400000;418000;411400;7
CALIFORNIA GULLY;307000;315500;445000;1
CAMBERWELL;930000;860900;850000;50
CANADIAN;390000;363700;380000;13
CANTERBURY;875000;1080000;1216000;11
CAPEL SOUND;550000;625000;682500;14
CARLTON;412000;460000;358500;124
CARLTON NORTH;678000;665000;730000;7
CARNEGIE;607500;630000;655000;94
CAROLINE SPRINGS;515000;495000;460000;18
CARRUM;745000;847500;810000;22
CARRUM DOWNS;590000;575000;606000;42
CASTLEMAINE;505000;620000;522500;2
CAULFIELD;605100;965000;710000;17
CAULFIELD EAST;945000;630000;360000;6
CAULFIELD NORTH;657500;641000;631000;55
CAULFIELD SOUTH;809000;909000;1085000;31
CHADSTONE;630000;545000;990000;19
CHELSEA;635500;712000;719800;40
CHELSEA HEIGHTS;743500;712500;858500;2
CHELTENHAM;665000;705000;608500;52
CHELTENHAM EAST;630000;630000;755000;8
CHELTENHAM NORTH;802000;800000;730000;5
CHIRNSIDE PARK;701300;722500;715000;11
CLARINDA;697500;757500;810000;6
CLAYTON;753900;683500;685000;57
CLAYTON NORTH;840000;450000;445000;6
CLAYTON SOUTH;715000;517500;500500;16
CLIFTON HILL;885000;880000;860000;9
CLIFTON SPRINGS;537500;542500;540000;3
CLYDE NORTH;472000;557000;588000;1
COBRAM;307500;307500;315000;4
COBURG;566000;675000;713000;67
COBURG EAST;660000;555000;312500;8
COBURG NORTH;700000;635000;732500;10
COLAC;380000;427000;451000;9
COLLINGWOOD;597000;575000;630000;51
CORIO;352500;388800;377500;2
COWES;415000;1800000;654300;6
COWES WEST;630000;664500;686300;6
CRAIGIEBURN;450000;420300;453500;60
CRANBOURNE;477000;458000;492100;24
CRANBOURNE EAST;522500;520000;565000;7
CRANBOURNE NORTH;522500;482100;457500;6
CRANBOURNE WEST;508200;575000;522500;8
CREMORNE;520000;531000;607500;14
CRIB POINT;605000;640000;476000;4
CROYDON;725000;660000;702500;80
CROYDON NORTH;790000;700000;721800;8
CROYDON SOUTH;820400;735000;815000;9
DALLAS;480000;417500;465000;5
DANDENONG;405000;420000;400000;118
DANDENONG NORTH;575000;585000;560000;17
DARLEY;413500;433800;410000;8
DEANSIDE;495000;590000;456000;2
