listing_id,suburb,postcode,weekly_rent,bond,available_date,date_listed,days_listed,bedrooms,bathrooms,carspaces,property_type,address,lat,lon,scraped_date,domain_page_id,property_id,photo_count,video_count,floorplans_count,virtual_tour,primary_type,secondary_type,agency,agency_id,agent_names,structured_features,url
17697481,ABBOTSFORD,3067,580,2514.0,"Thursday, 21 August 2025",2025-08-01,38,2,1,1.0,Apartment / Unit / Flat,513/20 Shamrock Street,-37.810143,145.00822,2025-09-09 16:13:06,17697481,,9,0,1,True,Apartment,Apartment / Unit / Flat,Walshe & Whitelock Pty Ltd,29046,Joe Pollina,"Gas, Internal Laundry, Gym, Fireplace(s), Balcony / Deck, Air conditioning, Secure Parking, Heating",https://www.domain.com.au/513-20-shamrock-street-abbotsford-vic-3067-17697481
17717979,ABBOTSFORD,3067,430,1870.0,"Monday, 18 August 2025",2025-08-15,25,1,1,1.0,Apartment / Unit / Flat,2/28-34 Nicholson Street,-37.808945,144.99637,2025-09-09 16:13:06,17717979,,5,0,0,False,Apartment,Apartment / Unit / Flat,Luxe Property,20536,Brooke Single,"Built in wardrobes, Courtyard, Split System (Heating), Split System (Air Con)",https://www.domain.com.au/2-28-34-nicholson-street-abbotsford-vic-3067-17717979
17719363,ABBOTSFORD,3067,875,3802.0,"Friday, 19 September 2025",2025-08-18,22,3,1,,House,130 Charles Street,-37.80419,144.99567,2025-09-09 16:13:06,17719363,,6,0,0,False,House,House,Jellis Craig Fitzroy,3709,"Jayde Cashion, Jellis Craig Inner North","Dishwasher, Split System Heating, Floorboards, Split System Air Con",https://www.domain.com.au/130-charles-street-abbotsford-vic-3067-17719363
17732837,ABBOTSFORD,3067,880,3824.0,"Monday, 01 September 2025",2025-08-26,14,3,2,2.0,Townhouse,14 Federation Lane,-37.796894,144.99615,2025-09-09 16:13:06,17732837,,7,0,1,False,Townhouse/Villa,Townhouse,RT Edgar - Northside,32225,Lily Passarelli,"Bath, Split System Air Con, Split System Heating, Intercom, Built in wardrobes, Garden / Courtyard, Dishwasher, Remote Garage",https://www.domain.com.au/14-federation-lane-abbotsford-vic-3067-17732837
17734920,ABBOTSFORD,3067,600,2607.0,"Wednesday, 27 August 2025",2025-08-27,13,2,1,1.0,Apartment / Unit / Flat,DG04/18 Grosvenor Street,-37.809586,145.00682,2025-09-09 16:13:06,17734920,,10,0,1,False,Apartment,Apartment / Unit / Flat,Ray White Southbank,20626,"Eva Christodoulou, Macy Roberts","Air conditioning, Gym, Intercom, Built in wardrobes, Internal Laundry, Dishwasher, Secure Parking, Balcony / Deck, Swimming Pool",https://www.domain.com.au/dg04-18-grosvenor-street-abbotsford-vic-3067-17734920
17739186,ABBOTSFORD,3067,625,2716.0,"Tuesday, 23 September 2025",2025-08-29,10,1,1,,Apartment / Unit / Flat,230/631 Victoria Street,-37.811157,145.00891,2025-09-09 16:13:06,17739186,,12,0,0,False,Apartment,Apartment / Unit / Flat,MRE,20795,Daniel Suarez,"Heating: Reverse Cycle Air Conditioning, Pool/Spa Count: 0, Furnished",https://www.domain.com.au/230-631-victoria-street-abbotsford-vic-3067-17739186
17739696,ABBOTSFORD,3067,650,2824.0,"Monday, 01 September 2025",2025-09-01,8,2,2,1.0,Apartment / Unit / Flat,202/120 Gipps Street,-37.804844,144.99251,2025-09-09 16:13:06,17739696,,7,0,0,False,Apartment,Apartment / Unit / Flat,Jellis Craig Doncaster,18680,"Bill Vlahos, Tina Dekas","Internal Laundry, Intercom, Split System Air Con, Split System Heating, Balcony / Deck, Built in wardrobes, Dishwasher, Floorboards, Secure Parking",https://www.domain.com.au/202-120-gipps-street-abbotsford-vic-3067-17739696
17739910,ABBOTSFORD,3067,650,2824.0,"Monday, 29 September 2025",2025-09-01,8,2,1,1.0,Townhouse,4/2 Princes Street,-37.809204,144.99986,2025-09-09 16:13:06,17739910,,4,0,0,False,Townhouse/Villa,Townhouse,Miles Real Estate Ivanhoe,6011,Carly Tomat,"Internal Laundry, Secure Parking, Heating, Air conditioning, Outdoor Entertainment Area, Built in wardrobes, Dishwasher, Floorboards",https://www.domain.com.au/4-2-princes-street-abbotsford-vic-3067-17739910
17739942,ABBOTSFORD,3067,520,2260.0,"Friday, 03 October 2025",2025-09-01,8,1,1,1.0,Apartment / Unit / Flat,Y102/125 Turner Street,-37.799,145.00085,2025-09-09 16:13:06,17739942,,10,0,0,True,Apartment,Apartment / Unit / Flat,The Hopkins Group,17841,James Hickey,"Air conditioning, Car Parking - Basement",https://www.domain.com.au/y102-125-turner-street-abbotsford-vic-3067-17739942
17743175,ABBOTSFORD,3067,550,2390.0,"Saturday, 04 October 2025",2025-09-02,7,1,1,1.0,Apartment / Unit / Flat,605/10 Trenerry Crescent,-37.799595,145.00124,2025-09-09 16:13:06,17743175,,6,0,0,False,Apartment,Apartment / Unit / Flat,BigginScott Richmond,3355,"Liam Mulligan, Krista Spicer","Air conditioning, Secure Parking, Balcony / Deck, Dishwasher, Internal Laundry",https://www.domain.com.au/605-10-trenerry-crescent-abbotsford-vic-3067-17743175
