listing_id,suburb,postcode,weekly_rent,bond,available_date,date_listed,days_listed,bedrooms,bathrooms,carspaces,property_type,address,lat,lon,scraped_date,domain_page_id,property_id,photo_count,video_count,floorplans_count,virtual_tour,primary_type,secondary_type,agency,agency_id,agent_names,structured_features,url
9550447,AIRPORT WEST,3042,560,2433.0,"Thursday, 26 September 2024",2025-09-06,3,3,1,1.0,House,203 Parer Road,-37.721825,144.87155,2025-09-09 16:25:13,9550447,UM-9645-GX,9,0,0,False,House,House,Simone Bullen,7896,Ebonnie Reid,,https://www.domain.com.au/203-parer-road-airport-west-vic-3042-9550447
17213252,AIRPORT WEST,3042,710,3085.0,"Tuesday, 14 October 2025",2025-09-09,0,3,2,2.0,Townhouse,2/106 Bowes Avenue,-37.72561,144.8862,2025-09-09 16:25:13,17213252,LY-3926-LQ,13,0,0,False,Townhouse/Villa,Townhouse,Ray White Gladstone Park,31262,Caresse Strangis,"Internal Laundry, Heating, Dishwasher",https://www.domain.com.au/2-106-bowes-avenue-airport-west-vic-3042-17213252
17699756,AIRPORT WEST,3042,800,3476.0,"Monday, 11 August 2025",2025-08-04,35,3,2,1.0,Townhouse,168 Parer Road,-37.71872,144.87723,2025-09-09 16:25:13,17699756,,10,0,1,False,Townhouse/Villa,Townhouse,Jellis Craig Moonee Valley,13365,"Justin Jovanov, Vicki Lekanis","Gas, Secure Parking, Intercom, Dishwasher, Balcony / Deck, Split System Air Con, Built in wardrobes, Garden / Courtyard",https://www.domain.com.au/168-parer-road-airport-west-vic-3042-17699756
17710206,AIRPORT WEST,3042,850,3694.0,"Monday, 11 August 2025",2025-08-11,28,4,3,2.0,Townhouse,67 Fraser Street,-37.723976,144.88217,2025-09-09 16:25:13,17710206,,5,0,0,False,Townhouse/Villa,Townhouse,Barry Plant Keilor East,27626,"Simone Shiells, Helena  Krilis","Heating, Balcony / Deck, Dishwasher",https://www.domain.com.au/67-fraser-street-airport-west-vic-3042-17710206
17719659,AIRPORT WEST,3042,500,2195.0,"Wednesday, 10 September 2025",2025-09-08,1,2,1,1.0,Townhouse,1/59 Parer Rd,-37.720024,144.8856,2025-09-09 16:25:13,17719659,,12,0,1,False,Townhouse/Villa,Townhouse,Woodards Essendon,2743,Ashleigh Owens,"Internal Laundry, Secure Parking, Air conditioning, Balcony / Deck, Outdoor Entertainment Area, Fully fenced, Built in wardrobes, Dishwasher, Floorboards, Pets Allowed",https://www.domain.com.au/1-59-parer-rd-airport-west-vic-3042-17719659
17722398,AIRPORT WEST,3042,730,3172.0,"Tuesday, 19 August 2025",2025-08-19,21,3,1,2.0,House,81 King St,-37.72313,144.88303,2025-09-09 16:25:13,17722398,,7,0,0,False,House,House,Barry Plant Keilor East,27626,"Simone Shiells, Helena  Krilis","Secure Parking, Broadband internet access, Fireplace(s), Heating, Built in wardrobes, Dishwasher",https://www.domain.com.au/81-king-st-airport-west-vic-3042-17722398
17724317,AIRPORT WEST,3042,780,3389.0,"Saturday, 09 August 2025",2025-08-20,20,4,2,1.0,Townhouse,105A Roberts Road,-37.726032,144.87157,2025-09-09 16:25:13,17724317,,6,0,0,False,Townhouse/Villa,Townhouse,Nelson Alexander Keilor East,15596,"Kassandra Talajic, Domenic Andronaco","Heating, Evaporative Cooling, Gas",https://www.domain.com.au/105a-roberts-road-airport-west-vic-3042-17724317
17726142,AIRPORT WEST,3042,415,1804.0,"Monday, 01 September 2025",2025-08-21,19,2,1,,Apartment / Unit / Flat,2/55 Hawker Street,-37.72228,144.88576,2025-09-09 16:25:13,17726142,,6,0,0,False,Apartment,Apartment / Unit / Flat,Barry Plant Keilor East,27626,"Simone Shiells, Michelle Sheils","Heating, Built in wardrobes",https://www.domain.com.au/2-55-hawker-street-airport-west-vic-3042-17726142
17728775,AIRPORT WEST,3042,730,3172.0,"Wednesday, 24 September 2025",2025-08-22,17,4,2,1.0,Townhouse,1/27 Walters Avenue,-37.732094,144.88582,2025-09-09 16:25:13,17728775,,6,0,0,False,Townhouse/Villa,Townhouse,Barry Plant Keilor East,27626,"Simone Shiells, Michelle Sheils","Secure Parking, Bath, Heating, Garden / Courtyard, Built in wardrobes, Dishwasher, Study",https://www.domain.com.au/1-27-walters-avenue-airport-west-vic-3042-17728775
17729809,AIRPORT WEST,3042,530,2302.0,"Tuesday, 02 September 2025",2025-08-25,15,3,1,3.0,House,114 Halsey Rd,-37.718285,144.88164,2025-09-09 16:25:13,17729809,,9,0,1,False,House,House,Frank Dowling,8167,Reception Frank Dowling,"Gas, Bath, Heating, Air conditioning, Secure Parking, Garden / Courtyard, Built in wardrobes, Internal Laundry",https://www.domain.com.au/114-halsey-rd-airport-west-vic-3042-17729809
