listing_id,suburb,postcode,weekly_rent,bond,available_date,date_listed,days_listed,bedrooms,bathrooms,carspaces,property_type,address,lat,lon,scraped_date,domain_page_id,property_id,photo_count,video_count,floorplans_count,virtual_tour,primary_type,secondary_type,agency,agency_id,agent_names,structured_features,url
9445439,ALBION,3020,290,1260.0,"Monday, 22 September 2025",2025-09-08,1,1,1,1,Apartment / Unit / Flat,28/2-4 The Gables,-37.7803,144.82484,2025-09-09 16:33:23,9445439,CV-6274-OZ,6,0,0,False,Apartment,Apartment / Unit / Flat,LITTLE Real Estate Victoria,24974,Cooper Modica,"Car Accom: Single Off-Street Parking, Heating: Reverse Cycle Air Conditioning, Cooling: Reverse Cycle Air Conditioning, Kitchen: Modern, Cooking: Gas Hotplates and Electric Oven, Pool/Spa Count: 0",https://www.domain.com.au/28-2-4-the-gables-albion-vic-3020-9445439
15740116,ALBION,3020,530,2303.0,"Monday, 01 September 2025",2025-08-21,19,2,1,1,Townhouse,5/137 Anderson Road,-37.783466,144.82684,2025-09-09 16:33:23,15740116,LC-4201-FH,9,1,0,False,Townhouse/Villa,Townhouse,Ray White Brunswick,21490,"Danny Campos, Property Management Brunswick",,https://www.domain.com.au/5-137-anderson-road-albion-vic-3020-15740116
17608332,ALBION,3020,400,1738.0,"Thursday, 05 June 2025",2025-06-05,96,2,1,1,Apartment / Unit / Flat,14/5 King Edward Avenue,-37.782455,144.82649,2025-09-09 16:33:23,17608332,,6,0,0,False,Apartment,Apartment / Unit / Flat,Create Real Estate,13833,Create Rentals,"Internal Laundry, Built in wardrobes, Balcony / Deck",https://www.domain.com.au/14-5-king-edward-avenue-albion-vic-3020-17608332
17710680,ALBION,3020,440,1907.0,"Monday, 18 August 2025",2025-08-12,28,3,1,3,House,2 Brisbane Street,-37.77869,144.81644,2025-09-09 16:33:23,17710680,,9,0,0,False,House,House, Sweeney Estate Agents St. Albans,18290,"Roz Gauci, Administration Sunshine","Gas, Internal Laundry, Shed",https://www.domain.com.au/2-brisbane-street-albion-vic-3020-17710680
17715431,ALBION,3020,650,,"Friday, 29 August 2025",2025-08-14,26,4,2,2,House,1 Adelaide Street,-37.78432,144.8187,2025-09-09 16:33:23,17715431,,19,0,1,False,House,House,Barry Plant Sunshine,8753,"Alice Mosut, Demi Theoharou","Gas, Heating, Shed",https://www.domain.com.au/1-adelaide-street-albion-vic-3020-17715431
17719089,ALBION,3020,460,,"Friday, 22 August 2025",2025-08-18,22,3,1,2,House,5 Ferguson Street,-37.77876,144.82376,2025-09-09 16:33:23,17719089,,15,0,1,False,House,House,Barry Plant Sunshine,8753,"Alice Mosut, Demi Theoharou",Heating,https://www.domain.com.au/5-ferguson-street-albion-vic-3020-17719089
17721171,ALBION,3020,450,,"Saturday, 30 August 2025",2025-08-19,21,3,2,1,Townhouse,2/26 Talmage Street,-37.778633,144.8245,2025-09-09 16:33:23,17721171,,9,0,0,False,Townhouse/Villa,Townhouse,Barry Plant Sunshine,8753,"Alice Mosut, Demi Theoharou","Air conditioning, Internal Laundry, Heating",https://www.domain.com.au/2-26-talmage-street-albion-vic-3020-17721171
17729536,ALBION,3020,460,,"Saturday, 30 August 2025",2025-08-25,15,3,1,1,House,34 Derrimut Street,-37.77895,144.81837,2025-09-09 16:33:23,17729536,,13,0,1,False,House,House,Barry Plant Sunshine,8753,"Alice Mosut, Demi Theoharou","Secure Parking, Heating",https://www.domain.com.au/34-derrimut-street-albion-vic-3020-17729536
17738507,ALBION,3020,380,1651.0,"Friday, 29 August 2025",2025-08-29,11,2,1,1,Apartment / Unit / Flat,11/25 Ridley Street,-37.78386,144.82394,2025-09-09 16:33:23,17738507,,8,0,0,False,Apartment,Apartment / Unit / Flat,White Knight Estate Agents,31333,Tenisha Pashalay,,https://www.domain.com.au/11-25-ridley-street-albion-vic-3020-17738507
17742229,ALBION,3020,320,1387.0,"Wednesday, 03 September 2025",2025-09-02,7,1,1,1,Apartment / Unit / Flat,8/36 Ridley Street,-37.783478,144.82336,2025-09-09 16:33:23,17742229,,8,0,0,False,Apartment,Apartment / Unit / Flat,Bells Real Estate Sunshine,4389,"Michelle Lia, Rentals Sunshine",,https://www.domain.com.au/8-36-ridley-street-albion-vic-3020-17742229
