listing_id,suburb,postcode,weekly_rent,bond,available_date,date_listed,days_listed,bedrooms,bathrooms,carspaces,property_type,address,lat,lon,scraped_date,domain_page_id,property_id,photo_count,video_count,floorplans_count,virtual_tour,primary_type,secondary_type,agency,agency_id,agent_names,structured_features,url
15274722,ALFREDTON,3350,410,1777.0,"Friday, 12 September 2025",2025-09-05,4,3,2,4,House,15 Lancaster Street,-37.554012,143.78989,2025-09-09 16:37:38,15274722,IM-7471-ME,12,0,0,True,House,House,PRDnationwide Ballarat,5808,"Jenna Tomada, Shari Plater","Air conditioning, Ensuite, Built in wardrobes, Internal Laundry, Pets Allowed, Gas, Bath, Heating, Dishwasher, Secure Parking, Fully fenced, Garden / Courtyard",https://www.domain.com.au/15-lancaster-street-alfredton-vic-3350-15274722
16316822,ALFREDTON,3350,260,1127.0,"Friday, 08 August 2025",2025-07-11,60,1,1,2,Apartment / Unit / Flat,5/7-9 Ningana Street,-37.55266,143.8079,2025-09-09 16:37:38,16316822,IJ-3310-GC,9,0,0,True,Apartment,Apartment / Unit / Flat,PRDnationwide Ballarat,5808,"Jenna Tomada, Shari Plater","Internal Laundry, Built in wardrobes, Heating, Dishwasher",https://www.domain.com.au/5-7-9-ningana-street-alfredton-vic-3350-16316822
17679720,ALFREDTON,3350,380,1646.0,"Monday, 28 July 2025",2025-07-22,49,2,1,2,House,65 Longley Street,-37.561604,143.81664,2025-09-09 16:37:38,17679720,,9,0,0,False,House,House,Ray White Ballarat,11641,"Bernie Dickson, Caine Hunter","Built in wardrobes, Heating, Shed",https://www.domain.com.au/65-longley-street-alfredton-vic-3350-17679720
17704496,ALFREDTON,3350,480,2080.0,"Tuesday, 26 August 2025",2025-08-07,33,4,2,2,House,59 Longford Road,-37.567127,143.79756,2025-09-09 16:37:38,17704496,,6,0,0,False,House,House,Buxton (Ballarat) Pty Ltd,26896,Buxton Ballarat Leasing,"Secure Parking, Bath, Heating",https://www.domain.com.au/59-longford-road-alfredton-vic-3350-17704496
17711623,ALFREDTON,3350,480,2086.0,"Sunday, 21 September 2025",2025-08-12,28,4,2,2,House,12 Lemon Street,-37.565544,143.78516,2025-09-09 16:37:38,17711623,,15,0,0,False,House,House,THE AGENTS EXCELLENCE IN REAL ESTATE,32651,"Sandy Agrawal, Leasing Team","Internal Laundry, Secure Parking, Air conditioning, Heating, Built in wardrobes, Close to transport, Close to shops, Close to schools, Ensuite",https://www.domain.com.au/12-lemon-street-alfredton-vic-3350-17711623
17730484,ALFREDTON,3350,460,1998.0,"Monday, 22 September 2025",2025-08-25,15,4,2,2,House,62 Creekstone Drive,-37.557636,143.79236,2025-09-09 16:37:38,17730484,,6,1,0,False,House,House,Ballarat Real Estate,13411,"Leah Dickson, Bailey Wilson","Air conditioning, Heating, Built in wardrobes, Ensuite",https://www.domain.com.au/62-creekstone-drive-alfredton-vic-3350-17730484
17731851,ALFREDTON,3350,510,,"Friday, 05 September 2025",2025-08-26,14,4,2,2,House,58 Learmonth Street,-37.559532,143.81186,2025-09-09 16:37:38,17731851,,15,0,0,False,House,House,Investate International,33705,"Novine Zhang, Investate Ballarat, Samantha Young","Secure Parking, Air conditioning, Heating, Built in wardrobes, Close to transport, Close to shops, Close to schools, Ensuite, Carpeted, Openable Windows, Dishwasher, Floorboards, Fully fenced",https://www.domain.com.au/58-learmonth-street-alfredton-vic-3350-17731851
17731920,ALFREDTON,3350,500,2167.0,"Monday, 22 September 2025",2025-08-26,14,4,2,2,House,47 Longford Road,-37.566185,143.79776,2025-09-09 16:37:38,17731920,,12,0,1,False,House,House,Buxton (Ballarat) Pty Ltd,26896,Buxton Ballarat Leasing,"Gas, Secure Parking, Bath, Dishwasher",https://www.domain.com.au/47-longford-road-alfredton-vic-3350-17731920
17737317,ALFREDTON,3350,360,1440.0,"Thursday, 28 August 2025",2025-08-28,11,2,1,1,Townhouse,23 Balanada Close,-37.548317,143.79662,2025-09-09 16:37:38,17737317,,11,0,0,False,Townhouse/Villa,Townhouse,Bartrop Real Estate,13303,Bartrop Real Estate,"Gas, Balcony, Courtyard, Built in wardrobes, Dishwasher, Reverse Cycle Air Conditioning",https://www.domain.com.au/23-balanada-close-alfredton-vic-3350-17737317
17739161,ALFREDTON,3350,750,3250.0,"Wednesday, 10 September 2025",2025-08-29,10,5,3,2,House,21 Aspect Parade,-37.550766,143.81126,2025-09-09 16:37:38,17739161,,9,0,2,False,House,House,Barry Plant Ballarat,23715,Angie Finch,"Internal Laundry, Pets Allowed, Secure Parking, Heating",https://www.domain.com.au/21-aspect-parade-alfredton-vic-3350-17739161
17748924,ALFREDTON,3350,320,1390.0,"Monday, 08 September 2025",2025-09-05,4,2,1,1,House,1/63 Cuthberts Road,-37.554523,143.80502,2025-09-09 16:37:38,17748924,,11,0,0,False,House,House,McGrath Ballarat,32266,Taneya Burke,"Gas, Dishwasher",https://www.domain.com.au/1-63-cuthberts-road-alfredton-vic-3350-17748924
17753164,ALFREDTON,3350,460,1993.0,"Friday, 26 September 2025",2025-09-09,0,3,2,2,House,101 Wexford Street,-37.56147,143.80106,2025-09-09 16:37:38,17753164,,12,0,0,False,House,House,Buxton (Ballarat) Pty Ltd,26896,Buxton Ballarat Leasing,"Secure Parking, Bath, Heating, Dishwasher",https://www.domain.com.au/101-wexford-street-alfredton-vic-3350-17753164
