listing_id,suburb,postcode,weekly_rent,bond,available_date,date_listed,days_listed,bedrooms,bathrooms,carspaces,property_type,address,lat,lon,scraped_date,domain_page_id,property_id,photo_count,video_count,floorplans_count,virtual_tour,primary_type,secondary_type,agency,agency_id,agent_names,structured_features,url
9786829,ALPHINGTON,3078,650,2824.0,"Tuesday, 09 September 2025",2025-09-09,0,2,1,2.0,House,10 Shiers Street,-37.774204,145.03067,2025-09-09 16:47:28,9786829,FL-7903-GD,7,0,0,False,House,House,LITTLE Real Estate Victoria,24974,Kevin Le,"Car Accom: Double Off-Street Parking, Heating: Gas, Cooling: Reverse Cycle Air Conditioning, Cooking: Gas Upright Stove",https://www.domain.com.au/10-shiers-street-alphington-vic-3078-9786829
16812297,ALPHINGTON,3078,600,2607.0,"Tuesday, 30 September 2025",2025-09-08,1,2,2,1.0,Apartment / Unit / Flat,105/21 Mills Boulevard,-37.783176,145.02696,2025-09-09 16:47:28,16812297,VR-7175-XH,6,0,0,False,Apartment,Apartment / Unit / Flat,The Agency Victoria,29954,Harshil Vora,"Dishwasher, Split System Heating, Split System Air Conditioning",https://www.domain.com.au/105-21-mills-boulevard-alphington-vic-3078-16812297
16978608,ALPHINGTON,3078,455,1977.0,"Sunday, 10 August 2025",2025-07-14,57,2,1,1.0,Apartment / Unit / Flat,7/150 Grange Road,-37.77086,145.02676,2025-09-09 16:47:28,16978608,NV-2615-PW,6,0,0,False,Apartment,Apartment / Unit / Flat,Barry Plant Northcote & Preston,36977,Vesna Najdovski,"Built in wardrobes, Gas, Heating",https://www.domain.com.au/7-150-grange-road-alphington-vic-3078-16978608
17638812,ALPHINGTON,3078,600,2607.0,"Wednesday, 16 July 2025",2025-06-25,76,2,2,1.0,Apartment / Unit / Flat,103/23 Mills Boulevard,-37.78345,145.02689,2025-09-09 16:47:28,17638812,,8,0,0,False,Apartment,Apartment / Unit / Flat,Jellis Craig Ivanhoe,30455,"Karin Kaine, Michelle De Luca","Internal Laundry, Heating, Secure Parking, Air conditioning, Intercom, Balcony / Deck, Built in wardrobes, Dishwasher, Floorboards",https://www.domain.com.au/103-23-mills-boulevard-alphington-vic-3078-17638812
17657726,ALPHINGTON,3078,410,1782.0,"Monday, 21 July 2025",2025-07-08,63,1,1,1.0,Apartment / Unit / Flat,1/41 Alphington Street,-37.78377,145.02095,2025-09-09 16:47:28,17657726,,5,0,0,False,Apartment,Apartment / Unit / Flat,Miles Real Estate Ivanhoe,6011,Emily Micallef,"Gas, Bath, Heating, Built in wardrobes",https://www.domain.com.au/1-41-alphington-street-alphington-vic-3078-17657726
17738281,ALPHINGTON,3078,530,2303.0,"Saturday, 30 August 2025",2025-08-29,11,1,1,1.0,Apartment / Unit / Flat,403AH/37 Paper Trail,-37.78497,145.02579,2025-09-09 16:47:28,17738281,,13,0,0,False,Apartment,Apartment / Unit / Flat,Jellis Craig Northcote,15667,"Alicia Cannizzaro, Emma Trethowan","Split System Air Con, Split System Heating, Balcony / Deck, Built in wardrobes, Outdoor Entertainment Area, Dishwasher, Secure Parking, Intercom, Laundry, Open plan living",https://www.domain.com.au/403ah-37-paper-trail-alphington-vic-3078-17738281
17739324,ALPHINGTON,3078,530,2303.0,"Friday, 29 August 2025",2025-08-29,10,1,1,1.0,Apartment / Unit / Flat,BG.06/60 Chandler Highway,-37.784306,145.02573,2025-09-09 16:47:28,17739324,,12,0,1,False,Apartment,Apartment / Unit / Flat,Motion Property,8551,Sabrina El-Hares,Pets Allowed,https://www.domain.com.au/bg-06-60-chandler-highway-alphington-vic-3078-17739324
17739326,ALPHINGTON,3078,670,2911.0,"Friday, 29 August 2025",2025-08-29,10,2,2,1.0,Apartment / Unit / Flat,B4.03/60 Chandler Highway,-37.784306,145.02573,2025-09-09 16:47:28,17739326,,15,0,1,False,Apartment,Apartment / Unit / Flat,Motion Property,8551,Sabrina El-Hares,Pets Allowed,https://www.domain.com.au/b4-03-60-chandler-highway-alphington-vic-3078-17739326
17740995,ALPHINGTON,3078,650,2824.0,"Friday, 05 September 2025",2025-09-01,8,2,2,1.0,Apartment / Unit / Flat,108/37 Paper trail,-37.78395,145.02592,2025-09-09 16:47:28,17740995,,9,0,0,False,Apartment,Apartment / Unit / Flat,Agents'Agency Network Partners,11919,Pracilla Lal,"Air conditioning, Intercom, Built in wardrobes, Internal Laundry, Heating, Dishwasher, Secure Parking, Fully fenced, Balcony / Deck, Double glazed windows",https://www.domain.com.au/108-37-paper-trail-alphington-vic-3078-17740995
17741792,ALPHINGTON,3078,750,3258.0,"Friday, 05 September 2025",2025-09-01,8,3,1,2.0,Apartment / Unit / Flat,1/85 Fulham Road,-37.77481,145.02681,2025-09-09 16:47:28,17741792,,10,0,0,False,Apartment,Apartment / Unit / Flat,Jellis Craig Ivanhoe,30455,Brodie Aston,"Air conditioning, Secure Parking, Bath, Heating",https://www.domain.com.au/1-85-fulham-road-alphington-vic-3078-17741792
17742531,ALPHINGTON,3078,850,,"Wednesday, 01 October 2025",2025-09-02,7,3,2,2.0,Apartment / Unit / Flat,301/26 Paper Trail,-37.78412,145.02615,2025-09-09 16:47:28,17742531,,8,0,1,False,Apartment,Apartment / Unit / Flat,McGrath Ivanhoe,28224,Molly Booker,"Gas, Internal Laundry, Dishwasher, Balcony / Deck",https://www.domain.com.au/301-26-paper-trail-alphington-vic-3078-17742531
17743008,ALPHINGTON,3078,495,2151.0,"Thursday, 09 October 2025",2025-09-02,7,2,1,1.0,Apartment / Unit / Flat,6/518 Heidelberg Road,-37.782833,145.02115,2025-09-09 16:47:28,17743008,,8,0,0,False,Apartment,Apartment / Unit / Flat,Quixley Real Estate,17356,Paula Baini,"Built in wardrobes, Bath, Heating, Balcony / Deck",https://www.domain.com.au/6-518-heidelberg-road-alphington-vic-3078-17743008
17744574,ALPHINGTON,3078,550,2390.0,"Tuesday, 09 September 2025",2025-09-03,6,2,1,1.0,Apartment / Unit / Flat,4/44 Alphington Street,-37.783375,145.02065,2025-09-09 16:47:28,17744574,,6,0,0,False,Apartment,Apartment / Unit / Flat,Miles Real Estate Ivanhoe,6011,Lucy Scott,"Gas, Bath, Study, Secure Parking, Air conditioning, Intercom, Balcony / Deck, Fully fenced, Built in wardrobes, Floorboards",https://www.domain.com.au/4-44-alphington-street-alphington-vic-3078-17744574
