listing_id,suburb,postcode,weekly_rent,bond,available_date,date_listed,days_listed,bedrooms,bathrooms,carspaces,property_type,address,lat,lon,scraped_date,domain_page_id,property_id,photo_count,video_count,floorplans_count,virtual_tour,primary_type,secondary_type,agency,agency_id,agent_names,structured_features,url
15564975,ALTONA,3018,650,2824.0,"Monday, 28 July 2025",2025-06-10,90,3,2,1.0,House,69A May Street,-37.864525,144.83095,2025-09-09 16:51:15,15564975,MU-1773-LC,6,0,0,False,House,House,Xynergy Realty Altona,31396,Verrel Bramasta,"Built in wardrobes, Gas, Internal Laundry, Balcony / Deck, Dishwasher, Bathtub, Ensuite(s), Remote Garage, Water Tank",https://www.domain.com.au/69a-may-street-altona-vic-3018-15564975
16085238,ALTONA,3018,480,2086.0,"Wednesday, 10 September 2025",2025-08-08,32,2,1,1.0,Apartment / Unit / Flat,6/253 Esplanade,-37.871845,144.82051,2025-09-09 16:51:15,16085238,IE-7323-BA,8,1,1,False,Apartment,Apartment / Unit / Flat,Xynergy Realty Altona,31396,Endru Yao,"Built in wardrobes, Gas, Internal Laundry, Dishwasher, Balcony / Deck",https://www.domain.com.au/6-253-esplanade-altona-vic-3018-16085238
17652152,ALTONA,3018,380,1651.0,"Thursday, 10 July 2025",2025-07-03,68,2,1,1.0,Apartment / Unit / Flat,4/9 Hancock Street,-37.865013,144.82233,2025-09-09 16:51:15,17652152,,11,0,0,False,Apartment,Apartment / Unit / Flat,Mancini Real Estate ,11724,"Verity Sattout, Kellie Grant","Gas, Internal Laundry, Bath, Heating",https://www.domain.com.au/4-9-hancock-street-altona-vic-3018-17652152
17672319,ALTONA,3018,1300,5649.0,"Friday, 19 September 2025",2025-07-16,54,3,2,2.0,Townhouse,4 Fresno Street,-37.86372,144.8334,2025-09-09 16:51:15,17672319,,29,0,0,False,Townhouse/Villa,Townhouse,Mancini Real Estate ,11724,"Verity Sattout, Kellie Grant","Secure Parking, Intercom, Fireplace(s), Heating, Dishwasher",https://www.domain.com.au/4-fresno-street-altona-vic-3018-17672319
17685579,ALTONA,3018,350,1521.0,"Friday, 29 August 2025",2025-07-25,46,1,1,1.0,Apartment / Unit / Flat,4/33 Bent Street,-37.866608,144.83154,2025-09-09 16:51:15,17685579,,5,0,0,False,Apartment,Apartment / Unit / Flat,First National Westwood ,6441,"Shenay Caglar, Sharni carlton","Gas, Internal Laundry, Air-Conditioner, Split System Heating, Secure Parking, Fully fenced",https://www.domain.com.au/4-33-bent-street-altona-vic-3018-17685579
17691597,ALTONA,3018,1200,5214.0,"Friday, 19 September 2025",2025-07-30,41,3,2,2.0,House,"4A, 6, 6a &/8 Fresno Street",-37.863743,144.83345,2025-09-09 16:51:15,17691597,,24,0,0,False,House,House,Mancini Real Estate ,11724,"Verity Sattout, Kellie Grant","Internal Laundry, Secure Parking, Heating, Dishwasher",https://www.domain.com.au/4a-6-6a-8-fresno-street-altona-vic-3018-17691597
17701004,ALTONA,3018,650,2824.0,"Thursday, 21 August 2025",2025-08-05,35,3,2,2.0,Townhouse,1/58 Upton Street,-37.86447,144.82422,2025-09-09 16:51:15,17701004,,15,0,0,False,Townhouse/Villa,Townhouse,"Sweeney Altona, Altona Meadows & Altona North",81,Sweeney Rentals,"Ensuite, Floorboards, Built in wardrobes, Internal Laundry, Heating, Dishwasher, Secure Parking, Balcony / Deck, Garden / Courtyard, Rainwater storage tank",https://www.domain.com.au/1-58-upton-street-altona-vic-3018-17701004
17710579,ALTONA,3018,780,3389.0,"Thursday, 04 September 2025",2025-08-12,28,3,3,2.0,Townhouse,2/63 Rose Street,-37.864418,144.81961,2025-09-09 16:51:15,17710579,,11,0,0,False,Townhouse/Villa,Townhouse,Ryan Lane Real Estate,39140,Renee Scerri,"Air conditioning, Heating, Built in wardrobes, Close to transport, Close to shops, Alarm System, Close to schools, Ensuite, Toilet Facilities",https://www.domain.com.au/2-63-rose-street-altona-vic-3018-17710579
17718606,ALTONA,3018,800,3476.0,"Friday, 12 September 2025",2025-08-16,24,3,2,2.0,Apartment / Unit / Flat,1/22 Lark Street,-37.869587,144.80605,2025-09-09 16:51:15,17718606,,12,0,0,False,Apartment,Apartment / Unit / Flat,Mancini Real Estate ,11724,Verity Sattout,"Secure Parking, Balcony / Deck",https://www.domain.com.au/1-22-lark-street-altona-vic-3018-17718606
17720877,ALTONA,3018,850,3694.0,"Monday, 25 August 2025",2025-08-18,21,4,3,2.0,House,28B Brook Drive,-37.858105,144.8186,2025-09-09 16:51:15,17720877,,6,0,0,False,House,House,Hockingstuart Altona,37297,"Nakitta Gilliland, Molly Portelli","Secure Parking, Study",https://www.domain.com.au/28b-brook-drive-altona-vic-3018-17720877
