listing_id,suburb,postcode,weekly_rent,bond,available_date,date_listed,days_listed,bedrooms,bathrooms,carspaces,property_type,address,lat,lon,scraped_date,domain_page_id,property_id,photo_count,video_count,floorplans_count,virtual_tour,primary_type,secondary_type,agency,agency_id,agent_names,structured_features,url
15115403,ALTONA MEADOWS,3028,520,2260.0,"Sunday, 06 October 2024",2025-09-02,7,3,1,7,House,11 Alma Ave,-37.869556,144.78621,2025-09-09 16:53:50,15115403,DB-8968-BM,10,0,0,False,House,House,"Sweeney Altona, Altona Meadows & Altona North",81,Sweeney Rentals,"Secure Parking, Heating, Dishwasher, Built in wardrobes, Separate Dining Room",https://www.domain.com.au/11-alma-ave-altona-meadows-vic-3028-15115403
15318296,ALTONA MEADOWS,3028,600,2607.0,"Monday, 06 October 2025",2025-09-02,7,3,2,3,House,8 Davis Court,-37.878242,144.77913,2025-09-09 16:53:50,15318296,YM-4503-XV,14,0,0,False,House,House,"Sweeney Altona, Altona Meadows & Altona North",81,Sweeney Rentals,"Bath, Heating, Dishwasher, Air conditioning, Floorboards, Built in wardrobes, Secure Parking",https://www.domain.com.au/8-davis-court-altona-meadows-vic-3028-15318296
15512548,ALTONA MEADOWS,3028,500,2173.0,"Wednesday, 27 August 2025",2025-08-27,13,3,2,2,House,88 Linden Street,-37.870144,144.77632,2025-09-09 16:53:50,15512548,VM-4180-WD,12,1,0,False,House,House,"Sweeney Altona, Altona Meadows & Altona North",81,Sweeney Rentals,"Internal Laundry, Air conditioning, Ensuite, Floorboards, Indoor Spa, Built in wardrobes, Bath, Heating, Dishwasher, Shed",https://www.domain.com.au/88-linden-street-altona-meadows-vic-3028-15512548
15641158,ALTONA MEADOWS,3028,440,1912.0,"Wednesday, 17 September 2025",2025-08-28,12,2,1,2,Apartment / Unit / Flat,2/53 Orville Street,-37.869965,144.78024,2025-09-09 16:53:50,15641158,UC-3369-UX,8,0,0,False,Apartment,Apartment / Unit / Flat,"Sweeney Altona, Altona Meadows & Altona North",81,Rental Admin,"Built in wardrobes, Internal Laundry, Bath, Heating, Garden / Courtyard",https://www.domain.com.au/2-53-orville-street-altona-meadows-vic-3028-15641158
16731908,ALTONA MEADOWS,3028,550,2390.0,"Monday, 20 October 2025",2025-09-09,0,3,3,2,Townhouse,13 Gordon Avenue South,-37.870136,144.75671,2025-09-09 16:53:50,16731908,BT-5192-JD,10,0,0,False,Townhouse/Villa,Townhouse,"Sweeney Altona, Altona Meadows & Altona North",81,Sweeney Rentals,"Intercom, Study, Air conditioning, Ensuite, Floorboards, Built in wardrobes, Internal Laundry, Heating, Dishwasher, Secure Parking, Fully fenced",https://www.domain.com.au/13-gordon-avenue-south-altona-meadows-vic-3028-16731908
16733962,ALTONA MEADOWS,3028,480,2086.0,"Tuesday, 14 October 2025",2025-09-09,0,3,1,3,House,17 South Avenue,-37.882507,144.7835,2025-09-09 16:53:50,16733962,IC-3892-CH,10,0,0,False,House,House,"Sweeney Altona, Altona Meadows & Altona North",81,Sweeney Rentals,"Pets Allowed, Built in wardrobes, Internal Laundry, Bath, Heating, Fully fenced, Garden / Courtyard",https://www.domain.com.au/17-south-avenue-altona-meadows-vic-3028-16733962
16958790,ALTONA MEADOWS,3028,490,2129.0,"Monday, 29 September 2025",2025-08-29,11,2,1,1,Townhouse,1/49 Alma Ave,-37.86926,144.78275,2025-09-09 16:53:50,16958790,XQ-7194-DH,12,0,0,False,Townhouse/Villa,Townhouse,"Sweeney Altona, Altona Meadows & Altona North",81,Sweeney Rentals,"Heating, Study, Shed, Air conditioning, Built in wardrobes, Separate Dining Room, Secure Parking",https://www.domain.com.au/1-49-alma-ave-altona-meadows-vic-3028-16958790
17681828,ALTONA MEADOWS,3028,600,2607.0,"Wednesday, 20 August 2025",2025-09-02,7,3,1,4,House,58 Merton Street,-37.867386,144.77783,2025-09-09 16:53:50,17681828,,16,0,0,False,House,House,"Sweeney Altona, Altona Meadows & Altona North",81,Sweeney Rentals,"Secure Parking, Floorboards, Built in wardrobes, Internal Laundry, Heating, Dishwasher, Shed, Garden / Courtyard, Ground floor",https://www.domain.com.au/58-merton-street-altona-meadows-vic-3028-17681828
17691266,ALTONA MEADOWS,3028,520,2260.0,"Tuesday, 05 August 2025",2025-07-29,41,4,2,4,House,2 Hammond Court,-37.87391,144.7678,2025-09-09 16:53:50,17691266,,14,0,1,False,House,House,"Sweeney Altona, Altona Meadows & Altona North",81,Sweeney Rentals,"Internal Laundry, Heating, Ensuite",https://www.domain.com.au/2-hammond-court-altona-meadows-vic-3028-17691266
17710576,ALTONA MEADOWS,3028,420,1825.0,"Tuesday, 29 August 2023",2025-08-12,28,2,1,2,Apartment / Unit / Flat,1/174 Victoria Street,-37.879646,144.78532,2025-09-09 16:53:50,17710576,,11,0,0,False,Apartment,Apartment / Unit / Flat,Ryan Lane Real Estate,39140,Renee Scerri,"Heating, Built in wardrobes, Close to transport, Close to shops, Close to schools, Toilet Facilities",https://www.domain.com.au/1-174-victoria-street-altona-meadows-vic-3028-17710576
