listing_id,suburb,postcode,weekly_rent,bond,available_date,date_listed,days_listed,bedrooms,bathrooms,carspaces,property_type,address,lat,lon,scraped_date,domain_page_id,property_id,photo_count,video_count,floorplans_count,virtual_tour,primary_type,secondary_type,agency,agency_id,agent_names,structured_features,url
13241096,ALTONA NORTH,3025,700,3042,"Friday, 03 October 2025",2025-09-05,4,3,2,3.0,Townhouse,14 Ginifer Avenue,-37.83782,144.84344,2025-09-09 16:58:29,13241096,SX-7248-RN,10,0,0,False,Townhouse/Villa,Townhouse,Williams Real Estate,16021,Williams Real Estate,,https://www.domain.com.au/14-ginifer-avenue-altona-north-vic-3025-13241096
15304558,ALTONA NORTH,3025,590,2564,"Friday, 10 October 2025",2025-08-27,13,2,1,1.0,Townhouse,2/287 Blackshaws Road,-37.83253,144.85779,2025-09-09 16:58:29,15304558,ZG-4623-KS,7,1,0,False,Townhouse/Villa,Townhouse,Compton Green,3133,"Linda Lawrence, Gia Rigas","Internal Laundry, Secure Parking, Balcony / Deck, Floorboards, Built in wardrobes, Bath, Heating, Dishwasher",https://www.domain.com.au/2-287-blackshaws-road-altona-north-vic-3025-15304558
15372440,ALTONA NORTH,3025,780,3389,"Tuesday, 07 October 2025",2025-09-03,6,4,2,3.0,House,7A Amaranth Ave,-37.830776,144.854,2025-09-09 16:58:29,15372440,MT-0407-OD,26,0,0,False,House,House,"Sweeney Altona, Altona Meadows & Altona North",81,Rental Admin,"Gas, Internal Laundry, Air conditioning, Ensuite, Alarm System, Intercom, Built in wardrobes, Bath, Heating, Dishwasher, Secure Parking, Shed, Fully fenced, Garden / Courtyard, Rainwater storage tank",https://www.domain.com.au/7a-amaranth-ave-altona-north-vic-3025-15372440
16567660,ALTONA NORTH,3025,590,2556,"Friday, 01 August 2025",2025-09-01,8,2,2,1.0,House,284A Blackshaws Road,-37.83204,144.85753,2025-09-09 16:58:29,16567660,WU-6891-OY,10,0,0,False,House,House,LJ Hooker Altona North,26160,Karl El-Hassan,,https://www.domain.com.au/284a-blackshaws-road-altona-north-vic-3025-16567660
16985485,ALTONA NORTH,3025,750,3259,"Monday, 06 October 2025",2025-08-27,13,3,2,2.0,House,2/18-20 Stapley Crescent,-37.83683,144.8622,2025-09-09 16:58:29,16985485,,20,0,0,False,House,House,"Sweeney Altona, Altona Meadows & Altona North",81,Sweeney Rentals,"Air conditioning, Ensuite, Floorboards, Built in wardrobes, Internal Laundry, Bath, Heating, Dishwasher, Study, Secure Parking, Shed, Fully fenced, Garden / Courtyard",https://www.domain.com.au/2-18-20-stapley-crescent-altona-north-vic-3025-16985485
17098744,ALTONA NORTH,3025,950,4128,"Friday, 19 September 2025",2025-08-22,18,4,3,3.0,House,49 Second Avenue,-37.838062,144.85289,2025-09-09 16:58:29,17098744,VM-7744-DT,17,0,0,False,House,House,"Sweeney Altona, Altona Meadows & Altona North",81,Sweeney Rentals,"Intercom, Air conditioning, Floorboards, Alarm System, Built in wardrobes, Internal Laundry, Bath, Heating, Dishwasher, Study, Secure Parking, Shed, Fully fenced, Garden / Courtyard, Fully customised home office with x3 work stations, no expense spared.",https://www.domain.com.au/49-second-avenue-altona-north-vic-3025-17098744
17139640,ALTONA NORTH,3025,875,3802,"Monday, 06 October 2025",2025-09-05,4,4,3,2.0,Townhouse,44 Hansen Street,-37.836643,144.86539,2025-09-09 16:58:29,17139640,GA-9994-AQ,13,0,0,True,Townhouse/Villa,Townhouse,Compton Green,3133,"Linda Lawrence, Olivia Dennis","Secure Parking, Heating, Balcony / Deck, Ensuite",https://www.domain.com.au/44-hansen-street-altona-north-vic-3025-17139640
17563044,ALTONA NORTH,3025,775,3368,"Wednesday, 01 October 2025",2025-09-09,0,3,2,1.0,Apartment / Unit / Flat,29 Maxwell Avenue,-37.83933,144.8632,2025-09-09 16:58:29,17563044,,11,0,1,False,Apartment,Apartment / Unit / Flat,"Sweeney Altona, Altona Meadows & Altona North",81,Sweeney Rentals,"Balcony / Deck, Ensuite, Floorboards, Alarm System, Intercom, Built in wardrobes, Internal Laundry, Heating, Dishwasher, Secure Parking, Garden / Courtyard",https://www.domain.com.au/29-maxwell-avenue-altona-north-vic-3025-17563044
17669254,ALTONA NORTH,3025,660,2868,"Tuesday, 12 August 2025",2025-07-15,56,3,2,2.0,Townhouse,22 Glade Avenue,-37.82757,144.84082,2025-09-09 16:58:29,17669254,,14,0,0,False,Townhouse/Villa,Townhouse,"Sweeney Altona, Altona Meadows & Altona North",81,Sweeney Rentals,"Secure Parking, Alarm System, Built in wardrobes, Internal Laundry, Bath, Heating, Dishwasher, Rainwater storage tank",https://www.domain.com.au/22-glade-avenue-altona-north-vic-3025-17669254
17723769,ALTONA NORTH,3025,750,3259,"Wednesday, 27 August 2025",2025-08-20,20,4,2,7.0,House,143 Millers Road,-37.830006,144.84886,2025-09-09 16:58:29,17723769,,15,0,0,False,House,House,"Sweeney Altona, Altona Meadows & Altona North",81,Sweeney Rentals,"Floorboards, Built in wardrobes, Internal Laundry, Bath, Heating, Dishwasher, Study, Shed, Garden / Courtyard",https://www.domain.com.au/143-millers-road-altona-north-vic-3025-17723769
17725780,ALTONA NORTH,3025,640,2781,"Tuesday, 02 September 2025",2025-08-21,19,2,2,1.0,Townhouse,2/297 Blackshaws Road,-37.83236,144.85674,2025-09-09 16:58:29,17725780,,6,0,0,False,Townhouse/Villa,Townhouse,Ray White Williamstown,3723,Travis Flint,,https://www.domain.com.au/2-297-blackshaws-road-altona-north-vic-3025-17725780
17742924,ALTONA NORTH,3025,800,3477,"Tuesday, 16 September 2025",2025-09-02,7,3,2,2.0,House,17 Valerian Ave,-37.829678,144.8495,2025-09-09 16:58:29,17742924,,16,0,1,False,House,House,Area Specialist Dynamic,38901,Radin Shojaei,"Gas, Heating, Ensuite, Air conditioning, Secure Parking, Garden / Courtyard, Shed, Fully fenced, Broadband internet access, Built in wardrobes, Dishwasher, Floorboards, Out door entertaining area, Internal Laundry, Pets Allowed",https://www.domain.com.au/17-valerian-ave-altona-north-vic-3025-17742924
17743204,ALTONA NORTH,3025,800,3476,"Monday, 08 September 2025",2025-09-02,7,4,1,5.0,House,47 Seventh Avenue,-37.84133,144.8474,2025-09-09 16:58:29,17743204,,12,0,0,False,House,House,"Sweeney Altona, Altona Meadows & Altona North",81,Sweeney Rentals,"Floorboards, Built in wardrobes, Internal Laundry, Gas, Bath, Heating, Dishwasher, Shed, Balcony / Deck, Garden / Courtyard, Ground floor",https://www.domain.com.au/47-seventh-avenue-altona-north-vic-3025-17743204
17743240,ALTONA NORTH,3025,750,3259,"Tuesday, 09 September 2025",2025-09-02,7,3,2,2.0,Townhouse,22 Bloom Dr,-37.82989,144.85909,2025-09-09 16:58:29,17743240,,13,0,1,False,Townhouse/Villa,Townhouse,Area Specialist Dynamic,38901,Armaan Sandhu,"Gas, Internal Laundry, Bath, Heating, Air conditioning, Secure Parking, Garden / Courtyard, Fully fenced, Built in wardrobes, Dishwasher, Floorboards, Out door entertaining area, Pets Allowed",https://www.domain.com.au/22-bloom-dr-altona-north-vic-3025-17743240
17743737,ALTONA NORTH,3025,660,2868,"Saturday, 06 September 2025",2025-09-02,7,3,1,4.0,House,40 Hatherley Grove,-37.844048,144.85248,2025-09-09 16:58:29,17743737,,7,0,0,False,House,House,Raine & Horne Williamstown,27263,Jane Brettell,"Gas, Internal Laundry, Heating",https://www.domain.com.au/40-hatherley-grove-altona-north-vic-3025-17743737
17745046,ALTONA NORTH,3025,800,3477,"Saturday, 06 September 2025",2025-09-03,6,3,2,2.0,Townhouse,34 Bloom Drive,-37.829525,144.85915,2025-09-09 16:58:29,17745046,,12,0,0,False,Townhouse/Villa,Townhouse,Motion Property,8551,Sabrina El-Hares,"Dishwasher, Split System Heating",https://www.domain.com.au/34-bloom-drive-altona-north-vic-3025-17745046
17746234,ALTONA NORTH,3025,1040,4519,"Saturday, 13 September 2025",2025-09-03,5,4,3,2.0,Townhouse,36 Stapley Crescent,-37.837914,144.86458,2025-09-09 16:58:29,17746234,,17,0,0,False,Townhouse/Villa,Townhouse,Compton Green,3133,"Charlotte Hall, Linda Lawrence","Air conditioning, Ensuite, Floorboards, Alarm System, Built in wardrobes, Internal Laundry, Bath, Heating, Dishwasher, Study, Secure Parking, Fully fenced, Balcony / Deck, Garden / Courtyard, Double glazed windows, Energy efficient appliances, Rainwater storage tank",https://www.domain.com.au/36-stapley-crescent-altona-north-vic-3025-17746234
17749975,ALTONA NORTH,3025,625,2716,"Monday, 06 October 2025",2025-09-05,3,3,3,2.0,House,181A Millers Road,-37.83345,144.84814,2025-09-09 16:58:29,17749975,,12,0,0,False,House,House,Barry Plant Caroline Springs,11528,"Garnet Rodrigues, Property Management","Secure Parking, Heating, Dishwasher",https://www.domain.com.au/181a-millers-road-altona-north-vic-3025-17749975
17751310,ALTONA NORTH,3025,670,2911,"Sunday, 05 October 2025",2025-09-08,1,3,2,1.0,House,8A Luly Street,-37.83955,144.84541,2025-09-09 16:58:29,17751310,,17,0,0,False,House,House,Barry Plant Point Cook,11213,Simon Khouri,"Heating, Dishwasher, Balcony / Deck, Study",https://www.domain.com.au/8a-luly-street-altona-north-vic-3025-17751310
17753667,ALTONA NORTH,3025,700,3042,"Tuesday, 07 October 2025",2025-09-09,0,3,2,2.0,House,32 Misten Avenue,-37.828068,144.84045,2025-09-09 16:58:29,17753667,,8,1,0,False,House,House,The Avenue Property Co. Pty Ltd,28108,"Paulina Porras PM, Katherine Lopez","Air conditioning, Ensuite, Floorboards, Alarm System, Intercom, Built in wardrobes, Internal Laundry, Cable or Satellite, Gas, Broadband internet access, Bath, Heating, Dishwasher, Study, Secure Parking, Balcony / Deck, Garden / Courtyard, Ground floor, City Views, Double glazed windows, Energy efficient appliances, Water efficient appliances, Wall / ceiling insulation, Rainwater storage tank, Greywater system, Water efficient fixtures",https://www.domain.com.au/32-misten-avenue-altona-north-vic-3025-17753667
16478201,ALTONA NORTH,3025,675,2933,"Wednesday, 01 October 2025",2025-08-28,12,3,1,1.0,Townhouse,4/6 Cleghorn Avenue,-37.835007,144.86186,2025-09-09 16:58:34,16478201,AL-6362-SZ,8,0,1,False,Townhouse/Villa,Townhouse,Raine & Horne Williamstown,27263,Iman Hasan,,https://www.domain.com.au/4-6-cleghorn-avenue-altona-north-vic-3025-16478201
