listing_id,suburb,postcode,weekly_rent,bond,available_date,date_listed,days_listed,bedrooms,bathrooms,carspaces,property_type,address,lat,lon,scraped_date,domain_page_id,property_id,photo_count,video_count,floorplans_count,virtual_tour,primary_type,secondary_type,agency,agency_id,agent_names,structured_features,url
16735688,ARARAT,3377,380,1651,"Monday, 14 July 2025",2025-07-08,62,3,2,2.0,House,4/132 Lambert Street,-37.26889,142.92155,2025-09-09 16:17:58,16735688,HF-5248-II,12,0,0,False,House,House,Nutrien Harcourts Ararat,16946,Michelle Miocic,"Air conditioning, Ensuite, Built in wardrobes",https://www.domain.com.au/4-132-lambert-street-ararat-vic-3377-16735688
17657761,ARARAT,3377,450,1955,"Wednesday, 09 July 2025",2025-07-08,63,4,1,1.0,House,12 Wattle Crescent,-37.268383,142.91614,2025-09-09 16:17:58,17657761,,9,0,0,False,House,House,Elders Real Estate Ararat,4800,Jodie Argall,"Heating, Air conditioning, Built in wardrobes",https://www.domain.com.au/12-wattle-crescent-ararat-vic-3377-17657761
17677153,ARARAT,3377,340,1477,"Wednesday, 20 August 2025",2025-07-21,50,2,1,1.0,Apartment / Unit / Flat,2/6 Wills Street,-37.279957,142.91972,2025-09-09 16:17:58,17677153,,8,0,0,False,Apartment,Apartment / Unit / Flat,Nutrien Harcourts Ararat,16946,Michelle Miocic,Heating,https://www.domain.com.au/2-6-wills-street-ararat-vic-3377-17677153
17693781,ARARAT,3377,450,1955,"Friday, 15 August 2025",2025-07-31,40,2,2,1.0,House,3/2 Beveridge Street,-37.276886,142.93042,2025-09-09 16:17:58,17693781,,12,0,1,False,House,House,Ararat Ballarat Real Estate,28360,Sharna Wilson,"Secure Parking, Dishwasher, Air conditioning, Heating, Built in wardrobes, Ensuite, Furnished, Roller Door Access",https://www.domain.com.au/3-2-beveridge-street-ararat-vic-3377-17693781
17711421,ARARAT,3377,340,1473,"Wednesday, 03 September 2025",2025-08-12,28,2,1,1.0,Apartment / Unit / Flat,108A Barkly Street,-37.28437,142.92902,2025-09-09 16:17:58,17711421,,9,1,0,False,Apartment,Apartment / Unit / Flat,Elders Real Estate Ararat,4800,Jessica Ward,"Internal Laundry, Air conditioning, Heating, Built in wardrobes, Close to shops, Carpeted",https://www.domain.com.au/108a-barkly-street-ararat-vic-3377-17711421
17711825,ARARAT,3377,350,1516,"Tuesday, 02 September 2025",2025-08-12,28,3,1,2.0,House,5 McLellan Street,-37.28037,142.93709,2025-09-09 16:17:58,17711825,,8,0,0,True,House,House,Elders Real Estate Ararat,4800,Jessica Ward,"Broadband internet access, Balcony / Deck, Air conditioning, Heating, Pets Allowed, Openable Windows, Floorboards, Fully fenced",https://www.domain.com.au/5-mclellan-street-ararat-vic-3377-17711825
17713816,ARARAT,3377,480,2085,"Thursday, 04 September 2025",2025-08-13,27,3,2,4.0,House,22 Elizabeth Street,-37.290714,142.92917,2025-09-09 16:17:58,17713816,,18,0,0,False,House,House,Ray White Ararat,6472,Cassie Schulz,"Built in wardrobes, Dishwasher",https://www.domain.com.au/22-elizabeth-street-ararat-vic-3377-17713816
17721330,ARARAT,3377,420,1825,"Monday, 22 September 2025",2025-08-19,21,3,1,,House,16 Port Fairy Road,-37.292194,142.92531,2025-09-09 16:17:58,17721330,,12,0,1,False,House,House,Elders Real Estate Ararat,4800,Jodie Argall,"Air conditioning, Heating, Close to transport, Close to shops",https://www.domain.com.au/16-port-fairy-road-ararat-vic-3377-17721330
17725628,ARARAT,3377,340,1477,"Friday, 05 September 2025",2025-08-21,19,2,1,1.0,Apartment / Unit / Flat,2 Lowe Street,-37.2778,142.92633,2025-09-09 16:17:58,17725628,,7,0,0,False,Apartment,Apartment / Unit / Flat,Elders Real Estate Ararat,4800,Jodie Argall,"Built in wardrobes, Close to shops, Close to schools, Fully fenced",https://www.domain.com.au/2-lowe-street-ararat-vic-3377-17725628
17730483,ARARAT,3377,360,1564,"Monday, 21 September 2026",2025-08-25,15,3,1,2.0,House,32 Geelong Road,-37.302155,142.9697,2025-09-09 16:17:58,17730483,,6,0,0,False,House,House,Ararat Ballarat Real Estate,28360,Tessa O'Callaghan,"Gas, Heating, Study, Pets Allowed, Dishwasher, Floorboards",https://www.domain.com.au/32-geelong-road-ararat-vic-3377-17730483
