listing_id,suburb,postcode,weekly_rent,bond,available_date,date_listed,days_listed,bedrooms,bathrooms,carspaces,property_type,address,lat,lon,scraped_date,domain_page_id,property_id,photo_count,video_count,floorplans_count,virtual_tour,primary_type,secondary_type,agency,agency_id,agent_names,structured_features,url
15193024,ARMADALE,3143,1400,6083.0,"Wednesday, 01 October 2025",2025-09-02,7,3,3,2.0,House,2B Sutherland Road,-37.860703,145.01688,2025-09-09 16:27:15,15193024,IW-7335-EX,6,1,0,False,House,House,Thomson ,176,Kerry Kyloh,,https://www.domain.com.au/2b-sutherland-road-armadale-vic-3143-15193024
15846727,ARMADALE,3143,950,4128.0,"Sunday, 07 September 2025",2025-08-28,12,3,1,,House,42 Armadale Street,-37.858173,145.01897,2025-09-09 16:27:15,15846727,FS-3565-CG,7,1,0,False,House,House,Thomson ,176,Harriet Henderson,,https://www.domain.com.au/42-armadale-street-armadale-vic-3143-15846727
17144898,ARMADALE,3143,610,2651.0,"Friday, 26 September 2025",2025-09-02,7,1,1,1.0,Apartment / Unit / Flat,204/1 Evergreen Mews,-37.851562,145.01222,2025-09-09 16:27:15,17144898,FL-9625-RY,6,0,0,False,Apartment,Apartment / Unit / Flat,LongView Real Estate,7797,Ashlen Lont,"Gas, Gym, Built in wardrobes, Swimming Pool",https://www.domain.com.au/204-1-evergreen-mews-armadale-vic-3143-17144898
17680467,ARMADALE,3143,700,3042.0,"Tuesday, 22 July 2025",2025-07-22,49,2,2,1.0,Apartment / Unit / Flat,308/948 - 960 High Street,-37.855503,145.01987,2025-09-09 16:27:15,17680467,,6,0,0,False,Apartment,Apartment / Unit / Flat,Abercrombys ,6813,Paul Tunney,,https://www.domain.com.au/308-948-960-high-street-armadale-vic-3143-17680467
17693839,ARMADALE,3143,540,2346.0,"Saturday, 30 August 2025",2025-07-31,40,2,1,1.0,Apartment / Unit / Flat,13/7 Sutherland Road,-37.859913,145.01657,2025-09-09 16:27:15,17693839,,13,0,0,False,Apartment,Apartment / Unit / Flat,Barry Marshall Real Estate,20024,"Paula Porter, Bruce Richards",,https://www.domain.com.au/13-7-sutherland-road-armadale-vic-3143-17693839
17713646,ARMADALE,3143,545,2368.0,"Tuesday, 09 September 2025",2025-08-13,27,2,1,2.0,Apartment / Unit / Flat,5/9 Barnato Grove,-37.857113,145.0129,2025-09-09 16:27:15,17713646,,5,0,1,False,Apartment,Apartment / Unit / Flat,Hodges Prahran South Yarra,3916,"Kate Wills, Prahran Leasing","Internal Laundry, Heating, Air conditioning, Balcony / Deck, Built in wardrobes, Dishwasher, Gas, Remote Garage, Secure Parking",https://www.domain.com.au/5-9-barnato-grove-armadale-vic-3143-17713646
17715722,ARMADALE,3143,1350,5866.0,"Friday, 15 August 2025",2025-08-14,26,3,2,2.0,Apartment / Unit / Flat,106/599 Dandenong Road,-37.86506,145.0258,2025-09-09 16:27:15,17715722,,15,0,1,False,Apartment,Apartment / Unit / Flat,Melbournia,31564,Kei Chang,"Ensuite(s), Secure Parking, Air conditioning, Ensuite, Floorboards, Intercom, Built in wardrobes, Internal Laundry, Cable or Satellite, Gas, Broadband internet access, Bath, Heating, Dishwasher, Study, Double glazed windows, Energy efficient appliances, Water efficient appliances, Wall / ceiling insulation, Rainwater storage tank, Greywater system, Water efficient fixtures, Shed, Fully fenced, Balcony / Deck, Energy Eff. Rating: 8.2",https://www.domain.com.au/106-599-dandenong-road-armadale-vic-3143-17715722
17717253,ARMADALE,3143,650,2824.0,"Friday, 15 August 2025",2025-08-15,25,2,1,1.0,Apartment / Unit / Flat,5/38 Northcote Road,-37.853123,145.0173,2025-09-09 16:27:15,17717253,,7,0,1,False,Apartment,Apartment / Unit / Flat,Marshall White Stonnington,4450,"Grace Morley, Emily Jago",,https://www.domain.com.au/5-38-northcote-road-armadale-vic-3143-17717253
17727079,ARMADALE,3143,1500,9000.0,"Monday, 22 September 2025",2025-08-22,18,3,2,1.0,House,11 Egerton Rd,-37.86263,145.0222,2025-09-09 16:27:15,17727079,,12,0,1,False,House,House,Abercrombys ,6813,Paul Tunney,,https://www.domain.com.au/11-egerton-rd-armadale-vic-3143-17727079
17730968,ARMADALE,3143,600,2607.0,"Wednesday, 03 September 2025",2025-08-25,14,3,1,1.0,Apartment / Unit / Flat,7/28 St Georges Rd,-37.860718,145.0219,2025-09-09 16:27:15,17730968,,11,1,0,False,Apartment,Apartment / Unit / Flat, Gary Peer,273,Leasing Concierge,"Balcony / Deck, Built in wardrobes, Internal Laundry",https://www.domain.com.au/7-28-st-georges-rd-armadale-vic-3143-17730968
17732020,ARMADALE,3143,785,3411.0,"Tuesday, 26 August 2025",2025-08-26,14,2,1,3.0,Townhouse,4/391 Dandenong Road,-37.86137,145.01729,2025-09-09 16:27:15,17732020,,8,0,1,False,Townhouse/Villa,Townhouse,Marshall White Stonnington,4450,"Grace Morley, Emily Jago","Split System Air Con, Alarm System, Split System Heating, Built in wardrobes, Garden / Courtyard, Balcony / Deck, Dishwasher, Floorboards, Fully fenced, Remote Garage, Secure Parking",https://www.domain.com.au/4-391-dandenong-road-armadale-vic-3143-17732020
17743559,ARMADALE,3143,750,3259.0,"Monday, 15 September 2025",2025-09-02,7,2,1,1.0,Apartment / Unit / Flat,102/1200 High St,-37.856525,145.02698,2025-09-09 16:27:15,17743559,,8,0,0,False,Apartment,Apartment / Unit / Flat,BigginScott Richmond,3355,"Jade McMorrow, Anna Skapetis","Air conditioning, Secure Parking, Intercom, Balcony / Deck, Built in wardrobes, Dishwasher, Floorboards, Study, Internal Laundry",https://www.domain.com.au/102-1200-high-st-armadale-vic-3143-17743559
17743887,ARMADALE,3143,450,1955.0,"Monday, 08 September 2025",2025-09-02,7,1,1,1.0,Apartment / Unit / Flat,11/11 Kooyong Road,-37.861584,145.01944,2025-09-09 16:27:15,17743887,,11,0,1,False,Apartment,Apartment / Unit / Flat,Belle Property Armadale,3703,Xavier Sukra,,https://www.domain.com.au/11-11-kooyong-road-armadale-vic-3143-17743887
17745052,ARMADALE,3143,710,3085.0,"Friday, 12 September 2025",2025-09-03,6,2,2,1.0,Apartment / Unit / Flat,1.06/511 Dandenong Rd,-37.862617,145.02028,2025-09-09 16:27:15,17745052,,15,0,1,True,Apartment,Apartment / Unit / Flat, Jellis Craig Stonnington,5489,Shannon Contin,"Secure Parking, Air conditioning, Balcony / Deck, Built in wardrobes, Dishwasher",https://www.domain.com.au/1-06-511-dandenong-rd-armadale-vic-3143-17745052
17747998,ARMADALE,3143,570,2477.0,"Thursday, 02 October 2025",2025-09-04,4,1,1,1.0,Apartment / Unit / Flat,2/1 Evergreen Mews,-37.851562,145.01222,2025-09-09 16:27:15,17747998,,17,0,0,False,Apartment,Apartment / Unit / Flat,Barry Plant Docklands,4786,Hans Ong,"Internal Laundry, Floorboards, Built in wardrobes, Split System Air Conditioning, Furnished",https://www.domain.com.au/2-1-evergreen-mews-armadale-vic-3143-17747998
17752014,ARMADALE,3143,420,1825.0,"Monday, 15 September 2025",2025-09-08,1,1,1,1.0,Apartment / Unit / Flat,10/42 Wattletree Road,-37.861294,145.01878,2025-09-09 16:27:15,17752014,,11,0,1,False,Apartment,Apartment / Unit / Flat,Shape Property ,26902,Amelie Frere,"Balcony, Built in wardrobes, Dishwasher, Floorboards, Intercom, Reverse Cycle AirCon",https://www.domain.com.au/10-42-wattletree-road-armadale-vic-3143-17752014
