listing_id,suburb,postcode,weekly_rent,bond,available_date,date_listed,days_listed,bedrooms,bathrooms,carspaces,property_type,address,lat,lon,scraped_date,domain_page_id,property_id,photo_count,video_count,floorplans_count,virtual_tour,primary_type,secondary_type,agency,agency_id,agent_names,structured_features,url
17589691,ASCOT VALE,3032,590,2564.0,"Monday, 26 May 2025",2025-05-26,106,2,1,1.0,Apartment / Unit / Flat,5/45-47 Sandown Road,-37.783287,144.91782,2025-09-09 16:38:04,17589691,NL-6040-RL,11,0,1,True,Apartment,Apartment / Unit / Flat,Woodards,19,Sharyn Webber,"Air conditioning, Built in wardrobes, Gas, Internal Laundry, Secure Parking, Study",https://www.domain.com.au/5-45-47-sandown-road-ascot-vale-vic-3032-17589691
17699301,ASCOT VALE,3032,425,1847.0,"Friday, 08 August 2025",2025-08-04,36,1,1,1.0,Apartment / Unit / Flat,7/18 Bloomfield Road,-37.776318,144.92038,2025-09-09 16:38:04,17699301,,7,0,0,False,Apartment,Apartment / Unit / Flat,Nelson Alexander Flemington,4478,"Paula Hirmiz, Cheryl Garton","Built in wardrobes, Gas",https://www.domain.com.au/7-18-bloomfield-road-ascot-vale-vic-3032-17699301
17703868,ASCOT VALE,3032,715,3107.0,"Tuesday, 19 August 2025",2025-08-06,34,3,1,1.0,House,82 Epsom Road,-37.774418,144.9085,2025-09-09 16:38:04,17703868,,10,0,0,False,House,House,Barry Plant Essendon,4475,"Azhar Bhatti, Melissa Stringile","Secure Parking, Bath, Heating, Air conditioning, Balcony / Deck, Garden / Courtyard, Outdoor Entertainment Area, Built in wardrobes, Dishwasher, Floorboards",https://www.domain.com.au/82-epsom-road-ascot-vale-vic-3032-17703868
17713339,ASCOT VALE,3032,525,2281.0,"Tuesday, 12 August 2025",2025-08-13,27,2,1,1.0,Apartment / Unit / Flat,9/188 The Parade,-37.77164,144.90842,2025-09-09 16:38:04,17713339,,11,0,1,False,Apartment,Apartment / Unit / Flat,Ascot Investment Management,38193,Andy Lusi,,https://www.domain.com.au/9-188-the-parade-ascot-vale-vic-3032-17713339
17714287,ASCOT VALE,3032,1200,5214.0,"Wednesday, 20 August 2025",2025-08-13,26,2,2,2.0,House,1B Wigton Street,-37.778732,144.92915,2025-09-09 16:38:04,17714287,,15,0,1,False,House,House,Jellis Craig Kensington,20419,"Justin Jovanov, Vicki Lekanis","Gas, Internal Laundry, Heating, Alarm System, Study, Built in wardrobes, Garden / Courtyard, Dishwasher, Intercom, Remote Garage, Shed",https://www.domain.com.au/1b-wigton-street-ascot-vale-vic-3032-17714287
17724737,ASCOT VALE,3032,400,1738.0,"Wednesday, 20 August 2025",2025-08-20,19,2,1,1.0,Apartment / Unit / Flat,2/157 St Leonards Road,-37.77337,144.90942,2025-09-09 16:38:04,17724737,,15,0,1,True,Apartment,Apartment / Unit / Flat,Jellis Craig Kensington,20419,Megan Reddy,"Internal Laundry, Bath, Heating, Balcony / Deck, Built in wardrobes",https://www.domain.com.au/2-157-st-leonards-road-ascot-vale-vic-3032-17724737
17738727,ASCOT VALE,3032,500,2172.0,"Monday, 08 September 2025",2025-08-29,11,2,2,1.0,Apartment / Unit / Flat,101/1 Langs Road,-37.78319,144.90744,2025-09-09 16:38:04,17738727,,6,0,0,False,Apartment,Apartment / Unit / Flat,Jellis Craig Kensington,20419,"Megan Reddy, Jonathan Biden","Gas, Secure Parking, Intercom, Dishwasher, Balcony / Deck",https://www.domain.com.au/101-1-langs-road-ascot-vale-vic-3032-17738727
17738848,ASCOT VALE,3032,600,2607.0,"Monday, 22 September 2025",2025-08-29,11,2,1,2.0,Villa,2A Sandown Road,-37.782772,144.92119,2025-09-09 16:38:04,17738848,,7,0,0,False,Townhouse/Villa,Villa,NICOLE GERVASI PROPERTY GROUP,29875,"Amanda Ocean Pacifique, Andrew D'Aprano, Paul Gervasi",,https://www.domain.com.au/2a-sandown-road-ascot-vale-vic-3032-17738848
17742551,ASCOT VALE,3032,665,2889.0,"Tuesday, 07 October 2025",2025-09-02,7,3,1,,House,46 South Street,-37.777782,144.92648,2025-09-09 16:38:04,17742551,,15,0,1,True,House,House,Jellis Craig Kensington,20419,"Megan Reddy, Laura La Bruna","Gas, Heating, Dishwasher, Built in wardrobes",https://www.domain.com.au/46-south-street-ascot-vale-vic-3032-17742551
17742707,ASCOT VALE,3032,900,3911.0,"Monday, 22 September 2025",2025-09-02,7,4,3,2.0,Townhouse,3 Sanctuary Way,-37.776333,144.90366,2025-09-09 16:38:04,17742707,,15,0,0,False,Townhouse/Villa,Townhouse,JWC Property Group,32932,Billy Soe,Heating,https://www.domain.com.au/3-sanctuary-way-ascot-vale-vic-3032-17742707
