listing_id,suburb,postcode,weekly_rent,bond,available_date,date_listed,days_listed,bedrooms,bathrooms,carspaces,property_type,address,lat,lon,scraped_date,domain_page_id,property_id,photo_count,video_count,floorplans_count,virtual_tour,primary_type,secondary_type,agency,agency_id,agent_names,structured_features,url
9981859,AVONDALE HEIGHTS,3034,560,,"Friday, 03 October 2025",2025-09-03,6,2,1,1.0,Townhouse,2/2 Arvern Avenue St,-37.76565,144.86784,2025-09-09 16:56:10,9981859,,6,0,0,False,Townhouse/Villa,Townhouse,Moonee Valley Real Estate,11740,Rental Department,,https://www.domain.com.au/2-2-arvern-avenue-st-avondale-heights-vic-3034-9981859
12771453,AVONDALE HEIGHTS,3034,570,,"Saturday, 16 August 2025",2025-07-28,43,4,1,1.0,House,6 Christina Court,-37.773186,144.85913,2025-09-09 16:56:10,12771453,SO-4842-FT,9,0,0,False,House,House,Moonee Valley Real Estate,11740,Rental Department,"Internal Laundry, Secure Parking, Heating, Dishwasher",https://www.domain.com.au/6-christina-court-avondale-heights-vic-3034-12771453
13284870,AVONDALE HEIGHTS,3034,630,,"Wednesday, 30 July 2025",2025-06-26,75,3,2,1.0,Townhouse,5D Westminster Dr,-37.76409,144.86168,2025-09-09 16:56:10,13284870,AU-2265-ZT,12,0,0,False,Townhouse/Villa,Townhouse,Moonee Valley Real Estate,11740,Rental Department,"Internal Laundry, Secure Parking, Heating, Dishwasher",https://www.domain.com.au/5d-westminster-dr-avondale-heights-vic-3034-13284870
13754180,AVONDALE HEIGHTS,3034,560,,"Tuesday, 16 September 2025",2025-08-28,12,3,1,2.0,House,40 Brentwood Dr,-37.770393,144.85376,2025-09-09 16:56:10,13754180,KC-6416-OE,14,0,0,False,House,House,Moonee Valley Real Estate,11740,Rental Department,"Built in wardrobes, Gas, Internal Laundry, Heating, Dishwasher",https://www.domain.com.au/40-brentwood-dr-avondale-heights-vic-3034-13754180
15573886,AVONDALE HEIGHTS,3034,550,2390.0,"Tuesday, 05 August 2025",2025-07-18,53,3,2,3.0,House,21 Deutscher Street,-37.760242,144.85641,2025-09-09 16:56:10,15573886,UF-5053-IB,13,0,0,True,House,House,Jellis Craig Moonee Valley,13365,,"Air conditioning, Secure Parking, Heating, Dishwasher, Ensuite",https://www.domain.com.au/21-deutscher-street-avondale-heights-vic-3034-15573886
16630397,AVONDALE HEIGHTS,3034,500,,"Monday, 03 November 2025",2025-09-08,1,3,1,,House,178 Military Rd,-37.75458,144.85912,2025-09-09 16:56:10,16630397,OB-7037-YA,13,0,1,False,House,House,Moonee Valley Real Estate,11740,Rental Department,Heating,https://www.domain.com.au/178-military-rd-avondale-heights-vic-3034-16630397
17650142,AVONDALE HEIGHTS,3034,680,,"Friday, 11 July 2025",2025-07-02,69,3,2,1.0,Townhouse,Unit 3/17 Cresswold Ave,-37.76407,144.86363,2025-09-09 16:56:10,17650142,,8,0,0,False,Townhouse/Villa,Townhouse,Moonee Valley Real Estate,11740,Rental Department,"Secure Parking, Heating, Dishwasher, Shed",https://www.domain.com.au/unit-3-17-cresswold-ave-avondale-heights-vic-3034-17650142
17654795,AVONDALE HEIGHTS,3034,550,2390.0,"Thursday, 14 August 2025",2025-07-04,66,3,1,2.0,House,30 Rogerson Street,-37.763554,144.85898,2025-09-09 16:56:10,17654795,,12,0,0,False,House,House,Naison Real Estate,13688,Ivor Nakic,"Air conditioning, Floorboards, Built in wardrobes, Internal Laundry, Gas, Broadband internet access, Bath, Heating, Secure Parking, Shed, Fully fenced, Garden / Courtyard",https://www.domain.com.au/30-rogerson-street-avondale-heights-vic-3034-17654795
17676958,AVONDALE HEIGHTS,3034,1325,5758.0,"Friday, 01 August 2025",2025-07-21,50,4,2,2.0,House,89 Riviera Road,-37.755276,144.87465,2025-09-09 16:56:10,17676958,,18,0,0,False,House,House,Marvelli Town & Associates,3530,Charles Marvelli,"Pets Allowed, Furnished, Floorboards, Indoor Spa, Gym, Alarm System, Intercom, Built in wardrobes, Cable or Satellite, Broadband internet access, Dishwasher, Study, Ensuite, Bath, Air conditioning, Gas, Fireplace(s), Heating, Secure Parking, Shed, Fully fenced, Balcony / Deck, Garden / Courtyard, Swimming Pool, Outdoor Spa, Greywater system, Rainwater storage tank, Solar hot water, Solar panels",https://www.domain.com.au/89-riviera-road-avondale-heights-vic-3034-17676958
17678533,AVONDALE HEIGHTS,3034,550,2390.0,"Wednesday, 23 July 2025",2025-07-21,50,3,1,1.0,House,5 Mckenna Street,-37.768394,144.86792,2025-09-09 16:56:10,17678533,,10,0,1,False,House,House,Jellis Craig Moonee Valley,13365,,"Internal Laundry, Heating, Secure Parking, Shed, Garden / Courtyard, North Facing, close to maribyrnong river trail",https://www.domain.com.au/5-mckenna-street-avondale-heights-vic-3034-17678533
17693300,AVONDALE HEIGHTS,3034,580,2521.0,"Wednesday, 30 July 2025",2025-07-30,41,2,2,,House,30A San Remo Drive,-37.75739,144.86913,2025-09-09 16:56:10,17693300,,7,0,0,False,House,House,Landmark Real Estate,18654,Jane Zeng,"Gas, Internal Laundry, Broadband internet access, Heating, Built in wardrobes, Dishwasher, Floorboards, Split-System Air Conditioning, Ensuite, Furnished",https://www.domain.com.au/30a-san-remo-drive-avondale-heights-vic-3034-17693300
17700790,AVONDALE HEIGHTS,3034,720,3120.0,"Tuesday, 05 August 2025",2025-08-05,35,3,2,3.0,House,49 Brown Street,-37.765663,144.85506,2025-09-09 16:56:10,17700790,,17,0,0,False,House,House,Bells Real Estate Sunshine,4389,"Denisa Rubinic, Rentals Sunshine","Gas, Internal Laundry, Heating, Balcony / Deck",https://www.domain.com.au/49-brown-street-avondale-heights-vic-3034-17700790
17702823,AVONDALE HEIGHTS,3034,710,,"Monday, 15 September 2025",2025-08-06,34,3,2,1.0,Townhouse,7B Westminster Dr,-37.764145,144.86163,2025-09-09 16:56:10,17702823,,17,0,0,False,Townhouse/Villa,Townhouse,Moonee Valley Real Estate,11740,Rental Department,"Internal Laundry, Secure Parking, Heating",https://www.domain.com.au/7b-westminster-dr-avondale-heights-vic-3034-17702823
17715604,AVONDALE HEIGHTS,3034,500,2173.0,"Thursday, 04 September 2025",2025-08-14,26,3,1,2.0,House,22 Langham street,-37.77031,144.85782,2025-09-09 16:56:10,17715604,,8,0,0,False,House,House,Nguyen Real Estate,19313,"Andy Toan Pham, Kevin Nguyen",Air conditioning,https://www.domain.com.au/22-langham-street-avondale-heights-vic-3034-17715604
