listing_id,suburb,postcode,weekly_rent,bond,available_date,date_listed,days_listed,bedrooms,bathrooms,carspaces,property_type,address,lat,lon,scraped_date,domain_page_id,property_id,photo_count,video_count,floorplans_count,virtual_tour,primary_type,secondary_type,agency,agency_id,agent_names,structured_features,url
14730060,BACCHUS MARSH,3340,415,1803,"Wednesday, 27 January 2021",2020-11-27,1747,4,2,2,House,26 Caspar Place,-37.687664,144.41658,2025-09-09 16:14:12,14730060,DO-1358-WL,11,0,0,False,House,House,Stockdale & Leggo Bacchus Marsh,8644,"Emily Closter, Jade Daly","Internal Laundry, Secure Parking, Bath, Heating, Dishwasher, Pets Allowed",https://www.domain.com.au/26-caspar-place-bacchus-marsh-vic-3340-14730060
17135145,BACCHUS MARSH,3340,590,2564,"Saturday, 04 October 2025",2025-09-05,4,4,2,2,House,12 Lismore Circuit,-37.666027,144.41566,2025-09-09 16:14:12,17135145,YD-7884-DL,17,0,0,False,House,House,Ray White Bacchus Marsh,33675,Property Management,"Air conditioning, Ensuite, Built in wardrobes, Internal Laundry, Bath, Heating, Dishwasher, Secure Parking, Fully fenced, Balcony / Deck",https://www.domain.com.au/12-lismore-circuit-bacchus-marsh-vic-3340-17135145
17177745,BACCHUS MARSH,3340,475,2064,"Monday, 13 October 2025",2025-09-08,1,4,2,1,House,36 Killara Circuit,-37.679443,144.41882,2025-09-09 16:14:12,17177745,EE-9670-ZP,13,0,0,False,House,House,Ray White Bacchus Marsh,33675,Property Management,"Air conditioning, Ensuite, Built in wardrobes, Internal Laundry, Bath, Heating, Dishwasher, Secure Parking, Fully fenced",https://www.domain.com.au/36-killara-circuit-bacchus-marsh-vic-3340-17177745
17600780,BACCHUS MARSH,3340,490,2130,"Saturday, 28 June 2025",2025-06-02,99,4,2,2,House,27 College Square,-37.66758,144.42091,2025-09-09 16:14:12,17600780,,8,0,0,False,House,House,Stockdale & Leggo Bacchus Marsh,8644,BM Property Management,"Air conditioning, Built in wardrobes, Close to schools, Close to shops, Close to transport, Dishwasher, Heating, Garden, Remote Garage, Secure Parking, Separate Dining, Separate Lounge, Unfurnished, Ensuite, Pets Allowed",https://www.domain.com.au/27-college-square-bacchus-marsh-vic-3340-17600780
17682385,BACCHUS MARSH,3340,460,1999,"Tuesday, 30 September 2025",2025-07-23,48,3,1,1,House,20A McFarland Street,-37.67173,144.43964,2025-09-09 16:14:12,17682385,,9,0,0,False,House,House,Rayner First National Real Estate Bacchus Marsh,8645,"Chloe Lord, Demee Spargo","Internal Laundry, Secure Parking, Dishwasher, Built in wardrobes, Air-Conditioner, Split System Heating, Courtyard",https://www.domain.com.au/20a-mcfarland-street-bacchus-marsh-vic-3340-17682385
17717566,BACCHUS MARSH,3340,450,1955,"Wednesday, 01 October 2025",2025-08-15,25,3,1,1,House,128 Gisborne Road,-37.662014,144.44096,2025-09-09 16:14:12,17717566,,10,0,0,False,House,House,Rayner First National Real Estate Bacchus Marsh,8645,"Chloe Lord, Demee Spargo","Secure Parking, Heating, Dishwasher, Built in wardrobes, Outdoor Entertainment",https://www.domain.com.au/128-gisborne-road-bacchus-marsh-vic-3340-17717566
17721236,BACCHUS MARSH,3340,575,2499,"Friday, 13 September 2024",2025-08-19,21,4,3,2,House,43 Adelong Way,-37.678173,144.41827,2025-09-09 16:14:12,17721236,,6,1,0,False,House,House,The Hopkins Group,17841,Nadine Cotsaris,,https://www.domain.com.au/43-adelong-way-bacchus-marsh-vic-3340-17721236
17745701,BACCHUS MARSH,3340,380,1651,"Thursday, 04 September 2025",2025-09-03,6,3,1,1,House,79 Dickson Street,-37.66986,144.44034,2025-09-09 16:14:12,17745701,,8,0,0,False,House,House,Rayner First National Real Estate Bacchus Marsh,8645,"Chloe Lord, Demee Spargo","Secure Parking, Heating, Built in wardrobes, Floorboards, Shed",https://www.domain.com.au/79-dickson-street-bacchus-marsh-vic-3340-17745701
17746239,BACCHUS MARSH,3340,380,1647,"Saturday, 25 October 2025",2025-09-03,5,2,1,1,Apartment / Unit / Flat,1/18 Simpson Street,-37.678192,144.44255,2025-09-09 16:14:12,17746239,,10,0,0,False,Apartment,Apartment / Unit / Flat,Buxton (Ballarat) Pty Ltd,26896,Buxton Ballarat Leasing,"Built in wardrobes, Gas, Internal Laundry, Heating",https://www.domain.com.au/1-18-simpson-street-bacchus-marsh-vic-3340-17746239
17747506,BACCHUS MARSH,3340,530,2303,"Tuesday, 07 October 2025",2025-09-04,5,4,2,5,House,1 Lindsay Place,-37.66929,144.42592,2025-09-09 16:14:12,17747506,,18,0,0,False,House,House,Stockdale & Leggo Bacchus Marsh,8644,BM Property Management,"Internal Laundry, Heating, Shed, Air conditioning, Built in wardrobes, Close to schools, Close to shops, Close to transport, Dishwasher, Garden, Outdoor Entertaining, Remote Garage, Secure Parking, Unfurnished, Ensuite, Pets Allowed",https://www.domain.com.au/1-lindsay-place-bacchus-marsh-vic-3340-17747506
17751533,BACCHUS MARSH,3340,410,1782,"Monday, 13 October 2025",2025-09-08,1,3,2,1,House,39 Shea Street,-37.669334,144.43034,2025-09-09 16:14:12,17751533,,8,0,0,False,House,House,Rayner First National Real Estate Bacchus Marsh,8645,"Melissa Johnson, Ebony Benger","Shed, Ensuite, Built in wardrobes, Ducted Heating",https://www.domain.com.au/39-shea-street-bacchus-marsh-vic-3340-17751533
