listing_id,suburb,postcode,weekly_rent,bond,available_date,date_listed,days_listed,bedrooms,bathrooms,carspaces,property_type,address,lat,lon,scraped_date,domain_page_id,property_id,photo_count,video_count,floorplans_count,virtual_tour,primary_type,secondary_type,agency,agency_id,agent_names,structured_features,url
12352715,BAIRNSDALE,3875,22.0,,"Tuesday, 30 July 2013",2018-07-16,2611,,,,House,7 Peart Street,-37.839306,147.5921,2025-09-09 16:18:54,12352715,CC-7096-WO,4,0,0,False,House,House,LJ Hooker Bairnsdale,26137,Jennifer Jessup,,https://www.domain.com.au/7-peart-street-bairnsdale-vic-3875-12352715
12352717,BAIRNSDALE,3875,,200.0,"Monday, 09 November 2015",2018-07-16,2611,,,,Apartment / Unit / Flat,21 Lawless Street,-37.841816,147.58821,2025-09-09 16:18:54,12352717,,3,0,0,False,Apartment,Apartment / Unit / Flat,LJ Hooker Bairnsdale,26137,Jennifer Jessup,,https://www.domain.com.au/21-lawless-street-bairnsdale-vic-3875-12352717
12853814,BAIRNSDALE,3875,36.0,200.0,"Tuesday, 15 January 2019",2019-01-15,2429,,,,House,,-37.836586,147.59938,2025-09-09 16:18:54,12853814,HE-8665-QA,1,0,0,False,House,House,LJ Hooker Bairnsdale,26137,Jennifer Jessup,,https://www.domain.com.au/bairnsdale-vic-3875-12853814
16490695,BAIRNSDALE,3875,27.0,150.0,"Thursday, 27 July 2023",2025-04-07,155,,,,House,18 Bairnsdale Dargo Road,-37.84279,147.58682,2025-09-09 16:18:54,16490695,JN-1861-OO,1,0,0,False,House,House,LJ Hooker Bairnsdale,26137,Jennifer Jessup,,https://www.domain.com.au/18-bairnsdale-dargo-road-bairnsdale-vic-3875-16490695
16742504,BAIRNSDALE,3875,,,"Monday, 13 November 2023",2023-11-13,666,,,,House,14 Railway Court,-37.83716,147.60832,2025-09-09 16:18:54,16742504,BI-9968-WB,3,0,0,False,House,House,LJ Hooker Bairnsdale,26137,Jennifer Jessup,,https://www.domain.com.au/14-railway-court-bairnsdale-vic-3875-16742504
17587756,BAIRNSDALE,3875,320.0,1280.0,"Wednesday, 21 May 2025",2025-05-23,109,1.0,1.0,,Apartment / Unit / Flat,2/58 Riverine Street,-37.822556,147.62791,2025-09-09 16:18:54,17587756,ZM-7572-IJ,7,0,0,False,Apartment,Apartment / Unit / Flat,OBrien Real Estate Bairnsdale,15133,Maggie Cullen,"Built in wardrobes, Bath",https://www.domain.com.au/2-58-riverine-street-bairnsdale-vic-3875-17587756
17587757,BAIRNSDALE,3875,320.0,1280.0,"Wednesday, 21 May 2025",2025-05-23,109,1.0,1.0,,Apartment / Unit / Flat,1/58 Riverine Street,-37.822556,147.62791,2025-09-09 16:18:54,17587757,XU-9815-LG,7,0,0,False,Apartment,Apartment / Unit / Flat,OBrien Real Estate Bairnsdale,15133,Maggie Cullen,"Built in wardrobes, Bath",https://www.domain.com.au/1-58-riverine-street-bairnsdale-vic-3875-17587757
17703382,BAIRNSDALE,3875,450.0,1955.0,"Wednesday, 06 August 2025",2025-08-06,34,3.0,1.0,2.0,House,13 Bull Street,-37.824444,147.6132,2025-09-09 16:18:54,17703382,,10,0,0,True,House,House,King & Heath First National Bairnsdale,26483,Shana Davies,"Heating, Shed, Fully fenced, Built in wardrobes",https://www.domain.com.au/13-bull-street-bairnsdale-vic-3875-17703382
17712340,BAIRNSDALE,3875,440.0,1906.0,"Wednesday, 10 September 2025",2025-08-12,27,3.0,1.0,1.0,House,7 Glenda Court,-37.82348,147.6118,2025-09-09 16:18:54,17712340,,7,0,0,False,House,House,LJ Hooker Bairnsdale,26137,Julie Hutchinson,"Built in wardrobes, Gas, Dishwasher, Outdoor Entertaining, Shed, Solar hot water",https://www.domain.com.au/7-glenda-court-bairnsdale-vic-3875-17712340
17714402,BAIRNSDALE,3875,440.0,1906.0,"Friday, 29 August 2025",2025-08-13,26,3.0,1.0,2.0,House,17 Anderson Street,-37.82807,147.61395,2025-09-09 16:18:54,17714402,,8,0,0,False,House,House,LJ Hooker Bairnsdale,26137,Julie Hutchinson,"Secure Parking, Study, Split System AC, Outdoor Entertaining",https://www.domain.com.au/17-anderson-street-bairnsdale-vic-3875-17714402
