listing_id,suburb,postcode,weekly_rent,bond,available_date,date_listed,days_listed,bedrooms,bathrooms,carspaces,property_type,address,lat,lon,scraped_date,domain_page_id,property_id,photo_count,video_count,floorplans_count,virtual_tour,primary_type,secondary_type,agency,agency_id,agent_names,structured_features,url
12969386,BALACLAVA,3183,749,4500.0,"Monday, 03 March 2025",2025-02-17,204,2,1,,Apartment / Unit / Flat,110/48 Blenheim Street,-37.868557,144.99457,2025-09-09 16:22:58,12969386,SS-6901-HD,16,0,0,False,Apartment,Apartment / Unit / Flat,Seascape RE,22931,The Manager,"Air conditioning, Broadband internet access, Built in wardrobes, Garden / Courtyard, Dishwasher, Floorboards, Fully fenced, Gas Hot Water Service, Intercom, Remote Garage, Secure Parking, Heating, Study, Furnished",https://www.domain.com.au/110-48-blenheim-street-balaclava-vic-3183-12969386
16536955,BALACLAVA,3183,650,2600.0,"Thursday, 01 May 2025",2024-09-14,360,4,2,,Apartment / Unit / Flat,4/25 Camden Street,-37.867188,144.99156,2025-09-09 16:22:58,16536955,CG-9533-MC,12,0,2,False,Apartment,Apartment / Unit / Flat,For Sale By Owner,20095,For Rent,"Air conditioning, Pets Allowed, Furnished, Heating",https://www.domain.com.au/4-25-camden-street-balaclava-vic-3183-16536955
16646201,BALACLAVA,3183,575,2499.0,"Saturday, 26 July 2025",2025-07-21,50,1,1,1.0,Apartment / Unit / Flat,7/19 Gourlay Street,-37.872513,144.99594,2025-09-09 16:22:58,16646201,MQ-7361-YV,8,0,0,False,Apartment,Apartment / Unit / Flat,Ray White Carnegie,5958,Lachie Whitehead,"Internal Laundry, Intercom, Heating, Dishwasher, Balcony / Deck",https://www.domain.com.au/7-19-gourlay-street-balaclava-vic-3183-16646201
17208610,BALACLAVA,3183,1400,5816.0,"Wednesday, 02 July 2025",2024-09-14,360,7,2,2.0,House,5 Alfred St,-37.86754,144.99272,2025-09-09 16:22:58,17208610,XU-8908-RA,19,0,2,False,House,House,For Sale By Owner,20095,For Rent,"Internal Laundry, Pets Allowed, Heating",https://www.domain.com.au/5-alfred-st-balaclava-vic-3183-17208610
17217324,BALACLAVA,3183,850,,"Sunday, 22 September 2024",2024-11-12,300,3,1,1.0,Apartment / Unit / Flat,1/14 Carlisle Avenue,-37.870476,144.99615,2025-09-09 16:22:58,17217324,MO-6866-LV,7,0,0,True,Apartment,Apartment / Unit / Flat,buymyplace,17238,buymyplace .,"Gas, Furnished, Built in wardrobes, Living area, Toilet, Air conditioning, Heating, Car spaces: 1",https://www.domain.com.au/1-14-carlisle-avenue-balaclava-vic-3183-17217324
17253978,BALACLAVA,3183,750,3000.0,"Saturday, 19 April 2025",2025-02-25,196,4,2,,House,15A Alfred Street,-37.867516,144.99226,2025-09-09 16:22:58,17253978,ZY-5763-ZQ,12,0,1,False,House,House,For Sale By Owner,20095,For Rent,"Air conditioning, Pets Allowed, Furnished, Heating",https://www.domain.com.au/15a-alfred-street-balaclava-vic-3183-17253978
17300461,BALACLAVA,3183,885,,"Monday, 11 November 2024",2024-11-13,300,3,1,,House,23 Elm Grove,-37.875233,144.99689,2025-09-09 16:22:58,17300461,GZ-1533-RX,10,0,0,True,House,House,buymyplace,17238,buymyplace .,"Internal Laundry, Furnished, Outdoor area, Open spaces, Living area, Toilet, Air conditioning, Heating",https://www.domain.com.au/23-elm-grove-balaclava-vic-3183-17300461
17407943,BALACLAVA,3183,1200,5160.0,"Monday, 14 July 2025",2025-01-24,228,6,2,2.0,House,28 Linton Street,-37.867294,144.99246,2025-09-09 16:22:58,17407943,MR-0701-QJ,18,0,0,False,House,House,For Sale By Owner,20095,For Rent,"Air conditioning, Internal Laundry, Pets Allowed, Furnished, Heating",https://www.domain.com.au/28-linton-street-balaclava-vic-3183-17407943
17473586,BALACLAVA,3183,885,4324.0,"Wednesday, 26 March 2025",2025-03-07,186,2,1,1.0,Apartment / Unit / Flat,UNIT 6/10-12 Blenheim Street,-37.866535,144.99487,2025-09-09 16:22:58,17473586,ZF-7323-AW,9,0,1,False,Apartment,Apartment / Unit / Flat,Property Now,10282,Property Now,"Bath, Intercom, Outdoor Entertainment Area, Split System Air Conditioning, Shed, Courtyard, Air conditioning, Balcony, Dishwasher, Built in wardrobes, Secure Parking, Floorboards, Furnished",https://www.domain.com.au/unit-6-10-12-blenheim-street-balaclava-vic-3183-17473586
17681868,BALACLAVA,3183,380,1651.0,"Friday, 25 July 2025",2025-07-23,48,1,1,1.0,Apartment / Unit / Flat,6/100 Grosvenor St,-37.873375,144.99785,2025-09-09 16:22:58,17681868,,14,1,0,False,Apartment,Apartment / Unit / Flat, Gary Peer,273,Leasing Concierge,Built in wardrobes,https://www.domain.com.au/6-100-grosvenor-st-balaclava-vic-3183-17681868
17703816,BALACLAVA,3183,650,2933.0,"Friday, 19 September 2025",2025-08-06,34,2,2,1.0,Apartment / Unit / Flat,4/38-40A Brighton Road,-37.87335,144.99095,2025-09-09 16:22:58,17703816,,8,0,1,False,Apartment,Apartment / Unit / Flat,Belle Property St Kilda,3722,"Arnav Mehta, Amy Westerman","Air conditioning, Heating, Built in wardrobes, Close to transport, Close to shops, Intercom, Close to schools, Ensuite, Security Access, Furnished, Study, Courtyard, Secure Parking, Dishwasher",https://www.domain.com.au/4-38-40a-brighton-road-balaclava-vic-3183-17703816
