listing_id,suburb,postcode,weekly_rent,bond,available_date,date_listed,days_listed,bedrooms,bathrooms,carspaces,property_type,address,lat,lon,scraped_date,domain_page_id,property_id,photo_count,video_count,floorplans_count,virtual_tour,primary_type,secondary_type,agency,agency_id,agent_names,structured_features,url
15220490,BALLARAT NORTH,3350,350,1516,"Friday, 05 September 2025",2025-07-29,42,2,1,1.0,Apartment / Unit / Flat,4/8 Aquila Court,-37.544067,143.8678,2025-09-09 16:30:46,15220490,TV-9201-JI,10,1,0,False,Apartment,Apartment / Unit / Flat,Ray White Ballarat,11641,"Bernie Dickson, Letisha McCarthy","Heating, Built in wardrobes",https://www.domain.com.au/4-8-aquila-court-ballarat-north-vic-3350-15220490
15988138,BALLARAT NORTH,3350,330,1430,"Friday, 05 September 2025",2025-09-08,1,2,1,1.0,Apartment / Unit / Flat,1/14 Aquila Court,-37.54366,143.86874,2025-09-09 16:30:46,15988138,UD-6282-NE,12,0,0,True,Apartment,Apartment / Unit / Flat,PRDnationwide Ballarat,5808,"Stacey Hayes, Shari Plater","Gas, Built in wardrobes, Internal Laundry, Pets Allowed, Heating",https://www.domain.com.au/1-14-aquila-court-ballarat-north-vic-3350-15988138
16338845,BALLARAT NORTH,3350,450,1950,"Friday, 31 October 2025",2025-09-09,0,3,2,3.0,House,1015b Lydiard Street North,-37.540207,143.86151,2025-09-09 16:30:46,16338845,GM-9538-PI,15,0,0,True,House,House,PRDnationwide Ballarat,5808,"Jenna Tomada, Shari Plater","Ensuite, Built in wardrobes, Internal Laundry, Bath, Heating, Dishwasher, Study, Secure Parking, Fully fenced, Balcony / Deck",https://www.domain.com.au/1015b-lydiard-street-north-ballarat-north-vic-3350-16338845
16734563,BALLARAT NORTH,3350,380,1651,"Friday, 22 August 2025",2025-07-28,43,3,1,1.0,House,331 Landsborough Street,-37.54063,143.86783,2025-09-09 16:30:46,16734563,HC-9602-GX,5,0,0,False,House,House,Ray White Ballarat,11641,"Bernie Dickson, Tianna Vella",Built in wardrobes,https://www.domain.com.au/331-landsborough-street-ballarat-north-vic-3350-16734563
17718679,BALLARAT NORTH,3350,570,2477,"Friday, 15 August 2025",2025-08-17,23,3,2,2.0,House,1/1002 Armstrong Street North,-37.541176,143.86063,2025-09-09 16:30:46,17718679,,10,0,0,False,House,House,McGrath Ballarat,32266,"Leonie Croft, Amy Loader",,https://www.domain.com.au/1-1002-armstrong-street-north-ballarat-north-vic-3350-17718679
17736305,BALLARAT NORTH,3350,450,1950,"Monday, 29 September 2025",2025-08-28,12,3,1,1.0,House,1106 Doveton St North,-37.538807,143.85999,2025-09-09 16:30:46,17736305,,11,0,0,False,House,House,Buxton (Ballarat) Pty Ltd,26896,Buxton Ballarat Leasing,"Gas, Heating, Dishwasher, Balcony / Deck",https://www.domain.com.au/1106-doveton-st-north-ballarat-north-vic-3350-17736305
17736546,BALLARAT NORTH,3350,500,2173,"Thursday, 28 August 2025",2025-08-28,12,4,2,3.0,House,16 Hurley Street,-37.54073,143.866,2025-09-09 16:30:46,17736546,,20,0,0,True,House,House,Goldfish Real Estate,32614,"Sonia MEHTA, Rohit Rishi, Ballarat Leasing Team","Shed, Heating, Built in wardrobes, Close to transport, Close to shops, Close to schools, Ensuite, Car Parking - Surface, Exhaust, Kitchenette, Toilet Facilities",https://www.domain.com.au/16-hurley-street-ballarat-north-vic-3350-17736546
17738680,BALLARAT NORTH,3350,600,2600,"Friday, 29 August 2025",2025-08-29,11,4,3,4.0,House,1 Norman Street,-37.539345,143.88034,2025-09-09 16:30:46,17738680,,19,0,0,False,House,House,Jellis Craig Ballarat,6936,"Bella Dart, Kaeli O'Brien","Dishwasher, Ducted Cooling, Ducted Heating, Shed",https://www.domain.com.au/1-norman-street-ballarat-north-vic-3350-17738680
17747107,BALLARAT NORTH,3350,480,2080,"Monday, 22 September 2025",2025-09-04,5,4,2,2.0,House,22 Midlands Dr,-37.537853,143.85664,2025-09-09 16:30:46,17747107,,12,0,0,False,House,House,Ballarat Property Agents,37366,Nadine Bunworth,"Ensuite, Air conditioning, Secure Parking, Fully fenced, Built in wardrobes, Gas Heating, Out door entertaining area, Internal Laundry",https://www.domain.com.au/22-midlands-dr-ballarat-north-vic-3350-17747107
17748813,BALLARAT NORTH,3350,350,1517,"Thursday, 11 September 2025",2025-09-05,4,3,1,,House,311 Walker Street,-37.542923,143.86914,2025-09-09 16:30:46,17748813,,11,0,0,False,House,House,Buxton (Ballarat) Pty Ltd,26896,Buxton Ballarat Leasing,"Built in wardrobes, Bath, Heating",https://www.domain.com.au/311-walker-street-ballarat-north-vic-3350-17748813
