listing_id,suburb,postcode,weekly_rent,bond,available_date,date_listed,days_listed,bedrooms,bathrooms,carspaces,property_type,address,lat,lon,scraped_date,domain_page_id,property_id,photo_count,video_count,floorplans_count,virtual_tour,primary_type,secondary_type,agency,agency_id,agent_names,structured_features,url
12691898,BALWYN,3103,850.0,3693,"Sunday, 27 July 2025",2025-02-05,216,2,1,2,Apartment / Unit / Flat,,-37.812893,145.08133,2025-09-09 16:40:22,12691898,VK-6561-IL,8,0,1,False,Apartment,Apartment / Unit / Flat,Cubbi,24478,Cubbi (15887),"Secure Parking, Furnished, Intercom, Air conditioning, Balcony, Deck, Outdoor entertainment area, Fully fenced, Study, Split system heating, Split system air conditioning, Broadband, Built in wardrobes, Dishwasher, Internal Laundry, Pets Allowed",https://www.domain.com.au/balwyn-vic-3103-12691898
16585827,BALWYN,3103,790.0,3433,"Wednesday, 17 September 2025",2025-08-29,11,3,2,2,House,14 Porter Road,-37.80721,145.09387,2025-09-09 16:40:22,16585827,DC-0150-CY,12,0,0,False,House,House,Ray White Balwyn,28157,Baron Zhao,Heating,https://www.domain.com.au/14-porter-road-balwyn-vic-3103-16585827
17619749,BALWYN,3103,795.0,3454,"Wednesday, 16 July 2025",2025-06-13,88,3,2,2,Apartment / Unit / Flat,3/111 Strabane Avenue,-37.80722,145.10202,2025-09-09 16:40:22,17619749,,7,0,1,False,Apartment,Apartment / Unit / Flat, Jellis Craig & Company Pty Ltd,6525,Maria Pantazis,"Air conditioning, Garden / Courtyard, Dishwasher, Floorboards",https://www.domain.com.au/3-111-strabane-avenue-balwyn-vic-3103-17619749
17635402,BALWYN,3103,550.0,2390,"Tuesday, 29 July 2025",2025-06-24,77,2,1,1,Apartment / Unit / Flat,3/4 Raynes Street,-37.80599,145.08781,2025-09-09 16:40:22,17635402,,7,0,1,False,Apartment,Apartment / Unit / Flat, Jellis Craig & Company Pty Ltd,6525,Leo Zuo,"Garden / Courtyard, Built in wardrobes",https://www.domain.com.au/3-4-raynes-street-balwyn-vic-3103-17635402
17698942,BALWYN,3103,460.0,1999,"Monday, 04 August 2025",2025-08-04,36,2,1,1,Apartment / Unit / Flat,5/100 Balwyn Rd,-37.81171,145.08179,2025-09-09 16:40:22,17698942,,5,0,0,False,Apartment,Apartment / Unit / Flat,Bekdon Richards,18501,"Tess Macdonald, Vanessa Dell'Arciprete",,https://www.domain.com.au/5-100-balwyn-rd-balwyn-vic-3103-17698942
17702312,BALWYN,3103,980.0,4258,"Wednesday, 03 September 2025",2025-08-05,34,3,2,3,House,7 Highland Avenue,-37.804977,145.08128,2025-09-09 16:40:22,17702312,,11,0,1,False,House,House,Ridgemiles Real Estate,36166,Fion Lau,"Gas, Secure Parking, Heating, Dishwasher",https://www.domain.com.au/7-highland-avenue-balwyn-vic-3103-17702312
17709115,BALWYN,3103,950.0,6192,"Monday, 18 August 2025",2025-08-11,29,3,2,2,House,62 Yerrin Street,-37.80808,145.0853,2025-09-09 16:40:22,17709115,,11,0,1,False,House,House, Jellis Craig & Company Pty Ltd,6525,Leo Zuo,"Garden / Courtyard, Dishwasher",https://www.domain.com.au/62-yerrin-street-balwyn-vic-3103-17709115
17711949,BALWYN,3103,630.0,2738,"Friday, 05 September 2025",2025-08-12,28,2,1,1,Apartment / Unit / Flat,7/130 Balwyn Road,-37.808544,145.08324,2025-09-09 16:40:22,17711949,,6,0,0,False,Apartment,Apartment / Unit / Flat,JA CAIN,3524,Louise Lasscock,"Built in wardrobes, Internal Laundry, Secure Parking, Bath, Heating, Dishwasher",https://www.domain.com.au/7-130-balwyn-road-balwyn-vic-3103-17711949
17713980,BALWYN,3103,900.0,3911,"Friday, 26 September 2025",2025-08-13,27,4,2,2,House,26 Yongala Street,-37.806114,145.07982,2025-09-09 16:40:22,17713980,,8,0,1,False,House,House,Fletchers Canterbury,3923,Alexandra Graziano,,https://www.domain.com.au/26-yongala-street-balwyn-vic-3103-17713980
17717555,BALWYN,3103,795.0,3454,"Friday, 22 August 2025",2025-08-15,25,3,1,2,Townhouse,6/16 Brenbeal Street,-37.8115,145.08801,2025-09-09 16:40:22,17717555,,12,0,0,False,Townhouse/Villa,Townhouse,Marshall White Balwyn,31019,"Angel Yuan, Sue Scott","Air conditioning, Built in wardrobes",https://www.domain.com.au/6-16-brenbeal-street-balwyn-vic-3103-17717555
17717915,BALWYN,3103,560.0,2433,"Monday, 20 October 2025",2025-08-15,25,2,1,1,Apartment / Unit / Flat,6/1 Conway Cres,-37.81475,145.08635,2025-09-09 16:40:22,17717915,,9,0,0,False,Apartment,Apartment / Unit / Flat,Fletchers Canterbury,3923,"Justine Sawford, Fletchers Property Management",,https://www.domain.com.au/6-1-conway-cres-balwyn-vic-3103-17717915
17722209,BALWYN,3103,950.0,5700,"Monday, 01 September 2025",2025-08-19,21,4,2,2,House,53 Gordon Street,-37.807453,145.06827,2025-09-09 16:40:22,17722209,,6,0,0,False,House,House,Kay & Burton Boroondara,18650,Dylan Archer,,https://www.domain.com.au/53-gordon-street-balwyn-vic-3103-17722209
17723035,BALWYN,3103,600.0,2600,"Sunday, 17 August 2025",2025-08-20,20,2,1,1,Apartment / Unit / Flat,101/198 Whitehorse Rd,-37.81255,145.07692,2025-09-09 16:40:22,17723035,,6,0,0,False,Apartment,Apartment / Unit / Flat,RentBetter,27499,,"Gas, Dishwasher, Alarm System, Balcony / Deck, Built in wardrobes, Heating, Intercom, Pets Allowed, Secure Parking",https://www.domain.com.au/101-198-whitehorse-rd-balwyn-vic-3103-17723035
17731145,BALWYN,3103,1200.0,7821,"Monday, 01 September 2025",2025-08-26,14,5,2,2,House,23 Hilda Street,-37.804768,145.0761,2025-09-09 16:40:22,17731145,,19,0,1,False,House,House, Jellis Craig & Company Pty Ltd,6525,Leo Zuo,"Secure Parking, Garden / Courtyard, Outdoor Entertainment Area",https://www.domain.com.au/23-hilda-street-balwyn-vic-3103-17731145
17731585,BALWYN,3103,870.0,3780,"Tuesday, 26 August 2025",2025-08-26,14,3,2,1,Apartment / Unit / Flat,3/20 Parring Road,-37.812107,145.09181,2025-09-09 16:40:22,17731585,,7,0,0,False,Apartment,Apartment / Unit / Flat,Fletchers Canterbury,3923,"Stephanie Wang, Fletchers Property Management",,https://www.domain.com.au/3-20-parring-road-balwyn-vic-3103-17731585
17734977,BALWYN,3103,550.0,2390,"Monday, 15 September 2025",2025-08-27,13,4,1,2,House,84 Yerrin Street,-37.80499,145.0856,2025-09-09 16:40:22,17734977,,7,0,1,False,House,House,Professionals First & Co,29341,"Jing Chong, Kay Wang",,https://www.domain.com.au/84-yerrin-street-balwyn-vic-3103-17734977
17737025,BALWYN,3103,1200.0,5214,"Wednesday, 10 September 2025",2025-08-28,12,4,3,2,House,10 Tivey Parade,-37.80498,145.07521,2025-09-09 16:40:22,17737025,,9,0,0,False,House,House,Nelson Alexander Kew,3909,Madeleine Shiels,"Gas, Internal Laundry, Secure Parking, Bath, Dishwasher, Study",https://www.domain.com.au/10-tivey-parade-balwyn-vic-3103-17737025
17741010,BALWYN,3103,900.0,3911,"Monday, 01 September 2025",2025-09-01,8,4,2,1,House,1020 Burke Road,-37.802574,145.06253,2025-09-09 16:40:22,17741010,,10,0,0,False,House,House,Marshall White Balwyn,31019,"Angel Yuan, Sue Scott","Internal Laundry, Bath, Heating, Dishwasher, Study, Shed, Balcony / Deck",https://www.domain.com.au/1020-burke-road-balwyn-vic-3103-17741010
17742365,BALWYN,3103,500.0,2173,"Friday, 19 September 2025",2025-09-02,7,2,1,1,Apartment / Unit / Flat,4/100 Balwyn Road,-37.811726,145.08179,2025-09-09 16:40:22,17742365,,1,0,0,False,Apartment,Apartment / Unit / Flat,Ham Kerr Property Pty Ltd,18105,Tanya Olver,,https://www.domain.com.au/4-100-balwyn-road-balwyn-vic-3103-17742365
17752994,BALWYN,3103,550.0,2390,"Tuesday, 16 September 2025",2025-09-09,0,2,1,1,Townhouse,5/19 Kireep Road,-37.81166,145.08885,2025-09-09 16:40:22,17752994,,12,0,1,False,Townhouse/Villa,Townhouse, Jellis Craig & Company Pty Ltd,6525,Lachie Hollamby,"Balcony / Deck, Built in wardrobes, Dishwasher",https://www.domain.com.au/5-19-kireep-road-balwyn-vic-3103-17752994
16171759,BALWYN,3103,,1720,"Tuesday, 08 November 2022",2022-11-07,1036,2,1,1,Apartment / Unit / Flat,,-37.812893,145.08133,2025-09-09 16:40:27,16171759,FK-7370-UP,5,0,0,False,Apartment,Apartment / Unit / Flat,Eastern Central Real Estate,20164,George Mash,"Balcony / Deck, Air conditioning, Floorboards, Built in wardrobes, Dishwasher",https://www.domain.com.au/balwyn-vic-3103-16171759
17513564,BALWYN,3103,1650.0,7170,"Thursday, 03 April 2025",2025-04-03,159,3,2,2,House,1/7 Iramoo Street,-37.81216,145.0854,2025-09-09 16:40:27,17513564,DY-6545-RQ,12,0,0,False,House,House,Areal Property - Hawthorn,12104,Renata Xiang,,https://www.domain.com.au/1-7-iramoo-street-balwyn-vic-3103-17513564
17624788,BALWYN,3103,575.0,2499,"Friday, 20 June 2025",2025-06-17,84,2,1,1,House,145 Balwyn Road,-37.807728,145.08209,2025-09-09 16:40:27,17624788,,7,0,0,False,House,House,Woodards Elsternwick,11778,"Elsternwick Leasing, John Adgemis","Internal Laundry, Secure Parking, Split System Air Con, Split System Heating, Built in wardrobes, Balcony / Deck, Floorboards",https://www.domain.com.au/145-balwyn-road-balwyn-vic-3103-17624788
