listing_id,suburb,postcode,weekly_rent,bond,available_date,date_listed,days_listed,bedrooms,bathrooms,carspaces,property_type,address,lat,lon,scraped_date,domain_page_id,property_id,photo_count,video_count,floorplans_count,virtual_tour,primary_type,secondary_type,agency,agency_id,agent_names,structured_features,url
14703569,BALWYN NORTH,3104,700,,"Saturday, 11 October 2025",2025-09-02,7,2,2,1,Apartment / Unit / Flat,101/13 Belmore Rd,-37.800915,145.06503,2025-09-09 16:43:29,14703569,EL-9416-RO,8,1,0,True,Apartment,Apartment / Unit / Flat,Colin Knight Real Estate,383,Justyn Knight,"Heating, Floorboards, Air conditioning, Dishwasher, Secure Parking, Balcony / Deck",https://www.domain.com.au/101-13-belmore-rd-balwyn-north-vic-3104-14703569
16003151,BALWYN NORTH,3104,520,2260.0,"Saturday, 04 October 2025",2025-09-01,8,2,1,1,Apartment / Unit / Flat,5/9 Maylands Avenue,-37.79742,145.06506,2025-09-09 16:43:29,16003151,VE-0690-YG,6,0,0,False,Apartment,Apartment / Unit / Flat,Ray White Blackburn,4665,Narelle Poloso,"Built in wardrobes, Heating",https://www.domain.com.au/5-9-maylands-avenue-balwyn-north-vic-3104-16003151
17673758,BALWYN NORTH,3104,465,2021.0,"Tuesday, 22 July 2025",2025-07-17,54,2,1,1,Apartment / Unit / Flat,1/32 Albury Road,-37.799618,145.08266,2025-09-09 16:43:29,17673758,,9,0,0,False,Apartment,Apartment / Unit / Flat,Biggin & Scott Burwood,29878,Jason Cai,,https://www.domain.com.au/1-32-albury-road-balwyn-north-vic-3104-17673758
17700286,BALWYN NORTH,3104,950,4128.0,"Friday, 15 August 2025",2025-08-05,35,5,2,2,House,436 Balwyn Road,-37.784466,145.08714,2025-09-09 16:43:29,17700286,,8,0,0,False,House,House,Fletchers Canterbury,3923,"Edward Guo, Fletchers Property Management",,https://www.domain.com.au/436-balwyn-road-balwyn-north-vic-3104-17700286
17703650,BALWYN NORTH,3104,650,2824.0,"Friday, 29 August 2025",2025-08-06,34,2,2,1,Apartment / Unit / Flat,201/1082 Burke Road,-37.79864,145.06322,2025-09-09 16:43:29,17703650,,8,0,0,False,Apartment,Apartment / Unit / Flat,Harcourts Balwyn,33628,Nick Ni,Built in wardrobes,https://www.domain.com.au/201-1082-burke-road-balwyn-north-vic-3104-17703650
17713077,BALWYN NORTH,3104,950,4128.0,"Tuesday, 12 August 2025",2025-08-13,27,3,2,3,Townhouse,5/1114 Burke Road,-37.79546,145.06377,2025-09-09 16:43:29,17713077,,12,0,0,False,Townhouse/Villa,Townhouse,Love & Co Reservoir,7121,Rebecca Imbrosciano,"Built in wardrobes, Internal Laundry, Secure Parking, Heating",https://www.domain.com.au/5-1114-burke-road-balwyn-north-vic-3104-17713077
17713665,BALWYN NORTH,3104,1050,4562.0,"Thursday, 11 September 2025",2025-08-13,27,4,3,1,Townhouse,1B Oravel Street,-37.78585,145.09505,2025-09-09 16:43:29,17713665,,10,0,0,False,Townhouse/Villa,Townhouse,Jellis Craig Ivanhoe,30455,Brodie Aston,"Secure Parking, Bath, Fireplace(s), Heating, Dishwasher, Shed, Balcony / Deck",https://www.domain.com.au/1b-oravel-street-balwyn-north-vic-3104-17713665
17728241,BALWYN NORTH,3104,1020,4563.0,"Friday, 12 September 2025",2025-08-22,18,5,2,2,House,64 Greythorn Road,-37.796024,145.09827,2025-09-09 16:43:29,17728241,,20,0,1,False,House,House,Ausky Group,20742,"Ausky Real Estate, Rachel Teng","Remote Garage, Secure Parking, Balcony / Deck, Outdoor Entertainment Area, Shed, Study, Evaporative Cooling, Built in wardrobes, Dishwasher, Ducted Heating",https://www.domain.com.au/64-greythorn-road-balwyn-north-vic-3104-17728241
17730951,BALWYN NORTH,3104,1225,7984.0,"Sunday, 07 September 2025",2025-08-25,14,3,2,2,Townhouse,4/1110 Burke Road,-37.795815,145.06398,2025-09-09 16:43:29,17730951,,7,0,0,False,Townhouse/Villa,Townhouse, Jellis Craig & Company Pty Ltd,6525,Leo Zuo,,https://www.domain.com.au/4-1110-burke-road-balwyn-north-vic-3104-17730951
17733947,BALWYN NORTH,3104,775,3368.0,"Monday, 29 September 2025",2025-08-27,13,3,2,2,House,28 Helston Street,-37.785614,145.09436,2025-09-09 16:43:29,17733947,,6,0,2,False,House,House, Jellis Craig & Company Pty Ltd,6525,Lachie Hollamby,,https://www.domain.com.au/28-helston-street-balwyn-north-vic-3104-17733947
