listing_id,suburb,postcode,weekly_rent,bond,available_date,date_listed,days_listed,bedrooms,bathrooms,carspaces,property_type,address,lat,lon,scraped_date,domain_page_id,property_id,photo_count,video_count,floorplans_count,virtual_tour,primary_type,secondary_type,agency,agency_id,agent_names,structured_features,url
13637000,BAYSWATER,3153,675,2933,"Thursday, 25 September 2025",2025-08-29,11,3,2,2.0,Townhouse,2/20 Lance Road,-37.85155,145.26428,2025-09-09 16:35:04,13637000,LI-0400-AV,8,1,0,False,Townhouse/Villa,Townhouse,Barry Plant (Waverley),18349,Suzanna Boyes 수잔나,"Gas, Internal Laundry, Bath, Dishwasher, Study",https://www.domain.com.au/2-20-lance-road-bayswater-vic-3153-13637000
15934477,BAYSWATER,3153,550,2383,"Friday, 29 August 2025",2025-07-28,43,3,1,1.0,Apartment / Unit / Flat,1/36 Birch Street,-37.845882,145.2587,2025-09-09 16:35:04,15934477,SN-6300-IC,6,0,0,False,Apartment,Apartment / Unit / Flat,Ray White Ferntree Gully,7876,Ray White Rental Centre,"Built in wardrobes, Heating, Dishwasher, Study, Shed",https://www.domain.com.au/1-36-birch-street-bayswater-vic-3153-15934477
17122519,BAYSWATER,3153,800,3476,"Friday, 13 September 2024",2025-08-14,25,4,3,2.0,Townhouse,1/9 Lance Rd,-37.852142,145.26605,2025-09-09 16:35:04,17122519,,10,0,0,False,Townhouse/Villa,Townhouse,HARCOURTS SETTLE,38050,Steven Guan,"Air conditioning, Gas, Internal Laundry, Secure Parking, Dishwasher, Balcony / Deck",https://www.domain.com.au/1-9-lance-rd-bayswater-vic-3153-17122519
17715875,BAYSWATER,3153,675,2925,"Friday, 29 August 2025",2025-08-14,26,3,1,2.0,House,18 Leonard Street,-37.849487,145.24829,2025-09-09 16:35:04,17715875,,12,0,1,False,House,House,Ray White Ferntree Gully,7876,Ray White Rental Centre,"Heating, Swimming Pool",https://www.domain.com.au/18-leonard-street-bayswater-vic-3153-17715875
17726869,BAYSWATER,3153,575,2499,"Saturday, 06 September 2025",2025-08-21,18,3,1,,House,9 Streeton Road,-37.83671,145.2858,2025-09-09 16:35:04,17726869,,8,0,1,False,House,House,Surreal Property Group,20747,"Coady Mitrevski, Linda Mitrevski","Shed, Air conditioning, Built in wardrobes",https://www.domain.com.au/9-streeton-road-bayswater-vic-3153-17726869
17731636,BAYSWATER,3153,660,2868,"Monday, 22 September 2025",2025-08-26,14,3,2,2.0,House,4 Tracey Street,-37.853157,145.25919,2025-09-09 16:35:04,17731636,,13,0,0,False,House,House,OBrien Real Estate Wantirna,30597,"Juanita Kozbiel, Nicole Gardner","Gas, Heating, Dishwasher, Balcony / Deck, Air conditioning, Built in wardrobes, Close to transport, Close to shops, Close to schools",https://www.domain.com.au/4-tracey-street-bayswater-vic-3153-17731636
17732583,BAYSWATER,3153,750,3250,"Sunday, 28 September 2025",2025-08-26,14,3,2,2.0,House,3/39 Orange grove,-37.84796,145.26378,2025-09-09 16:35:04,17732583,,6,0,0,False,House,House,Ray White Ferntree Gully,7876,Ray White Rental Centre,"Air conditioning, Gas, Internal Laundry, Dishwasher",https://www.domain.com.au/3-39-orange-grove-bayswater-vic-3153-17732583
17733292,BAYSWATER,3153,430,1868,"Saturday, 20 September 2025",2025-08-27,13,2,1,1.0,Apartment / Unit / Flat,1/28 Orange Grove,-37.847553,145.26344,2025-09-09 16:35:04,17733292,,1,0,0,False,Apartment,Apartment / Unit / Flat,ProSell Real Estate,32486,Indika Sathkumara,"Built in wardrobes, Floorboards, Air-Conditioner, Split System Heating",https://www.domain.com.au/1-28-orange-grove-bayswater-vic-3153-17733292
17738472,BAYSWATER,3153,570,2477,"Wednesday, 03 September 2025",2025-08-29,11,3,1,2.0,House,15 Enfield Drive,-37.853867,145.26172,2025-09-09 16:35:04,17738472,,11,0,1,False,House,House,NOEL JONES WHITEHORSE,17383,"Ritchie Sean, Tanya Kumar","Air conditioning, Garden / Courtyard, Shed, Fully fenced, Built in wardrobes, Floorboards, Gas Heating",https://www.domain.com.au/15-enfield-drive-bayswater-vic-3153-17738472
17738693,BAYSWATER,3153,550,2390,"Monday, 01 September 2025",2025-08-29,11,2,2,1.0,Townhouse,2/13 Leonard Street,-37.8489,145.2478,2025-09-09 16:35:04,17738693,,5,0,0,False,Townhouse/Villa,Townhouse,Barry Plant Croydon,12205,Lisa Quigley,"Internal Laundry, Secure Parking, Heating, Air conditioning, Built in wardrobes, Close to transport, Close to shops, Ensuite",https://www.domain.com.au/2-13-leonard-street-bayswater-vic-3153-17738693
