listing_id,suburb,postcode,weekly_rent,bond,available_date,date_listed,days_listed,bedrooms,bathrooms,carspaces,property_type,address,lat,lon,scraped_date,domain_page_id,property_id,photo_count,video_count,floorplans_count,virtual_tour,primary_type,secondary_type,agency,agency_id,agent_names,structured_features,url
11931968,BEAUMARIS,3193,,3033,"Thursday, 01 February 2018",2018-01-19,2790,,1,,Studio,30 South Concourse,-37.986595,145.0342,2025-09-09 16:45:22,11931968,,3,0,0,False,Apartment,Studio,Bayside Beaches Real Estate Pty Ltd,8397,Lucinda Condon,,https://www.domain.com.au/30-south-concourse-beaumaris-vic-3193-11931968
15982694,BEAUMARIS,3193,1350.0,8799,"Saturday, 11 October 2025",2025-09-04,5,4.0,2,2.0,House,13 Dalgetty Road,-37.99202,145.03638,2025-09-09 16:45:22,15982694,AK-6190-BA,10,0,1,False,House,House,Haven Agents,34079,"Leanne Stahmer, Rachel Thompson","Floorboards, Built in wardrobes, Dishwasher, Bathtub, Gas Appliances, Ducted Heating, Air conditioning, Outdoor Entertainment Area, Remote Garage",https://www.domain.com.au/13-dalgetty-road-beaumaris-vic-3193-15982694
17564785,BEAUMARIS,3193,740.0,3000,"Monday, 19 May 2025",2025-05-08,123,2.0,1,2.0,Apartment / Unit / Flat,18 BEACH ROAD,-37.98762,145.04832,2025-09-09 16:45:22,17564785,,20,0,1,False,Apartment,Apartment / Unit / Flat,Property Now,10282,Property Now,"Outdoor Entertainment Area, Courtyard, Ducted Heating, Study, Dishwasher, Built in wardrobes, Floorboards, Pets Allowed",https://www.domain.com.au/18-beach-road-beaumaris-vic-3193-17564785
17702745,BEAUMARIS,3193,1500.0,9000,"Friday, 15 August 2025",2025-08-06,34,4.0,2,2.0,House,30 Scott Street,-37.98811,145.0399,2025-09-09 16:45:22,17702745,,18,0,0,False,House,House,Buxton Real Estate Sandringham,3935,"Jodie Bond, Beth Bodi","Built in wardrobes, Balcony / Deck, Dishwasher, Ducted Cooling, Ducted Heating, Floorboards, Fully fenced, Outdoor Entertainment Area, Swimming Pool, Remote Garage, Air conditioning",https://www.domain.com.au/30-scott-street-beaumaris-vic-3193-17702745
17713859,BEAUMARIS,3193,600.0,2607,"Friday, 29 August 2025",2025-08-13,27,2.0,1,1.0,Apartment / Unit / Flat,10/182 Weatherall Road,-37.97312,145.05147,2025-09-09 16:45:22,17713859,,7,0,0,False,Apartment,Apartment / Unit / Flat,Belle Property Mentone,3717,Stephanie Pickett,"Built in wardrobes, Floorboards, Courtyard, Pay TV Access",https://www.domain.com.au/10-182-weatherall-road-beaumaris-vic-3193-17713859
17715997,BEAUMARIS,3193,800.0,3466,"Friday, 15 August 2025",2025-08-14,26,3.0,1,3.0,House,30 Haydens Road,-37.984776,145.02887,2025-09-09 16:45:22,17715997,,5,0,0,False,House,House,LYNCHS REAL ESTATE,17955,"Madelyn Ades, Maddi Cox","Air conditioning, Heating, Dishwasher, Study",https://www.domain.com.au/30-haydens-road-beaumaris-vic-3193-17715997
17726499,BEAUMARIS,3193,825.0,4000,"Tuesday, 09 September 2025",2025-08-21,19,3.0,1,4.0,House,4 Towers Street,-37.97545,145.04996,2025-09-09 16:45:22,17726499,,17,0,0,False,House,House,Property Now,10282,Property Now,"Secure Parking, Rumpus Room, Gas Heating, Air conditioning, Study, Dishwasher, Built in wardrobes, Floorboards, Broadband Connection, Smoking Permitted, Pets Allowed, Energy Eff. Rating: 5",https://www.domain.com.au/4-towers-street-beaumaris-vic-3193-17726499
17729896,BEAUMARIS,3193,1900.0,11400,"Monday, 22 September 2025",2025-08-25,15,4.0,2,2.0,House,14 Cromer Road,-37.98799,145.04475,2025-09-09 16:45:22,17729896,,14,0,1,False,House,House,Marshall White Bayside,18945,"Amelia Falvo, Ashleigh Coutts",,https://www.domain.com.au/14-cromer-road-beaumaris-vic-3193-17729896
17730250,BEAUMARIS,3193,920.0,3998,"Friday, 12 September 2025",2025-08-25,15,5.0,2,4.0,House,433 Balcombe Road,-37.97861,145.03702,2025-09-09 16:45:22,17730250,,7,0,0,False,House,House,Buxton Real Estate Mentone,3937,Cindi Guo,,https://www.domain.com.au/433-balcombe-road-beaumaris-vic-3193-17730250
17737963,BEAUMARIS,3193,995.0,4324,"Friday, 05 September 2025",2025-08-29,11,3.0,2,2.0,House,180 Reserve Rd,-37.97461,145.03548,2025-09-09 16:45:22,17737963,,8,0,0,False,House,House,Barry Plant Bayside,16215,Dimmy Alevizos,"Secure Parking, Bath, Heating, Dishwasher",https://www.domain.com.au/180-reserve-rd-beaumaris-vic-3193-17737963
17738696,BEAUMARIS,3193,1200.0,7200,"Friday, 12 September 2025",2025-08-29,11,3.0,2,1.0,Townhouse,2/53 Bonanza Road,-37.98305,145.05174,2025-09-09 16:45:22,17738696,,10,0,0,False,Townhouse/Villa,Townhouse,Jellis Craig Mentone & Chelsea,23619,Tania Souki,"Built in wardrobes, Balcony / Deck, Ducted Cooling, Ducted Heating, Outdoor Entertainment Area, Remote Garage, Secure Parking, Shed",https://www.domain.com.au/2-53-bonanza-road-beaumaris-vic-3193-17738696
17739945,BEAUMARIS,3193,880.0,3824,"Wednesday, 01 October 2025",2025-09-01,8,3.0,2,2.0,House,477a Beach Road,-37.99035,145.04292,2025-09-09 16:45:22,17739945,,12,0,1,False,House,House,Performance Asset Management Melbourne,35595,Leasing Concierge,"Built in wardrobes, Dishwasher, Bathtub, Gas Appliances, Split System Heating, Split System Air Conditioning, Ensuite(s), Outdoor Entertainment Area, Courtyard, Secure Parking",https://www.domain.com.au/477a-beach-road-beaumaris-vic-3193-17739945
17751037,BEAUMARIS,3193,925.0,5550,"Friday, 03 October 2025",2025-09-08,1,3.0,2,1.0,Townhouse,2/270a Balcombe Road,-37.979267,145.05238,2025-09-09 16:45:22,17751037,,10,0,0,False,Townhouse/Villa,Townhouse,Jellis Craig Mentone & Chelsea,23619,"Damien Sienkiewicz, Tania Souki","Internal Laundry, Split System Air Con, Split System Heating, Built in wardrobes, Garden / Courtyard, Vacuum System, Dishwasher, Outdoor Entertainment Area, Secure Parking",https://www.domain.com.au/2-270a-balcombe-road-beaumaris-vic-3193-17751037
