listing_id,suburb,postcode,weekly_rent,bond,available_date,date_listed,days_listed,bedrooms,bathrooms,carspaces,property_type,address,lat,lon,scraped_date,domain_page_id,photo_count,video_count,floorplans_count,virtual_tour,primary_type,secondary_type,agency,agency_id,agent_names,structured_features,url
14147586,BELL PARK,3215,420,1825.0,"Friday, 04 August 2023",2023-07-03,799,2,1,2,Apartment / Unit / Flat,16A Libau Avenue,-38.113663,144.3405,2025-09-09 16:13:04,14147586,9,1,0,False,Apartment,Apartment / Unit / Flat,West End Real Estate,32468,Leasing Consultant,"Internal Laundry, Pets Allowed, Bath, INSIDE:, Built in wardrobes, Dishwasher, Ducted Heating, Air conditioning, OUTSIDE:, Courtyard, Remote Garage, Secure Parking, Fully fenced",https://www.domain.com.au/16a-libau-avenue-bell-park-vic-3215-14147586
17603940,BELL PARK,3215,420,,"Tuesday, 24 June 2025",2025-08-25,15,3,1,1,Apartment / Unit / Flat,1/3 Nanworen Crescent,-38.104584,144.33932,2025-09-09 16:13:04,17603940,6,0,0,False,Apartment,Apartment / Unit / Flat,Harcourts North Geelong,26155,"Mina Nair, Harcourts Leasing",Heating,https://www.domain.com.au/1-3-nanworen-crescent-bell-park-vic-3215-17603940
17733425,BELL PARK,3215,630,2738.0,"Monday, 01 September 2025",2025-08-27,13,3,2,1,House,3A Libau Avenue,-38.11284,144.34207,2025-09-09 16:13:04,17733425,13,0,0,False,House,House,Armstrong Real Estate,26120,Britta Gleeson,"Bath, Fully fenced, Outdoor Entertainment Area, Remote Garage, Secure Parking, Built in wardrobes, Dishwasher, Floorboards, Study, Split-System Air Conditioning, Split-System Heating",https://www.domain.com.au/3a-libau-avenue-bell-park-vic-3215-17733425
17733463,BELL PARK,3215,630,2738.0,"Monday, 01 September 2025",2025-08-27,13,3,2,1,House,3B Libau Avenue,-38.11291,144.34206,2025-09-09 16:13:04,17733463,13,0,0,False,House,House,Armstrong Real Estate,26120,Britta Gleeson,"Bath, Fully fenced, Outdoor Entertainment Area, Remote Garage, Secure Parking, Built in wardrobes, Dishwasher, Floorboards, Study, Split-System Air Conditioning, Split-System Heating, Water Tank",https://www.domain.com.au/3b-libau-avenue-bell-park-vic-3215-17733463
17735488,BELL PARK,3215,460,,"Monday, 01 September 2025",2025-08-27,12,2,2,3,House,1/10 Anakie Road,-38.115547,144.33084,2025-09-09 16:13:04,17735488,12,0,0,False,House,House,Harcourts North Geelong,26155,"Kristina Ukiqi, Harcourts Leasing","Secure Parking, Study",https://www.domain.com.au/1-10-anakie-road-bell-park-vic-3215-17735488
17739880,BELL PARK,3215,460,1998.0,"Friday, 12 September 2025",2025-09-01,8,3,1,1,House,25 Jasmine Street,-38.11705,144.33537,2025-09-09 16:13:04,17739880,12,0,0,False,House,House,Buxton Newtown,14503,"Newtown Leasing, Sophie Kennedy-Rush","Bath, Air conditioning, Outdoor Entertainment Area, Floorboards, Built in wardrobes",https://www.domain.com.au/25-jasmine-street-bell-park-vic-3215-17739880
17744636,BELL PARK,3215,600,2607.0,"Tuesday, 23 September 2025",2025-09-03,6,4,2,2,House,18 Hammersley Road,-38.10382,144.33424,2025-09-09 16:13:04,17744636,9,0,0,False,House,House,McGrath Geelong | Newtown,5797,Rajesh Chaubay,"Internal Laundry, Bath, Dishwasher, Balcony / Deck, Air conditioning, Heating, Area Views, Built in wardrobes, Close to transport, Close to shops, Close to schools, Car Parking - Surface",https://www.domain.com.au/18-hammersley-road-bell-park-vic-3215-17744636
17744868,BELL PARK,3215,590,2556.0,"Friday, 10 October 2025",2025-09-03,6,4,2,3,House,13 Dena Court,-38.100494,144.33746,2025-09-09 16:13:04,17744868,24,0,0,True,House,House,Gartland,11825,Gartland Leasing,"Internal Laundry, Secure Parking, Bath, Heating",https://www.domain.com.au/13-dena-court-bell-park-vic-3215-17744868
17745213,BELL PARK,3215,600,2607.0,"Monday, 15 September 2025",2025-09-03,6,4,2,2,House,20 Nicole Court,-38.101513,144.33842,2025-09-09 16:13:04,17745213,10,0,0,False,House,House,McGrath Geelong | Newtown,5797,Hannah Raguse,"Dishwasher, Air conditioning, Heating, Built in wardrobes, Close to transport, Close to shops, Close to schools, Ensuite, Car Parking - Surface, Carpeted",https://www.domain.com.au/20-nicole-court-bell-park-vic-3215-17745213
17749777,BELL PARK,3215,590,,"Friday, 03 October 2025",2025-09-05,4,3,2,2,House,41 Hedgeley Road,-38.101936,144.33849,2025-09-09 16:13:04,17749777,11,0,0,False,House,House,Harcourts North Geelong,26155,"Tiffany Thomas, Harcourts Leasing","Pets Allowed, Secure Parking",https://www.domain.com.au/41-hedgeley-road-bell-park-vic-3215-17749777
17753923,BELL PARK,3215,440,,"Tuesday, 09 September 2025",2025-09-09,0,3,1,2,Apartment / Unit / Flat,2/102 McClelland Street,-38.107803,144.33813,2025-09-09 16:13:04,17753923,10,0,0,False,Apartment,Apartment / Unit / Flat,Harcourts North Geelong,26155,"Bronte Rapp, Harcourts Leasing",Secure Parking,https://www.domain.com.au/2-102-mcclelland-street-bell-park-vic-3215-17753923
