listing_id,suburb,postcode,weekly_rent,bond,available_date,date_listed,days_listed,bedrooms,bathrooms,carspaces,property_type,address,lat,lon,scraped_date,domain_page_id,property_id,photo_count,video_count,floorplans_count,virtual_tour,primary_type,secondary_type,agency,agency_id,agent_names,structured_features,url
17030693,BELL POST HILL,3215,370,1480.0,"Tuesday, 09 September 2025",2025-08-26,14,1,9,,House,51 Braund Avenue,-38.098194,144.3286,2025-09-09 16:15:18,17030693,FQ-8086-GI,35,1,0,False,House,House,Fresh Property Management Group,27517,Jack Wirth,"Built in wardrobes, Gas, Broadband internet access, Heating, Ensuite(s), Room",https://www.domain.com.au/51-braund-avenue-bell-post-hill-vic-3215-17030693
17662830,BELL POST HILL,3215,450,,"Wednesday, 16 July 2025",2025-07-10,61,3,1,1.0,House,12 Wolseley Grove,-38.101776,144.33179,2025-09-09 16:15:18,17662830,,6,0,0,False,House,House,Harcourts North Geelong,26155,"Bronte Rapp, Harcourts Leasing","Built in wardrobes, Bath, Balcony / Deck",https://www.domain.com.au/12-wolseley-grove-bell-post-hill-vic-3215-17662830
17691111,BELL POST HILL,3215,500,,"Monday, 04 August 2025",2025-07-29,41,3,1,2.0,House,67 Kinlock Street,-38.09698,144.3274,2025-09-09 16:15:18,17691111,,10,0,0,False,House,House,Harcourts North Geelong,26155,"Bronte Rapp, Harcourts Leasing",,https://www.domain.com.au/67-kinlock-street-bell-post-hill-vic-3215-17691111
17717004,BELL POST HILL,3215,495,2150.0,"Friday, 05 September 2025",2025-08-15,25,3,1,1.0,House,36 Kansas Avenue,-38.095306,144.33075,2025-09-09 16:15:18,17717004,,11,0,0,False,House,House,Buxton Newtown,14503,"Mia Griffiths, Sophie Kennedy-Rush","Internal Laundry, Bath, Split System Air Con, Split System Heating, Built in wardrobes, Garden / Courtyard, Balcony / Deck, Dishwasher, Floorboards, Fully fenced, Outdoor Entertainment Area, Shed",https://www.domain.com.au/36-kansas-avenue-bell-post-hill-vic-3215-17717004
17731570,BELL POST HILL,3215,500,2172.0,"Monday, 29 September 2025",2025-08-26,14,3,1,1.0,House,29 Ruhamah Ave,-38.105095,144.32915,2025-09-09 16:15:18,17731570,,18,0,1,True,House,House,Geelong Property Managers,32238,Jacqui Trevey,"Secure Parking, Bath, Heating, Air conditioning, Built in wardrobes, Dishwasher, Floorboards, Internal Laundry",https://www.domain.com.au/29-ruhamah-ave-bell-post-hill-vic-3215-17731570
17735780,BELL POST HILL,3215,500,,"Saturday, 13 September 2025",2025-08-28,12,3,1,4.0,House,98 Fairy Street,-38.10314,144.32324,2025-09-09 16:15:18,17735780,,6,0,0,False,House,House,Harcourts North Geelong,26155,"Marie Harvey, Harcourts Leasing","Air conditioning, Solar panels",https://www.domain.com.au/98-fairy-street-bell-post-hill-vic-3215-17735780
17738403,BELL POST HILL,3215,490,2129.0,"Thursday, 02 October 2025",2025-08-29,11,3,2,2.0,House,6 Cardiff Street,-38.093296,144.3287,2025-09-09 16:15:18,17738403,,1,0,0,False,House,House,Stockdale & Leggo Drysdale,11947,"Stockdale & Leggo Rental Department, Natali Sindik",Secure Parking,https://www.domain.com.au/6-cardiff-street-bell-post-hill-vic-3215-17738403
17741441,BELL POST HILL,3215,500,2172.0,"Friday, 12 September 2025",2025-09-01,8,3,1,1.0,House,3 Braund Avenue,-38.098663,144.33305,2025-09-09 16:15:18,17741441,,10,0,0,False,House,House,Buxton Geelong North Pty Ltd,31040,"Eden McCawley, Sophie Kennedy-Rush","Pets Allowed, Secure Parking, Heating, Balcony / Deck",https://www.domain.com.au/3-braund-avenue-bell-post-hill-vic-3215-17741441
17741874,BELL POST HILL,3215,850,3694.0,"Friday, 12 September 2025",2025-09-01,7,4,2,5.0,House,4 Schofield Court,-38.10955,144.32968,2025-09-09 16:15:18,17741874,,15,0,1,False,House,House,Luxepm Geelong,34693,Christy Holt,"Internal Laundry, Secure Parking, Heating, Balcony, Fully fenced, Outdoor Entertainment Area, Shed, Rumpus Room, Study",https://www.domain.com.au/4-schofield-court-bell-post-hill-vic-3215-17741874
17743403,BELL POST HILL,3215,480,2085.0,"Monday, 06 October 2025",2025-09-02,7,2,2,2.0,Townhouse,30 Edison Road,-38.093822,144.33095,2025-09-09 16:15:18,17743403,,8,0,0,False,Townhouse/Villa,Townhouse,Buxton Geelong North Pty Ltd,31040,"Meghan Kattwinkel, Sophie Kennedy-Rush","Air conditioning, Gas, Internal Laundry, Secure Parking, Heating, Solar panels",https://www.domain.com.au/30-edison-road-bell-post-hill-vic-3215-17743403
