listing_id,suburb,postcode,weekly_rent,bond,available_date,date_listed,days_listed,bedrooms,bathrooms,carspaces,property_type,address,lat,lon,scraped_date,domain_page_id,property_id,photo_count,video_count,floorplans_count,virtual_tour,primary_type,secondary_type,agency,agency_id,agent_names,structured_features,url
13555876,BELMONT,3216,460.0,,"Friday, 22 August 2025",2025-08-22,18,2,2,1.0,Townhouse,2/258 High Street,-38.18143,144.33565,2025-09-09 16:21:19,13555876,OX-9079-HG,15,0,0,False,Townhouse/Villa,Townhouse,VICCIVIC Real Estate,31399,"Jackson Chau, Amy Chau","Ducted Cooling, Ducted Heating, Kitchen, Built in wardrobes, Floorboards, Air conditioning, Dishwasher, Shed, Fully fenced, Laundry, Gas Hot Water",https://www.domain.com.au/2-258-high-street-belmont-vic-3216-13555876
14598353,BELMONT,3216,460.0,1840.0,"Monday, 06 October 2025",2025-09-05,4,3,1,3.0,House,39 Nagle Drive,-38.186077,144.3264,2025-09-09 16:21:19,14598353,JF-3636-PR,12,0,1,False,House,House,HallSullivan Estate Agents,7043,Kathryn Weddell,"Air conditioning, Built in wardrobes, Secure Parking, Heating, Dishwasher",https://www.domain.com.au/39-nagle-drive-belmont-vic-3216-14598353
17099541,BELMONT,3216,320.0,1390.0,"Monday, 22 September 2025",2025-08-29,11,1,1,1.0,House,9/159 Roslyn Road,-38.174572,144.33344,2025-09-09 16:21:19,17099541,NQ-0057-IM,6,1,0,False,House,House,Ray White Highton,18426,Chris Walsh,,https://www.domain.com.au/9-159-roslyn-road-belmont-vic-3216-17099541
17718052,BELMONT,3216,420.0,1825.0,"Saturday, 04 October 2025",2025-08-15,25,2,1,1.0,Apartment / Unit / Flat,2/32 Elsvern Avenue,-38.17313,144.32619,2025-09-09 16:21:19,17718052,,12,0,1,False,Apartment,Apartment / Unit / Flat,Buxton Newtown,14503,"Mia Griffiths, Sophie Kennedy-Rush","Internal Laundry, Split System Air Con, Split System Heating, Built in wardrobes, Garden / Courtyard, Floorboards",https://www.domain.com.au/2-32-elsvern-avenue-belmont-vic-3216-17718052
17722055,BELMONT,3216,400.0,1738.0,"Friday, 29 August 2025",2025-08-19,21,2,1,1.0,House,1/29 Watson Av,-38.178795,144.33472,2025-09-09 16:21:19,17722055,,12,0,0,False,House,House,Barry Plant Belmont,27306,Belmont Inspections,"Built in wardrobes, Split-System Air Con, Split-System Heating",https://www.domain.com.au/1-29-watson-av-belmont-vic-3216-17722055
17722465,BELMONT,3216,165.0,330.0,"Monday, 18 August 2025",2025-08-19,21,7,3,4.0,House,"Room 2, 16 Grayling Street",-38.183266,144.35138,2025-09-09 16:21:19,17722465,,3,0,0,False,House,House,Hayeswinckle Highton,18314,"Emily Johnstone, Keely Duggan","Built in wardrobes, Internal Laundry, Broadband internet access, Heating, Study",https://www.domain.com.au/room-2-16-grayling-street-belmont-vic-3216-17722465
17729879,BELMONT,3216,410.0,1782.0,"Monday, 29 September 2025",2025-08-25,15,2,1,1.0,Apartment / Unit / Flat,5/5 Leonard Street,-38.17089,144.33139,2025-09-09 16:21:19,17729879,,6,0,0,False,Apartment,Apartment / Unit / Flat,Stockdale & Leggo South Barwon,25535,"Sonia Jenkins, Ashlea Smith","Internal Laundry, Heating, Air conditioning, Built in wardrobes",https://www.domain.com.au/5-5-leonard-street-belmont-vic-3216-17729879
17737861,BELMONT,3216,575.0,2498.0,"Monday, 06 October 2025",2025-08-29,11,3,2,2.0,Apartment / Unit / Flat,3/13 Herd Rd,-38.172848,144.34854,2025-09-09 16:21:19,17737861,,6,0,1,False,Apartment,Apartment / Unit / Flat,Stockdale & Leggo South Barwon,25535,"Annie Kinross, Ashlea Smith","Intercom, Ensuite, Alarm System, Secure Parking, Balcony / Deck, Garden / Courtyard, Dishwasher, Gas Heating, Out door entertaining area, Internal Laundry",https://www.domain.com.au/3-13-herd-rd-belmont-vic-3216-17737861
17738873,BELMONT,3216,440.0,1911.0,"Friday, 03 October 2025",2025-08-29,11,2,1,1.0,Apartment / Unit / Flat,6/57 Mount Pleasant Road,-38.17092,144.34079,2025-09-09 16:21:19,17738873,,8,0,0,True,Apartment,Apartment / Unit / Flat,McGrath Geelong | Newtown,5797,Hannah Raguse,"Built in wardrobes, Secure Parking, Bath, Heating, Air conditioning",https://www.domain.com.au/6-57-mount-pleasant-road-belmont-vic-3216-17738873
17739700,BELMONT,3216,400.0,1738.0,"Monday, 29 September 2025",2025-09-01,8,2,1,1.0,Apartment / Unit / Flat,5/62 James Street,-38.18318,144.33717,2025-09-09 16:21:19,17739700,,8,0,0,False,Apartment,Apartment / Unit / Flat,Stockdale & Leggo South Barwon,25535,Julianne Anderson,"Built in wardrobes, Internal Laundry, Heating",https://www.domain.com.au/5-62-james-street-belmont-vic-3216-17739700
