listing_id,suburb,postcode,weekly_rent,bond,available_date,date_listed,days_listed,bedrooms,bathrooms,carspaces,property_type,address,lat,lon,scraped_date,domain_page_id,property_id,photo_count,video_count,floorplans_count,virtual_tour,primary_type,secondary_type,agency,agency_id,agent_names,structured_features,url
12981625,BENALLA,3672,30.0,200,"Tuesday, 10 June 2025",2019-03-08,2377,,,,House,58 Saleyards Road,-36.538006,145.99277,2025-09-09 16:29:39,12981625,PU-9837-PZ,5,0,0,False,House,House,Living Here Benalla,32239,Brittney Harris,,https://www.domain.com.au/58-saleyards-road-benalla-vic-3672-12981625
12981632,BENALLA,3672,30.0,200,"Tuesday, 10 June 2025",2019-03-08,2377,,,,House,40 Gay Street,-36.54243,145.99792,2025-09-09 16:29:39,12981632,RS-9558-FU,3,0,0,False,House,House,Living Here Benalla,32239,Brittney Harris,,https://www.domain.com.au/40-gay-street-benalla-vic-3672-12981632
15546102,BENALLA,3672,350.0,1516,"Friday, 10 October 2025",2025-09-05,4,2.0,1.0,1.0,Apartment / Unit / Flat,1/6a Kent Street,-36.549007,145.97351,2025-09-09 16:29:39,15546102,FQ-2837-BS,7,0,0,False,Apartment,Apartment / Unit / Flat,Living Here Benalla,32239,"Eliza Manning, Shen Green","Gas, Internal Laundry, Shed, Built in wardrobes, Heating",https://www.domain.com.au/1-6a-kent-street-benalla-vic-3672-15546102
15876551,BENALLA,3672,460.0,1999,"Thursday, 04 September 2025",2025-07-31,40,4.0,1.0,2.0,House,50 Riverview Road,-36.558865,145.98994,2025-09-09 16:29:39,15876551,WZ-3084-BX,8,0,1,False,House,House,Ray White Benalla,18940,Elly Havers,"Built in wardrobes, Gas, Bath, Heating, Dishwasher",https://www.domain.com.au/50-riverview-road-benalla-vic-3672-15876551
15914662,BENALLA,3672,420.0,1820,"Friday, 05 September 2025",2025-07-31,40,2.0,1.0,1.0,House,11 Exton Crescent,-36.562473,145.96379,2025-09-09 16:29:39,15914662,SI-4200-NF,8,0,0,False,House,House,Living Here Benalla,32239,Eliza Manning,"Heating, Study, Built in wardrobes, Secure Parking",https://www.domain.com.au/11-exton-crescent-benalla-vic-3672-15914662
16104128,BENALLA,3672,900.0,3900,"Friday, 15 August 2025",2025-07-29,42,5.0,2.0,2.0,House,86 Gardner Road,-36.507988,145.97885,2025-09-09 16:29:39,16104128,TX-9450-AR,15,0,0,False,House,House,Living Here Benalla,32239,Eliza Manning,"Internal Laundry, Swimming Pool, Furnished, Bath, Heating",https://www.domain.com.au/86-gardner-road-benalla-vic-3672-16104128
16169934,BENALLA,3672,360.0,1560,"Friday, 19 September 2025",2025-08-11,29,2.0,1.0,1.0,House,5/37A Hannah Street,-36.54309,145.98497,2025-09-09 16:29:39,16169934,JI-9695-EM,12,0,0,False,House,House,Living Here Benalla,32239,Eliza Manning,"Gas, Internal Laundry, Heating, Air conditioning, Built in wardrobes",https://www.domain.com.au/5-37a-hannah-street-benalla-vic-3672-16169934
16185208,BENALLA,3672,480.0,2080,"Friday, 12 September 2025",2025-08-08,31,3.0,1.0,2.0,House,88 Coish Ave,-36.546,145.9641,2025-09-09 16:29:39,16185208,IH-8308-DU,11,0,0,False,House,House,Living Here Benalla,32239,Elda Britton,"Built in wardrobes, Internal Laundry, Pets Allowed, Gas, Bath, Separate Dining Room, Heating, Secure Parking, Shed, Ground floor",https://www.domain.com.au/88-coish-ave-benalla-vic-3672-16185208
16419811,BENALLA,3672,480.0,2086,"Wednesday, 27 August 2025",2025-08-12,28,3.0,2.0,,House,27 Railway Place,-36.543858,145.9829,2025-09-09 16:29:39,16419811,OI-3672-EV,8,0,0,False,House,House,Brian Howe Real Estate,23851,Roth Howe,"Furnished, Air conditioning, Split-System Air Conditioning, Split-System Heating",https://www.domain.com.au/27-railway-place-benalla-vic-3672-16419811
16575691,BENALLA,3672,450.0,1950,"Friday, 05 September 2025",2025-07-31,40,3.0,1.0,3.0,Townhouse,2/5 Goodenia Dve,-36.56238,145.97665,2025-09-09 16:29:39,16575691,LJ-3462-CP,14,0,1,False,Townhouse/Villa,Townhouse,Living Here Benalla,32239,Eliza Manning,"Dishwasher, Air conditioning, Floorboards, Built in wardrobes, Secure Parking",https://www.domain.com.au/2-5-goodenia-dve-benalla-vic-3672-16575691
