listing_id,suburb,postcode,weekly_rent,bond,available_date,date_listed,days_listed,bedrooms,bathrooms,carspaces,property_type,address,lat,lon,scraped_date,domain_page_id,property_id,photo_count,video_count,floorplans_count,virtual_tour,primary_type,secondary_type,agency,agency_id,agent_names,structured_features,url
12764042,BENDIGO,3550,590.0,2563.0,"Sunday, 30 August 2026",2018-11-30,2474,2.0,2,1.0,Townhouse,9B Holt Street,-36.754025,144.28764,2025-09-09 16:38:47,12764042,,10,0,0,False,Townhouse/Villa,Townhouse,Tweed Sutherland First National,20881,Samantha Lee,"Air conditioning, Secure Parking, Intercom, Balcony / Deck, Built in wardrobes, Dishwasher, Internal Laundry, Furnished",https://www.domain.com.au/9b-holt-street-bendigo-vic-3550-12764042
12901833,BENDIGO,3550,500.0,2173.0,"Friday, 08 August 2025",2025-08-08,32,2.0,2,1.0,House,2 Shorter Street,-36.760174,144.27588,2025-09-09 16:38:47,12901833,TV-0337-UA,10,0,1,False,House,House,DCK Real Estate,4596,Holly Kellett,"Gas, Secure Parking, Balcony / Deck, Built in wardrobes, Close to transport, Close to shops, Ensuite, Split System Heating, Split System Cooling, Walk-In Robe, Dishwasher",https://www.domain.com.au/2-shorter-street-bendigo-vic-3550-12901833
14654699,BENDIGO,3550,550.0,2389.0,"Friday, 03 October 2025",2025-09-03,6,3.0,2,1.0,Apartment / Unit / Flat,5/125 Mitchell Street,-36.76525,144.28459,2025-09-09 16:38:47,14654699,NS-7972-AV,8,0,0,False,Apartment,Apartment / Unit / Flat,DCK Real Estate,4596,Holly Kellett,"Built in wardrobes, Secure Parking, Dishwasher, Close to transport, Close to shops, Close to schools, Ensuite, Split System Heating, Split System Cooling",https://www.domain.com.au/5-125-mitchell-street-bendigo-vic-3550-14654699
17205543,BENDIGO,3550,470.0,2042.0,"Monday, 15 September 2025",2025-08-20,20,3.0,1,1.0,House,29C Milroy Street,-36.748363,144.2693,2025-09-09 16:38:47,17205543,ON-5928-QP,5,0,1,False,House,House,Ray White Bendigo,25162,Sophie Boxshall,"Air conditioning, Built in wardrobes",https://www.domain.com.au/29c-milroy-street-bendigo-vic-3550-17205543
17295058,BENDIGO,3550,570.0,2476.0,"Saturday, 10 January 2026",2024-11-11,302,2.0,1,1.0,House,1/42 Brougham St,-36.76689,144.28755,2025-09-09 16:38:47,17295058,GD-3331-BY,6,0,0,False,House,House,Buxton Bendigo,37944,Saskia Heeney,"Air conditioning, Fully fenced, Furnished",https://www.domain.com.au/1-42-brougham-st-bendigo-vic-3550-17295058
17619175,BENDIGO,3550,500.0,2172.0,"Friday, 13 June 2025",2025-06-13,88,1.0,1,1.0,House,105 View Ln,-36.757774,144.2759,2025-09-09 16:38:47,17619175,,7,0,0,False,House,House,Buxton Bendigo,37944,Saskia Heeney,,https://www.domain.com.au/105-view-ln-bendigo-vic-3550-17619175
17660860,BENDIGO,3550,500.0,2167.0,"Friday, 25 July 2025",2025-07-09,62,4.0,1,,House,156 Rowan Street,-36.761486,144.26637,2025-09-09 16:38:47,17660860,,13,0,1,True,House,House,PRD Nationwide Bendigo,6502,"Jordyn Saunders, Carter Hampton",,https://www.domain.com.au/156-rowan-street-bendigo-vic-3550-17660860
17672785,BENDIGO,3550,650.0,2824.0,"Tuesday, 11 August 2026",2025-07-17,54,2.0,1,1.0,Townhouse,4/17 Bobs Street,-36.745617,144.29478,2025-09-09 16:38:47,17672785,,9,0,1,False,Townhouse/Villa,Townhouse,Tweed Sutherland First National,20881,Samantha Lee,"Air conditioning, Balcony / Deck, Built in wardrobes, Dishwasher, Floorboards, Study, Internal Laundry",https://www.domain.com.au/4-17-bobs-street-bendigo-vic-3550-17672785
17678359,BENDIGO,3550,600.0,2607.0,"Friday, 11 September 2026",2025-07-21,50,2.0,1,1.0,Apartment / Unit / Flat,6/2-4 Queen St,-36.760178,144.28151,2025-09-09 16:38:47,17678359,,7,0,1,False,Apartment,Apartment / Unit / Flat,Tweed Sutherland First National,20881,Samantha Lee,"Air conditioning, Intercom, Built in wardrobes, Dishwasher, Internal Laundry, Furnished",https://www.domain.com.au/6-2-4-queen-st-bendigo-vic-3550-17678359
17689018,BENDIGO,3550,570.0,2476.0,"Sunday, 01 February 2026",2025-07-28,42,2.0,1,1.0,House,135 Creek St S,-36.76684,144.26927,2025-09-09 16:38:47,17689018,,10,0,0,False,House,House,Buxton Bendigo,37944,Saskia Heeney,,https://www.domain.com.au/135-creek-st-s-bendigo-vic-3550-17689018
