listing_id,suburb,postcode,weekly_rent,bond,available_date,date_listed,days_listed,bedrooms,bathrooms,carspaces,property_type,address,lat,lon,scraped_date,domain_page_id,property_id,photo_count,video_count,floorplans_count,virtual_tour,primary_type,secondary_type,agency,agency_id,agent_names,structured_features,url
13135374,BENTLEIGH,3204,540,,"Monday, 22 September 2025",2025-09-09,0,2,1,2.0,House,1/36 Dickens Street,-37.926147,145.03299,2025-09-09 16:51:56,13135374,,14,0,0,False,House,House,Century 21 Property Group,21959,Irene Kotsa,,https://www.domain.com.au/1-36-dickens-street-bentleigh-vic-3204-13135374
16202811,BENTLEIGH,3204,1130,6780.0,"Friday, 03 October 2025",2025-09-05,3,4,2,1.0,Townhouse,30A Balmoral Avenue,-37.915424,145.04727,2025-09-09 16:51:56,16202811,MY-2732-FT,10,0,0,False,Townhouse/Villa,Townhouse,Metropole Properties Melbourne,18456,Vivian Nguyen,"Study, Alarm System, Floorboards, Built in wardrobes, Dishwasher, Split System Heating, Split System Air Conditioning, Ensuite(s), Remote Garage",https://www.domain.com.au/30a-balmoral-avenue-bentleigh-vic-3204-16202811
16697886,BENTLEIGH,3204,660,2868.0,"Monday, 15 September 2025",2025-08-12,28,2,1,2.0,Villa,5/1-3 Anderson Street,-37.926254,145.03645,2025-09-09 16:51:56,16697886,EH-7593-TC,9,0,1,False,Townhouse/Villa,Villa,Metropole Properties Melbourne,18456,Shelley Macgregor,"Gas, Internal Laundry, Bath, Built in wardrobes, Ducted Heating, Split System Air Conditioning, Outdoor Entertainment Area, Courtyard",https://www.domain.com.au/5-1-3-anderson-street-bentleigh-vic-3204-16697886
16877174,BENTLEIGH,3204,650,2824.0,"Saturday, 30 August 2025",2025-08-05,35,2,1,1.0,Apartment / Unit / Flat,6/267 Centre Road,-37.917442,145.03181,2025-09-09 16:51:56,16877174,KT-3981-YP,7,0,0,False,Apartment,Apartment / Unit / Flat,Ray White Carnegie,5958,Dale Browning,"Internal Laundry, Secure Parking, Intercom, Dishwasher",https://www.domain.com.au/6-267-centre-road-bentleigh-vic-3204-16877174
17013874,BENTLEIGH,3204,650,2825.0,"Friday, 29 August 2025",2025-08-29,10,2,2,1.0,Apartment / Unit / Flat,11/17 Bent Street,-37.915955,145.03766,2025-09-09 16:51:56,17013874,XQ-0566-AY,12,0,0,False,Apartment,Apartment / Unit / Flat,Ray White Cranbourne,18759,Sophie Bridges,Built in wardrobes,https://www.domain.com.au/11-17-bent-street-bentleigh-vic-3204-17013874
17431839,BENTLEIGH,3204,1180,5127.0,"Friday, 14 February 2025",2025-08-26,13,4,3,2.0,House,18 Howell Street,-37.93018,145.03424,2025-09-09 16:51:56,17431839,SF-4486-PZ,16,0,0,False,House,House,Ray White Oakleigh,12122,"David Hua, Bryan Hui",,https://www.domain.com.au/18-howell-street-bentleigh-vic-3204-17431839
17709481,BENTLEIGH,3204,920,3998.0,"Monday, 11 August 2025",2025-08-11,29,4,1,2.0,House,1 Donaldson Street,-37.91455,145.041,2025-09-09 16:51:56,17709481,,11,0,0,False,House,House,Jellis Craig Bentleigh,30117,Daniel Biviano,"Built in wardrobes, Internal Laundry, Heating, Dishwasher, Balcony / Deck",https://www.domain.com.au/1-donaldson-street-bentleigh-vic-3204-17709481
17713761,BENTLEIGH,3204,650,2824.0,"Thursday, 11 September 2025",2025-08-13,27,3,1,2.0,House,10 Talbot Avenue,-37.922295,145.02821,2025-09-09 16:51:56,17713761,,7,0,0,False,House,House,Flare Real Estate,8251,"Laura Marshalik, Leasing Agent","Floorboards, Built in wardrobes, Heating, Backyard",https://www.domain.com.au/10-talbot-avenue-bentleigh-vic-3204-17713761
17726050,BENTLEIGH,3204,1100,4780.0,"Monday, 22 September 2025",2025-08-21,19,4,3,2.0,Townhouse,2B Montreal Street,-37.92664,145.0479,2025-09-09 16:51:56,17726050,,8,0,1,False,Townhouse/Villa,Townhouse,Jellis Craig Bentleigh,30117,Daniel Biviano,"Internal Laundry, Secure Parking, Study, Balcony / Deck",https://www.domain.com.au/2b-montreal-street-bentleigh-vic-3204-17726050
17729294,BENTLEIGH,3204,550,2390.0,"Monday, 08 September 2025",2025-08-25,15,2,1,1.0,Apartment / Unit / Flat,7/5 Brentwood Street,-37.93314,145.04427,2025-09-09 16:51:56,17729294,,9,0,0,False,Apartment,Apartment / Unit / Flat,Jellis Craig Bentleigh,30117,Daniel Biviano,"Built in wardrobes, Gas, Internal Laundry, Bath",https://www.domain.com.au/7-5-brentwood-street-bentleigh-vic-3204-17729294
