listing_id,suburb,postcode,weekly_rent,bond,available_date,date_listed,days_listed,bedrooms,bathrooms,carspaces,property_type,address,lat,lon,scraped_date,domain_page_id,property_id,photo_count,video_count,floorplans_count,virtual_tour,primary_type,secondary_type,agency,agency_id,agent_names,structured_features,url
15206253,BENTLEIGH EAST,3165,790.0,3433,"Tuesday, 09 September 2025",2025-09-07,1,3,2,2.0,Townhouse,1/737 South Road,-37.936745,145.06587,2025-09-09 16:55:49,15206253,GP-5350-EY,6,0,0,True,Townhouse/Villa,Townhouse,Ray White The Bayside Group,6378,"Ildiko Orsos, Isabella Dinelli","Built in wardrobes, Secure Parking, Heating, Balcony / Deck",https://www.domain.com.au/1-737-south-road-bentleigh-east-vic-3165-15206253
16668458,BENTLEIGH EAST,3165,750.0,3259,"Tuesday, 26 August 2025",2025-08-14,26,3,2,1.0,Apartment / Unit / Flat,2/42 Norville Street,-37.929256,145.06796,2025-09-09 16:55:49,16668458,XW-5128-JJ,9,0,0,False,Apartment,Apartment / Unit / Flat,James Perry Property Group,20235,"Denis Stavropoulos, James Telios","Air conditioning, Built in wardrobes, Heating, Garden / Courtyard",https://www.domain.com.au/2-42-norville-street-bentleigh-east-vic-3165-16668458
16672276,BENTLEIGH EAST,3165,799.0,3476,"Saturday, 06 September 2025",2025-08-31,8,4,1,3.0,House,15 Konrad Street,-37.926254,145.06458,2025-09-09 16:55:49,16672276,JA-4832-KF,11,0,0,False,House,House,Ray White Oakleigh,12122,"Matthew Swinnerton, Cecily Qiao",,https://www.domain.com.au/15-konrad-street-bentleigh-east-vic-3165-16672276
16735436,BENTLEIGH EAST,3165,675.0,2933,"Monday, 15 September 2025",2025-09-08,0,3,1,2.0,House,327 Chesterville Road,-37.930058,145.06279,2025-09-09 16:55:49,16735436,RG-1075-WO,8,0,0,False,House,House,Coco Ma Real Estate,37495,"Nick Zhang, Haonan Chen","Built in wardrobes, Air-Conditioner, Ducted Heating",https://www.domain.com.au/327-chesterville-road-bentleigh-east-vic-3165-16735436
16779577,BENTLEIGH EAST,3165,1100.0,6600,"Saturday, 13 September 2025",2025-08-18,22,4,2,2.0,House,20 Boronia Street,-37.9131,145.07762,2025-09-09 16:55:49,16779577,RJ-8889-ZS,19,0,1,False,House,House,LongView Real Estate,7797,Georgia Soldatos,"Gas, Secure Parking, Heating, Built in wardrobes, Dishwasher, Ensuite(s)",https://www.domain.com.au/20-boronia-street-bentleigh-east-vic-3165-16779577
17125493,BENTLEIGH EAST,3165,675.0,2933,"Tuesday, 23 September 2025",2025-09-04,5,3,1,3.0,House,2/45 Kennedy Street,-37.9193,145.07881,2025-09-09 16:55:49,17125493,XR-7539-SX,9,0,0,False,House,House,Ray White Oakleigh,12122,"David Hua, Vanessa De Gregorio",,https://www.domain.com.au/2-45-kennedy-street-bentleigh-east-vic-3165-17125493
17684496,BENTLEIGH EAST,3165,850.0,3693,"Friday, 12 September 2025",2025-07-24,47,4,2,2.0,House,2 Allanby Grove,-37.922745,145.05759,2025-09-09 16:55:49,17684496,,10,0,1,False,House,House,Buxton Hampton East,3938,Ruby Walker,"Air conditioning, Split System Air Con, Split System Heating, Built in wardrobes, Floorboards, Fully fenced, Secure Parking, Shed",https://www.domain.com.au/2-allanby-grove-bentleigh-east-vic-3165-17684496
17700764,BENTLEIGH EAST,3165,925.0,4019,"Friday, 08 August 2025",2025-08-05,35,4,1,2.0,House,1/2 Nina Court,-37.93801,145.07697,2025-09-09 16:55:49,17700764,,14,0,0,False,House,House,Ray White Bentleigh,38248,"Lachie Whitehead, Zidan Mulyandi","Internal Laundry, Heating, Shed, Balcony / Deck",https://www.domain.com.au/1-2-nina-court-bentleigh-east-vic-3165-17700764
17710463,BENTLEIGH EAST,3165,750.0,3259,"Friday, 05 September 2025",2025-08-11,28,4,2,1.0,House,17 Begg Street,-37.921787,145.0765,2025-09-09 16:55:49,17710463,,11,0,1,False,House,House,Jellis Craig Bentleigh,30117,Oscar Reynolds,"Built in wardrobes, Internal Laundry, Secure Parking, Heating",https://www.domain.com.au/17-begg-street-bentleigh-east-vic-3165-17710463
17717971,BENTLEIGH EAST,3165,740.0,3215,"Tuesday, 09 September 2025",2025-08-15,25,3,2,2.0,House,2/86 Wingate Street,-37.936497,145.06712,2025-09-09 16:55:49,17717971,,6,0,0,False,House,House,Jellis Craig Bentleigh,30117,Daniel Biviano,"Air conditioning, Bath, Heating, Dishwasher, Balcony / Deck",https://www.domain.com.au/2-86-wingate-street-bentleigh-east-vic-3165-17717971
17720099,BENTLEIGH EAST,3165,700.0,3042,"Monday, 25 August 2025",2025-08-18,22,3,1,3.0,House,327 McKinnon Road,-37.91298,145.05522,2025-09-09 16:55:49,17720099,,13,0,0,False,House,House,Jellis Craig Bentleigh,30117,"Susan Johnston, Daniel Biviano","Air conditioning, Built in wardrobes, Internal Laundry, Heating, Balcony / Deck",https://www.domain.com.au/327-mckinnon-road-bentleigh-east-vic-3165-17720099
17732769,BENTLEIGH EAST,3165,595.0,2585,"Friday, 26 September 2025",2025-08-26,14,2,1,1.0,Apartment / Unit / Flat,301/633 Centre Road,-37.92003,145.0517,2025-09-09 16:55:49,17732769,,10,0,0,False,Apartment,Apartment / Unit / Flat,Buxton Real Estate Dingley Village,21178,Matthew Spence,"Air conditioning, Split System Heating, Balcony / Deck, Built in wardrobes, Floorboards, Outdoor Entertainment Area, Pets Allowed, Secure Parking",https://www.domain.com.au/301-633-centre-road-bentleigh-east-vic-3165-17732769
17733343,BENTLEIGH EAST,3165,760.0,3302,"Wednesday, 01 October 2025",2025-08-27,13,3,2,1.0,Apartment / Unit / Flat,2/695 South Road,-37.935787,145.06015,2025-09-09 16:55:49,17733343,,10,0,0,False,Apartment,Apartment / Unit / Flat,Ray White Bentleigh,38248,"Lachie Whitehead, Zidan Mulyandi",Heating,https://www.domain.com.au/2-695-south-road-bentleigh-east-vic-3165-17733343
17736642,BENTLEIGH EAST,3165,500.0,2173,"Saturday, 27 September 2025",2025-08-28,12,2,1,1.0,Apartment / Unit / Flat,2/54 Hill Street,-37.922344,145.061,2025-09-09 16:55:49,17736642,,4,0,0,False,Apartment,Apartment / Unit / Flat,Marshall White Bayside,18945,Ashleigh Coutts,,https://www.domain.com.au/2-54-hill-street-bentleigh-east-vic-3165-17736642
17736852,BENTLEIGH EAST,3165,840.0,3650,"Friday, 05 September 2025",2025-08-28,12,3,1,1.0,House,2 Shrewsbury Street,-37.912605,145.0553,2025-09-09 16:55:49,17736852,,8,0,1,False,House,House,Jellis Craig Bentleigh,30117,Daniel Biviano,"Air conditioning, Built in wardrobes, Internal Laundry, Secure Parking, Heating, Dishwasher",https://www.domain.com.au/2-shrewsbury-street-bentleigh-east-vic-3165-17736852
17749484,BENTLEIGH EAST,3165,620.0,2694,"Friday, 05 September 2025",2025-09-05,4,3,1,2.0,House,11 Wards Grove,-37.92564,145.061,2025-09-09 16:55:49,17749484,,6,0,0,False,House,House,Buxton Bentleigh Rentals,38227,"Jessica Ferguson, Jaryd Bray",,https://www.domain.com.au/11-wards-grove-bentleigh-east-vic-3165-17749484
17750382,BENTLEIGH EAST,3165,750.0,3250,"Tuesday, 16 September 2025",2025-09-07,2,3,1,1.0,House,23 Pollina Street,-37.92627,145.05235,2025-09-09 16:55:49,17750382,,7,0,1,False,House,House,Buxton Real Estate Brighton,3934,Michelle Murray,,https://www.domain.com.au/23-pollina-street-bentleigh-east-vic-3165-17750382
17750841,BENTLEIGH EAST,3165,850.0,3693,"Monday, 29 September 2025",2025-09-08,1,3,2,2.0,House,6 Bray Court,-37.919376,145.06572,2025-09-09 16:55:49,17750841,,10,0,0,False,House,House,Jellis Craig Bentleigh,30117,"Adrian Biondo, Daniel Biviano","Air conditioning, Built in wardrobes, Internal Laundry, Heating, Study",https://www.domain.com.au/6-bray-court-bentleigh-east-vic-3165-17750841
17752172,BENTLEIGH EAST,3165,750.0,2283,"Thursday, 02 October 2025",2025-09-08,1,3,1,2.0,House,29 Manuka Street,-37.912777,145.0792,2025-09-09 16:55:49,17752172,,12,0,0,False,House,House,MRE,20795,Daniel Suarez,"Gas, Bath, Fireplace(s), Heating, Dishwasher, Balcony / Deck, Car Accom: Carport, Pool/Spa Count: 0",https://www.domain.com.au/29-manuka-street-bentleigh-east-vic-3165-17752172
17753929,BENTLEIGH EAST,3165,950.0,4128,"Wednesday, 15 October 2025",2025-09-09,0,4,3,2.0,House,72B Tudor Street,-37.919132,145.08134,2025-09-09 16:55:49,17753929,,5,0,0,False,House,House,Ray White The Bayside Group,6378,"Ildiko Orsos, Isabella Dinelli","Bath, Dishwasher, Study, Balcony / Deck",https://www.domain.com.au/72b-tudor-street-bentleigh-east-vic-3165-17753929
15592081,BENTLEIGH EAST,3165,650.0,2825,"Friday, 08 August 2025",2025-07-29,42,3,2,1.0,House,49 Wingate Street,-37.9354,145.06314,2025-09-09 16:55:54,15592081,,12,0,1,False,House,House,VIP Consulting Real Estate & Smart Property Manager,26667,Smart Property Manager,"Gas, Internal Laundry, Heating, Dishwasher, Shed, Deck, Outdoor Entertainment Area, Built in wardrobes, Pets Allowed",https://www.domain.com.au/49-wingate-street-bentleigh-east-vic-3165-15592081
16116545,BENTLEIGH EAST,3165,850.0,3693,"Monday, 15 September 2025",2025-08-18,22,4,1,3.0,House,13 Bevis Street,-37.918133,145.05305,2025-09-09 16:55:54,16116545,PO-6823-FG,12,0,0,False,House,House,Ray White Carnegie,5958,Dale Browning,"Built in wardrobes, Internal Laundry, Dishwasher",https://www.domain.com.au/13-bevis-street-bentleigh-east-vic-3165-16116545
17651109,BENTLEIGH EAST,3165,550.0,2390,"Tuesday, 05 August 2025",2025-07-03,68,3,1,1.0,House,36 East Boundary Road,-37.932518,145.05717,2025-09-09 16:55:54,17651109,,6,0,0,False,House,House,Jellis Craig Bentleigh,30117,Oscar Reynolds,"Heating, Dishwasher, Solar panels",https://www.domain.com.au/36-east-boundary-road-bentleigh-east-vic-3165-17651109
17677473,BENTLEIGH EAST,3165,530.0,2303,"Monday, 21 July 2025",2025-07-21,50,2,1,3.0,House,18 Thana Street,-37.913647,145.08362,2025-09-09 16:55:54,17677473,,8,0,0,False,House,House,Platinum Real Estate,21900,Leasing Department,"Built in wardrobes, Bath, Shed, Heating, Close to transport, Close to shops, Close to schools, Openable Windows",https://www.domain.com.au/18-thana-street-bentleigh-east-vic-3165-17677473
17697016,BENTLEIGH EAST,3165,900.0,3911,"Thursday, 21 August 2025",2025-08-01,39,4,3,2.0,Townhouse,143 Brady Road,-37.92351,145.06741,2025-09-09 16:55:54,17697016,,9,0,0,False,Townhouse/Villa,Townhouse,Jellis Craig Mount Waverley ,17805,"Jocelyn  Leong, Andrea How","Internal Laundry, Heating, Alarm System, Remote Garage, Reverse Cycle Air Con, Ensuite",https://www.domain.com.au/143-brady-road-bentleigh-east-vic-3165-17697016
