listing_id,suburb,postcode,weekly_rent,bond,available_date,date_listed,days_listed,bedrooms,bathrooms,carspaces,property_type,address,lat,lon,scraped_date,domain_page_id,property_id,photo_count,video_count,floorplans_count,virtual_tour,primary_type,secondary_type,agency,agency_id,agent_names,structured_features,url
15711764,BERWICK,3806,730.0,3173.0,"Thursday, 25 September 2025",2025-08-21,19,4.0,2,2.0,House,13 Cord Close,-38.03563,145.35233,2025-09-09 16:17:24,15711764,ZD-0431-QH,12,0,0,False,House,House,Ray White Berwick,31114,"Marcia Jean-Pierre, Ray White Berwick Property Management","Built in wardrobes, Gas, Secure Parking, Heating, Dishwasher",https://www.domain.com.au/13-cord-close-berwick-vic-3806-15711764
16277553,BERWICK,3806,600.0,2608.0,"Tuesday, 21 October 2025",2025-09-08,1,3.0,2,2.0,House,24 Sing Crescent,-38.04363,145.33304,2025-09-09 16:17:24,16277553,QH-4017-WV,12,0,0,False,House,House,Ray White Berwick,31114,"Marcia Jean-Pierre, Hannah Bush","Air conditioning, Built in wardrobes",https://www.domain.com.au/24-sing-crescent-berwick-vic-3806-16277553
16460518,BERWICK,3806,735.0,3194.0,"Wednesday, 10 September 2025",2025-08-27,13,4.0,2,2.0,House,60 Meridian Circuit,-38.061775,145.3427,2025-09-09 16:17:24,16460518,US-9009-RZ,11,0,0,False,House,House,Ray White Wantirna,16586,Angelika Bogdanov,"Floorboards, Gym, Built in wardrobes, Internal Laundry, Bath, Heating, Dishwasher, Tennis Court, Secure Parking, Balcony / Deck, Garden / Courtyard, Swimming Pool, Solar hot water",https://www.domain.com.au/60-meridian-circuit-berwick-vic-3806-16460518
16737975,BERWICK,3806,600.0,2607.0,"Wednesday, 01 October 2025",2025-09-01,8,3.0,2,2.0,House,65 Bemersyde Drive,-38.054256,145.34793,2025-09-09 16:17:24,16737975,LX-2435-VP,13,0,0,False,House,House,Grant's Estate Agents - Berwick,8681,Rentals Reception,"Air conditioning, Built in wardrobes, Secure Parking, Balcony / Deck",https://www.domain.com.au/65-bemersyde-drive-berwick-vic-3806-16737975
16887453,BERWICK,3806,590.0,2564.0,"Monday, 29 September 2025",2025-08-27,12,3.0,2,2.0,House,14 Catalonia Way,-38.07543,145.3703,2025-09-09 16:17:24,16887453,ZX-1978-EZ,12,0,0,False,House,House,Ray White Berwick,31114,"Marcia Jean-Pierre, Ray White Berwick Property Management","Gas, Secure Parking, Heating, Dishwasher, Ensuite",https://www.domain.com.au/14-catalonia-way-berwick-vic-3806-16887453
16962478,BERWICK,3806,620.0,2686.0,"Tuesday, 09 September 2025",2025-08-21,18,4.0,2,2.0,House,6 Apsley Terrace,-38.055687,145.32901,2025-09-09 16:17:24,16962478,GF-7118-QX,11,0,0,False,House,House,Ray White Ferntree Gully,7876,Ray White Rental Centre,"Secure Parking, Heating, Dishwasher, Study",https://www.domain.com.au/6-apsley-terrace-berwick-vic-3806-16962478
17687155,BERWICK,3806,680.0,2955.0,"Monday, 28 July 2025",2025-07-27,44,4.0,2,2.0,House,9 Tennyson Close,-38.065647,145.35246,2025-09-09 16:17:24,17687155,,14,0,1,False,House,House,Ray White Berwick,31114,"Marcia Jean-Pierre, Ray White Berwick Property Management","Gas, Secure Parking, Heating, Dishwasher, Balcony / Deck",https://www.domain.com.au/9-tennyson-close-berwick-vic-3806-17687155
17715302,BERWICK,3806,620.0,2695.0,"Thursday, 21 August 2025",2025-08-14,26,4.0,2,2.0,House,31 St Boswells Avenue,-38.052345,145.34363,2025-09-09 16:17:24,17715302,,13,0,0,False,House,House,Ray White Cranbourne,18759,"Sophie Bridges, Mia Johnson",Fully fenced,https://www.domain.com.au/31-st-boswells-avenue-berwick-vic-3806-17715302
17736371,BERWICK,3806,570.0,2477.0,"Saturday, 06 September 2025",2025-08-28,12,3.0,2,2.0,House,11 Carambola Place,-38.07618,145.35739,2025-09-09 16:17:24,17736371,,12,0,0,False,House,House,Ray White Cranbourne,18759,"Uaina Purcell, Kevin Cabezas","Built in wardrobes, Secure Parking, Bath, Heating, Dishwasher",https://www.domain.com.au/11-carambola-place-berwick-vic-3806-17736371
17737016,BERWICK,3806,550.0,2390.0,"Thursday, 28 August 2025",2025-08-28,12,3.0,1,1.0,House,"101 , CHEVIOT Avenue",-38.051067,145.34764,2025-09-09 16:17:24,17737016,,14,0,0,False,House,House,Dons Premier Estate Agents,36898,Jessica Gale,"Heating, Bedrooms, Bathrooms, Secure Parking",https://www.domain.com.au/101-cheviot-avenue-berwick-vic-3806-17737016
17744664,BERWICK,3806,620.0,2694.0,"Tuesday, 07 October 2025",2025-09-03,6,4.0,2,2.0,House,19 Charleston Chase,-38.07445,145.36404,2025-09-09 16:17:24,17744664,,8,0,0,False,House,House,Biggin Scott Glen Waverley,24636,"Leasing Team, Davis  Fung","Gas, Internal Laundry, Secure Parking, Heating, Dishwasher, Solar panels",https://www.domain.com.au/19-charleston-chase-berwick-vic-3806-17744664
17748291,BERWICK,3806,620.0,2694.0,"Monday, 29 September 2025",2025-09-04,4,3.0,2,2.0,House,4 Hillman Court,-38.053032,145.33879,2025-09-09 16:17:24,17748291,,17,0,0,False,House,House,YPA Cranbourne,31602,"Hemant Dobriyal, Pulkit Khetarpal",,https://www.domain.com.au/4-hillman-court-berwick-vic-3806-17748291
17750222,BERWICK,3806,600.0,2607.0,"Friday, 05 September 2025",2025-09-05,3,4.0,2,1.0,House,6 Mirage Ave,-38.049213,145.32288,2025-09-09 16:17:24,17750222,,12,0,0,False,House,House,Australian Residential Group,27892,"Dorine Kuok, Sahar Ebadi",Pets Allowed,https://www.domain.com.au/6-mirage-ave-berwick-vic-3806-17750222
17751153,BERWICK,3806,610.0,2651.0,"Sunday, 05 October 2025",2025-09-08,1,4.0,2,2.0,House,9 Edgbaston Circuit,-38.05639,145.3437,2025-09-09 16:17:24,17751153,,8,0,0,False,House,House,Professionals Wantirna Knox,18311,Professionals Wantirna Knox,"Secure Parking, Heating, Shed, Solar panels",https://www.domain.com.au/9-edgbaston-circuit-berwick-vic-3806-17751153
17751546,BERWICK,3806,560.0,2433.0,"Tuesday, 30 September 2025",2025-09-08,1,3.0,2,1.0,House,28 Bronx Avenue,-38.072487,145.37206,2025-09-09 16:17:24,17751546,,7,0,0,False,House,House,Barry Plant Berwick,17479,"Barry Plant South Eastern Group, Jarrod Hutchins","Gas, Secure Parking, Heating, Dishwasher, Solar panels",https://www.domain.com.au/28-bronx-avenue-berwick-vic-3806-17751546
17751651,BERWICK,3806,630.0,2737.0,"Monday, 22 September 2025",2025-09-08,1,3.0,2,2.0,House,46 Marlborough Road,-38.07431,145.36147,2025-09-09 16:17:24,17751651,,14,0,1,False,House,House,Barry Plant Emerald ,11993,Krystelle Rush,"Gas, Secure Parking, Heating, Balcony / Deck, Built in wardrobes, Ensuite, Carpeted, Dishwasher, Fully fenced",https://www.domain.com.au/46-marlborough-road-berwick-vic-3806-17751651
17752714,BERWICK,3806,650.0,2824.0,"Friday, 03 October 2025",2025-09-09,0,3.0,2,2.0,House,3 Pembroke Court,-38.018475,145.33357,2025-09-09 16:17:24,17752714,,19,0,1,False,House,House,Peake Real Estate,8709,Ally Byers,"Gas, Heating, Balcony / Deck, Built in wardrobes, Courtyard, Dishwasher, Outdoor Ent., Remote Garage, Split System AirCon",https://www.domain.com.au/3-pembroke-court-berwick-vic-3806-17752714
17753018,BERWICK,3806,700.0,,"Monday, 07 October 2024",2025-09-09,0,4.0,2,2.0,House,100A Homestead Road,-38.05394,145.32683,2025-09-09 16:17:24,17753018,,10,0,0,False,House,House,Gill Estate Agents,37364,"Gill Harkirat, Sukhman Gill","Secure Parking, Heating, Air conditioning, Built in wardrobes, Dishwasher",https://www.domain.com.au/100a-homestead-road-berwick-vic-3806-17753018
17753251,BERWICK,3806,680.0,2955.0,"Wednesday, 08 October 2025",2025-09-09,0,4.0,2,2.0,House,14 Skyline Way,-38.062363,145.34378,2025-09-09 16:17:24,17753251,,10,0,0,False,House,House,OBrien Real Estate Berwick,17662,"Brittany Esmore, Josh Barbut",,https://www.domain.com.au/14-skyline-way-berwick-vic-3806-17753251
17754164,BERWICK,3806,590.0,2564.0,"Monday, 06 October 2025",2025-09-09,0,3.0,2,2.0,House,14 Eglinton Close,-38.044598,145.32591,2025-09-09 16:17:24,17754164,,23,0,0,False,House,House,OBrien Real Estate Berwick,17662,"Kaylee Barnett, Josh Barbut","Air conditioning, Close to transport, Close to shops, Close to schools, Carpeted",https://www.domain.com.au/14-eglinton-close-berwick-vic-3806-17754164
13742598,BERWICK,3806,585.0,2542.0,"Monday, 01 September 2025",2025-08-12,28,4.0,2,2.0,House,3 Alberta Way,-38.0441,145.32304,2025-09-09 16:17:29,13742598,BR-1182-QY,8,0,0,False,House,House,Grand Real Estate,31825,"Nisal Rajapaksa, Nilesh Fernando","Air conditioning, Secure Parking, Ducted Heating, Evaporative Cooling, Ensuite",https://www.domain.com.au/3-alberta-way-berwick-vic-3806-13742598
15699621,BERWICK,3806,590.0,2564.0,"Thursday, 04 September 2025",2025-08-04,36,3.0,2,6.0,House,5 Coolabah Grove,-38.022633,145.32292,2025-09-09 16:17:29,15699621,CC-3376-VX,13,0,0,False,House,House,Ray White Berwick,31114,"Marcia Jean-Pierre, Ray White Berwick Property Management","Gas, Heating, Dishwasher",https://www.domain.com.au/5-coolabah-grove-berwick-vic-3806-15699621
16923065,BERWICK,3806,570.0,2477.0,"Friday, 12 September 2025",2025-08-25,15,3.0,2,2.0,House,88 Earlsfield Drive,-38.058712,145.36533,2025-09-09 16:17:29,16923065,SH-7365-JB,11,0,1,False,House,House,Ray White Ferntree Gully,7876,Ray White Rental Centre,"Heating, Study",https://www.domain.com.au/88-earlsfield-drive-berwick-vic-3806-16923065
17080026,BERWICK,3806,620.0,2694.0,"Wednesday, 05 November 2025",2025-09-03,5,3.0,2,2.0,House,18 Vetara Street,-38.075626,145.37132,2025-09-09 16:17:29,17080026,AG-8801-XT,6,0,1,False,House,House,Ray White Ferntree Gully,7876,Ray White Rental Centre,"Bath, Heating, Dishwasher",https://www.domain.com.au/18-vetara-street-berwick-vic-3806-17080026
17380986,BERWICK,3806,615.0,2672.0,"Friday, 29 August 2025",2025-08-19,20,4.0,3,2.0,Townhouse,1 San Siro Walk,-38.07592,145.37337,2025-09-09 16:17:29,17380986,BX-9763-LI,8,1,1,True,Townhouse/Villa,Townhouse,LongView Real Estate,7797,Christie Visser,"Gas, Internal Laundry, Bath, Built in wardrobes, Dishwasher, Split System Heating, Split System Air Conditioning",https://www.domain.com.au/1-san-siro-walk-berwick-vic-3806-17380986
17650569,BERWICK,3806,650.0,2824.0,"Saturday, 12 July 2025",2025-07-03,68,4.0,2,2.0,House,24 Praiano Ave,-38.07778,145.37148,2025-09-09 16:17:29,17650569,,18,0,0,False,House,House,UpHill Real Estate,31519,"Lorenzo Lazo, Leasing Department","Internal Laundry, Pets Allowed, Built in wardrobes, Dishwasher, Bathtub, Ducted Heating, Ducted Air Conditioning, Outdoor Entertainment Area, Remote Garage, Secure Parking, Fully fenced",https://www.domain.com.au/24-praiano-ave-berwick-vic-3806-17650569
17689614,BERWICK,3806,775.0,3367.0,"Friday, 05 September 2025",2025-07-29,42,5.0,3,2.0,House,14 Bellagio Road,-38.07365,145.3711,2025-09-09 16:17:29,17689614,,16,0,0,False,House,House,Wise Group,22331,Pradeep Fernando,"Study, Balcony, Outdoor Entertainment Area, Remote Garage, Built in wardrobes, Dishwasher, Floorboards, Ducted Heating, Evaporative Cooling, Ensuite",https://www.domain.com.au/14-bellagio-road-berwick-vic-3806-17689614
17700499,BERWICK,3806,650.0,2824.0,"Saturday, 16 August 2025",2025-08-05,35,4.0,2,2.0,House,45 Marija Cres,-38.06908,145.33273,2025-09-09 16:17:29,17700499,,20,0,0,False,House,House,UpHill Real Estate,31519,Lorenzo Lazo,"Internal Laundry, Pets Allowed, Built in wardrobes, Dishwasher, Bathtub, Ducted Heating, Evaporative Cooling, Outdoor Entertainment Area, Remote Garage, Secure Parking, Fully fenced",https://www.domain.com.au/45-marija-cres-berwick-vic-3806-17700499
17700541,BERWICK,3806,580.0,2521.0,"Friday, 12 September 2025",2025-08-05,35,4.0,2,2.0,House,16 Misty Close,-38.074875,145.34933,2025-09-09 16:17:29,17700541,,8,0,0,False,House,House,Ray White Cranbourne,18759,Sophie Bridges,Heating,https://www.domain.com.au/16-misty-close-berwick-vic-3806-17700541
17704559,BERWICK,3806,550.0,2390.0,"Thursday, 07 August 2025",2025-08-07,33,3.0,2,1.0,House,3 Bellevue Drive,-38.053955,145.32967,2025-09-09 16:17:29,17704559,,12,0,0,False,House,House,Ray White Berwick,31114,"Marcia Jean-Pierre, Ray White Berwick Property Management","Gas, Secure Parking, Heating, Dishwasher",https://www.domain.com.au/3-bellevue-drive-berwick-vic-3806-17704559
17706789,BERWICK,3806,750.0,3259.0,"Tuesday, 12 August 2025",2025-08-08,32,5.0,3,2.0,House,61 Glenview Rise,-38.06629,145.35522,2025-09-09 16:17:29,17706789,,15,0,0,False,House,House,Premiere Real Estate,4465,Adil .,,https://www.domain.com.au/61-glenview-rise-berwick-vic-3806-17706789
17728299,BERWICK,3806,620.0,2695.0,"Friday, 03 October 2025",2025-08-22,18,4.0,3,2.0,House,9 Bermeral Court,-38.031124,145.34367,2025-09-09 16:17:29,17728299,,7,0,0,False,House,House,Ray White Cranbourne,18759,Sophie Bridges,"Secure Parking, Heating, Dishwasher",https://www.domain.com.au/9-bermeral-court-berwick-vic-3806-17728299
17744430,BERWICK,3806,750.0,3250.0,"Tuesday, 16 September 2025",2025-09-03,6,5.0,3,2.0,House,2 Naples Avenue,-38.07462,145.37254,2025-09-09 16:17:29,17744430,,15,0,0,False,House,House,Biggin Scott Glen Waverley,24636,"Leasing Team, Thanasi Mallios","Secure Parking, Heating",https://www.domain.com.au/2-naples-avenue-berwick-vic-3806-17744430
17746919,BERWICK,3806,650.0,2824.0,"Thursday, 04 September 2025",2025-09-04,5,3.0,2,4.0,House,6 Fusco Terrace,-38.054302,145.33673,2025-09-09 16:17:29,17746919,,12,0,0,False,House,House,Top Estate Agents,37270,"Jagjeet Singh, Karan Singh","Gas, Dishwasher",https://www.domain.com.au/6-fusco-terrace-berwick-vic-3806-17746919
17747301,BERWICK,3806,520.0,2260.0,"Saturday, 11 October 2025",2025-09-04,5,3.0,2,1.0,Townhouse,4A Manuka Road,-38.03846,145.36206,2025-09-09 16:17:29,17747301,,4,0,0,False,Townhouse/Villa,Townhouse,First National Real Estate Neilson Partners Berwick,16085,Karen Neil,"Balcony / Deck, Ensuite, Dishwasher, Built in wardrobes, Air-Conditioner, Ducted Heating, Remote Garage",https://www.domain.com.au/4a-manuka-road-berwick-vic-3806-17747301
17747498,BERWICK,3806,570.0,2477.0,"Tuesday, 07 October 2025",2025-09-04,5,3.0,2,2.0,House,4 Tanzanite Court,-38.048836,145.3193,2025-09-09 16:17:29,17747498,,10,0,0,False,House,House,Harcourts Cranbourne,8515,Cranbourne Rental Department,,https://www.domain.com.au/4-tanzanite-court-berwick-vic-3806-17747498
17747547,BERWICK,3806,600.0,2607.0,"Friday, 10 October 2025",2025-09-04,5,4.0,2,2.0,House,9 Carabott Place,-38.05041,145.32823,2025-09-09 16:17:29,17747547,,1,0,0,False,House,House,Harcourts Asap Group,29204,Reception Asap,"Gas, Secure Parking, Bath, Dishwasher, Heating",https://www.domain.com.au/9-carabott-place-berwick-vic-3806-17747547
17747943,BERWICK,3806,790.0,3433.0,"Tuesday, 23 September 2025",2025-09-04,4,4.0,2,2.0,House,90 Homestead Road,-38.054092,145.32883,2025-09-09 16:17:29,17747943,,15,0,1,False,House,House,Barry Plant Pakenham - Officer,18278,"Jarrod Hutchins, Barry Plant South Eastern Group","Pets Allowed, Air conditioning, Heating, Built in wardrobes, Close to transport, Close to shops, Close to schools, Ensuite, Remote Garage, Study",https://www.domain.com.au/90-homestead-road-berwick-vic-3806-17747943
17749893,BERWICK,3806,605.0,2629.0,"Friday, 19 September 2025",2025-09-05,3,3.0,2,4.0,House,11 Mitre Crescent,-38.02605,145.32137,2025-09-09 16:17:29,17749893,,9,0,0,False,House,House,Barry Plant Narre Warren,17478,"Madisson Akers, Nicole Robertson","Secure Parking, Heating",https://www.domain.com.au/11-mitre-crescent-berwick-vic-3806-17749893
17750218,BERWICK,3806,620.0,2694.0,"Monday, 08 September 2025",2025-09-05,3,4.0,2,1.0,House,14 Avro Way,-38.05012,145.32341,2025-09-09 16:17:29,17750218,,12,0,0,False,House,House,Australian Residential Group,27892,"Dorine Kuok, Sahar Ebadi",Pets Allowed,https://www.domain.com.au/14-avro-way-berwick-vic-3806-17750218
17497316,BERWICK,3806,550.0,2390.0,"Friday, 12 September 2025",2025-08-27,13,3.0,1,2.0,Townhouse,11/2-6 Jerilderie Drive,-38.014584,145.32542,2025-09-09 16:17:36,17497316,BP-8629-WJ,8,0,0,False,Townhouse/Villa,Townhouse,Ray White Carnegie,5958,"Lachie Whitehead, Nick Giannopoulos","Built in wardrobes, Gas, Internal Laundry, Heating, Dishwasher",https://www.domain.com.au/11-2-6-jerilderie-drive-berwick-vic-3806-17497316
17690557,BERWICK,3806,735.0,3194.0,"Friday, 01 August 2025",2025-07-29,42,4.0,2,2.0,House,23 Vietri Street,-38.0752,145.37077,2025-09-09 16:17:36,17690557,,16,0,1,False,House,House,Ray White Berwick,31114,"Marcia Jean-Pierre, Ray White Berwick Property Management","Gas, Secure Parking, Heating, Dishwasher, Balcony / Deck",https://www.domain.com.au/23-vietri-street-berwick-vic-3806-17690557
17709723,BERWICK,3806,300.0,1304.0,"Monday, 11 August 2025",2025-08-11,29,1.0,1,,Studio,3/31 Jane Street,-38.035267,145.33902,2025-09-09 16:17:36,17709723,,16,0,0,False,Apartment,Studio,YOUR EXPERT REAL ESTATE - CASEY,35072,Winnie Zhou,"Air conditioning, Gas, Broadband internet access",https://www.domain.com.au/3-31-jane-street-berwick-vic-3806-17709723
17721193,BERWICK,3806,500.0,2173.0,"Tuesday, 19 August 2025",2025-08-19,21,3.0,1,1.0,House,1/22 Margaret Street,-38.034702,145.34033,2025-09-09 16:17:36,17721193,,12,0,1,False,House,House,YOUR EXPERT REAL ESTATE - CASEY,35072,Winnie Zhou,"Built in wardrobes, Internal Laundry, Secure Parking, Heating",https://www.domain.com.au/1-22-margaret-street-berwick-vic-3806-17721193
17724668,BERWICK,3806,600.0,2607.0,"Wednesday, 05 November 2025",2025-08-20,19,3.0,2,2.0,House,20 Jarryd Crescent,-38.055916,145.36014,2025-09-09 16:17:36,17724668,,14,0,0,False,House,House,Top Estate Agents,37270,"Jagjeet Singh, Manisha Sinha","Heating, Dishwasher",https://www.domain.com.au/20-jarryd-crescent-berwick-vic-3806-17724668
17735731,BERWICK,3806,610.0,2651.0,"Thursday, 28 August 2025",2025-08-28,12,4.0,2,2.0,House,7 Cannes Avenue,-38.072933,145.3661,2025-09-09 16:17:36,17735731,,9,1,0,False,House,House,BRW Group,34868,"BRW Leasing, Janever Lee",,https://www.domain.com.au/7-cannes-avenue-berwick-vic-3806-17735731
17740352,BERWICK,3806,750.0,3259.0,"Monday, 29 September 2025",2025-09-01,8,4.0,2,2.0,House,41 Domain Drive,-38.057343,145.33087,2025-09-09 16:17:36,17740352,,10,0,0,False,House,House,LJ Hooker Dandenong,33610,Leasing Team,"Air conditioning, Secure Parking, Heating, Solar panels, Balcony / Deck",https://www.domain.com.au/41-domain-drive-berwick-vic-3806-17740352
