listing_id,suburb,postcode,weekly_rent,bond,available_date,date_listed,days_listed,bedrooms,bathrooms,carspaces,property_type,address,lat,lon,scraped_date,domain_page_id,property_id,photo_count,video_count,floorplans_count,virtual_tour,primary_type,secondary_type,agency,agency_id,agent_names,structured_features,url
16065868,BEVERIDGE,3753,500.0,2173.0,"Saturday, 18 October 2025",2025-09-09,0,4,2,2,House,13 Rhapsody Road,-37.475872,144.94287,2025-09-09 16:34:29,16065868,IU-5768-TW,21,0,0,False,House,House,Ray White Mernda,33841,Rental Department Mernda,,https://www.domain.com.au/13-rhapsody-road-beveridge-vic-3753-16065868
16438041,BEVERIDGE,3753,460.0,1999.0,"Monday, 29 July 2024",2025-07-16,55,4,2,2,House,9 Aviemore Street,-37.475178,144.9696,2025-09-09 16:34:29,16438041,ST-2009-LZ,13,0,0,False,House,House,The Avenue Property Co. Pty Ltd,28108,"Paulina Porras PM, Katherine Lopez","Floorboards, Alarm System, Built in wardrobes, Internal Laundry, Bath, Heating, Dishwasher, Secure Parking, Fully fenced, Balcony / Deck, Garden / Courtyard, Ground floor",https://www.domain.com.au/9-aviemore-street-beveridge-vic-3753-16438041
17680503,BEVERIDGE,3753,535.0,2318.0,"Friday, 01 August 2025",2025-07-22,49,4,2,2,House,6 Mckinnon Street,-37.472603,144.97023,2025-09-09 16:34:29,17680503,,9,0,0,False,House,House,Lucky Real estate Pty Ltd,34876,Jayant Poonia,Heating,https://www.domain.com.au/6-mckinnon-street-beveridge-vic-3753-17680503
17707024,BEVERIDGE,3753,450.0,1955.0,"Friday, 15 August 2025",2025-08-08,32,4,2,2,House,53 Sunflower Drive,-37.478992,144.9631,2025-09-09 16:34:29,17707024,,22,1,0,False,House,House,Ray White Craigieburn,4110,Ray White Craigieburn,"Internal Laundry, Bath, Study, Built in wardrobes, Heating, Secure Parking",https://www.domain.com.au/53-sunflower-drive-beveridge-vic-3753-17707024
17712931,BEVERIDGE,3753,590.0,2564.0,"Wednesday, 13 August 2025",2025-08-13,27,5,2,2,House,21 Fairywren Avenue,-37.46979,144.96394,2025-09-09 16:34:29,17712931,,11,0,1,False,House,House,NICOLE GERVASI PROPERTY GROUP,29875,"Andrew D'Aprano, Amanda Ocean Pacifique","Air conditioning, Ensuite, Floorboards, Built in wardrobes, Heating, Dishwasher, Fully fenced, Balcony / Deck, Secure Parking",https://www.domain.com.au/21-fairywren-avenue-beveridge-vic-3753-17712931
17714605,BEVERIDGE,3753,540.0,2346.0,"Monday, 28 July 2025",2025-08-14,26,4,3,4,House,22 Austral Street,-37.470562,144.96469,2025-09-09 16:34:29,17714605,,15,0,0,False,House,House,Brik Realty,39353,"Gaurika Kohli, Tarwinder Kullar",Ensuite,https://www.domain.com.au/22-austral-street-beveridge-vic-3753-17714605
17721394,BEVERIDGE,3753,435.0,1890.0,"Monday, 18 August 2025",2025-08-19,21,4,2,2,House,12 Spinosa Road,-37.480576,144.96378,2025-09-09 16:34:29,17721394,,11,1,0,False,House,House,Ray White Craigieburn,4110,Ray White Craigieburn,"Internal Laundry, Secure Parking, Bath, Heating, Dishwasher",https://www.domain.com.au/12-spinosa-road-beveridge-vic-3753-17721394
17736842,BEVERIDGE,3753,500.0,2166.0,"Friday, 05 September 2025",2025-08-28,12,4,2,2,House,37 Spafield Road,-37.47069,144.98688,2025-09-09 16:34:29,17736842,,6,0,0,False,House,House,SKAD REAL ESTATE THOMASTOWN,30016,"Rental Team, Sunil Kumar","Internal Laundry, Secure Parking, Heating",https://www.domain.com.au/37-spafield-road-beveridge-vic-3753-17736842
17737879,BEVERIDGE,3753,570.0,2477.0,"Monday, 01 September 2025",2025-08-29,11,4,2,2,House,330 Mandalay Circuit,-37.46914,144.94002,2025-09-09 16:34:29,17737879,,13,0,0,False,House,House,One Group Realty,32679,"Rouche Kour, Chantell Hawzi","Secure Parking, Ensuite, Dishwasher, Floorboards, Ducted Heating, Ducted Cooling",https://www.domain.com.au/330-mandalay-circuit-beveridge-vic-3753-17737879
17739246,BEVERIDGE,3753,520.0,2260.0,"Wednesday, 03 September 2025",2025-08-29,10,4,2,2,House,2 Balmore Street,-37.48036,144.96538,2025-09-09 16:34:29,17739246,,13,0,0,False,House,House,One Group Realty,32679,"Rouche Kour, Chantell Hawzi","Built in wardrobes, Dishwasher, Ducted Heating, Ducted Cooling, Swimming Pool, Remote Garage, Deck, Fully fenced, Solar panels",https://www.domain.com.au/2-balmore-street-beveridge-vic-3753-17739246
