listing_id,suburb,postcode,weekly_rent,bond,available_date,date_listed,days_listed,bedrooms,bathrooms,carspaces,property_type,address,lat,lon,scraped_date,domain_page_id,property_id,photo_count,video_count,floorplans_count,virtual_tour,primary_type,secondary_type,agency,agency_id,agent_names,structured_features,url
15477825,BLACK ROCK,3193,1750.0,9000,"Friday, 01 September 2023",2025-09-02,7,4,3,4,Townhouse,1/10a ILULKA STREET,-37.974743,145.02553,2025-09-09 16:48:05,15477825,,14,0,1,True,Townhouse/Villa,Townhouse,Bluestars Real Estate,20623,Ling Xu,"Internal Laundry, Air conditioning, Floorboards, Built in wardrobes, Gas, Broadband internet access, Bath, Heating, Dishwasher, Secure Parking, Balcony / Deck",https://www.domain.com.au/1-10a-ilulka-street-black-rock-vic-3193-15477825
17455264,BLACK ROCK,3193,,3693,,2025-02-24,196,3,2,2,Apartment / Unit / Flat,1/46 First Street,-37.977745,145.02423,2025-09-09 16:48:05,17455264,EJ-2123-YT,6,0,0,False,Apartment,Apartment / Unit / Flat,Jellis Craig Bentleigh,30117,Oscar Reynolds,"Air conditioning, Internal Laundry, Secure Parking, Heating",https://www.domain.com.au/1-46-first-street-black-rock-vic-3193-17455264
17644903,BLACK ROCK,3193,945.0,4725,"Wednesday, 09 July 2025",2025-06-30,71,3,2,2,House,54 First Street,-37.977917,145.02502,2025-09-09 16:48:05,17644903,,10,0,0,False,House,House,Buxton Real Estate Sandringham,3935,"Simone Buckley, Beth Bodi","Split System Air Con, Split System Heating, Balcony / Deck, Built in wardrobes, Garden / Courtyard, Dishwasher, Ducted Heating, Floorboards, Fully fenced, Outdoor Entertainment Area, Remote Garage, Secure Parking, Downstairs off garage - large 4th bedroom for young adult or multipurpose room",https://www.domain.com.au/54-first-street-black-rock-vic-3193-17644903
17674632,BLACK ROCK,3193,1950.0,9750,"Friday, 01 August 2025",2025-07-18,53,5,3,2,House,256 Beach Road,-37.970123,145.01207,2025-09-09 16:48:05,17674632,,18,0,1,False,House,House,Beck & Small Property,32041,Richard Beck,"Split System Air Con, Split System Heating, Balcony / Deck, Study, Built in wardrobes, Dishwasher, Ducted Heating, Fully fenced, Outdoor Entertainment Area, Remote Garage, Secure Parking, Ensuite",https://www.domain.com.au/256-beach-road-black-rock-vic-3193-17674632
17712042,BLACK ROCK,3193,620.0,2694,"Friday, 12 September 2025",2025-08-12,28,2,2,1,Apartment / Unit / Flat,5/577 Balcombe Road,-37.97596,145.01868,2025-09-09 16:48:05,17712042,,10,0,0,False,Apartment,Apartment / Unit / Flat,Hodges Real Estate Beaumaris,3913,Michelle Balme,"Internal Laundry, Intercom, Split System Air Con, Split System Heating, Balcony / Deck, Built in wardrobes, Dishwasher, Floorboards, Secure Parking",https://www.domain.com.au/5-577-balcombe-road-black-rock-vic-3193-17712042
17718395,BLACK ROCK,3193,1995.0,11970,"Tuesday, 02 September 2025",2025-08-15,24,4,2,4,House,39 Seaview Crescent,-37.970234,145.0161,2025-09-09 16:48:05,17718395,,11,0,1,False,House,House,Belle Property Sandringham,3720,"Danni Cipriano, Stella Patselis","Built in wardrobes, Close to transport, Close to shops, Close to schools, Ensuite, Study, Fully fenced, Secure Parking, Swimming Pool - Below Ground, Window Treatments, Dishwasher",https://www.domain.com.au/39-seaview-crescent-black-rock-vic-3193-17718395
17722122,BLACK ROCK,3193,1250.0,5432,"Thursday, 28 August 2025",2025-08-19,21,4,2,2,House,26 Eliza Street,-37.96493,145.0149,2025-09-09 16:48:05,17722122,,10,0,1,False,House,House,Buxton Hampton East,3938,Luisa Abbate,"Air conditioning, Internal Laundry, Bath, Fireplace(s), Heating, Study, Balcony / Deck, Dishwasher, Fully fenced, Floorboards, Built in wardrobes",https://www.domain.com.au/26-eliza-street-black-rock-vic-3193-17722122
17741194,BLACK ROCK,3193,2100.0,12600,"Friday, 19 September 2025",2025-09-01,8,4,2,3,House,224 Beach Road,-37.965847,145.0126,2025-09-09 16:48:05,17741194,,18,0,1,False,House,House,DOW REAL ESTATE,36595,Marnie Proudfoot,"Secure Parking, Heating",https://www.domain.com.au/224-beach-road-black-rock-vic-3193-17741194
17741557,BLACK ROCK,3193,925.0,4625,"Thursday, 09 October 2025",2025-09-01,8,3,2,2,House,3/24 Middleton Street,-37.96741,145.01503,2025-09-09 16:48:05,17741557,,13,0,0,False,House,House,Hodges Real Estate Sandringham,3917,Katie Pickering,,https://www.domain.com.au/3-24-middleton-street-black-rock-vic-3193-17741557
17749963,BLACK ROCK,3193,760.0,3302,"Monday, 22 September 2025",2025-09-05,3,3,1,1,House,54a Second Street,-37.97926,145.02477,2025-09-09 16:48:05,17749963,,6,0,0,True,House,House,Hodges Real Estate Beaumaris,3913,Michelle Balme,"Bath, Heating",https://www.domain.com.au/54a-second-street-black-rock-vic-3193-17749963
17752919,BLACK ROCK,3193,1100.0,5500,"Friday, 17 October 2025",2025-09-09,0,3,3,2,House,22 Cullinane Street,-37.975956,145.0216,2025-09-09 16:48:05,17752919,,11,0,0,False,House,House,Hodges Real Estate Sandringham,3917,Katie Pickering,"Built in wardrobes, Dishwasher, Floorboards, Ensuite",https://www.domain.com.au/22-cullinane-street-black-rock-vic-3193-17752919
