listing_id,suburb,postcode,weekly_rent,bond,available_date,date_listed,days_listed,bedrooms,bathrooms,carspaces,property_type,address,lat,lon,scraped_date,domain_page_id,property_id,photo_count,video_count,floorplans_count,virtual_tour,primary_type,secondary_type,agency,agency_id,agent_names,structured_features,url
15935751,BLACKBURN,3130,630.0,2738.0,"Friday, 05 September 2025",2025-08-07,33,2,2,1.0,Apartment / Unit / Flat,305D/168 Whitehorse Road,-37.817997,145.1573,2025-09-09 16:50:14,15935751,,12,0,0,False,Apartment,Apartment / Unit / Flat,Ray White Blackburn,4665,Erin Birkett,"Secure Parking, Swimming Pool, Intercom, Balcony / Deck",https://www.domain.com.au/305d-168-whitehorse-road-blackburn-vic-3130-15935751
16228910,BLACKBURN,3130,310.0,620.0,"Monday, 22 September 2025",2022-12-08,1006,1,1,,Townhouse,7/106 South Parade,-37.820606,145.15181,2025-09-09 16:50:14,16228910,TW-6503-EB,10,0,0,False,Townhouse/Villa,Townhouse,Woodards Blackburn,3599,"Amy Hu, Angelica Martinez","Built in wardrobes, Gas, Broadband internet access, Heating, Balcony / Deck, Air conditioning",https://www.domain.com.au/7-106-south-parade-blackburn-vic-3130-16228910
16287851,BLACKBURN,3130,680.0,2955.0,"Friday, 29 August 2025",2025-07-22,49,3,1,1.0,House,13 O'Hara Street,-37.816074,145.1472,2025-09-09 16:50:14,16287851,OW-5453-WV,9,0,0,False,House,House,Ray White Blackburn,4665,Narelle Poloso,"Internal Laundry, Heating, Floorboards, Separate Dining Room, Secure Parking",https://www.domain.com.au/13-o-hara-street-blackburn-vic-3130-16287851
16449702,BLACKBURN,3130,485.0,2107.0,"Monday, 06 October 2025",2025-09-09,0,1,1,1.0,Apartment / Unit / Flat,609/162 Whitehorse Road,-37.818176,145.15544,2025-09-09 16:50:14,16449702,MB-2681-UT,10,0,1,False,Apartment,Apartment / Unit / Flat,Motion Property,8551,Mark Reading,"Intercom, Floorboards, Built in wardrobes, Dishwasher, Split System Heating, Split System Air Conditioning, Outdoor Entertainment Area, Balcony, Remote Garage, Pets Allowed",https://www.domain.com.au/609-162-whitehorse-road-blackburn-vic-3130-16449702
16652305,BLACKBURN,3130,660.0,,"Tuesday, 30 September 2025",2025-09-09,0,2,2,1.0,Townhouse,5/74 Whitehorse Road,-37.817787,145.14629,2025-09-09 16:50:14,16652305,BQ-0413-EB,8,0,0,False,Townhouse/Villa,Townhouse,Diamond Property Management,31578,James Ollaik,"Built in wardrobes, Secure Parking, Heating, Study, Balcony / Deck",https://www.domain.com.au/5-74-whitehorse-road-blackburn-vic-3130-16652305
16665873,BLACKBURN,3130,660.0,,"Friday, 03 October 2025",2025-09-08,1,2,2,1.0,Townhouse,4/74 Whitehorse Road,-37.817757,145.14632,2025-09-09 16:50:14,16665873,FL-7651-UJ,8,0,0,False,Townhouse/Villa,Townhouse,Diamond Property Management,31578,James Ollaik,"Built in wardrobes, Secure Parking, Heating, Study, Balcony / Deck",https://www.domain.com.au/4-74-whitehorse-road-blackburn-vic-3130-16665873
17688387,BLACKBURN,3130,900.0,3911.0,"Thursday, 21 August 2025",2025-07-28,43,5,2,2.0,House,23A Fuchsia Street,-37.823143,145.14577,2025-09-09 16:50:14,17688387,,15,0,1,False,House,House,Jellis Craig Whitehorse,20157,"William Ferraro, Charlotte Li","Internal Laundry, Fireplace(s), Study, Split System Air Con, Ducted Heating, Built in wardrobes, Shed",https://www.domain.com.au/23a-fuchsia-street-blackburn-vic-3130-17688387
17707607,BLACKBURN,3130,695.0,3020.0,"Saturday, 09 August 2025",2025-08-08,32,2,1,1.0,Townhouse,9/4 Frankcom Street,-37.8187,145.14389,2025-09-09 16:50:14,17707607,,14,0,1,False,Townhouse/Villa,Townhouse,Dynamic Estate Group,23759,Rental Dynamic,"Bath, Intercom, Built in wardrobes, Dishwasher, Split System Heating, Split System Air Conditioning, Balcony, Courtyard, Remote Garage, Secure Parking, Furnished",https://www.domain.com.au/9-4-frankcom-street-blackburn-vic-3130-17707607
17728255,BLACKBURN,3130,580.0,2520.0,"Tuesday, 30 September 2025",2025-08-22,18,4,2,3.0,House,1 Dora Avenue,-37.820705,145.13881,2025-09-09 16:50:14,17728255,,4,0,1,False,House,House,Jellis Craig Whitehorse,20157,"William Ferraro, Naomi Henderson","Air conditioning, Internal Laundry, Heating, Built in wardrobes",https://www.domain.com.au/1-dora-avenue-blackburn-vic-3130-17728255
17732824,BLACKBURN,3130,675.0,2933.0,"Wednesday, 27 August 2025",2025-08-26,14,2,2,1.0,Apartment / Unit / Flat,401/166 Whitehorse Road,-37.818176,145.15544,2025-09-09 16:50:14,17732824,,12,0,0,False,Apartment,Apartment / Unit / Flat,Ray White CRE,7728,RACHEL BOGGS,,https://www.domain.com.au/401-166-whitehorse-road-blackburn-vic-3130-17732824
