listing_id,suburb,postcode,weekly_rent,bond,available_date,date_listed,days_listed,bedrooms,bathrooms,carspaces,property_type,address,lat,lon,scraped_date,domain_page_id,property_id,photo_count,video_count,floorplans_count,virtual_tour,primary_type,secondary_type,agency,agency_id,agent_names,structured_features,url
16535646,BLACKBURN NORTH,3130,645,2795.0,"Saturday, 23 August 2025",2025-08-06,33,3,1,,House,41 Brendale Avenue,-37.80664,145.16595,2025-09-09 16:54:09,16535646,AM-5543-SJ,7,0,0,False,House,House,Raine & Horne Blackburn,29609,"Rupa Mane, Patrick Mane",Internal Laundry,https://www.domain.com.au/41-brendale-avenue-blackburn-north-vic-3130-16535646
16595529,BLACKBURN NORTH,3130,630,2738.0,"Friday, 04 August 2023",2023-08-03,767,3,2,2.0,Townhouse,3 Finn Mews,-37.806232,145.15907,2025-09-09 16:54:09,16595529,SG-9479-VV,12,0,1,False,Townhouse/Villa,Townhouse,Xynergy Realty South Yarra,21571,,"Internal Laundry, Heating, Balcony / Deck",https://www.domain.com.au/3-finn-mews-blackburn-north-vic-3130-16595529
17643285,BLACKBURN NORTH,3130,660,2868.0,"Friday, 25 July 2025",2025-06-27,73,4,1,,House,2 Primula Street,-37.804253,145.142,2025-09-09 16:54:09,17643285,,5,0,0,False,House,House,Barry Plant Manningham,7015,"Katerina Fountas, Michelle Lam","Built in wardrobes, Gas, Secure Parking, Study",https://www.domain.com.au/2-primula-street-blackburn-north-vic-3130-17643285
17712643,BLACKBURN NORTH,3130,760,3302.0,"Monday, 15 September 2025",2025-08-12,27,3,2,3.0,House,95 Surrey Road,-37.808353,145.15855,2025-09-09 16:54:09,17712643,,10,0,1,False,House,House,Austrump Glen Pty Ltd,31049,"Terence Wu, Mary Navarro",Courtyard,https://www.domain.com.au/95-surrey-road-blackburn-north-vic-3130-17712643
17715956,BLACKBURN NORTH,3130,425,1847.0,"Wednesday, 20 August 2025",2025-08-14,26,1,1,,Apartment / Unit / Flat,16 Mall Court,-37.807945,145.14236,2025-09-09 16:54:09,17715956,,6,0,0,False,Apartment,Apartment / Unit / Flat,Xynergy Realty Oakleigh,26633,Parker Wang,,https://www.domain.com.au/16-mall-court-blackburn-north-vic-3130-17715956
17716144,BLACKBURN NORTH,3130,750,3258.0,"Thursday, 25 September 2025",2025-08-14,26,2,2,1.0,Townhouse,2/199 Springfield Road,-37.811325,145.1626,2025-09-09 16:54:09,17716144,,8,0,1,False,Townhouse/Villa,Townhouse,Jellis Craig Doncaster,18680,"Bill Vlahos, Tina Dekas","Balcony / Deck, Built in wardrobes, Garden / Courtyard, Dishwasher, Ducted Heating, Evaporative Cooling, Outdoor Entertainment Area, Remote Garage, Secure Parking, Shed",https://www.domain.com.au/2-199-springfield-road-blackburn-north-vic-3130-17716144
17723651,BLACKBURN NORTH,3130,525,2282.0,"Wednesday, 10 September 2025",2025-08-20,20,3,1,2.0,Apartment / Unit / Flat,1/75 Junction Road,-37.807087,145.1646,2025-09-09 16:54:09,17723651,,7,0,1,False,Apartment,Apartment / Unit / Flat,Marshall White Manningham Pty Ltd,3929,"Mia  Collings, Asif Khan",,https://www.domain.com.au/1-75-junction-road-blackburn-north-vic-3130-17723651
17729380,BLACKBURN NORTH,3130,750,3259.0,"Monday, 01 September 2025",2025-08-25,15,3,2,2.0,House,17 Springfield Rd,-37.809235,145.1431,2025-09-09 16:54:09,17729380,,10,0,0,False,House,House,Ray White (Box Hill),34590,Jerry Bao,Built in wardrobes,https://www.domain.com.au/17-springfield-rd-blackburn-north-vic-3130-17729380
17736819,BLACKBURN NORTH,3130,620,,"Tuesday, 09 September 2025",2025-08-28,12,3,1,2.0,House,35 Douglas Street,-37.8015,145.1548,2025-09-09 16:54:09,17736819,,11,0,1,False,House,House,MCGRATH BOX HILL,12106,Scarlett Huang,"Gas, Internal Laundry, Secure Parking, Bath, Heating, Dishwasher, Balcony / Deck",https://www.domain.com.au/35-douglas-street-blackburn-north-vic-3130-17736819
17738364,BLACKBURN NORTH,3130,1100,6600.0,"Monday, 08 September 2025",2025-08-29,11,4,3,2.0,Townhouse,1/9 Anne Street,-37.80335,145.15486,2025-09-09 16:54:09,17738364,,16,0,0,False,Townhouse/Villa,Townhouse,McGrath Blackburn,12105,"Ashleigh King, Emily Patton","Secure Parking, Heating, Balcony / Deck, Air conditioning, Built in wardrobes, Close to transport, Close to shops, Close to schools, Ensuite, Carpeted, Window Treatments, Floorboards",https://www.domain.com.au/1-9-anne-street-blackburn-north-vic-3130-17738364
17738464,BLACKBURN NORTH,3130,470,2042.0,"Tuesday, 09 September 2025",2025-08-29,11,2,1,1.0,Apartment / Unit / Flat,5/79 Surrey Road,-37.807034,145.1594,2025-09-09 16:54:09,17738464,,8,0,0,False,Apartment,Apartment / Unit / Flat,Barry Plant Manningham,7015,"Paul Sim, Brian Jeon","Gas, Internal Laundry",https://www.domain.com.au/5-79-surrey-road-blackburn-north-vic-3130-17738464
17739611,BLACKBURN NORTH,3130,550,2389.0,"Wednesday, 08 October 2025",2025-09-01,8,3,1,1.0,Apartment / Unit / Flat,1A Diana Drive,-37.807358,145.16386,2025-09-09 16:54:09,17739611,,11,0,0,False,Apartment,Apartment / Unit / Flat,Jellis Craig Whitehorse,20157,"William Ferraro, Charlotte Li","Built in wardrobes, Secure Parking",https://www.domain.com.au/1a-diana-drive-blackburn-north-vic-3130-17739611
17741715,BLACKBURN NORTH,3130,770,3345.0,"Friday, 10 October 2025",2025-09-01,8,3,1,2.0,House,14 Simon Street,-37.803776,145.15694,2025-09-09 16:54:09,17741715,,11,0,1,False,House,House,Jellis Craig Whitehorse,20157,James Vella,"Gas, Internal Laundry, Bath, Built in wardrobes, Outdoor Entertainment Area, Dishwasher, Ducted Cooling, Ducted Heating, Floorboards",https://www.domain.com.au/14-simon-street-blackburn-north-vic-3130-17741715
