listing_id,suburb,postcode,weekly_rent,bond,available_date,date_listed,days_listed,bedrooms,bathrooms,carspaces,property_type,address,lat,lon,scraped_date,domain_page_id,property_id,photo_count,video_count,floorplans_count,virtual_tour,primary_type,secondary_type,agency,agency_id,agent_names,structured_features,url
16329538,BONBEACH,3196,,3037,"Saturday, 18 February 2023",2023-02-15,937,3,2,3,House,2/480-481 Station Street,-38.072006,145.12213,2025-09-09 16:19:45,16329538,OA-1298-TM,14,0,0,False,House,House,Aquire,23741,Emily Dowel Aquire Leasing,"Gas, Heating, Dishwasher, Balcony / Deck, Ensuite",https://www.domain.com.au/2-480-481-station-street-bonbeach-vic-3196-16329538
16541339,BONBEACH,3196,510.0,2210,"Monday, 17 July 2023",2025-07-21,50,2,2,1,Townhouse,4/378 Station Street,-38.058533,145.11913,2025-09-09 16:19:45,16541339,TJ-4759-IY,19,1,0,False,Townhouse/Villa,Townhouse,Ray White The Bayside Group,6378,Ildiko Orsos,"Internal Laundry, Secure Parking, Intercom, Balcony / Deck",https://www.domain.com.au/4-378-station-street-bonbeach-vic-3196-16541339
16556100,BONBEACH,3196,500.0,2173,"Saturday, 06 September 2025",2025-09-02,7,2,1,2,Apartment / Unit / Flat,5/10 Golden Avenue,-38.0582,145.12027,2025-09-09 16:19:45,16556100,DL-1927-HT,5,0,0,False,Apartment,Apartment / Unit / Flat,Mitchell Torre Real Estate,8060,Lenny Barcham,"Built in wardrobes, Gas, Internal Laundry, Secure Parking, Bath",https://www.domain.com.au/5-10-golden-avenue-bonbeach-vic-3196-16556100
17666396,BONBEACH,3196,800.0,3476,"Friday, 25 July 2025",2025-08-08,31,3,2,2,Townhouse,3/20 Cannes Avenue,-38.064354,145.12286,2025-09-09 16:19:45,17666396,,9,0,0,False,Townhouse/Villa,Townhouse,OBrien Bayside Rentals,37952,"Bayside Rentals Leasing Team, Maddy Goodwin","Close to transport, Close to shops, Close to schools",https://www.domain.com.au/3-20-cannes-avenue-bonbeach-vic-3196-17666396
17714060,BONBEACH,3196,530.0,2303,"Wednesday, 13 August 2025",2025-08-13,27,3,1,1,Apartment / Unit / Flat,9/20 BROADWAY Avenue,-38.059525,145.12196,2025-09-09 16:19:45,17714060,,7,0,0,False,Apartment,Apartment / Unit / Flat,Buxton Real Estate Mentone,3937,Charlotte Currie,"Internal Laundry, Bath, Built in wardrobes, Secure Parking, Split System Air Con, Split System Heating",https://www.domain.com.au/9-20-broadway-avenue-bonbeach-vic-3196-17714060
17720600,BONBEACH,3196,700.0,3042,"Friday, 03 October 2025",2025-08-18,21,4,2,2,House,22 Breeze Street,-38.067894,145.12416,2025-09-09 16:19:45,17720600,,10,0,0,False,House,House,OBrien Bayside Rentals,37952,"Bayside Rentals Leasing Team, Maddy Goodwin","Close to transport, Close to shops, Close to schools",https://www.domain.com.au/22-breeze-street-bonbeach-vic-3196-17720600
17725239,BONBEACH,3196,530.0,2303,"Wednesday, 03 September 2025",2025-08-21,19,3,1,1,House,1A Crown Rd,-38.0601,145.12634,2025-09-09 16:19:45,17725239,,8,0,0,False,House,House,Barry Plant Bayside,16215,"Dimmy Alevizos, Helen Paliouras","Built in wardrobes, Gas, Internal Laundry, Bath, Heating, Shed",https://www.domain.com.au/1a-crown-rd-bonbeach-vic-3196-17725239
17739637,BONBEACH,3196,625.0,2716,"Friday, 10 October 2025",2025-09-01,8,3,1,2,Apartment / Unit / Flat,1/31 Broadway,-38.058887,145.12288,2025-09-09 16:19:45,17739637,,10,0,0,False,Apartment,Apartment / Unit / Flat,Buxton Hampton East,3938,Hilary Makings,"Gas, Internal Laundry, Bath, Built in wardrobes, Garden / Courtyard, Dishwasher, Ducted Heating, Secure Parking, Balcony / Deck, Split System Air Con",https://www.domain.com.au/1-31-broadway-bonbeach-vic-3196-17739637
17743910,BONBEACH,3196,850.0,3693,"Tuesday, 30 September 2025",2025-09-02,6,4,2,2,House,19 Banjo Circuit,-38.05912,145.13385,2025-09-09 16:19:45,17743910,,17,0,1,False,House,House,OBrien Bayside Rentals,37952,"Bayside Rentals Leasing Team, Maddy Goodwin",,https://www.domain.com.au/19-banjo-circuit-bonbeach-vic-3196-17743910
17747849,BONBEACH,3196,540.0,2346,"Tuesday, 30 September 2025",2025-09-04,5,2,1,1,Apartment / Unit / Flat,5/26 Golden Avenue,-38.05809,145.12224,2025-09-09 16:19:45,17747849,,7,0,0,False,Apartment,Apartment / Unit / Flat,Buxton Real Estate Mentone,3937,Charlotte Currie,"Gas, Internal Laundry, Secure Parking, Bath, Dishwasher, Ducted Heating, Built in wardrobes, Garden / Courtyard",https://www.domain.com.au/5-26-golden-avenue-bonbeach-vic-3196-17747849
