listing_id,suburb,postcode,weekly_rent,bond,available_date,date_listed,days_listed,bedrooms,bathrooms,carspaces,property_type,address,lat,lon,scraped_date,domain_page_id,property_id,photo_count,video_count,floorplans_count,virtual_tour,primary_type,secondary_type,agency,agency_id,agent_names,structured_features,url
15179957,BORONIA,3155,625.0,2708.0,"Monday, 22 September 2025",2025-08-11,28.0,2,2,1.0,Apartment / Unit / Flat,4/58 Woodvale Road,-37.86716,145.27527,2025-09-09 16:31:01,15179957.0,IT-7793-IQ,6.0,0.0,0.0,False,Apartment,Apartment / Unit / Flat,Ray White Ferntree Gully,7876.0,Ray White Rental Centre,"Gas, Internal Laundry, Secure Parking, Dishwasher, Shed",https://www.domain.com.au/4-58-woodvale-road-boronia-vic-3155-15179957
15447570,BORONIA,3155,540.0,2340.0,"Friday, 12 September 2025",2025-08-12,27.0,2,1,1.0,Apartment / Unit / Flat,11/2 Woodvale Road,-37.86238,145.27663,2025-09-09 16:31:01,15447570.0,CA-9709-RH,6.0,1.0,0.0,False,Apartment,Apartment / Unit / Flat,Ray White Ferntree Gully,7876.0,Ray White Rental Centre,"Air conditioning, Built in wardrobes, Secure Parking, Heating, Balcony / Deck",https://www.domain.com.au/11-2-woodvale-road-boronia-vic-3155-15447570
15773258,BORONIA,3155,780.0,3389.0,"Monday, 04 April 2022",2025-09-08,1.0,4,2,2.0,House,91 Power Road,-37.85315,145.27992,2025-09-09 16:31:01,15773258.0,LE-2434-AW,6.0,0.0,1.0,False,House,House,Ray White Ferntree Gully,7876.0,Ray White Rental Centre,"Air conditioning, Gas, Heating",https://www.domain.com.au/91-power-road-boronia-vic-3155-15773258
15955760,BORONIA,3155,270.0,540.0,"Friday, 19 January 2024",2022-06-27,1170.0,1,1,,House,Room 4/152 Dorset Road,-37.86934,145.28569,2025-09-09 16:31:01,15955760.0,,8.0,0.0,0.0,False,House,House,Woodards Blackburn,3599.0,"Cora Lu, Angelica Martinez","Gas, Heating",https://www.domain.com.au/room-4-152-dorset-road-boronia-vic-3155-15955760
16034383,BORONIA,3155,630.0,2738.0,"Saturday, 13 September 2025",2025-08-11,29.0,4,2,2.0,House,1/1 Russell Crescent,-37.862984,145.25433,2025-09-09 16:31:01,16034383.0,VE-3808-HU,6.0,0.0,0.0,False,House,House,Ray White Ferntree Gully,7876.0,Ray White Rental Centre,"Gas, Internal Laundry, Secure Parking, Bath, Heating, Dishwasher",https://www.domain.com.au/1-1-russell-crescent-boronia-vic-3155-16034383
16073097,BORONIA,3155,580.0,2520.0,"Friday, 26 September 2025",2025-08-19,21.0,2,2,2.0,Townhouse,1/1 Iris Crescent,-37.859467,145.28183,2025-09-09 16:31:01,16073097.0,KR-9775-XL,11.0,0.0,1.0,False,Townhouse/Villa,Townhouse,Ray White Wantirna,16586.0,Angelika Bogdanov,"Internal Laundry, Floorboards, Bath, Heating, Secure Parking, Balcony / Deck, Garden / Courtyard",https://www.domain.com.au/1-1-iris-crescent-boronia-vic-3155-16073097
16809825,BORONIA,3155,500.0,2173.0,"Thursday, 25 September 2025",2025-07-23,48.0,2,1,1.0,Apartment / Unit / Flat,2/47 Woodmason Road,-37.852062,145.27907,2025-09-09 16:31:01,16809825.0,KW-4556-SL,7.0,0.0,0.0,False,Apartment,Apartment / Unit / Flat,Professionals Wantirna Knox,18311.0,Professionals Wantirna Knox,"Internal Laundry, Heating",https://www.domain.com.au/2-47-woodmason-road-boronia-vic-3155-16809825
16942101,BORONIA,3155,590.0,2564.0,"Thursday, 21 August 2025",2025-08-21,19.0,2,2,1.0,Apartment / Unit / Flat,3/181 Dorset Road,-37.865845,145.28488,2025-09-09 16:31:01,16942101.0,AA-7116-NI,9.0,0.0,0.0,False,Apartment,Apartment / Unit / Flat,Ray White Ferntree Gully,7876.0,Ray White Rental Centre,"Secure Parking, Study, Balcony / Deck",https://www.domain.com.au/3-181-dorset-road-boronia-vic-3155-16942101
17251622,BORONIA,3155,180.0,600.0,"Sunday, 27 April 2025",2025-09-07,2.0,1,1,,House,,-37.862675,145.28566,2025-09-09 16:31:01,17251622.0,,3.0,0.0,0.0,False,House,House,RentBetter,27499.0,,"Air conditioning, Alarm System, Built in wardrobes, Fully fenced, Furnished, Garden / Courtyard, Heating, Secure Parking, Shed, Solar hot water, Solar panels",https://www.domain.com.au/boronia-vic-3155-17251622
17455832,BORONIA,3155,250.0,1080.0,"Thursday, 31 July 2025",2025-02-25,196.0,1,1,,Studio,Room 9/51 Albert Avenue,-37.856823,145.29562,2025-09-09 16:31:01,17455832.0,,14.0,0.0,0.0,False,Apartment,Studio,CHN Real Estate Group,29444.0,"Chris Sun, Winnie Wen","Gas, Ducted Heating, Evaporative Cooling, Air conditioning, Dishwasher, Built in wardrobes",https://www.domain.com.au/room-9-51-albert-avenue-boronia-vic-3155-17455832
