listing_id,suburb,postcode,weekly_rent,bond,available_date,date_listed,days_listed,bedrooms,bathrooms,carspaces,property_type,address,lat,lon,scraped_date,domain_page_id,property_id,photo_count,video_count,floorplans_count,virtual_tour,primary_type,secondary_type,agency,agency_id,agent_names,structured_features,url
8640186,BOX HILL,3128,330.0,1434.0,"Tuesday, 21 October 2025",2025-09-09,0,1.0,1,,Apartment / Unit / Flat,303/490 Elgar Road,-37.812912,145.11595,2025-09-09 16:39:43,8640186,ZO-3537-SM,9,0,1,False,Apartment,Apartment / Unit / Flat,Student Housing Australia,11870,Julianne Chun,,https://www.domain.com.au/303-490-elgar-road-box-hill-vic-3128-8640186
14023378,BOX HILL,3128,600.0,2607.0,"Wednesday, 08 October 2025",2025-09-09,0,2.0,2,1.0,Apartment / Unit / Flat,608/19-21 Poplar Street,-37.814827,145.11668,2025-09-09 16:39:43,14023378,CT-4627-MT,5,0,0,False,Apartment,Apartment / Unit / Flat,LongView Real Estate,7797,Sarah Boccari,"Internal Laundry, Gym, Floorboards, Built in wardrobes, Dishwasher, Gas Appliances, Split System Heating, Split System Air Conditioning",https://www.domain.com.au/608-19-21-poplar-street-box-hill-vic-3128-14023378
17076985,BOX HILL,3128,475.0,2064.0,"Thursday, 03 July 2025",2025-07-03,68,1.0,1,,Apartment / Unit / Flat,105/2-4 Archibald Street,-37.81648,145.12172,2025-09-09 16:39:43,17076985,KG-9667-DR,7,0,0,False,Apartment,Apartment / Unit / Flat,MRE,20795,Yujin Park,"Air conditioning, Built in wardrobes, Gas, Internal Laundry, Dishwasher, Balcony / Deck, Pool/Spa Count: 0",https://www.domain.com.au/105-2-4-archibald-street-box-hill-vic-3128-17076985
17113881,BOX HILL,3128,1900.0,8255.0,"Friday, 29 August 2025",2025-08-12,28,4.0,3,2.0,Apartment / Unit / Flat,3401A/845 Whitehorse Road,-37.816982,145.11768,2025-09-09 16:39:43,17113881,,28,1,0,True,Apartment,Apartment / Unit / Flat,Austrump Glen Pty Ltd,31049,"Terence Wu, Kristy Zhang","Gym, Intercom, Floorboards, Built in wardrobes, Dishwasher, Balcony, Remote Garage, Secure Parking",https://www.domain.com.au/3401a-845-whitehorse-road-box-hill-vic-3128-17113881
17671233,BOX HILL,3128,610.0,2650.0,"Monday, 28 July 2025",2025-07-16,55,3.0,2,2.0,Apartment / Unit / Flat,15/1090 Whitehorse Road,-37.819435,145.13213,2025-09-09 16:39:43,17671233,,4,0,0,False,Apartment,Apartment / Unit / Flat,Jellis Craig Whitehorse,20157,"Hayley Cleeman, Sandi Van Tonder","Air conditioning, Gas, Secure Parking, Intercom, Dishwasher",https://www.domain.com.au/15-1090-whitehorse-road-box-hill-vic-3128-17671233
17746387,BOX HILL,3128,520.0,2260.0,"Wednesday, 17 September 2025",2025-09-03,5,1.0,1,1.0,Apartment / Unit / Flat,201/19 Wellington Road,-37.81558,145.11726,2025-09-09 16:39:43,17746387,,6,0,0,False,Apartment,Apartment / Unit / Flat,RT Edgar Boroondara,3714,Nicole Woods,,https://www.domain.com.au/201-19-wellington-road-box-hill-vic-3128-17746387
17748407,BOX HILL,3128,650.0,2824.0,"Friday, 05 September 2025",2025-09-05,4,3.0,1,2.0,Apartment / Unit / Flat,27/114 Shannon Street,-37.818108,145.12386,2025-09-09 16:39:43,17748407,,7,0,0,False,Apartment,Apartment / Unit / Flat,Ham Kerr Property Pty Ltd,18105,Tanya Olver,,https://www.domain.com.au/27-114-shannon-street-box-hill-vic-3128-17748407
17750584,BOX HILL,3128,560.0,2433.0,"Thursday, 11 September 2025",2025-09-08,1,2.0,1,1.0,Apartment / Unit / Flat,205/6-8 Wellington Road,-37.816216,145.11755,2025-09-09 16:39:43,17750584,,3,0,0,False,Apartment,Apartment / Unit / Flat,RT Edgar Boroondara,3714,Jay Trikha,,https://www.domain.com.au/205-6-8-wellington-road-box-hill-vic-3128-17750584
17750613,BOX HILL,3128,520.0,,"Saturday, 04 October 2025",2025-09-08,1,1.0,1,1.0,Apartment / Unit / Flat,3/1097 Whitehorse Road,-37.818863,145.13326,2025-09-09 16:39:43,17750613,,7,0,0,False,Apartment,Apartment / Unit / Flat,Mandy Lee Real Estate ,15950,Jaycy Lu,"Built in wardrobes, Internal Laundry",https://www.domain.com.au/3-1097-whitehorse-road-box-hill-vic-3128-17750613
17750714,BOX HILL,3128,375.0,1629.0,"Saturday, 11 October 2025",2025-09-08,1,1.0,1,,Apartment / Unit / Flat,213/1 Wellington Road,-37.81654,145.11699,2025-09-09 16:39:43,17750714,,6,0,0,False,Apartment,Apartment / Unit / Flat,Professionals First & Co,29341,"Jing Chong, William Zhao","Heating, Study",https://www.domain.com.au/213-1-wellington-road-box-hill-vic-3128-17750714
