listing_id,suburb,postcode,weekly_rent,bond,available_date,date_listed,days_listed,bedrooms,bathrooms,carspaces,property_type,address,lat,lon,scraped_date,domain_page_id,property_id,photo_count,video_count,floorplans_count,virtual_tour,primary_type,secondary_type,agency,agency_id,agent_names,structured_features,url
16163657,BOX HILL NORTH,3129,850,3694,"Monday, 08 September 2025",2025-08-13,27,3,2,2.0,Townhouse,2A Roselea Street,-37.802372,145.13425,2025-09-09 16:50:19,16163657,SG-7700-ME,15,0,0,False,Townhouse/Villa,Townhouse,APG ESTATE,30107,"Ming Lin, Alisha Yang","Internal Laundry, Floorboards, Built in wardrobes, Dishwasher, Gas Appliances, Split System Heating, Split System Air Conditioning, Ensuite(s), Balcony, Courtyard, Remote Garage",https://www.domain.com.au/2a-roselea-street-box-hill-north-vic-3129-16163657
16616277,BOX HILL NORTH,3129,630,2738,"Thursday, 18 September 2025",2025-09-02,6,2,2,1.0,Townhouse,7/140 Thames Street,-37.812347,145.11722,2025-09-09 16:50:19,16616277,OM-6508-LF,6,0,0,False,Townhouse/Villa,Townhouse,First National Avant - Box Hill,33756,Isabelle Chan,"Built in wardrobes, Gas, Dishwasher, Balcony / Deck",https://www.domain.com.au/7-140-thames-street-box-hill-north-vic-3129-16616277
17645538,BOX HILL NORTH,3129,420,1825,"Saturday, 26 July 2025",2025-06-30,71,2,1,1.0,Apartment / Unit / Flat,1/838 Station Street,-37.809566,145.12578,2025-09-09 16:50:19,17645538,,7,0,0,False,Apartment,Apartment / Unit / Flat,Jellis Craig Maroondah,4081,Emily Revere,"Built in wardrobes, Secure Parking, Bath, Heating",https://www.domain.com.au/1-838-station-street-box-hill-north-vic-3129-17645538
17708120,BOX HILL NORTH,3129,650,2824,"Monday, 18 August 2025",2025-08-08,31,2,2,1.0,Townhouse,6/140 Thames Street,-37.81239,145.1172,2025-09-09 16:50:19,17708120,,8,0,0,False,Townhouse/Villa,Townhouse,CHN Real Estate Group,29444,"Angeline Zhang, Winnie Wen","Built in wardrobes, Gas, Bath, Heating, Dishwasher, Air conditioning, Balcony / Deck, Floorboards, Remote Garage",https://www.domain.com.au/6-140-thames-street-box-hill-north-vic-3129-17708120
17710052,BOX HILL NORTH,3129,750,3259,"Monday, 11 August 2025",2025-08-11,29,3,1,1.0,House,3/70 Watts Street,-37.812626,145.1268,2025-09-09 16:50:19,17710052,,15,0,1,True,House,House,Casey Estate Agents,19032,Lee-Ann Harley,"Heating, Floorboards, Fully fenced",https://www.domain.com.au/3-70-watts-street-box-hill-north-vic-3129-17710052
17715808,BOX HILL NORTH,3129,500,2173,"Wednesday, 17 September 2025",2025-08-14,26,2,1,1.0,Apartment / Unit / Flat,11/96 Severn Street,-37.81121,145.11942,2025-09-09 16:50:19,17715808,,8,0,0,False,Apartment,Apartment / Unit / Flat,Barry Plant (Waverley),18349,Suzanna Boyes 수잔나,"Built in wardrobes, Gas, Heating",https://www.domain.com.au/11-96-severn-street-box-hill-north-vic-3129-17715808
17719495,BOX HILL NORTH,3129,580,2520,"Monday, 08 September 2025",2025-08-18,22,3,1,2.0,House,11/114 Shannon Street,-37.80715,145.11797,2025-09-09 16:50:19,17719495,,11,0,0,False,House,House,Barry Plant Manningham,7015,"Freya Semera, Con Karavokyris","Built in wardrobes, Gas, Secure Parking, Heating, Bathtub",https://www.domain.com.au/11-114-shannon-street-box-hill-north-vic-3129-17719495
17723198,BOX HILL NORTH,3129,775,3368,"Wednesday, 20 August 2025",2025-08-20,20,4,2,2.0,House,2 Woodhouse Grove,-37.804005,145.11815,2025-09-09 16:50:19,17723198,,13,0,0,True,House,House,Areal Property - Box Hill,33000,Mike Lu,"Heating, Shed",https://www.domain.com.au/2-woodhouse-grove-box-hill-north-vic-3129-17723198
17727714,BOX HILL NORTH,3129,890,3867,"Friday, 22 August 2025",2025-08-22,18,3,2,2.0,Townhouse,1/9 Woodhouse Grove,-37.803482,145.11879,2025-09-09 16:50:19,17727714,,12,0,0,False,Townhouse/Villa,Townhouse,Ray White (Box Hill),34590,Jerry Bao,"Internal Laundry, Secure Parking, Heating",https://www.domain.com.au/1-9-woodhouse-grove-box-hill-north-vic-3129-17727714
17734972,BOX HILL NORTH,3129,695,3020,"Monday, 01 September 2025",2025-08-27,13,5,2,,House,1/64 Watts Street,-37.813217,145.12637,2025-09-09 16:50:19,17734972,,7,0,0,False,House,House,Ray White Balwyn,28157,Baron Zhao,"Air conditioning, Gas, Heating",https://www.domain.com.au/1-64-watts-street-box-hill-north-vic-3129-17734972
