listing_id,suburb,postcode,weekly_rent,bond,available_date,date_listed,days_listed,bedrooms,bathrooms,carspaces,property_type,address,lat,lon,scraped_date,domain_page_id,property_id,photo_count,video_count,floorplans_count,virtual_tour,primary_type,secondary_type,agency,agency_id,agent_names,structured_features,url
13911630,BOX HILL SOUTH,3128,600.0,2607.0,"Friday, 29 August 2025",2025-08-19,21,2,1,1,Apartment / Unit / Flat,G01/3 Hay Street,-37.830303,145.1314,2025-09-09 16:53:38,13911630,,10,1,0,True,Apartment,Apartment / Unit / Flat,Austrump Glen Pty Ltd,31049,"Terence Wu, Mary Navarro","Air conditioning, Internal Laundry, Heating, Intercom, Floorboards, Built in wardrobes, Dishwasher, Broadband, Balcony, Secure Parking",https://www.domain.com.au/g01-3-hay-street-box-hill-south-vic-3128-13911630
17065257,BOX HILL SOUTH,3128,1290.0,5000.0,"Sunday, 16 June 2024",2024-06-16,449,3,3,3,Townhouse,76 Foch Street,-37.836243,145.12796,2025-09-09 16:53:38,17065257,PH-3327-OL,25,0,1,False,Townhouse/Villa,Townhouse,RentBetter,27499,,"Air conditioning, Balcony / Deck, Built in wardrobes, Dishwasher, Fully fenced, Furnished, Garden / Courtyard, Heating, Pets Allowed, Secure Parking, Shed",https://www.domain.com.au/76-foch-street-box-hill-south-vic-3128-17065257
17452025,BOX HILL SOUTH,3128,,4258.0,,2025-02-21,200,4,3,2,Townhouse,4/5 Hay Street,-37.830322,145.13133,2025-09-09 16:53:38,17452025,KX-2884-ZG,10,0,1,False,Townhouse/Villa,Townhouse,Everestar Real Estate,37552,"Winnie Wang, Aaron  Chen","Secure Parking, Balcony / Deck, Air conditioning, Built in wardrobes, Gas, Dishwasher",https://www.domain.com.au/4-5-hay-street-box-hill-south-vic-3128-17452025
17630815,BOX HILL SOUTH,3128,1095.0,5900.0,"Saturday, 21 June 2025",2025-06-20,81,5,3,2,Townhouse,1/1250 Riversdale Road,-37.839043,145.12288,2025-09-09 16:53:38,17630815,,12,0,0,False,Townhouse/Villa,Townhouse,Harcourts Blackburn,37344,Sophia Cong,,https://www.domain.com.au/1-1250-riversdale-road-box-hill-south-vic-3128-17630815
17633502,BOX HILL SOUTH,3128,790.0,3434.0,"Saturday, 05 July 2025",2025-06-23,78,3,2,1,Apartment / Unit / Flat,308/999 Whitehorse,-37.81796,145.12561,2025-09-09 16:53:38,17633502,,11,0,0,False,Apartment,Apartment / Unit / Flat,Casa Real Estate,20327,Mario Setiawan,"Secure Parking, Balcony / Deck",https://www.domain.com.au/308-999-whitehorse-box-hill-south-vic-3128-17633502
17673067,BOX HILL SOUTH,3128,680.0,2955.0,"Tuesday, 22 July 2025",2025-07-17,54,3,2,2,House,372 Station St,-37.831074,145.12166,2025-09-09 16:53:38,17673067,,12,0,1,False,House,House,Ray White (Box Hill),34590,"Mark Lu, Catherine Jiang","Air conditioning, Bath",https://www.domain.com.au/372-station-st-box-hill-south-vic-3128-17673067
17691375,BOX HILL SOUTH,3128,510.0,2216.0,"Monday, 04 August 2025",2025-08-06,34,2,1,2,Apartment / Unit / Flat,1/1136 Riversdale Road,-37.83773,145.11172,2025-09-09 16:53:38,17691375,,8,0,0,False,Apartment,Apartment / Unit / Flat,Fletchers Canterbury,3923,"Justine Sawford, Fletchers Property Management",,https://www.domain.com.au/1-1136-riversdale-road-box-hill-south-vic-3128-17691375
17691877,BOX HILL SOUTH,3128,500.0,2173.0,"Monday, 04 August 2025",2025-08-06,34,2,1,1,Apartment / Unit / Flat,2/1136 Riversdale Road,-37.837727,145.11172,2025-09-09 16:53:38,17691877,,8,0,0,False,Apartment,Apartment / Unit / Flat,Fletchers Canterbury,3923,"Justine Sawford, Fletchers Property Management",,https://www.domain.com.au/2-1136-riversdale-road-box-hill-south-vic-3128-17691877
17694013,BOX HILL SOUTH,3128,845.0,3672.0,"Monday, 08 September 2025",2025-07-31,40,4,2,2,House,16 Surrey Street,-37.83346,145.12294,2025-09-09 16:53:38,17694013,,26,0,1,True,House,House,OBrien Real Estate - Blackburn,7625,"Property Management Team, Brigida Francesca","Gas, Internal Laundry, Bath, Dishwasher, Study, Air conditioning, Heating, Built in wardrobes, Close to transport, Close to shops, Close to schools",https://www.domain.com.au/16-surrey-street-box-hill-south-vic-3128-17694013
17702322,BOX HILL SOUTH,3128,610.0,,"Friday, 22 August 2025",2025-08-05,34,3,2,1,Apartment / Unit / Flat,201/3 Hay Street,-37.830326,145.13124,2025-09-09 16:53:38,17702322,,14,1,0,False,Apartment,Apartment / Unit / Flat,Mandy Lee Real Estate ,15950,Nathan Zeng,"Secure Parking, Bath, Heating",https://www.domain.com.au/201-3-hay-street-box-hill-south-vic-3128-17702322
17730068,BOX HILL SOUTH,3128,330.0,,"Saturday, 30 August 2025",2025-08-25,15,1,1,1,Apartment / Unit / Flat,3/12 Stanley Street,-37.829376,145.11993,2025-09-09 16:53:38,17730068,,12,0,0,False,Apartment,Apartment / Unit / Flat,Mandy Lee Real Estate ,15950,Jaycy Lu,,https://www.domain.com.au/3-12-stanley-street-box-hill-south-vic-3128-17730068
17743857,BOX HILL SOUTH,3128,1450.0,6301.0,"Wednesday, 03 September 2025",2025-09-02,7,4,2,2,House,1C Chilcote Court,-37.839928,145.1167,2025-09-09 16:53:38,17743857,,16,0,0,False,House,House,Biggin & Scott Box Hill,35681,"Susan Wang, Biggin Scott Box Hill Leasing Team",Secure Parking,https://www.domain.com.au/1c-chilcote-court-box-hill-south-vic-3128-17743857
17743956,BOX HILL SOUTH,3128,1000.0,6000.0,"Monday, 06 October 2025",2025-09-02,7,4,3,2,Townhouse,56/325 Station Street,-37.834362,145.12056,2025-09-09 16:53:38,17743956,,10,0,0,False,Townhouse/Villa,Townhouse,VICPROP Manningham,29196,Kaan Arel,"Internal Laundry, Secure Parking, Heating, Balcony / Deck",https://www.domain.com.au/56-325-station-street-box-hill-south-vic-3128-17743956
17745679,BOX HILL SOUTH,3128,700.0,3041.0,"Friday, 12 September 2025",2025-09-03,6,4,2,4,House,67 Haig Street,-37.83501,145.1266,2025-09-09 16:53:38,17745679,,12,0,1,False,House,House,Jellis Craig Whitehorse,20157,"James Vella, Katrina George","Split System Air Con, Split System Heating, Built in wardrobes, Outdoor Entertainment Area, Dishwasher, Secure Parking, Shed",https://www.domain.com.au/67-haig-street-box-hill-south-vic-3128-17745679
17746292,BOX HILL SOUTH,3128,1700.0,10200.0,"Wednesday, 03 September 2025",2025-09-03,5,4,4,2,House,11A Cadorna Street,-37.841602,145.11214,2025-09-09 16:53:38,17746292,,21,0,0,False,House,House,Xynergy Realty South Yarra,21571,Eric Yin,"Study, Floorboards, Secure Parking",https://www.domain.com.au/11a-cadorna-street-box-hill-south-vic-3128-17746292
17746903,BOX HILL SOUTH,3128,800.0,,"Friday, 12 September 2025",2025-09-04,5,4,2,2,House,1A Stott Street,-37.842464,145.11076,2025-09-09 16:53:38,17746903,,12,0,1,False,House,House,First National Real Estate Janssen & Co,31107,"Claire Nguyen, Iswor Phuyal","Built in wardrobes, Air conditioning, Heating, Close to transport, Close to shops, Close to schools, Ensuite",https://www.domain.com.au/1a-stott-street-box-hill-south-vic-3128-17746903
