listing_id,suburb,postcode,weekly_rent,bond,available_date,date_listed,days_listed,bedrooms,bathrooms,carspaces,property_type,address,lat,lon,scraped_date,domain_page_id,property_id,photo_count,video_count,floorplans_count,virtual_tour,primary_type,secondary_type,agency,agency_id,agent_names,structured_features,url
14724011,BRAYBROOK,3019,570,2477.0,"Thursday, 02 October 2025",2025-08-29,11,3,2,2,Townhouse,23A Shepherd Street,-37.783337,144.85532,2025-09-09 17:00:45,14724011,CW-2890-ZD,10,0,0,False,Townhouse/Villa,Townhouse,Jas Stephens Real Estate,22,Stephanie Knight,"Internal Laundry, Built in wardrobes, Dishwasher, Bathtub, Gas Appliances, Split System Heating, Split System Air Conditioning, Courtyard, Remote Garage, Pets Allowed",https://www.domain.com.au/23a-shepherd-street-braybrook-vic-3019-14724011
15562836,BRAYBROOK,3019,690,2998.0,"Thursday, 21 August 2025",2025-08-21,19,3,2,2,Townhouse,98 Royal Road,-37.794052,144.84666,2025-09-09 17:00:45,15562836,XS-4616-AJ,7,0,1,False,Townhouse/Villa,Townhouse,LITTLE Real Estate Victoria,24974,Pelin Vural,"Heating: Reverse Cycle Air Conditioning, Cooling: Reverse Cycle Air Conditioning, Kitchen: Modern, Cooking: Gas Hotplates and Electric Oven, Pool/Spa Count: 0",https://www.domain.com.au/98-royal-road-braybrook-vic-3019-15562836
16820278,BRAYBROOK,3019,550,2383.0,"Sunday, 15 June 2025",2025-05-23,109,3,1,4,House,9 Vine Street,-37.783745,144.85632,2025-09-09 17:00:45,16820278,OH-5288-TO,9,0,0,False,House,House,Raine & Horne St Albans,19493,Bojan Lojanica,"Air conditioning, Built in wardrobes, Internal Laundry, Shed",https://www.domain.com.au/9-vine-street-braybrook-vic-3019-16820278
17149481,BRAYBROOK,3019,630,2738.0,"Saturday, 06 September 2025",2025-09-05,4,3,2,1,House,2/19 Wilson Street,-37.78987,144.85092,2025-09-09 17:00:45,17149481,ID-5206-MP,18,1,0,False,House,House,CROZIERS & CO,26116,"Elissa Privitelli, Stephanie Privitelli","Intercom, Heating",https://www.domain.com.au/2-19-wilson-street-braybrook-vic-3019-17149481
17209804,BRAYBROOK,3019,515,2237.0,"Tuesday, 08 October 2024",2025-08-27,13,2,1,1,Apartment / Unit / Flat,10/1 Marnoo Street,-37.790165,144.84633,2025-09-09 17:00:45,17209804,VO-1999-WW,9,0,2,False,Apartment,Apartment / Unit / Flat,Jas Stephens Real Estate,22,Stephanie Njomkam,"Internal Laundry, Floorboards, Built in wardrobes, Bathtub, Gas Appliances, Split System Heating, Split System Air Conditioning, Balcony, Secure Parking, Pets Allowed",https://www.domain.com.au/10-1-marnoo-street-braybrook-vic-3019-17209804
17622398,BRAYBROOK,3019,650,2824.0,"Friday, 27 June 2025",2025-06-16,85,3,2,2,Townhouse,13 Kent Street,-37.792355,144.84929,2025-09-09 17:00:45,17622398,,11,0,2,False,Townhouse/Villa,Townhouse,Melo Real Estate Pty Ltd,38412,"Carmelo Caputa, Admin Team","Balcony, Remote Garage, Secure Parking, Built in wardrobes, Dishwasher, Floorboards, Split-System Air Conditioning, Split-System Heating, Water Tank, Ensuite",https://www.domain.com.au/13-kent-street-braybrook-vic-3019-17622398
17652316,BRAYBROOK,3019,620,2694.0,"Thursday, 31 July 2025",2025-07-03,67,2,2,1,Townhouse,58 Cole Street,-37.794605,144.84663,2025-09-09 17:00:45,17652316,,12,0,0,False,Townhouse/Villa,Townhouse,Create Real Estate,13833,Create Rentals,Balcony / Deck,https://www.domain.com.au/58-cole-street-braybrook-vic-3019-17652316
17665922,BRAYBROOK,3019,380,1647.0,"Friday, 08 August 2025",2025-08-12,28,3,1,1,House,5C Vine Street,-37.784035,144.85628,2025-09-09 17:00:45,17665922,,8,0,0,False,House,House, Sweeney Estate Agents St. Albans,18290,"Roz Gauci, Administration Sunshine","Gas, Internal Laundry, Secure Parking, Bath, Shed",https://www.domain.com.au/5c-vine-street-braybrook-vic-3019-17665922
17676805,BRAYBROOK,3019,615,2672.0,"Monday, 04 August 2025",2025-07-21,50,3,2,2,Townhouse,15 Hines Way,-37.795235,144.84877,2025-09-09 17:00:45,17676805,,14,0,1,False,Townhouse/Villa,Townhouse,First National Real Estate D & K ,15204,"Jordon Gillett, Dorothy Schembri",,https://www.domain.com.au/15-hines-way-braybrook-vic-3019-17676805
17696878,BRAYBROOK,3019,400,1734.0,"Friday, 11 July 2025",2025-08-01,39,2,1,1,House,237 Ballarat Road,-37.781136,144.8629,2025-09-09 17:00:45,17696878,,9,0,0,False,House,House,Bells Real Estate Sunshine,4389,"Tris Waters, Rentals Sunshine",Gas,https://www.domain.com.au/237-ballarat-road-braybrook-vic-3019-17696878
