listing_id,suburb,postcode,weekly_rent,bond,available_date,date_listed,days_listed,bedrooms,bathrooms,carspaces,property_type,address,lat,lon,scraped_date,domain_page_id,property_id,photo_count,video_count,floorplans_count,virtual_tour,primary_type,secondary_type,agency,agency_id,agent_names,structured_features,url
17563803,BRIGHTON,3186,770.0,3346.0,"Friday, 13 June 2025",2025-05-08,124,2,2,2,Townhouse,155C Male Street,-37.9072,145.00516,2025-09-09 16:19:12,17563803,ON-3266-UW,5,0,1,False,Townhouse/Villa,Townhouse,Jellis Craig Brighton,30118,Daniel Biviano,,https://www.domain.com.au/155c-male-street-brighton-vic-3186-17563803
17607800,BRIGHTON,3186,1750.0,7604.0,"Friday, 11 July 2025",2025-06-05,96,4,2,2,House,16A Kinane Street,-37.921726,144.9914,2025-09-09 16:19:12,17607800,,13,0,1,False,House,House,Jellis Craig Brighton,30118,Oscar Reynolds,,https://www.domain.com.au/16a-kinane-street-brighton-vic-3186-17607800
17636229,BRIGHTON,3186,1350.0,5866.0,"Friday, 25 July 2025",2025-06-24,77,3,2,2,House,636 Hampton Street,-37.92787,145.00468,2025-09-09 16:19:12,17636229,,8,0,0,False,House,House,Hodges Real Estate Brighton,3915,Paul West,,https://www.domain.com.au/636-hampton-street-brighton-vic-3186-17636229
17668351,BRIGHTON,3186,1390.0,6040.0,"Tuesday, 09 September 2025",2025-07-15,56,3,2,2,House,4 St James Park Drive,-37.90234,144.99619,2025-09-09 16:19:12,17668351,,11,1,0,False,House,House,Hodges Real Estate Brighton,3915,Paul West,,https://www.domain.com.au/4-st-james-park-drive-brighton-vic-3186-17668351
17681931,BRIGHTON,3186,1800.0,7821.0,"Wednesday, 23 July 2025",2025-07-23,48,3,4,2,Apartment / Unit / Flat,3/19 Birdwood Avenue,-37.894226,144.98683,2025-09-09 16:19:12,17681931,,14,0,1,False,Apartment,Apartment / Unit / Flat,Jellis Craig Brighton,30118,Daniel Biviano,,https://www.domain.com.au/3-19-birdwood-avenue-brighton-vic-3186-17681931
17713501,BRIGHTON,3186,1400.0,6083.0,"Friday, 05 September 2025",2025-08-13,27,3,3,2,House,37 Kinane Street,-37.92148,144.99222,2025-09-09 16:19:12,17713501,,15,0,0,True,House,House,Jellis Craig Brighton,30118,"Adrian Biondo, Daniel Biviano",,https://www.domain.com.au/37-kinane-street-brighton-vic-3186-17713501
17714876,BRIGHTON,3186,2350.0,15000.0,"Thursday, 18 September 2025",2025-08-14,26,4,4,1,Townhouse,31B Chelsea Street,-37.910233,144.99,2025-09-09 16:19:12,17714876,,15,0,1,False,Townhouse/Villa,Townhouse,Buxton Real Estate Brighton,3934,Michelle Murray,,https://www.domain.com.au/31b-chelsea-street-brighton-vic-3186-17714876
17717939,BRIGHTON,3186,780.0,3389.0,"Monday, 15 September 2025",2025-08-15,25,3,2,2,Apartment / Unit / Flat,107/7 Cowra Street,-37.904926,145.00723,2025-09-09 16:19:12,17717939,,7,0,0,False,Apartment,Apartment / Unit / Flat,Marshall White Bayside,18945,Ashleigh Coutts,,https://www.domain.com.au/107-7-cowra-street-brighton-vic-3186-17717939
17733757,BRIGHTON,3186,1215.0,7919.0,"Tuesday, 30 September 2025",2025-08-27,13,4,3,2,House,66 Dendy Street,-37.920406,144.99927,2025-09-09 16:19:12,17733757,,7,0,1,False,House,House,Flare Real Estate,8251,"Laura Marshalik, Leasing Agent","Split System Air Con, Split System Heating, Built in wardrobes, Dishwasher, Floorboards, Heating, Secure Parking, Garden / Courtyard",https://www.domain.com.au/66-dendy-street-brighton-vic-3186-17733757
17733910,BRIGHTON,3186,920.0,5520.0,"Friday, 05 September 2025",2025-08-27,13,2,2,2,Apartment / Unit / Flat,2/49 Montclair Avenue,-37.898777,145.00427,2025-09-09 16:19:12,17733910,,6,0,0,False,Apartment,Apartment / Unit / Flat,Marshall White Bayside,18945,"Amelia Falvo, Ashleigh Coutts",,https://www.domain.com.au/2-49-montclair-avenue-brighton-vic-3186-17733910
17736338,BRIGHTON,3186,1640.0,9840.0,"Thursday, 11 September 2025",2025-08-28,12,3,2,3,House,17A New Street,-37.929962,144.99352,2025-09-09 16:19:12,17736338,,8,0,1,False,House,House,Buxton Real Estate Brighton,3934,Michelle Murray,Ensuite,https://www.domain.com.au/17a-new-street-brighton-vic-3186-17736338
17742411,BRIGHTON,3186,2200.0,13200.0,"Friday, 05 September 2025",2025-09-02,7,4,2,3,House,15 Huntingfield Road,-37.917927,144.99564,2025-09-09 16:19:12,17742411,,13,0,1,False,House,House,Buxton Real Estate Brighton,3934,"Sara Huckett, Michelle Murray",Ensuite,https://www.domain.com.au/15-huntingfield-road-brighton-vic-3186-17742411
17742950,BRIGHTON,3186,1100.0,4779.0,"Wednesday, 08 October 2025",2025-09-02,7,3,2,1,Townhouse,2/136 New Street,-37.918293,144.99324,2025-09-09 16:19:12,17742950,,9,0,1,False,Townhouse/Villa,Townhouse,Urban Real Estate,37286,Damon Lee,"Floorboards, Built in wardrobes, Internal Laundry, Gas, Broadband internet access, Dishwasher, Air conditioning, Heating, Secure Parking, Fully fenced, Garden / Courtyard",https://www.domain.com.au/2-136-new-street-brighton-vic-3186-17742950
17744432,BRIGHTON,3186,1600.0,8000.0,"Saturday, 06 September 2025",2025-09-03,6,4,2,2,House,32 Wolseley Grove,-37.92672,144.99821,2025-09-09 16:19:12,17744432,,7,0,0,False,House,House,Beck & Small Property,32041,Richard Beck,"Split System Air Con, Split System Heating, Study, Built in wardrobes, Garden / Courtyard, Workshop, Dishwasher, Floorboards, Fully fenced, Outdoor Entertainment Area, Pets Allowed, Remote Garage, Secure Parking, Shed, Ensuite",https://www.domain.com.au/32-wolseley-grove-brighton-vic-3186-17744432
17750390,BRIGHTON,3186,640.0,2781.0,"Friday, 10 October 2025",2025-09-07,1,2,1,1,Apartment / Unit / Flat,2/22 Well Street,-37.915653,144.99394,2025-09-09 16:19:12,17750390,,8,0,0,False,Apartment,Apartment / Unit / Flat,Hodges Real Estate Brighton,3915,Carolyn Stephens,"Air conditioning, Split System Air Con, Split System Heating, Built in wardrobes, Garden / Courtyard, Balcony / Deck, Dishwasher, Floorboards, Outdoor Entertainment Area",https://www.domain.com.au/2-22-well-street-brighton-vic-3186-17750390
17750966,BRIGHTON,3186,4000.0,24000.0,"Friday, 10 October 2025",2025-09-08,1,4,4,4,House,74 Champion Street,-37.921494,145.00458,2025-09-09 16:19:12,17750966,,12,0,1,False,House,House,Kay & Burton Stonnington,88,"Hudson Keppell, Tamara Uzelac","Balcony, Built in wardrobes, Built-in BBQ, Cellar, Courtyard, Dishwasher, Ducted Air-conditioning, Ducted Heating, Ensuite, Floorboards, Fully fenced, Gym, Inground Pool, Intercom, Remote Garage, Rumpus Room, Secure Parking",https://www.domain.com.au/74-champion-street-brighton-vic-3186-17750966
17752611,BRIGHTON,3186,625.0,2716.0,"Tuesday, 14 October 2025",2025-09-09,0,2,1,1,Apartment / Unit / Flat,4/17 Tennyson Street,-37.92248,144.9891,2025-09-09 16:19:12,17752611,,8,0,1,False,Apartment,Apartment / Unit / Flat,Buxton Real Estate Brighton,3934,Zarah Baker,,https://www.domain.com.au/4-17-tennyson-street-brighton-vic-3186-17752611
17753100,BRIGHTON,3186,1500.0,6500.0,"Wednesday, 01 October 2025",2025-09-09,0,4,2,2,House,17 Durrant Street,-37.908527,145.00313,2025-09-09 16:19:12,17753100,,15,0,1,False,House,House,Saint & Wood,37414,Alicia Kate,"Bath, Built in wardrobes, Heating, Dishwasher, Fully fenced, Balcony / Deck, Garden / Courtyard",https://www.domain.com.au/17-durrant-street-brighton-vic-3186-17753100
17753432,BRIGHTON,3186,700.0,3042.0,"Tuesday, 09 September 2025",2025-09-09,0,2,1,1,House,1 Bridge Street,-37.891323,145.00171,2025-09-09 16:19:12,17753432,,10,0,1,False,House,House,Hodges Real Estate Group,3912,Bentleigh Property Management,"Air conditioning, Ducted Heating, Floorboards, Split System Air Con",https://www.domain.com.au/1-bridge-street-brighton-vic-3186-17753432
17753807,BRIGHTON,3186,1100.0,6600.0,"Tuesday, 16 September 2025",2025-09-09,0,3,2,2,Apartment / Unit / Flat,4/136 Were Street,-37.92648,145.00058,2025-09-09 16:19:12,17753807,,10,0,1,False,Apartment,Apartment / Unit / Flat,Belle Property St Kilda,3722,"Noah Oyston, Brodie Mcphie","Built in wardrobes, Close to transport, Close to shops, Close to schools, Courtyard, Secure Parking, Dishwasher",https://www.domain.com.au/4-136-were-street-brighton-vic-3186-17753807
15391707,BRIGHTON,3186,1740.0,11341.0,"Friday, 08 August 2025",2025-07-23,47,4,2,3,House,385 New Street,-37.901287,144.99345,2025-09-09 16:19:17,15391707,KU-0255-EA,30,0,1,False,House,House,Haven Agents,34079,Daniel Henderson,"Floorboards, Built in wardrobes, Dishwasher, Bathtub, Gas Appliances, Split System Heating, Split System Air Conditioning, Gas Hot Water, Ensuite(s), Outdoor Entertainment Area, Courtyard, Deck, Remote Garage, Secure Parking, Pets Allowed",https://www.domain.com.au/385-new-street-brighton-vic-3186-15391707
15749696,BRIGHTON,3186,500.0,2130.0,"Friday, 19 September 2025",2025-08-20,20,1,1,1,Apartment / Unit / Flat,307/116 Martin Street,-37.897343,145.00233,2025-09-09 16:19:17,15749696,CF-0190-PG,5,1,0,False,Apartment,Apartment / Unit / Flat,Samma Real Estate,15424,Ismaeel Hussain,"Intercom, Built in wardrobes, Dishwasher, Gas Appliances, Split System Heating, Split System Air Conditioning, Balcony",https://www.domain.com.au/307-116-martin-street-brighton-vic-3186-15749696
17156163,BRIGHTON,3186,1400.0,8000.0,"Wednesday, 27 August 2025",2024-08-12,393,5,4,3,House,1 Cosham St,-37.90603,144.9887,2025-09-09 16:19:17,17156163,YD-5496-SY,30,0,1,False,House,House,Cubbi,24478,Cubbi (77576),"Air conditioning, Alarm System, Deck, Outdoor entertainment area, Fully fenced, Study, Gas Heating, Split system air conditioning, Broadband, Built in wardrobes, Dishwasher, Ducted Heating, Internal Laundry",https://www.domain.com.au/1-cosham-st-brighton-vic-3186-17156163
17506698,BRIGHTON,3186,1690.0,10000.0,"Thursday, 07 August 2025",2025-07-27,44,3,2,2,House,6 Lorac Avenue,-37.90241,144.98985,2025-09-09 16:19:17,17506698,RH-4234-OM,9,0,1,False,House,House,Buxton Real Estate Brighton,3934,Michelle Murray,,https://www.domain.com.au/6-lorac-avenue-brighton-vic-3186-17506698
17602357,BRIGHTON,3186,1490.0,9600.0,"Wednesday, 20 August 2025",2025-06-03,98,2,2,2,Apartment / Unit / Flat,G01/16 Carpenter Street,-37.915367,144.9935,2025-09-09 16:19:17,17602357,,6,0,1,False,Apartment,Apartment / Unit / Flat,Buxton Real Estate Brighton,3934,Michelle Murray,Ensuite,https://www.domain.com.au/g01-16-carpenter-street-brighton-vic-3186-17602357
17618180,BRIGHTON,3186,1750.0,7604.0,"Friday, 20 June 2025",2025-06-12,89,3,3,2,Apartment / Unit / Flat,2/19 Birdwood Avenue,-37.894226,144.98683,2025-09-09 16:19:17,17618180,,11,0,1,False,Apartment,Apartment / Unit / Flat,Beck & Small Property,32041,Bradley Small,"Balcony / Deck, Study, Built in wardrobes, Dishwasher, Ducted Cooling, Ducted Heating, Floorboards, Fully fenced, Outdoor Entertainment Area, Remote Garage",https://www.domain.com.au/2-19-birdwood-avenue-brighton-vic-3186-17618180
17628700,BRIGHTON,3186,1200.0,7200.0,"Friday, 27 June 2025",2025-06-19,82,3,2,2,Townhouse,144A Esplanade,-37.916206,144.98749,2025-09-09 16:19:17,17628700,,4,0,0,False,Townhouse/Villa,Townhouse,Bekdon Richards,18501,Tess Macdonald,,https://www.domain.com.au/144a-esplanade-brighton-vic-3186-17628700
17629631,BRIGHTON,3186,1690.0,12000.0,"Wednesday, 27 August 2025",2025-06-19,82,4,2,2,House,6 Alverna Grove,-37.912884,145.0028,2025-09-09 16:19:17,17629631,,11,0,1,False,House,House,Buxton Real Estate Brighton,3934,Michelle Murray,Ensuite,https://www.domain.com.au/6-alverna-grove-brighton-vic-3186-17629631
17635180,BRIGHTON,3186,1590.0,9600.0,"Thursday, 31 July 2025",2025-06-24,77,3,2,2,Apartment / Unit / Flat,103/29 Oakwood Avenue,-37.90382,145.00491,2025-09-09 16:19:17,17635180,,10,0,1,False,Apartment,Apartment / Unit / Flat,Buxton Real Estate Brighton,3934,Michelle Murray,Ensuite,https://www.domain.com.au/103-29-oakwood-avenue-brighton-vic-3186-17635180
17641881,BRIGHTON,3186,1600.0,8250.0,"Monday, 01 September 2025",2025-06-27,74,3,3,2,Apartment / Unit / Flat,1/182 Esplanade,-37.913258,144.9864,2025-09-09 16:19:17,17641881,,11,0,0,False,Apartment,Apartment / Unit / Flat,Nick Johnstone Real Estate,18492,Jane Castledine,"Secure Parking, Intercom, Heating, Dishwasher, Balcony / Deck",https://www.domain.com.au/1-182-esplanade-brighton-vic-3186-17641881
17657121,BRIGHTON,3186,1600.0,10200.0,"Monday, 28 July 2025",2025-07-07,63,3,2,2,House,5A Campbell Street,-37.898712,144.99066,2025-09-09 16:19:17,17657121,,14,0,1,True,House,House,Dingle Partners,345,Nicole Pedreros Gonzalez,,https://www.domain.com.au/5a-campbell-street-brighton-vic-3186-17657121
17677985,BRIGHTON,3186,1895.0,11370.0,"Saturday, 13 September 2025",2025-07-21,50,6,3,2,House,122B Head Street,-37.892906,144.99745,2025-09-09 16:19:17,17677985,,12,0,1,False,House,House,Maison Aust.,24081,"Jessica Theobald, Jade Thompson","Air conditioning, Broadband internet access, Built in wardrobes, Garden / Courtyard, Balcony / Deck, Dishwasher, Floorboards, Fully fenced, Gas, Fireplace(s), Outdoor Entertainment Area, Reverse Cycle Air Con, Rumpus Room, Shed, Split System Air Con, Split System Heating, Ensuite",https://www.domain.com.au/122b-head-street-brighton-vic-3186-17677985
17711270,BRIGHTON,3186,1695.0,7365.0,"Saturday, 30 August 2025",2025-08-12,28,3,2,2,Apartment / Unit / Flat,101/5 Dudley Street,-37.901943,144.98746,2025-09-09 16:19:17,17711270,,8,0,0,False,Apartment,Apartment / Unit / Flat,EPPG,26610,Erica Wu,"Ensuite(s), Secure Parking, Air conditioning, Ensuite, Floorboards, Alarm System, Intercom, Built in wardrobes, Internal Laundry, Pets Allowed, Gas, Broadband internet access, Bath, Fireplace(s), Separate Dining Room, Heating, Dishwasher, Study, North Facing, Double glazed windows, Energy efficient appliances, Water efficient appliances, Wall / ceiling insulation, Fully fenced, Balcony / Deck",https://www.domain.com.au/101-5-dudley-street-brighton-vic-3186-17711270
