listing_id,suburb,postcode,weekly_rent,bond,available_date,date_listed,days_listed,bedrooms,bathrooms,carspaces,property_type,address,lat,lon,scraped_date,domain_page_id,property_id,photo_count,video_count,floorplans_count,virtual_tour,primary_type,secondary_type,agency,agency_id,agent_names,structured_features,url
14974641,BRIGHTON EAST,3187,520,2260.0,"Monday, 01 September 2025",2025-08-20,20,2,1,2.0,Townhouse,138 Centre Road,-37.916695,145.0228,2025-09-09 16:25:02,14974641,TN-0909-OS,15,0,0,False,Townhouse/Villa,Townhouse,Century 21 Property Group,21959,Marisa Locantro,"Gas, Internal Laundry, Bath, Heating, Air conditioning",https://www.domain.com.au/138-centre-road-brighton-east-vic-3187-14974641
16204501,BRIGHTON EAST,3187,1250,6250.0,"Saturday, 04 October 2025",2025-09-09,0,4,3,2.0,House,20 Lubrano Street,-37.90607,145.0206,2025-09-09 16:25:02,16204501,HF-1630-RL,8,0,0,False,House,House,Nick Johnstone Real Estate,18492,Jane Castledine,"Gas, Secure Parking, Heating, Dishwasher, Study",https://www.domain.com.au/20-lubrano-street-brighton-east-vic-3187-16204501
16634295,BRIGHTON EAST,3187,1950,,"Tuesday, 05 August 2025",2025-07-08,63,5,3,2.0,House,108 South Road,-37.929787,145.00513,2025-09-09 16:25:02,16634295,XL-2212-FN,22,0,1,False,House,House,LYNCHS REAL ESTATE,17955,"Brooke Simmonds, Maddi Cox",,https://www.domain.com.au/108-south-road-brighton-east-vic-3187-16634295
17606156,BRIGHTON EAST,3187,1950,11700.0,"Friday, 27 June 2025",2025-06-04,97,5,3,2.0,House,204 South Road,-37.931103,145.01666,2025-09-09 16:25:02,17606156,,19,0,0,False,House,House,Hodges Real Estate Brighton,3915,Paul West,,https://www.domain.com.au/204-south-road-brighton-east-vic-3187-17606156
17684080,BRIGHTON EAST,3187,2000,12000.0,"Monday, 01 September 2025",2025-07-24,47,4,2,1.0,House,14 Mayrose Crescent,-37.925312,145.00548,2025-09-09 16:25:02,17684080,,9,0,1,False,House,House,Buxton Real Estate Brighton,3934,Kim Britt,,https://www.domain.com.au/14-mayrose-crescent-brighton-east-vic-3187-17684080
17708485,BRIGHTON EAST,3187,650,2824.0,"Tuesday, 09 September 2025",2025-08-11,29,2,1,1.0,Apartment / Unit / Flat,1/15 Gillard Street,-37.913063,145.02017,2025-09-09 16:25:02,17708485,,6,0,0,False,Apartment,Apartment / Unit / Flat,Hodges Real Estate Brighton,3915,Paul West,,https://www.domain.com.au/1-15-gillard-street-brighton-east-vic-3187-17708485
17712120,BRIGHTON EAST,3187,1100,6600.0,"Wednesday, 17 September 2025",2025-08-12,28,4,2,2.0,House,10 Perry Ct,-37.912716,145.02203,2025-09-09 16:25:02,17712120,,15,1,1,False,House,House,    Gary Peer,30997,"Zanthea Zanas, Amanda Hocking","Air conditioning, Secure Parking, Garden / Courtyard, Built in wardrobes, Dishwasher, Internal Laundry",https://www.domain.com.au/10-perry-ct-brighton-east-vic-3187-17712120
17716574,BRIGHTON EAST,3187,1300,5649.0,"Saturday, 16 August 2025",2025-08-15,25,5,2,3.0,House,6 Sara Avenue,-37.92159,145.01694,2025-09-09 16:25:02,17716574,,18,0,1,False,House,House,Hartrick Property,37276,"Sam Hartrick, Daniel Davis","Air conditioning, Fireplace(s), Heating, Study, Balcony / Deck",https://www.domain.com.au/6-sara-avenue-brighton-east-vic-3187-17716574
17721825,BRIGHTON EAST,3187,850,3693.0,"Wednesday, 27 August 2025",2025-08-19,21,3,1,1.0,House,16A Burwah Avenue,-37.921013,145.02046,2025-09-09 16:25:02,17721825,,15,0,1,False,House,House,Belle Property St Kilda,3722,"Noah Oyston, Brodie Mcphie","Air conditioning, Heating, Built in wardrobes, Close to transport, Close to shops, Close to schools, Secure Parking, Dishwasher",https://www.domain.com.au/16a-burwah-avenue-brighton-east-vic-3187-17721825
17725272,BRIGHTON EAST,3187,1995,9975.0,"Thursday, 21 August 2025",2025-08-21,19,4,2,2.0,House,10 Lockwood Avenue,-37.901768,145.01389,2025-09-09 16:25:02,17725272,,12,0,1,False,House,House,  Buxton Port Phillip,15964,"Thembie Sikwila, Jay Jacob-Green","Heating, Alarm System, Outdoor Entertainment Area, Swimming Pool, Floorboards",https://www.domain.com.au/10-lockwood-avenue-brighton-east-vic-3187-17725272
