listing_id,suburb,postcode,weekly_rent,bond,available_date,date_listed,days_listed,bedrooms,bathrooms,carspaces,property_type,address,lat,lon,scraped_date,domain_page_id,property_id,photo_count,video_count,floorplans_count,virtual_tour,primary_type,secondary_type,agency,agency_id,agent_names,structured_features,url
15486227,BROADMEADOWS,3047,490,2129.0,"Wednesday, 26 November 2025",2025-08-18,22,2,1,1.0,Townhouse,2/325 Camp Road,-37.68684,144.92972,2025-09-09 16:31:50,15486227,MS-5064-SY,9,0,0,False,Townhouse/Villa,Townhouse,Ray White Glenroy,17825,Athanasi Triantafillou,"Built in wardrobes, Gas, Secure Parking, Dishwasher",https://www.domain.com.au/2-325-camp-road-broadmeadows-vic-3047-15486227
15745251,BROADMEADOWS,3047,420,1825.0,"Friday, 12 September 2025",2025-09-02,7,2,1,1.0,Apartment / Unit / Flat,3/118 Cuthbert Street,-37.68363,144.92441,2025-09-09 16:31:50,15745251,YG-5846-LW,12,1,0,False,Apartment,Apartment / Unit / Flat,Ray White Craigieburn,4110,Ray White Craigieburn,"Air conditioning, Built in wardrobes, Heating, Secure Parking",https://www.domain.com.au/3-118-cuthbert-street-broadmeadows-vic-3047-15745251
17245820,BROADMEADOWS,3047,300,1300.0,"Friday, 15 August 2025",2025-08-08,31,1,1,,Apartment / Unit / Flat,6a Katandra Crescent,-37.67216,144.91888,2025-09-09 16:31:50,17245820,,3,1,0,False,Apartment,Apartment / Unit / Flat,First National Real Estate Meadow Heights,18476,Leanne Abdallah,,https://www.domain.com.au/6a-katandra-crescent-broadmeadows-vic-3047-17245820
17350357,BROADMEADOWS,3047,2086,2123.0,"Wednesday, 28 May 2025",2025-05-29,102,2,1,1.0,House,3/284 Camp Road,-37.686615,144.93408,2025-09-09 16:31:50,17350357,BA-0123-LI,12,0,0,False,House,House,Harcourts Hume,22388,Sibel Sahinkaya,Secure Parking,https://www.domain.com.au/3-284-camp-road-broadmeadows-vic-3047-17350357
17669369,BROADMEADOWS,3047,495,2151.0,"Tuesday, 15 July 2025",2025-07-15,56,2,1,1.0,House,1/105 Camp Road,-37.688736,144.94827,2025-09-09 16:31:50,17669369,,16,0,0,False,House,House,L&M Property Co,36956,Nicky Karaman,"Built in wardrobes, Internal Laundry, Secure Parking, Heating",https://www.domain.com.au/1-105-camp-road-broadmeadows-vic-3047-17669369
17689645,BROADMEADOWS,3047,485,2102.0,"Monday, 04 August 2025",2025-07-29,42,2,1,1.0,Townhouse,4/138 Kitchener Street,-37.682377,144.92279,2025-09-09 16:31:50,17689645,,11,0,0,False,Townhouse/Villa,Townhouse,KLK Real Estate,38371,Leila Khaled,"Gas, Internal Laundry, Shed, Alarm System, Heating, Dishwasher, Study",https://www.domain.com.au/4-138-kitchener-street-broadmeadows-vic-3047-17689645
17698059,BROADMEADOWS,3047,540,2347.0,"Friday, 15 August 2025",2025-08-04,36,3,2,2.0,Townhouse,3/45 Jacana Avenue,-37.688763,144.92194,2025-09-09 16:31:50,17698059,,7,0,0,False,Townhouse/Villa,Townhouse,Woodards Pascoe Vale,4898,"Angie Diaco, Rebecca Coward","Internal Laundry, Secure Parking, Air conditioning, Alarm System, Garden / Courtyard, Shed, Built in wardrobes, Dishwasher, Gas, Ensuite",https://www.domain.com.au/3-45-jacana-avenue-broadmeadows-vic-3047-17698059
17706186,BROADMEADOWS,3047,520,2260.0,"Thursday, 04 September 2025",2025-08-07,32,3,2,4.0,House,109 Kitchener Street,-37.68308,144.92546,2025-09-09 16:31:50,17706186,,9,0,0,False,House,House,First National Real Estate Meadow Heights,18476,Leanne Abdallah,,https://www.domain.com.au/109-kitchener-street-broadmeadows-vic-3047-17706186
17713504,BROADMEADOWS,3047,520,2260.0,"Monday, 01 September 2025",2025-08-13,27,2,2,1.0,Townhouse,2/112 Ripplebrook Drive,-37.675232,144.91461,2025-09-09 16:31:50,17713504,,14,0,0,False,Townhouse/Villa,Townhouse,Love & Co Reservoir,7121,Shelli Martin,"Internal Laundry, Close to transport, Close to shops, Close to schools",https://www.domain.com.au/2-112-ripplebrook-drive-broadmeadows-vic-3047-17713504
17728543,BROADMEADOWS,3047,490,2130.0,"Thursday, 04 September 2025",2025-09-03,6,3,1,2.0,House,31 Walsh St,-37.689587,144.9222,2025-09-09 16:31:50,17728543,,7,0,0,False,House,House,Barry Plant Gladstone Park,17270,"Natalie Micevic, Azhar Bhatti","Gas, Internal Laundry, Heating, Alarm System, Shed",https://www.domain.com.au/31-walsh-st-broadmeadows-vic-3047-17728543
