listing_id,suburb,postcode,weekly_rent,bond,available_date,date_listed,days_listed,bedrooms,bathrooms,carspaces,property_type,address,lat,lon,scraped_date,domain_page_id,property_id,photo_count,video_count,floorplans_count,virtual_tour,primary_type,secondary_type,agency,agency_id,agent_names,structured_features,url
10927097,BROOKFIELD,3338,420,1825,"Wednesday, 10 September 2025",2025-08-12,28,3,2,1.0,House,31 Citreus Circuit,-37.696873,144.54169,2025-09-09 16:36:39,10927097,QO-5312-AN,15,0,0,False,House,House,Cooper Real Estate,15316,Trish Cooper,"Built in wardrobes, Heating, Dishwasher",https://www.domain.com.au/31-citreus-circuit-brookfield-vic-3338-10927097
11144994,BROOKFIELD,3338,450,1955,"Saturday, 28 June 2025",2025-06-23,78,4,2,2.0,House,34 Kilmore Street (Lot 319),-37.70633,144.54987,2025-09-09 16:36:39,11144994,AQ-5449-LD,8,0,0,False,House,House,LITTLE Real Estate Victoria,24974,Jason King,"Car Accom: Double Garage, Heating: Gas Ducted Heating, Cooling: Reverse Cycle Air Conditioning, Kitchen: Open Plan, Cooking: Gas Hotplates and Electric Oven",https://www.domain.com.au/34-kilmore-street-lot-319-brookfield-vic-3338-11144994
16699922,BROOKFIELD,3338,455,1977,"Wednesday, 01 October 2025",2025-08-27,13,3,2,2.0,House,3 Sedge Place,-37.69347,144.54375,2025-09-09 16:36:39,16699922,GT-4842-QR,11,0,0,False,House,House,The Roof Real Estate,36733,Nitu Grewal,"Secure Parking, Heating, Solar panels",https://www.domain.com.au/3-sedge-place-brookfield-vic-3338-16699922
17568851,BROOKFIELD,3338,490,2129,"Thursday, 25 September 2025",2025-09-03,6,4,2,2.0,House,12 Wild Orchid Street,-37.70192,144.53926,2025-09-09 16:36:39,17568851,HE-9798-QM,12,1,1,False,House,House,Leap Real Estate,26670,Terry King,"Internal Laundry, Heating, Alarm System, Rumpus Room, Built in wardrobes, Dishwasher, Bathtub, Gas Appliances, Remote Garage, Fully fenced, Pets Allowed",https://www.domain.com.au/12-wild-orchid-street-brookfield-vic-3338-17568851
17595000,BROOKFIELD,3338,430,1868,"Thursday, 26 June 2025",2025-05-28,104,4,2,2.0,House,10 Clarice Crescent,-37.711037,144.5524,2025-09-09 16:36:39,17595000,AF-7934-GR,15,1,0,False,House,House,Xynergy Realty South Yarra,21571,Skyla Sung,"Built in wardrobes, Internal Laundry, Secure Parking, Dishwasher",https://www.domain.com.au/10-clarice-crescent-brookfield-vic-3338-17595000
17620136,BROOKFIELD,3338,457,1588,"Thursday, 27 March 2025",2025-06-13,88,1,1,,Apartment / Unit / Flat,47/23 Coburns Road,-37.700397,144.56398,2025-09-09 16:36:39,17620136,,5,0,1,True,Apartment,Apartment / Unit / Flat,Garden Villages,20787,Ingenia Gardens Melton,"Air conditioning, Heating, Pets Allowed, Courtyard",https://www.domain.com.au/47-23-coburns-road-brookfield-vic-3338-17620136
17660145,BROOKFIELD,3338,410,1777,"Friday, 18 July 2025",2025-07-09,62,3,2,1.0,House,18 Sumac Street,-37.690136,144.54707,2025-09-09 16:36:39,17660145,,9,0,0,False,House,House,Barry Plant Melton,12902,Melton Rentals,"Secure Parking, Heating, Study",https://www.domain.com.au/18-sumac-street-brookfield-vic-3338-17660145
17667508,BROOKFIELD,3338,465,2015,"Monday, 14 July 2025",2025-07-14,57,4,2,2.0,House,6 Rita Crescent,-37.712055,144.54568,2025-09-09 16:36:39,17667508,,13,0,0,False,House,House,MK Realty,31429,"Patrick Shrestha, Reuben Rajlawot","Secure Parking, Heating, Ensuite",https://www.domain.com.au/6-rita-crescent-brookfield-vic-3338-17667508
17695540,BROOKFIELD,3338,550,2390,"Friday, 08 August 2025",2025-07-31,39,4,2,2.0,House,21 Desert Gum Way,-37.6974,144.54848,2025-09-09 16:36:39,17695540,,13,0,1,False,House,House,The ARK 7 Real Estate,36925,"Rajat Kapoor, Rental Team","Gas, Heating, Balcony / Deck, Built in wardrobes, Close to transport, Close to shops, Close to schools, Ensuite, Car Parking - Surface, Roller Door Access, Dishwasher, Floorboards, Outside Spa",https://www.domain.com.au/21-desert-gum-way-brookfield-vic-3338-17695540
17711821,BROOKFIELD,3338,440,1912,"Tuesday, 19 August 2025",2025-08-12,28,4,2,4.0,House,60 Fantail Way,-37.709854,144.54695,2025-09-09 16:36:39,17711821,,7,0,0,False,House,House,YPA Estate Agents Melton,15655,"Kimberley McLelland, Ashley Zammit","Pets Allowed, Secure Parking, Bath, Heating",https://www.domain.com.au/60-fantail-way-brookfield-vic-3338-17711821
