listing_id,suburb,postcode,weekly_rent,bond,available_date,date_listed,days_listed,bedrooms,bathrooms,carspaces,property_type,address,lat,lon,scraped_date,domain_page_id,property_id,photo_count,video_count,floorplans_count,virtual_tour,primary_type,secondary_type,agency,agency_id,agent_names,structured_features,url
11173876,BRUNSWICK,3056,420.0,1825.0,"Thursday, 11 September 2025",2025-09-08,1,2,1,1.0,Apartment / Unit / Flat,3/829 Park Street,-37.77686,144.95189,2025-09-09 16:45:19,11173876,IG-2177-YN,6,0,0,False,Apartment,Apartment / Unit / Flat,LITTLE Real Estate Victoria,24974,Cooper Modica,"Bath, Car Accom: Single Off-Street Parking, Heating: Other, Kitchen: Open Plan, Cooking: Electric Upright Stove, Pool/Spa Count: 0",https://www.domain.com.au/3-829-park-street-brunswick-vic-3056-11173876
16907098,BRUNSWICK,3056,520.0,2260.0,"Wednesday, 03 September 2025",2025-09-03,6,1,1,,Apartment / Unit / Flat,508/601 Sydney Road,-37.76301,144.96262,2025-09-09 16:45:19,16907098,HG-0523-ZI,11,1,0,False,Apartment,Apartment / Unit / Flat,Ray White Brunswick,21490,"Danny Campos, Hassan Allouche",,https://www.domain.com.au/508-601-sydney-road-brunswick-vic-3056-16907098
17705777,BRUNSWICK,3056,890.0,3867.0,"Friday, 08 August 2025",2025-08-07,33,3,2,2.0,Apartment / Unit / Flat,905/288 Albert Street,-37.76887,144.96066,2025-09-09 16:45:19,17705777,,11,0,0,False,Apartment,Apartment / Unit / Flat,Jellis Craig - Brunswick,6216,"David Johnston, Elliott Heslop","Split System Air Con, Split System Heating, Balcony / Deck, Built in wardrobes, Remote Garage, Floorboards, Secure Parking",https://www.domain.com.au/905-288-albert-street-brunswick-vic-3056-17705777
17712967,BRUNSWICK,3056,600.0,2716.0,"Tuesday, 16 September 2025",2025-08-13,27,2,1,1.0,Apartment / Unit / Flat,717/1 Lygon Street,-37.77863,144.97035,2025-09-09 16:45:19,17712967,,10,1,1,False,Apartment,Apartment / Unit / Flat,Metropole Properties Melbourne,18456,Larah Dalton,"Secure Parking, Intercom, Floorboards, Built in wardrobes, Dishwasher, Split System Air Conditioning, Balcony",https://www.domain.com.au/717-1-lygon-street-brunswick-vic-3056-17712967
17717403,BRUNSWICK,3056,850.0,3693.0,"Friday, 22 August 2025",2025-08-15,25,3,2,2.0,Apartment / Unit / Flat,128/108-124 Union Street,-37.773243,144.9534,2025-09-09 16:45:19,17717403,,10,0,0,False,Apartment,Apartment / Unit / Flat,Jellis Craig - Brunswick,6216,"David Johnston, Elliott Heslop","Split System Air Con, Split System Heating, Balcony / Deck, Built in wardrobes, Dishwasher, Floorboards, Remote Garage, Secure Parking",https://www.domain.com.au/128-108-124-union-street-brunswick-vic-3056-17717403
17734159,BRUNSWICK,3056,800.0,3476.0,"Monday, 06 October 2025",2025-08-27,13,3,2,2.0,House,20 Eva Buhlert Close,-37.76976,144.9635,2025-09-09 16:45:19,17734159,,12,0,0,False,House,House,Jellis Craig - Brunswick,6216,David Johnston,"Evaporative Cooling, Built in wardrobes, Secure Parking, Electric Heating",https://www.domain.com.au/20-eva-buhlert-close-brunswick-vic-3056-17734159
17738273,BRUNSWICK,3056,675.0,2933.0,"Monday, 22 September 2025",2025-08-29,11,2,2,1.0,Apartment / Unit / Flat,517/288 Albert Street,-37.76887,144.96066,2025-09-09 16:45:19,17738273,,13,0,0,False,Apartment,Apartment / Unit / Flat,Jellis Craig - Brunswick,6216,"David Johnston, Elliott Heslop","Split System Air Con, Split System Heating, Balcony / Deck, Built in wardrobes, Dishwasher, Floorboards, Remote Garage, Secure Parking",https://www.domain.com.au/517-288-albert-street-brunswick-vic-3056-17738273
17742268,BRUNSWICK,3056,640.0,2781.0,"Tuesday, 02 September 2025",2025-09-02,7,2,1,1.0,Apartment / Unit / Flat,110/288 Albert Street,-37.76887,144.96066,2025-09-09 16:45:19,17742268,,13,1,1,False,Apartment,Apartment / Unit / Flat,Ray White Brunswick,21490,"Hassan Allouche, Property Management Brunswick",,https://www.domain.com.au/110-288-albert-street-brunswick-vic-3056-17742268
17743363,BRUNSWICK,3056,490.0,2129.0,"Thursday, 25 September 2025",2025-09-02,7,1,1,1.0,Apartment / Unit / Flat,204/356-360 Lygon Street,-37.778282,144.97061,2025-09-09 16:45:19,17743363,,1,0,0,False,Apartment,Apartment / Unit / Flat,Jellis Craig Kensington,20419,"Megan Reddy, Kate McLellan",Built in wardrobes,https://www.domain.com.au/204-356-360-lygon-street-brunswick-vic-3056-17743363
17746791,BRUNSWICK,3056,570.0,2476.0,"Monday, 29 September 2025",2025-09-04,5,2,1,,House,227 Albert Street,-37.768982,144.96396,2025-09-09 16:45:19,17746791,,9,0,0,False,House,House,Jellis Craig - Brunswick,6216,David Johnston,"Split System Air Con, Split System Heating, Floorboards, Built in wardrobes",https://www.domain.com.au/227-albert-street-brunswick-vic-3056-17746791
