listing_id,suburb,postcode,weekly_rent,bond,available_date,date_listed,days_listed,bedrooms,bathrooms,carspaces,property_type,address,lat,lon,scraped_date,domain_page_id,property_id,photo_count,video_count,floorplans_count,virtual_tour,primary_type,secondary_type,agency,agency_id,agent_names,structured_features,url
16053638,BRUNSWICK EAST,3057,1500,9778.0,"Monday, 01 September 2025",2025-07-24,47,3,3,2.0,House,190A Weston Street,-37.776524,144.97563,2025-09-09 16:53:09,16053638,,16,0,1,True,House,House,Raine & Horne Brunswick Sales,5247,Sara Theodotou,"Built in wardrobes, Secure Parking, Intercom, Bath, Heating, Dishwasher",https://www.domain.com.au/190a-weston-street-brunswick-east-vic-3057-16053638
16457645,BRUNSWICK EAST,3057,695,3020.0,"Wednesday, 24 September 2025",2025-09-04,5,2,1,1.0,Apartment / Unit / Flat,705/240-250 Lygon Street,-37.770573,144.97208,2025-09-09 16:53:09,16457645,AA-6187-VQ,15,1,1,False,Apartment,Apartment / Unit / Flat,Bricks and Mortar RE,31967,William Postlethwaite,"Intercom, Floorboards, Built in wardrobes, Dishwasher, Split System Heating, Split System Air Conditioning, Balcony, Secure Parking, Greywater system, Pets Allowed",https://www.domain.com.au/705-240-250-lygon-street-brunswick-east-vic-3057-16457645
16886841,BRUNSWICK EAST,3057,700,3042.0,"Saturday, 22 March 2025",2025-09-08,1,2,2,1.0,Apartment / Unit / Flat,105/15 Brunswick Road,-37.77875,144.97699,2025-09-09 16:53:09,16886841,GV-8649-CC,13,1,1,False,Apartment,Apartment / Unit / Flat,Ray White Brunswick,21490,"Danny Campos, Property Management Brunswick",,https://www.domain.com.au/105-15-brunswick-road-brunswick-east-vic-3057-16886841
17724491,BRUNSWICK EAST,3057,650,2824.0,"Friday, 22 August 2025",2025-08-20,20,2,1,,House,3 Linden Street,-37.773815,144.97325,2025-09-09 16:53:09,17724491,,6,0,0,False,House,House,Jellis Craig - Brunswick,6216,David Johnston,"Split System Air Con, Split System Heating, Floorboards",https://www.domain.com.au/3-linden-street-brunswick-east-vic-3057-17724491
17743016,BRUNSWICK EAST,3057,860,3737.0,"Wednesday, 01 October 2025",2025-09-02,7,3,1,1.0,Townhouse,1/205 Weston Street,-37.776066,144.97429,2025-09-09 16:53:09,17743016,,6,0,0,False,Townhouse/Villa,Townhouse,Nelson Alexander Brunswick,4720,Daniel Carusi,"Built in wardrobes, Internal Laundry, Bath, Heating",https://www.domain.com.au/1-205-weston-street-brunswick-east-vic-3057-17743016
17744063,BRUNSWICK EAST,3057,650,2824.0,"Friday, 03 October 2025",2025-09-02,6,2,2,1.0,Apartment / Unit / Flat,g01/26 Lygon Street,-37.77799,144.97108,2025-09-09 16:53:09,17744063,,9,0,0,False,Apartment,Apartment / Unit / Flat,Buxton Inner West,4371,Eliza O'Donnell,"Gas, Split System Air Con, Split System Heating, Built in wardrobes, Garden / Courtyard, Dishwasher, Floorboards, Secure Parking",https://www.domain.com.au/g01-26-lygon-street-brunswick-east-vic-3057-17744063
17747393,BRUNSWICK EAST,3057,975,4237.0,"Thursday, 04 September 2025",2025-09-04,5,2,2,1.0,Apartment / Unit / Flat,9/93-97 Lygon Street,-37.776123,144.97076,2025-09-09 16:53:09,17747393,,14,0,1,False,Apartment,Apartment / Unit / Flat,Ray White Northcote,37294,"Sophie Bilias, George Boutsiavaras","Air conditioning, Internal Laundry, Broadband internet access, Dishwasher, Balcony / Deck",https://www.domain.com.au/9-93-97-lygon-street-brunswick-east-vic-3057-17747393
17749830,BRUNSWICK EAST,3057,650,2824.0,"Monday, 29 September 2025",2025-09-05,4,2,2,1.0,Apartment / Unit / Flat,211/6-8 Gamble Street,-37.772648,144.97801,2025-09-09 16:53:09,17749830,,5,0,0,False,Apartment,Apartment / Unit / Flat,Bow Residential,33223,Patrick Siah,"Gas, Secure Parking, Balcony / Deck, Pets Allowed",https://www.domain.com.au/211-6-8-gamble-street-brunswick-east-vic-3057-17749830
17749934,BRUNSWICK EAST,3057,530,2303.0,"Monday, 06 October 2025",2025-09-05,3,1,1,1.0,Apartment / Unit / Flat,102/22 Barkly Street,-37.77801,144.97644,2025-09-09 16:53:09,17749934,,15,0,1,True,Apartment,Apartment / Unit / Flat,Woodards,19,Emina Taleb,"Built in wardrobes, Internal Laundry, Secure Parking, Broadband internet access, Heating, Dishwasher, Balcony / Deck",https://www.domain.com.au/102-22-barkly-street-brunswick-east-vic-3057-17749934
17749955,BRUNSWICK EAST,3057,1100,5500.0,"Friday, 12 September 2025",2025-09-05,3,4,1,,House,81 Albert Street,-37.769894,144.97267,2025-09-09 16:53:09,17749955,,14,0,1,True,House,House,Woodards,19,Samantha Maldonado,"Internal Laundry, Fireplace(s), Heating, Balcony / Deck",https://www.domain.com.au/81-albert-street-brunswick-east-vic-3057-17749955
