listing_id,suburb,postcode,weekly_rent,bond,available_date,date_listed,days_listed,bedrooms,bathrooms,carspaces,property_type,address,lat,lon,scraped_date,domain_page_id,property_id,photo_count,video_count,floorplans_count,virtual_tour,primary_type,secondary_type,agency,agency_id,agent_names,structured_features,url
16941706,BRUNSWICK WEST,3055,895.0,3878.0,"Friday, 20 June 2025",2025-05-21,111,3.0,2,2.0,Townhouse,3/48 Murray Street,-37.75886,144.9409,2025-09-09 16:59:03,16941706,OI-4920-YV,14,0,0,False,Townhouse/Villa,Townhouse,Lease A Property ,21230,Marc Angelone,"Intercom, Study, Alarm System, Floorboards, Vacuum System, Built in wardrobes, Dishwasher, Split System Heating, Ducted Air Conditioning, Courtyard, Remote Garage, Secure Parking, Fully fenced, Pets Allowed",https://www.domain.com.au/3-48-murray-street-brunswick-west-vic-3055-16941706
17618596,BRUNSWICK WEST,3055,560.0,2433.0,"Monday, 08 September 2025",2025-09-03,5,1.0,1,1.0,Apartment / Unit / Flat,202/5 Olive York Way,-37.758522,144.93861,2025-09-09 16:59:03,17618596,,13,0,1,False,Apartment,Apartment / Unit / Flat,Motion Property,8551,Mark Reading,"Pets Allowed, Furnished",https://www.domain.com.au/202-5-olive-york-way-brunswick-west-vic-3055-17618596
17676799,BRUNSWICK WEST,3055,700.0,3033.0,"Friday, 08 August 2025",2025-07-21,50,3.0,1,2.0,Townhouse,52A Collier Crescent,-37.77168,144.9492,2025-09-09 16:59:03,17676799,,21,0,0,False,Townhouse/Villa,Townhouse,Raine & Horne Brunswick Sales,5247,Sara Theodotou,"Built in wardrobes, Internal Laundry, Bath, Heating, Balcony / Deck",https://www.domain.com.au/52a-collier-crescent-brunswick-west-vic-3055-17676799
17680128,BRUNSWICK WEST,3055,535.0,2324.0,"Friday, 01 August 2025",2025-07-22,49,2.0,1,1.0,Apartment / Unit / Flat,307/3 Olive York Way,-37.758522,144.93861,2025-09-09 16:59:03,17680128,,11,0,1,True,Apartment,Apartment / Unit / Flat,Jellis Craig Moonee Valley,13365,"Megan Reddy, Edward Tombs","Secure Parking, Balcony / Deck, Intercom, Built in wardrobes, Dishwasher, Reverse Cycle Air Con",https://www.domain.com.au/307-3-olive-york-way-brunswick-west-vic-3055-17680128
17684085,BRUNSWICK WEST,3055,670.0,2911.0,"Friday, 04 July 2025",2025-07-24,47,3.0,1,1.0,Townhouse,3/111 Melville Road,-37.760426,144.9441,2025-09-09 16:59:03,17684085,,13,0,0,False,Townhouse/Villa,Townhouse,Jellis Craig - Brunswick,6216,Brandon Antrim,"Split System Air Con, Balcony / Deck, Built in wardrobes, Garden / Courtyard, Dishwasher, Ducted Cooling, Ducted Heating, Secure Parking",https://www.domain.com.au/3-111-melville-road-brunswick-west-vic-3055-17684085
17724492,BRUNSWICK WEST,3055,470.0,2042.0,"Friday, 22 August 2025",2025-08-20,20,1.0,1,1.0,Apartment / Unit / Flat,6/1 Cohuna Street,-37.77412,144.94044,2025-09-09 16:59:03,17724492,,15,0,1,True,Apartment,Apartment / Unit / Flat,Jellis Craig Moonee Valley,13365,"Megan Reddy, Anastasia Gullotti","Gas, Secure Parking, Balcony / Deck, Split System Heating, Floorboards, Built in wardrobes",https://www.domain.com.au/6-1-cohuna-street-brunswick-west-vic-3055-17724492
17727446,BRUNSWICK WEST,3055,525.0,2281.0,"Friday, 22 August 2025",2025-08-22,18,2.0,1,1.0,Townhouse,27/516-518 Moreland Road,-37.752445,144.93735,2025-09-09 16:59:03,17727446,,5,0,0,False,Townhouse/Villa,Townhouse,Jellis Craig - Brunswick,6216,"David Johnston, Elliott Heslop","Split System Air Con, Split System Heating, Built in wardrobes, Garden / Courtyard, Outdoor Entertainment Area",https://www.domain.com.au/27-516-518-moreland-road-brunswick-west-vic-3055-17727446
17730721,BRUNSWICK WEST,3055,590.0,2564.0,"Wednesday, 13 August 2025",2025-08-25,15,3.0,1,,House,24 Bakers Parade,-37.753628,144.94345,2025-09-09 16:59:03,17730721,,6,0,0,False,House,House,Nelson Alexander Brunswick,4720,Penny Tsiamis,"Internal Laundry, Secure Parking, Bath, Heating",https://www.domain.com.au/24-bakers-parade-brunswick-west-vic-3055-17730721
17733342,BRUNSWICK WEST,3055,550.0,2390.0,"Monday, 08 September 2025",2025-08-27,13,2.0,2,1.0,Townhouse,5/85 Hopetoun Avenue,-37.752483,144.93295,2025-09-09 16:59:03,17733342,,7,0,0,False,Townhouse/Villa,Townhouse,Gotham Property,32563,Carolina  Hernandez,,https://www.domain.com.au/5-85-hopetoun-avenue-brunswick-west-vic-3055-17733342
17747255,BRUNSWICK WEST,3055,580.0,2520.0,"Monday, 01 September 2025",2025-09-04,5,2.0,1,1.0,Apartment / Unit / Flat,3/262 Albion Street,-37.758728,144.94537,2025-09-09 16:59:03,17747255,,7,0,0,False,Apartment,Apartment / Unit / Flat,Jellis Craig - Brunswick,6216,David Johnston,"Split System Air Con, Split System Heating, Built in wardrobes, Garden / Courtyard",https://www.domain.com.au/3-262-albion-street-brunswick-west-vic-3055-17747255
