listing_id,suburb,postcode,weekly_rent,bond,available_date,date_listed,days_listed,bedrooms,bathrooms,carspaces,property_type,address,lat,lon,scraped_date,domain_page_id,property_id,photo_count,video_count,floorplans_count,virtual_tour,primary_type,secondary_type,agency,agency_id,agent_names,structured_features,url
15868842,BULLEEN,3105,600,2607,"Tuesday, 09 September 2025",2025-09-09,0,2,2,1.0,Apartment / Unit / Flat,102/170 Bulleen Road,-37.765816,145.0821,2025-09-09 17:16:42,15868842,ZQ-1962-WJ,8,0,1,False,Apartment,Apartment / Unit / Flat,Harcourts Manningham,33307,George Theoharakos,"Gas, Secure Parking, Ensuite",https://www.domain.com.au/102-170-bulleen-road-bulleen-vic-3105-15868842
17349735,BULLEEN,3105,470,2042,"Monday, 08 September 2025",2025-07-30,41,2,1,1.0,House,12 Robinson Grove,-37.77375,145.09299,2025-09-09 17:16:42,17349735,VS-0287-HJ,6,0,0,False,House,House,Barry Plant Manningham,7015,"Freya Semera, Alex Gissara",,https://www.domain.com.au/12-robinson-grove-bulleen-vic-3105-17349735
17628619,BULLEEN,3105,900,3911,"Thursday, 01 January 1970",2025-06-19,82,4,2,2.0,House,12 Rangeview Terrace,-37.763775,145.09422,2025-09-09 17:16:42,17628619,,5,0,0,False,House,House,Noel Jones Doncaster,11515,"Rentals Noel Jones Doncaster, Michelle D'Assisi","Internal Laundry, Secure Parking, Bath, Balcony / Deck, Built in wardrobes, Built-in Wardrobes;Dishwasher;Inside Spa, Dishwasher, Heating, Ducted Heating;Split-System Air Conditioning, Inside Spa, Indoor Spa, Air conditioning, Split-System Air Conditioning",https://www.domain.com.au/12-rangeview-terrace-bulleen-vic-3105-17628619
17651755,BULLEEN,3105,720,3128,"Tuesday, 24 June 2025",2025-07-03,68,3,2,2.0,House,30 Prospect Road,-37.775055,145.097,2025-09-09 17:16:42,17651755,,15,0,0,False,House,House,NDL Realty,20483,Prince J Lakshman,"Built in wardrobes, Heating, Dishwasher",https://www.domain.com.au/30-prospect-road-bulleen-vic-3105-17651755
17656184,BULLEEN,3105,1150,4997,"Friday, 11 July 2025",2025-07-07,64,4,3,2.0,Townhouse,39A Flinders Street,-37.76723,145.09654,2025-09-09 17:16:42,17656184,,10,1,1,True,Townhouse/Villa,Townhouse,Barry Plant Manningham,7015,"Jorja Ierardo, Steph Molluso","Internal Laundry, Balcony / Deck, Alarm System, Rumpus Room, Floorboards, Built in wardrobes, Dishwasher, Broadband, Bathtub, Gas Appliances, Ducted Heating, Ducted Air Conditioning, Ensuite(s), Outdoor Entertainment Area, Remote Garage, Secure Parking, Shed, Fully fenced",https://www.domain.com.au/39a-flinders-street-bulleen-vic-3105-17656184
17660963,BULLEEN,3105,700,3042,"Wednesday, 23 July 2025",2025-07-09,62,3,2,2.0,Apartment / Unit / Flat,1/58 Manningham Road,-37.76594,145.08821,2025-09-09 17:16:42,17660963,,8,0,0,False,Apartment,Apartment / Unit / Flat,Barry Plant Manningham,7015,"Paul Sim, Aggie Kurto","Built in wardrobes, Gas, Dishwasher",https://www.domain.com.au/1-58-manningham-road-bulleen-vic-3105-17660963
17676213,BULLEEN,3105,600,2607,"Tuesday, 26 August 2025",2025-07-18,53,2,2,1.0,Apartment / Unit / Flat,102/170 Manningham Road,-37.770977,145.09946,2025-09-09 17:16:42,17676213,,8,0,1,False,Apartment,Apartment / Unit / Flat,Barry Plant Manningham,7015,"Paul Sim, Deep Sareen","Gas, Internal Laundry, Intercom, Heating, Dishwasher, Balcony / Deck",https://www.domain.com.au/102-170-manningham-road-bulleen-vic-3105-17676213
17682279,BULLEEN,3105,600,2607,"Friday, 22 August 2025",2025-07-23,48,3,1,1.0,Apartment / Unit / Flat,2/58 Manningham Road,-37.76594,145.08821,2025-09-09 17:16:42,17682279,,6,0,0,False,Apartment,Apartment / Unit / Flat,Barry Plant Manningham,7015,"Paul Sim, Aggie Kurto","Built in wardrobes, Gas, Dishwasher",https://www.domain.com.au/2-58-manningham-road-bulleen-vic-3105-17682279
17702866,BULLEEN,3105,1200,5214,"Friday, 22 August 2025",2025-08-06,34,4,3,2.0,House,7 Egan Drive,-37.76959,145.09032,2025-09-09 17:16:42,17702866,,10,1,1,True,House,House,Barry Plant Manningham,7015,"Jorja Ierardo, Freya Semera","Internal Laundry, Rumpus Room, Floorboards, Cable or Satellite, Built in wardrobes, Dishwasher, Broadband, Open Fire Place, Bathtub, Gas Appliances, Ducted Heating, Ducted Air Conditioning, Ensuite(s), Outdoor Entertainment Area, Deck, Remote Garage, Secure Parking, Fully fenced, Pets Allowed",https://www.domain.com.au/7-egan-drive-bulleen-vic-3105-17702866
17703693,BULLEEN,3105,720,3129,"Friday, 15 August 2025",2025-08-06,34,4,2,2.0,House,66 Furneaux Grove,-37.77801,145.09227,2025-09-09 17:16:42,17703693,,16,0,0,False,House,House,BIGGIN & SCOTT MANNINGHAM,12157,"Nancy Ma, Tracy Xie","Secure Parking, Bath, Heating",https://www.domain.com.au/66-furneaux-grove-bulleen-vic-3105-17703693
17706124,BULLEEN,3105,850,3693,"Friday, 19 September 2025",2025-08-07,33,4,2,2.0,Townhouse,2/87 Willow Bend,-37.780205,145.09818,2025-09-09 17:16:42,17706124,,15,0,0,True,Townhouse/Villa,Townhouse,Areal Property - Box Hill,33000,Mike Lu,"Intercom, Heating, Study, Balcony / Deck",https://www.domain.com.au/2-87-willow-bend-bulleen-vic-3105-17706124
17717128,BULLEEN,3105,800,3476,"Friday, 15 August 2025",2025-08-15,25,5,2,2.0,House,9 Cameo Court,-37.764065,145.09259,2025-09-09 17:16:42,17717128,,11,0,0,False,House,House,Hudson Bond,15409,Hudson Bond Rentals,"Air conditioning, Heating, Built in wardrobes, Close to transport, Close to shops, Close to schools, Ensuite, Car Parking - Surface, Openable Windows, Toilet Facilities, Window Treatments",https://www.domain.com.au/9-cameo-court-bulleen-vic-3105-17717128
17726513,BULLEEN,3105,690,2998,"Thursday, 25 September 2025",2025-08-21,19,3,2,1.0,Townhouse,5/48-50 Manningham Road,-37.766075,145.08742,2025-09-09 17:16:42,17726513,,5,0,0,False,Townhouse/Villa,Townhouse,Jellis Craig Doncaster,18680,"Tina Dekas, Kate Rolfe",,https://www.domain.com.au/5-48-50-manningham-road-bulleen-vic-3105-17726513
17729296,BULLEEN,3105,995,5970,"Monday, 01 September 2025",2025-08-25,15,4,3,2.0,Townhouse,4/180 Manningham Road,-37.77192,145.10062,2025-09-09 17:16:42,17729296,,8,0,0,False,Townhouse/Villa,Townhouse,Barry Plant Manningham,7015,"Paul Sim, Ryan King","Secure Parking, Heating, Solar panels",https://www.domain.com.au/4-180-manningham-road-bulleen-vic-3105-17729296
17735005,BULLEEN,3105,475,2064,"Thursday, 25 September 2025",2025-08-27,13,2,1,,Apartment / Unit / Flat,2/192 Bulleen Road,-37.76421,145.0831,2025-09-09 17:16:42,17735005,,6,0,1,False,Apartment,Apartment / Unit / Flat,Noel Jones Doncaster,11515,"Rentals Noel Jones Doncaster, Michelle D'Assisi","Internal Laundry, Air conditioning, Heating",https://www.domain.com.au/2-192-bulleen-road-bulleen-vic-3105-17735005
17736939,BULLEEN,3105,550,2390,"Monday, 01 September 2025",2025-08-28,12,3,2,1.0,House,29 The Crest,-37.77509,145.09328,2025-09-09 17:16:42,17736939,,8,0,0,False,House,House,Barry Plant Manningham,7015,"Paul Sim, Nick Mallisioras","Built in wardrobes, Internal Laundry, Heating",https://www.domain.com.au/29-the-crest-bulleen-vic-3105-17736939
17738781,BULLEEN,3105,720,3128,"Thursday, 28 August 2025",2025-08-29,11,3,1,4.0,House,14 Cuthbert Street,-37.772697,145.09319,2025-09-09 17:16:42,17738781,,8,0,1,False,House,House,Noel Jones Doncaster,11515,"Rentals Noel Jones Doncaster, Michelle D'Assisi","Alarm System, Broadband internet access, Broadband Internet Available, Built in wardrobes, Heating, Air conditioning, Floorboards, Fully fenced, Outdoor Entertaining, Outdoor Entertainment Area, Secure Parking",https://www.domain.com.au/14-cuthbert-street-bulleen-vic-3105-17738781
17742556,BULLEEN,3105,1200,7821,"Thursday, 18 September 2025",2025-09-02,7,3,2,2.0,House,,-37.769913,145.08937,2025-09-09 17:16:42,17742556,,12,0,0,False,House,House,Jellis Craig Doncaster,18680,"Tina Dekas, Samantha Newton","Internal Laundry, Study, Built in wardrobes, Dishwasher, Ducted Cooling, Ducted Heating, Floorboards, Outdoor Entertainment Area, Remote Garage, Secure Parking, Shed",https://www.domain.com.au/bulleen-vic-3105-17742556
17745337,BULLEEN,3105,680,2955,"Thursday, 09 October 2025",2025-09-03,6,4,2,2.0,House,33 Nirvana Crescent,-37.76754,145.09177,2025-09-09 17:16:42,17745337,,7,0,1,False,House,House,Marshall White Manningham Pty Ltd,3929,"Mia  Collings, Asif Khan",,https://www.domain.com.au/33-nirvana-crescent-bulleen-vic-3105-17745337
17753835,BULLEEN,3105,740,3215,"Monday, 29 September 2025",2025-09-09,0,3,2,2.0,Townhouse,2/16 Avon Street,-37.76566,145.08415,2025-09-09 17:16:42,17753835,,10,0,0,False,Townhouse/Villa,Townhouse,Area Specialist Keysborough,31225,Property Management,"Air conditioning, Internal Laundry, Secure Parking",https://www.domain.com.au/2-16-avon-street-bulleen-vic-3105-17753835
