listing_id,suburb,postcode,weekly_rent,bond,available_date,date_listed,days_listed,bedrooms,bathrooms,carspaces,property_type,address,lat,lon,scraped_date,domain_page_id,property_id,photo_count,video_count,floorplans_count,virtual_tour,primary_type,secondary_type,agency,agency_id,agent_names,structured_features,url
16543931,BUNDOORA,3083,630,2730,"Monday, 17 March 2025",2025-09-03,5,2,2,1.0,Apartment / Unit / Flat,309B/1093 Plenty Road,-37.70952,145.04953,2025-09-09 16:20:02,16543931,QG-2878-KQ,9,0,0,False,Apartment,Apartment / Unit / Flat,Capital & Co. Real Estate,32201,Jess Grewal,"Built in wardrobes, Secure Parking, Furnished, Intercom, Heating, Balcony / Deck, Ensuite",https://www.domain.com.au/309b-1093-plenty-road-bundoora-vic-3083-16543931
16821765,BUNDOORA,3083,420,1825,"Monday, 01 September 2025",2025-09-01,8,1,1,1.0,Apartment / Unit / Flat,206/50 Janefield Drive,-37.682056,145.0743,2025-09-09 16:20:02,16821765,JF-2664-JK,9,0,0,False,Apartment,Apartment / Unit / Flat,Coronis National,33421,Daniel Temos,"Built in wardrobes, Dishwasher, Separate Laundry, Heating",https://www.domain.com.au/206-50-janefield-drive-bundoora-vic-3083-16821765
17618448,BUNDOORA,3083,500,2172,"Friday, 12 September 2025",2025-06-12,89,2,1,1.0,Apartment / Unit / Flat,502C/3 Snake Gully Drive,-37.709187,145.04903,2025-09-09 16:20:02,17618448,,9,0,0,False,Apartment,Apartment / Unit / Flat,Love & Co Reservoir,7121,Luisa Rodriguez Garnica,"Gas, Internal Laundry, Balcony / Deck, Air conditioning, Heating, Built in wardrobes, Close to transport, Close to shops, Alarm System, Intercom, Close to schools, City Views, Furnished, Car Parking - Basement, Carpeted, Exhaust",https://www.domain.com.au/502c-3-snake-gully-drive-bundoora-vic-3083-17618448
17635129,BUNDOORA,3083,500,2173,"Tuesday, 08 July 2025",2025-06-24,77,2,2,1.0,Apartment / Unit / Flat,206/28 Galileo Gate Way,-37.71152,145.04903,2025-09-09 16:20:02,17635129,,22,0,0,False,Apartment,Apartment / Unit / Flat,Stockdale & Leggo Bundoora,12274,"Thanuja Kannangara, Louisa De Petro","Internal Laundry, Heating, Balcony / Deck, Built in wardrobes, Close to schools, Close to shops, Close to transport, Dishwasher, Intercom",https://www.domain.com.au/206-28-galileo-gate-way-bundoora-vic-3083-17635129
17710915,BUNDOORA,3083,550,2390,"Saturday, 30 August 2025",2025-08-12,28,2,2,1.0,Apartment / Unit / Flat,211B/1093 Plenty Road,-37.70952,145.04953,2025-09-09 16:20:02,17710915,,10,0,0,False,Apartment,Apartment / Unit / Flat,Barry Plant North Eastern Group,4902,"Carly Duncan, Matthew Clark","Internal Laundry, Secure Parking, Heating, Balcony / Deck",https://www.domain.com.au/211b-1093-plenty-road-bundoora-vic-3083-17710915
17736534,BUNDOORA,3083,650,2824,"Sunday, 28 September 2025",2025-08-28,12,4,2,2.0,House,38 David Crescent,-37.69453,145.06952,2025-09-09 16:20:02,17736534,,11,0,0,False,House,House,Me Homes Property,38005,"Claudia Chan, Jane Jiang","Pets Allowed, Heating, Shed, Fully fenced, Ensuite(s), Secure Parking, Air conditioning, Ensuite, Floorboards, Built in wardrobes, Furnished, Dishwasher, Bath",https://www.domain.com.au/38-david-crescent-bundoora-vic-3083-17736534
17737706,BUNDOORA,3083,670,2911,"Friday, 03 October 2025",2025-08-29,11,3,2,2.0,House,15 Kevin Street,-37.695324,145.05644,2025-09-09 16:20:02,17737706,,10,0,0,False,House,House,Fletchers Canterbury,3923,"Kristian Williams, Fletchers Property Management",,https://www.domain.com.au/15-kevin-street-bundoora-vic-3083-17737706
17738029,BUNDOORA,3083,640,2781,"Saturday, 06 September 2025",2025-08-29,11,3,2,2.0,Townhouse,21 Ironbark Drive,-37.68336,145.05342,2025-09-09 16:20:02,17738029,,8,0,1,False,Townhouse/Villa,Townhouse,Miles Real Estate Ivanhoe,6011,Ming Kok,"Heating, Balcony / Deck, Secure Parking, Air conditioning, Garden / Courtyard, Fully fenced, Built in wardrobes, Dishwasher, Gas",https://www.domain.com.au/21-ironbark-drive-bundoora-vic-3083-17738029
17738754,BUNDOORA,3083,650,2824,"Friday, 29 August 2025",2025-08-29,11,4,2,2.0,House,64 Anderson Parade,-37.694912,145.07675,2025-09-09 16:20:02,17738754,,11,0,0,False,House,House,Ray White Bundoora,12449,"Josiah Donato, Agnes Ale","Built in wardrobes, Internal Laundry, Pets Allowed, Bath, Heating, Dishwasher, Secure Parking, Fully fenced, Garden / Courtyard",https://www.domain.com.au/64-anderson-parade-bundoora-vic-3083-17738754
17738868,BUNDOORA,3083,430,1869,"Wednesday, 15 October 2025",2025-08-29,11,2,1,2.0,Townhouse,2/80 Enterprise Drive,-37.685425,145.07664,2025-09-09 16:20:02,17738868,,13,0,0,False,Townhouse/Villa,Townhouse,Ristic Real Estate,17959,"Jacinta Scott, Bella Torres","Built in wardrobes, Gas, Internal Laundry, Heating, Dishwasher, Balcony / Deck",https://www.domain.com.au/2-80-enterprise-drive-bundoora-vic-3083-17738868
