listing_id,suburb,postcode,weekly_rent,bond,available_date,date_listed,days_listed,bedrooms,bathrooms,carspaces,property_type,address,lat,lon,scraped_date,domain_page_id,property_id,photo_count,video_count,floorplans_count,virtual_tour,primary_type,secondary_type,agency,agency_id,agent_names,structured_features,url
8659562,BURWOOD,3125,340.0,1477.0,"Wednesday, 01 October 2025",2025-09-08,1,1.0,1,,Apartment / Unit / Flat,57/390 Burwood Highway,-37.852123,145.13095,2025-09-09 16:37:33,8659562,YI-0890-WE,12,1,1,False,Apartment,Apartment / Unit / Flat,Student Housing Australia,11870,Kay Kwok,,https://www.domain.com.au/57-390-burwood-highway-burwood-vic-3125-8659562
8750241,BURWOOD,3125,335.0,1456.0,"Friday, 24 October 2025",2025-09-08,1,1.0,1,,Apartment / Unit / Flat,127/386 Burwood Highway,-37.852066,145.13045,2025-09-09 16:37:33,8750241,JJ-3325-WF,12,0,1,False,Apartment,Apartment / Unit / Flat,Student Housing Australia,11870,Kay Kwok,"Air conditioning, Gas, Furnished, Intercom, Broadband internet access, Balcony / Deck",https://www.domain.com.au/127-386-burwood-highway-burwood-vic-3125-8750241
8750261,BURWOOD,3125,335.0,1456.0,"Friday, 24 October 2025",2025-09-08,1,1.0,1,,Apartment / Unit / Flat,130/386 Burwood Highway,-37.852066,145.13045,2025-09-09 16:37:33,8750261,JD-5068-KS,12,0,1,False,Apartment,Apartment / Unit / Flat,Student Housing Australia,11870,Kay Kwok,,https://www.domain.com.au/130-386-burwood-highway-burwood-vic-3125-8750261
8750268,BURWOOD,3125,335.0,1456.0,"Tuesday, 30 September 2025",2025-09-04,5,1.0,1,,Apartment / Unit / Flat,133/386 Burwood Highway,-37.852066,145.13045,2025-09-09 16:37:33,8750268,BF-4599-VV,12,0,1,False,Apartment,Apartment / Unit / Flat,Student Housing Australia,11870,Kay Kwok,,https://www.domain.com.au/133-386-burwood-highway-burwood-vic-3125-8750268
14968759,BURWOOD,3125,785.0,,"Friday, 03 October 2025",2025-09-08,1,3.0,2,2.0,Townhouse,5/342 Burwood Highway,-37.851433,145.12474,2025-09-09 16:37:33,14968759,UO-6223-XM,6,0,0,False,Townhouse/Villa,Townhouse,Diamond Property Management,31578,James Ollaik,"Secure Parking, Balcony / Deck",https://www.domain.com.au/5-342-burwood-highway-burwood-vic-3125-14968759
15661291,BURWOOD,3125,580.0,2520.0,"Wednesday, 05 November 2025",2025-09-03,6,2.0,1,1.0,Apartment / Unit / Flat,201/8 Yarra Bing Crescent,-37.85073,145.12521,2025-09-09 16:37:33,15661291,VT-0435-CJ,10,0,0,False,Apartment,Apartment / Unit / Flat,Surreal Property Group,20747,"Linda Mitrevski, Coady Mitrevski","Air conditioning, Built in wardrobes, Secure Parking",https://www.domain.com.au/201-8-yarra-bing-crescent-burwood-vic-3125-15661291
17061870,BURWOOD,3125,530.0,2303.0,"Monday, 29 July 2024",2025-07-09,62,2.0,1,,Apartment / Unit / Flat,Rear/4 Roslyn Street,-37.84967,145.10258,2025-09-09 16:37:33,17061870,,8,0,0,False,Apartment,Apartment / Unit / Flat,First National Burwood,36821,Karis Ong,"Secure Parking, Dishwasher, Split System Heating, Split System Air Conditioning, Furnished",https://www.domain.com.au/rear-4-roslyn-street-burwood-vic-3125-17061870
17446757,BURWOOD,3125,310.0,1390.0,"Saturday, 27 September 2025",2025-08-05,35,1.0,1,,Apartment / Unit / Flat,222 Burwood Highway,-37.850143,145.11414,2025-09-09 16:37:33,17446757,RB-2917-VH,6,0,0,False,Apartment,Apartment / Unit / Flat,First National Burwood,36821,Karis Ong,"Furnished, Split System Heating, Split System Air Conditioning, Courtyard",https://www.domain.com.au/222-burwood-highway-burwood-vic-3125-17446757
17673342,BURWOOD,3125,850.0,3693.0,"Friday, 25 July 2025",2025-07-17,54,3.0,2,3.0,Townhouse,2/30 Wattlebird Court,-37.843876,145.10117,2025-09-09 16:37:33,17673342,,11,0,0,False,Townhouse/Villa,Townhouse,Buxton Camberwell,28347,"Emily Katiforis, Alex Mayne","Built in wardrobes, Garden / Courtyard, Dishwasher, Ducted Heating, Evaporative Cooling, Ensuite",https://www.domain.com.au/2-30-wattlebird-court-burwood-vic-3125-17673342
17676961,BURWOOD,3125,560.0,2433.0,"Friday, 08 August 2025",2025-08-04,36,3.0,1,2.0,House,15 Cumming Street,-37.851456,145.11363,2025-09-09 16:37:33,17676961,,12,0,0,False,House,House,Buxton Camberwell,28347,George Bezas,"Floorboards, Built in wardrobes, Gas",https://www.domain.com.au/15-cumming-street-burwood-vic-3125-17676961
17711275,BURWOOD,3125,575.0,2491.0,"Monday, 01 September 2025",2025-08-12,28,2.0,1,1.0,House,15/4 Yarra Bing Cres,-37.850815,145.12422,2025-09-09 16:37:33,17711275,,5,0,0,False,House,House,Ray White Ferntree Gully,7876,Ray White Rental Centre,"Air conditioning, Built in wardrobes, Gas, Internal Laundry, Dishwasher, Balcony / Deck",https://www.domain.com.au/15-4-yarra-bing-cres-burwood-vic-3125-17711275
17723594,BURWOOD,3125,600.0,2607.0,"Monday, 29 September 2025",2025-08-20,20,2.0,1,1.0,Townhouse,4/9 La Frank Street,-37.85306,145.12807,2025-09-09 16:37:33,17723594,,5,0,0,False,Townhouse/Villa,Townhouse,Jellis Craig Mount Waverley ,17805,"Jocelyn  Leong, Ashlynn Chew","Gas, Built in wardrobes, Garden / Courtyard, Remote Garage, Ducted Heating, Evaporative Cooling",https://www.domain.com.au/4-9-la-frank-street-burwood-vic-3125-17723594
17734590,BURWOOD,3125,600.0,2607.0,"Monday, 01 September 2025",2025-08-27,13,4.0,1,2.0,House,2/119 Station Street,-37.846554,145.1201,2025-09-09 16:37:33,17734590,,11,0,0,False,House,House,First National Burwood,36821,Karis Ong,"Secure Parking, Split System Heating, Split System Air Conditioning",https://www.domain.com.au/2-119-station-street-burwood-vic-3125-17734590
17738821,BURWOOD,3125,900.0,5710.0,"Thursday, 25 September 2025",2025-08-29,11,4.0,2,3.0,House,57 Gillard Street,-37.855125,145.11421,2025-09-09 16:37:33,17738821,,11,0,1,False,House,House,Buxton Camberwell,28347,"Emily Katiforis, Alex Mayne","Split System Air Con, Built in wardrobes, Garden / Courtyard, Dishwasher, Ducted Heating, Ensuite",https://www.domain.com.au/57-gillard-street-burwood-vic-3125-17738821
17739778,BURWOOD,3125,820.0,3563.0,"Tuesday, 30 September 2025",2025-09-01,8,4.0,2,3.0,House,18 Summit Road,-37.846973,145.12294,2025-09-09 16:37:33,17739778,,17,0,1,False,House,House,Buxton Camberwell,28347,Emily Katiforis,"Dishwasher, Ducted Heating, Built in wardrobes",https://www.domain.com.au/18-summit-road-burwood-vic-3125-17739778
17741157,BURWOOD,3125,850.0,3693.0,"Sunday, 26 October 2025",2025-09-01,8,3.0,2,1.0,House,16C Puerta Street,-37.844616,145.10493,2025-09-09 16:37:33,17741157,,6,0,0,False,House,House,Jellis Craig Mount Waverley ,17805,"Jayden Hong, Andrea How","Built in wardrobes, Gas, Intercom, Dishwasher, Remote Garage, Ducted Heating, Evaporative Cooling",https://www.domain.com.au/16c-puerta-street-burwood-vic-3125-17741157
17745433,BURWOOD,3125,700.0,3042.0,"Friday, 12 September 2025",2025-09-03,6,3.0,2,1.0,House,2/49 Parer Street,-37.846317,145.10378,2025-09-09 16:37:33,17745433,,5,0,0,False,House,House,Fletchers Canterbury,3923,Glenda Martin,,https://www.domain.com.au/2-49-parer-street-burwood-vic-3125-17745433
17748895,BURWOOD,3125,190.0,826.0,"Wednesday, 15 October 2025",2025-09-05,4,1.0,2,,House,148 Station Street,-37.844585,145.12126,2025-09-09 16:37:33,17748895,,5,0,0,False,House,House,Professionals First & Co,29341,Jing Chong,Heating,https://www.domain.com.au/148-station-street-burwood-vic-3125-17748895
17750223,BURWOOD,3125,900.0,,"Friday, 03 October 2025",2025-09-05,3,4.0,2,2.0,Townhouse,27 Uganda Street,-37.8442,145.1069,2025-09-09 16:37:33,17750223,,7,0,0,False,Townhouse/Villa,Townhouse,Mandy Lee Real Estate ,15950,Nathan Zeng,"Gas, Secure Parking",https://www.domain.com.au/27-uganda-street-burwood-vic-3125-17750223
17754192,BURWOOD,3125,580.0,2520.0,"Wednesday, 08 October 2025",2025-09-09,0,2.0,2,1.0,Apartment / Unit / Flat,3/15 Farleigh Avenue,-37.84523,145.12311,2025-09-09 16:37:33,17754192,,7,0,0,False,Apartment,Apartment / Unit / Flat,Fletchers Canterbury,3923,"Kathy Yang, Fletchers Property Management",,https://www.domain.com.au/3-15-farleigh-avenue-burwood-vic-3125-17754192
