listing_id,suburb,postcode,weekly_rent,bond,available_date,date_listed,days_listed,bedrooms,bathrooms,carspaces,property_type,address,lat,lon,scraped_date,domain_page_id,property_id,photo_count,video_count,floorplans_count,virtual_tour,primary_type,secondary_type,agency,agency_id,agent_names,structured_features,url
15356661,BURWOOD EAST,3151,800.0,3476,"Friday, 03 October 2025",2025-09-08,1,3.0,2,2.0,Townhouse,1/80 Burwood Highway,-37.85178,145.1381,2025-09-09 16:42:54,15356661,,11,1,4,False,Townhouse/Villa,Townhouse,Barry Plant (Waverley),18349,Anna Koutroumanis,Study,https://www.domain.com.au/1-80-burwood-highway-burwood-east-vic-3151-15356661
15706168,BURWOOD EAST,3151,670.0,2911,"Friday, 12 September 2025",2025-08-20,20,3.0,2,2.0,House,210 Mahoneys Road,-37.851532,145.1632,2025-09-09 16:42:54,15706168,RP-8163-PK,6,0,0,False,House,House,Ray White Blackburn,4665,Narelle Poloso,"Air conditioning, Secure Parking, Heating",https://www.domain.com.au/210-mahoneys-road-burwood-east-vic-3151-15706168
16185004,BURWOOD EAST,3151,,3466,,2022-11-15,1029,3.0,2,1.0,Townhouse,78 Middleborough Road,-37.848164,145.13347,2025-09-09 16:42:54,16185004,AA-0417-QQ,1,0,0,False,Townhouse/Villa,Townhouse,BRW Group,34868,,"Internal Laundry, Secure Parking, Study",https://www.domain.com.au/78-middleborough-road-burwood-east-vic-3151-16185004
16552472,BURWOOD EAST,3151,570.0,2477,"Wednesday, 27 August 2025",2023-07-06,795,1.0,1,1.0,Apartment / Unit / Flat,408/26 Foundation Boulevard,-37.848415,145.1344,2025-09-09 16:42:54,16552472,,9,1,0,False,Apartment,Apartment / Unit / Flat,BRW Group,34868,"Janever Lee, BRW Leasing","Built in wardrobes, Gas, Secure Parking, Dishwasher",https://www.domain.com.au/408-26-foundation-boulevard-burwood-east-vic-3151-16552472
16552525,BURWOOD EAST,3151,550.0,2390,"Monday, 29 April 2024",2023-07-06,795,1.0,1,1.0,Apartment / Unit / Flat,28 Foundation Boulevard,-37.848415,145.1344,2025-09-09 16:42:54,16552525,,1,0,0,False,Apartment,Apartment / Unit / Flat,BRW Group,34868,Support Team,"Built in wardrobes, Gas, Dishwasher, Balcony / Deck",https://www.domain.com.au/28-foundation-boulevard-burwood-east-vic-3151-16552525
16636623,BURWOOD EAST,3151,570.0,2477,"Monday, 22 September 2025",2025-09-02,7,1.0,1,1.0,Apartment / Unit / Flat,107/28 Foundation Boulevard,-37.848415,145.1344,2025-09-09 16:42:54,16636623,LU-6516-DL,15,0,0,False,Apartment,Apartment / Unit / Flat,Frasers Property | VIC,7378,Irene Colasante,"Built in wardrobes, Gas, Secure Parking, Dishwasher, Pets Allowed",https://www.domain.com.au/107-28-foundation-boulevard-burwood-east-vic-3151-16636623
16656593,BURWOOD EAST,3151,,3683,,2023-09-14,725,4.0,2,1.0,Townhouse,4b2b Rustic Avenue,-37.846992,145.13657,2025-09-09 16:42:54,16656593,,19,0,0,False,Townhouse/Villa,Townhouse,BRW Group,34868,,,https://www.domain.com.au/4b2b-rustic-avenue-burwood-east-vic-3151-16656593
16658397,BURWOOD EAST,3151,890.0,3856,"Friday, 22 September 2023",2023-09-15,724,3.0,2,1.0,Townhouse,3b2b Portland Pl,-37.8478,145.13417,2025-09-09 16:42:54,16658397,,25,0,0,False,Townhouse/Villa,Townhouse,BRW Group,34868,,Gas,https://www.domain.com.au/3b2b-portland-pl-burwood-east-vic-3151-16658397
16824270,BURWOOD EAST,3151,690.0,2998,"Tuesday, 14 October 2025",2025-09-05,4,4.0,2,1.0,House,38 Hilltop Crescent,-37.854523,145.1341,2025-09-09 16:42:54,16824270,WI-8029-CQ,12,0,0,False,House,House,Biggin Scott Glen Waverley,24636,"Leasing Team, Eric  Sandjaja","Air conditioning, Secure Parking, Heating",https://www.domain.com.au/38-hilltop-crescent-burwood-east-vic-3151-16824270
17341588,BURWOOD EAST,3151,850.0,3694,"Friday, 06 December 2024",2024-12-06,277,4.0,2,2.0,Townhouse,4B2B Bluestone Avenue,-37.84836,145.13808,2025-09-09 16:42:54,17341588,TM-7861-FW,16,0,0,False,Townhouse/Villa,Townhouse,BRW Group,34868,Support Team,"Internal Laundry, Secure Parking, Heating, Study, Balcony / Deck",https://www.domain.com.au/4b2b-bluestone-avenue-burwood-east-vic-3151-17341588
17467260,BURWOOD EAST,3151,700.0,3042,"Wednesday, 05 March 2025",2025-03-04,189,2.0,2,1.0,Apartment / Unit / Flat,2B2B/28 Foundation Boulevard,-37.8484,145.13441,2025-09-09 16:42:54,17467260,,15,0,0,False,Apartment,Apartment / Unit / Flat,BRW Group,34868,Support Team,"Built in wardrobes, Gas, Secure Parking, Dishwasher",https://www.domain.com.au/2b2b-28-foundation-boulevard-burwood-east-vic-3151-17467260
17705037,BURWOOD EAST,3151,800.0,3476,"Thursday, 07 August 2025",2025-08-07,33,4.0,2,3.0,House,3 Cloverdale Close,-37.84698,145.15617,2025-09-09 16:42:54,17705037,,8,0,1,True,House,House, Jellis Craig & Company Pty Ltd,6525,Heather Kirk,Built in wardrobes,https://www.domain.com.au/3-cloverdale-close-burwood-east-vic-3151-17705037
17705473,BURWOOD EAST,3151,780.0,3389,"Friday, 29 August 2025",2025-08-07,33,3.0,2,2.0,House,28 Jade Circuit,-37.85279,145.16133,2025-09-09 16:42:54,17705473,,17,0,1,False,House,House,JRW Property International,21901,JRW  RENTALS DEPARTMENT 4,"Built in wardrobes, Secure Parking, Study, Solar panels",https://www.domain.com.au/28-jade-circuit-burwood-east-vic-3151-17705473
17711059,BURWOOD EAST,3151,620.0,2695,"Tuesday, 12 August 2025",2025-08-12,28,1.0,1,,Apartment / Unit / Flat,315 Burwood Highway,-37.85338,145.16264,2025-09-09 16:42:54,17711059,,5,0,0,False,Apartment,Apartment / Unit / Flat,Entre Shield Property,32445,VIC Ng,"Heating, Air conditioning, Floorboards, Gym, Alarm System, Intercom, Built in wardrobes, Furnished, Broadband internet access, Dishwasher, City Views, Balcony / Deck",https://www.domain.com.au/315-burwood-highway-burwood-east-vic-3151-17711059
17711070,BURWOOD EAST,3151,480.0,2086,"Tuesday, 12 August 2025",2025-08-12,28,,1,1.0,Studio,315 Burwood Highway,-37.85338,145.16264,2025-09-09 16:42:54,17711070,,4,0,0,False,Apartment,Studio,Entre Shield Property,32445,,"Heating, Balcony / Deck, Air conditioning, Floorboards, Gym, Alarm System, Intercom, Built in wardrobes, Furnished, Broadband internet access, City Views, Secure Parking",https://www.domain.com.au/315-burwood-highway-burwood-east-vic-3151-17711070
17724287,BURWOOD EAST,3151,760.0,3302,"Monday, 22 September 2025",2025-08-20,20,4.0,1,2.0,House,27 Ballantyne Street,-37.850212,145.16115,2025-09-09 16:42:54,17724287,,10,0,0,False,House,House,First National Burwood,36821,John Zhang,"Secure Parking, Gym, Ducted Heating, Evaporative Cooling, Gas Hot Water",https://www.domain.com.au/27-ballantyne-street-burwood-east-vic-3151-17724287
17728379,BURWOOD EAST,3151,590.0,2564,"Friday, 19 September 2025",2025-08-22,18,1.0,1,1.0,Apartment / Unit / Flat,403/9 Foundation Boulevard,-37.849846,145.13533,2025-09-09 16:42:54,17728379,,17,0,0,False,Apartment,Apartment / Unit / Flat,Ausky Group,20742,"Ausky Real Estate, Rachel Teng","Balcony / Deck, Floorboards, Built in wardrobes, Dishwasher, Alarm System, Intercom",https://www.domain.com.au/403-9-foundation-boulevard-burwood-east-vic-3151-17728379
17745814,BURWOOD EAST,3151,700.0,3042,"Wednesday, 03 September 2025",2025-09-03,6,2.0,2,1.0,Apartment / Unit / Flat,213/28 Foundation Boulevard,-37.848415,145.1344,2025-09-09 16:42:54,17745814,,8,0,0,False,Apartment,Apartment / Unit / Flat,Kay & Burton Stonnington,88,Dylan Archer,,https://www.domain.com.au/213-28-foundation-boulevard-burwood-east-vic-3151-17745814
17752824,BURWOOD EAST,3151,585.0,2542,"Wednesday, 22 October 2025",2025-09-09,0,3.0,1,1.0,House,49 Robinson Drive,-37.858906,145.16441,2025-09-09 16:42:54,17752824,,5,0,0,True,House,House, Woodards Manningham ,21971,Manningham Rentals,"Gas, Air conditioning, Built in wardrobes, Garden / Courtyard",https://www.domain.com.au/49-robinson-drive-burwood-east-vic-3151-17752824
17753589,BURWOOD EAST,3151,695.0,3020,"Thursday, 11 September 2025",2025-09-09,0,3.0,1,1.0,House,60 Davis Street,-37.85012,145.14801,2025-09-09 16:42:54,17753589,,13,0,0,False,House,House,Fletchers Canterbury,3923,Stephanie Wang,,https://www.domain.com.au/60-davis-street-burwood-east-vic-3151-17753589
16411176,BURWOOD EAST,3151,,4116,,2023-04-07,885,4.0,2,2.0,House,78 Middleborough Road,-37.848164,145.13347,2025-09-09 16:43:00,16411176,AA-0417-QQ,1,1,0,False,House,House,BRW Group,34868,,"Internal Laundry, Secure Parking, Heating, Study, Balcony / Deck",https://www.domain.com.au/78-middleborough-road-burwood-east-vic-3151-16411176
