listing_id,suburb,postcode,weekly_rent,bond,available_date,date_listed,days_listed,bedrooms,bathrooms,carspaces,property_type,address,lat,lon,scraped_date,domain_page_id,property_id,photo_count,video_count,floorplans_count,virtual_tour,primary_type,secondary_type,agency,agency_id,agent_names,structured_features,url
17512392,CAMBERWELL,3124,850,3693.0,"Thursday, 03 April 2025",2025-04-02,160,4.0,1,1.0,House,2/1149 Toorak Road,-37.848125,145.07727,2025-09-09 16:17:26,17512392,,8,0,2,True,House,House, Jellis Craig & Company Pty Ltd,6525,Leo Zuo,Outdoor Entertainment Area,https://www.domain.com.au/2-1149-toorak-road-camberwell-vic-3124-17512392
17624808,CAMBERWELL,3124,1180,6000.0,"Friday, 04 July 2025",2025-06-17,84,4.0,2,1.0,House,28 Lockhart Street,-37.837273,145.08826,2025-09-09 16:17:26,17624808,,10,0,1,False,House,House,RT Edgar Boroondara,3714,Robin Yu,"Dishwasher, Ducted Heating, Fireplace(s), Built in wardrobes",https://www.domain.com.au/28-lockhart-street-camberwell-vic-3124-17624808
17693377,CAMBERWELL,3124,675,2933.0,"Tuesday, 26 August 2025",2025-07-30,40,2.0,2,1.0,Apartment / Unit / Flat,104/1282 Toorak Road,-37.84951,145.08624,2025-09-09 16:17:26,17693377,,8,0,1,True,Apartment,Apartment / Unit / Flat, Jellis Craig & Company Pty Ltd,6525,Lachie Hollamby,"Balcony / Deck, Built in wardrobes",https://www.domain.com.au/104-1282-toorak-road-camberwell-vic-3124-17693377
17694453,CAMBERWELL,3124,875,3802.0,"Friday, 15 August 2025",2025-07-31,40,3.0,3,1.0,Townhouse,4/112 Fordham Avenue,-37.844387,145.07689,2025-09-09 16:17:26,17694453,,9,0,0,False,Townhouse/Villa,Townhouse,Flare Real Estate,8251,"Carly Zarras, Leasing Agent","Internal Laundry, Balcony / Deck, Built in wardrobes, Vacuum System, Dishwasher, Ducted Cooling, Ducted Heating, Secure Parking, dual heating and cooling, fridge, washing machine, dryer",https://www.domain.com.au/4-112-fordham-avenue-camberwell-vic-3124-17694453
17694764,CAMBERWELL,3124,875,3802.0,"Friday, 15 August 2025",2025-07-31,40,3.0,3,1.0,Townhouse,5/112 Fordham Avenue,-37.844387,145.07689,2025-09-09 16:17:26,17694764,,8,0,0,False,Townhouse/Villa,Townhouse,Flare Real Estate,8251,"Carly Zarras, Leasing Agent","Balcony / Deck, Vacuum System, Built in wardrobes, Dishwasher, Secure Parking, dual heating and cooling, fridge, washing machine, dryer",https://www.domain.com.au/5-112-fordham-avenue-camberwell-vic-3124-17694764
17711258,CAMBERWELL,3124,550,2390.0,"Saturday, 16 August 2025",2025-08-12,28,2.0,1,1.0,Apartment / Unit / Flat,6/3 Tyrone Street,-37.84403,145.07199,2025-09-09 16:17:26,17711258,,9,1,1,False,Apartment,Apartment / Unit / Flat, Jellis Craig & Company Pty Ltd,6525,Thea Toogood,,https://www.domain.com.au/6-3-tyrone-street-camberwell-vic-3124-17711258
17714052,CAMBERWELL,3124,725,3150.0,"Friday, 05 September 2025",2025-08-13,27,2.0,1,1.0,House,2A Waterloo Street,-37.829338,145.06235,2025-09-09 16:17:26,17714052,,12,0,0,False,House,House, Jellis Craig & Company Pty Ltd,6525,Leo Zuo,Garden / Courtyard,https://www.domain.com.au/2a-waterloo-street-camberwell-vic-3124-17714052
17722598,CAMBERWELL,3124,895,3889.0,"Friday, 05 September 2025",2025-08-19,21,4.0,2,1.0,House,138 Wattle Valley Road,-37.838726,145.08086,2025-09-09 16:17:26,17722598,,11,0,0,False,House,House,Woodards Oakleigh,3330,Brad Lessware,"Air conditioning, Built in wardrobes, Fireplace(s), Heating, Dishwasher, Study",https://www.domain.com.au/138-wattle-valley-road-camberwell-vic-3124-17722598
17723589,CAMBERWELL,3124,1350,8100.0,"Wednesday, 27 August 2025",2025-08-20,20,3.0,2,1.0,House,44 Radnor Street,-37.842728,145.06116,2025-09-09 16:17:26,17723589,,17,0,1,False,House,House,Marshall White Boroondara,18210,"Ross Crouch, Nadia Blyth","Split System Air Con, Split System Heating, Study, Built in wardrobes, Outdoor Entertainment Area, Floorboards, Fully fenced, Ducted Heating",https://www.domain.com.au/44-radnor-street-camberwell-vic-3124-17723589
17724927,CAMBERWELL,3124,1250,8147.0,"Monday, 15 September 2025",2025-08-20,19,4.0,2,4.0,House,12 Orrong Crescent,-37.83985,145.06984,2025-09-09 16:17:26,17724927,,13,0,1,False,House,House, Jellis Craig & Company Pty Ltd,6525,Heather Kirk,"Garden / Courtyard, Outdoor Entertainment Area, Shed, Built in wardrobes, Dishwasher",https://www.domain.com.au/12-orrong-crescent-camberwell-vic-3124-17724927
