listing_id,suburb,postcode,weekly_rent,bond,available_date,date_listed,days_listed,bedrooms,bathrooms,carspaces,property_type,address,lat,lon,scraped_date,domain_page_id,property_id,photo_count,video_count,floorplans_count,virtual_tour,primary_type,secondary_type,agency,agency_id,agent_names,structured_features,url
12294983,CANTERBURY,3126,1040,,"Wednesday, 01 October 2025",2025-09-08,1,3,3,2.0,Townhouse,16 Pin Oak Crt,-37.821068,145.06075,2025-09-09 16:42:57,12294983,LU-6943-JM,6,0,0,False,Townhouse/Villa,Townhouse,Colin Knight Real Estate,383,Justyn Knight,"Intercom, Balcony / Deck, Floorboards, Secure Parking, Air conditioning",https://www.domain.com.au/16-pin-oak-crt-canterbury-vic-3126-12294983
17486454,CANTERBURY,3126,1200,,"Tuesday, 19 August 2025",2025-03-17,176,5,2,2.0,House,35 Mangarra Road,-37.818954,145.06883,2025-09-09 16:42:57,17486454,IC-3740-GC,11,0,0,False,House,House,Harcourts Blackburn,37344,Sophia Cong,"Built in wardrobes, Study",https://www.domain.com.au/35-mangarra-road-canterbury-vic-3126-17486454
17648784,CANTERBURY,3126,995,4324.0,"Thursday, 10 July 2025",2025-07-02,69,4,1,1.0,House,4 Golding Street,-37.828197,145.08347,2025-09-09 16:42:57,17648784,,8,0,2,False,House,House,Woodards Camberwell,3601,Caroline Thomas,"Gas, Internal Laundry, Heating",https://www.domain.com.au/4-golding-street-canterbury-vic-3126-17648784
17699710,CANTERBURY,3126,495,2151.0,"Friday, 15 August 2025",2025-08-04,36,2,1,,Apartment / Unit / Flat,6/892 Burke Road,-37.81732,145.05956,2025-09-09 16:42:57,17699710,,7,0,0,False,Apartment,Apartment / Unit / Flat,Woodards Camberwell,3601,Linda Moss,"Built in wardrobes, Bath, Heating, Dishwasher",https://www.domain.com.au/6-892-burke-road-canterbury-vic-3126-17699710
17723454,CANTERBURY,3126,685,2976.0,"Friday, 22 August 2025",2025-08-20,20,2,2,1.0,Apartment / Unit / Flat,104/85 Maling Rd,-37.825222,145.08049,2025-09-09 16:42:57,17723454,,7,1,0,False,Apartment,Apartment / Unit / Flat, Gary Peer,273,Leasing Concierge,"Secure Parking, Intercom, Balcony / Deck, Built in wardrobes, Dishwasher, Floorboards, Internal Laundry",https://www.domain.com.au/104-85-maling-rd-canterbury-vic-3126-17723454
17724751,CANTERBURY,3126,450,1955.0,"Wednesday, 27 August 2025",2025-08-20,19,2,1,,Apartment / Unit / Flat,6/892 Burke Road,-37.81732,145.05956,2025-09-09 16:42:57,17724751,,7,0,0,False,Apartment,Apartment / Unit / Flat,Woodards Camberwell,3601,Linda Moss,"Built in wardrobes, Bath, Heating, Dishwasher",https://www.domain.com.au/6-892-burke-road-canterbury-vic-3126-17724751
17730242,CANTERBURY,3126,795,3454.0,"Tuesday, 02 September 2025",2025-08-25,15,3,1,1.0,Apartment / Unit / Flat,2/29 Victoria Avenue,-37.8198,145.07573,2025-09-09 16:42:57,17730242,,6,0,1,False,Apartment,Apartment / Unit / Flat,Biggin & Scott Boroondara,31826,Kris El-Helou,"Built in wardrobes, Gas, Internal Laundry, Secure Parking, Bath",https://www.domain.com.au/2-29-victoria-avenue-canterbury-vic-3126-17730242
17733415,CANTERBURY,3126,1500,9777.0,"Friday, 19 September 2025",2025-08-27,13,4,2,2.0,House,26 Wentworth Avenue,-37.820454,145.07147,2025-09-09 16:42:57,17733415,,9,0,1,False,House,House, Jellis Craig & Company Pty Ltd,6525,Heather Kirk,"Balcony / Deck, Built in wardrobes, Dishwasher, Study",https://www.domain.com.au/26-wentworth-avenue-canterbury-vic-3126-17733415
17741007,CANTERBURY,3126,625,2716.0,"Saturday, 27 September 2025",2025-09-01,8,2,1,1.0,Apartment / Unit / Flat,2/3 Byron Street,-37.830948,145.07372,2025-09-09 16:42:57,17741007,,10,0,0,False,Apartment,Apartment / Unit / Flat, Jellis Craig & Company Pty Ltd,6525,Thea Toogood,"Built in wardrobes, Floorboards",https://www.domain.com.au/2-3-byron-street-canterbury-vic-3126-17741007
17747533,CANTERBURY,3126,950,6192.0,"Wednesday, 01 October 2025",2025-09-04,5,3,2,3.0,House,14 Chaucer Crescent,-37.824287,145.07199,2025-09-09 16:42:57,17747533,,10,0,1,False,House,House, Jellis Craig & Company Pty Ltd,6525,Heather Kirk,,https://www.domain.com.au/14-chaucer-crescent-canterbury-vic-3126-17747533
17750499,CANTERBURY,3126,510,2216.0,"Sunday, 21 September 2025",2025-09-08,1,2,1,1.0,Apartment / Unit / Flat,27 Delany Close,-37.82373,145.0801,2025-09-09 16:42:57,17750499,,8,0,0,False,Apartment,Apartment / Unit / Flat,Diamond Property Management,31578,James Ollaik,Heating,https://www.domain.com.au/27-delany-close-canterbury-vic-3126-17750499
17752541,CANTERBURY,3126,1300,6518.0,"Monday, 08 September 2025",2025-09-08,0,4,2,2.0,House,22 Daphne Street,-37.821526,145.07768,2025-09-09 16:42:57,17752541,,15,0,1,False,House,House,Ridgemiles Real Estate,36166,Fion Lau,"Air conditioning, Internal Laundry, Intercom, Fireplace(s), Heating",https://www.domain.com.au/22-daphne-street-canterbury-vic-3126-17752541
