listing_id,suburb,postcode,weekly_rent,bond,available_date,date_listed,days_listed,bedrooms,bathrooms,carspaces,property_type,address,lat,lon,scraped_date,domain_page_id,property_id,photo_count,video_count,floorplans_count,virtual_tour,primary_type,secondary_type,agency,agency_id,agent_names,structured_features,url
15747864,CARLTON,3053,730.0,3172.0,"Thursday, 04 September 2025",2025-09-02,7,2.0,2,,Apartment / Unit / Flat,1910/555 Swanston Street,-37.8055,144.96245,2025-09-09 16:17:51,15747864,TL-4001-KU,10,0,0,False,Apartment,Apartment / Unit / Flat,MATRIX GLOBAL INVESTMENT GROUP MELBOURNE PTY LTD,30850,"Terry Zhang, Tony Gao","Split System Heating, Air conditioning, City Views, Furnished",https://www.domain.com.au/1910-555-swanston-street-carlton-vic-3053-15747864
16967372,CARLTON,3053,580.0,2564.0,"Wednesday, 27 August 2025",2024-04-14,513,1.0,1,1.0,Apartment / Unit / Flat,602/8 Elgin St,-37.79751,144.97423,2025-09-09 16:17:51,16967372,,13,1,0,False,Apartment,Apartment / Unit / Flat,BRW Group,34868,Support Team,,https://www.domain.com.au/602-8-elgin-st-carlton-vic-3053-16967372
17169970,CARLTON,3053,620.0,2694.0,"Friday, 03 October 2025",2025-09-02,7,2.0,1,,Apartment / Unit / Flat,1616/555 Swanston Street,-37.8055,144.96245,2025-09-09 16:17:51,17169970,AE-6450-RQ,11,0,0,False,Apartment,Apartment / Unit / Flat,Woodards Blackburn,3599,"Cora Lu, Angelica Martinez","Built in wardrobes, Internal Laundry, Intercom, Heating, Dishwasher, Balcony / Deck",https://www.domain.com.au/1616-555-swanston-street-carlton-vic-3053-17169970
17651338,CARLTON,3053,625.0,2715.0,"Wednesday, 27 August 2025",2025-08-12,28,1.0,1,,Apartment / Unit / Flat,313/127 Cardigan Street,-37.80369,144.96439,2025-09-09 16:17:51,17651338,,11,0,0,False,Apartment,Apartment / Unit / Flat,Marshall White Stonnington,4450,"Tina Jin, Hannah Virgona, Anna Pylkkanen",,https://www.domain.com.au/313-127-cardigan-street-carlton-vic-3053-17651338
17654725,CARLTON,3053,625.0,2715.0,"Wednesday, 27 August 2025",2025-08-12,28,1.0,1,,Apartment / Unit / Flat,201/127 Cardigan Street,-37.80369,144.96439,2025-09-09 16:17:51,17654725,,12,0,2,False,Apartment,Apartment / Unit / Flat,Marshall White Stonnington,4450,"Tina Jin, Hannah Virgona, Anna Pylkkanen","Dishwasher, Split System Air Con, Split System Heating, Built in wardrobes",https://www.domain.com.au/201-127-cardigan-street-carlton-vic-3053-17654725
17664692,CARLTON,3053,750.0,3259.0,"Wednesday, 23 July 2025",2025-07-11,60,2.0,1,,Apartment / Unit / Flat,6001/160 Victoria Street,-37.80616,144.9619,2025-09-09 16:17:51,17664692,,16,0,0,True,Apartment,Apartment / Unit / Flat,Areal Property - Box Hill,33000,Michael Zhang,Furnished,https://www.domain.com.au/6001-160-victoria-street-carlton-vic-3053-17664692
17671471,CARLTON,3053,400.0,1739.0,"Tuesday, 26 August 2025",2025-07-16,55,,1,,Studio,1510/6 Leicester Street,-37.806137,144.96028,2025-09-09 16:17:51,17671471,,7,1,1,False,Apartment,Studio,MRE,20795,Lara Nicholson,"Built in wardrobes, Heating: Reverse Cycle Air Conditioning, Cooling: Reverse Cycle Air Conditioning, Kitchen: Modern, Cooking: Gas Oven and Hotplates, Laundry: European Laundry, Pool/Spa Count: 0",https://www.domain.com.au/1510-6-leicester-street-carlton-vic-3053-17671471
17683401,CARLTON,3053,400.0,1738.0,"Thursday, 24 July 2025",2025-07-24,47,,1,,Studio,1/230 Elgin Street,-37.79683,144.96661,2025-09-09 16:17:51,17683401,,7,1,1,False,Apartment,Studio,MRE,20795,Jivaan Carlyon,"Air conditioning, Heating, Pool/Spa Count: 0",https://www.domain.com.au/1-230-elgin-street-carlton-vic-3053-17683401
17707581,CARLTON,3053,530.0,2303.0,"Friday, 05 September 2025",2025-08-08,32,1.0,1,,Apartment / Unit / Flat,G06/108 Queensberry Street,-37.8046,144.96545,2025-09-09 16:17:51,17707581,,5,0,0,False,Apartment,Apartment / Unit / Flat,Buxton Inner West,4371,Eliza O'Donnell,"Gas, Internal Laundry, Split System Air Con, Split System Heating, Balcony / Deck, Built in wardrobes",https://www.domain.com.au/g06-108-queensberry-street-carlton-vic-3053-17707581
17710785,CARLTON,3053,400.0,1738.0,"Wednesday, 24 September 2025",2025-08-12,28,,1,,Studio,8/230 Elgin Street,-37.796825,144.96661,2025-09-09 16:17:51,17710785,,6,0,0,False,Apartment,Studio,MRE,20795,Jivaan Carlyon,"Air conditioning, Heating, Pool/Spa Count: 0",https://www.domain.com.au/8-230-elgin-street-carlton-vic-3053-17710785
