listing_id,suburb,postcode,weekly_rent,bond,available_date,date_listed,days_listed,bedrooms,bathrooms,carspaces,property_type,address,lat,lon,scraped_date,domain_page_id,photo_count,video_count,floorplans_count,virtual_tour,primary_type,secondary_type,agency,agency_id,agent_names,structured_features,url
17641744,CARLTON NORTH,3054,1090,5826,"Monday, 28 July 2025",2025-06-27,74,3,2,,House,413-415 Nicholson Street,-37.789986,144.97609,2025-09-09 16:30:15,17641744,8,0,0,False,House,House,Jellis Craig - Brunswick,6216,Brandon Antrim,"Split System Air Con, Split System Heating, Balcony / Deck, Built in wardrobes, Dishwasher, Floorboards",https://www.domain.com.au/413-415-nicholson-street-carlton-north-vic-3054-17641744
17661025,CARLTON NORTH,3054,1300,6500,"Friday, 18 July 2025",2025-07-09,62,4,2,1.0,House,692 Drummond Street,-37.78855,144.97081,2025-09-09 16:30:15,17661025,24,0,1,True,House,House,Woodards,19,Doug King,"Gas, Internal Laundry, Bath, Dishwasher, Study",https://www.domain.com.au/692-drummond-street-carlton-north-vic-3054-17661025
17699742,CARLTON NORTH,3054,600,2607,"Saturday, 20 July 2024",2025-08-04,35,2,1,,House,163 Lee Street,-37.79114,144.96948,2025-09-09 16:30:15,17699742,4,0,0,False,House,House,Nelson Alexander | Carlton,4719,Paula Cinanni,"Internal Laundry, Bath, Heating",https://www.domain.com.au/163-lee-street-carlton-north-vic-3054-17699742
17703748,CARLTON NORTH,3054,580,2520,"Saturday, 23 August 2025",2025-08-06,34,2,1,1.0,Apartment / Unit / Flat,18/635 Drummond Street,-37.790207,144.96997,2025-09-09 16:30:15,17703748,8,0,0,False,Apartment,Apartment / Unit / Flat,Nelson Alexander | Carlton,4719,Paula Cinanni,"Built in wardrobes, Internal Laundry, Bath, Heating, Balcony / Deck",https://www.domain.com.au/18-635-drummond-street-carlton-north-vic-3054-17703748
17714315,CARLTON NORTH,3054,800,3477,"Friday, 15 August 2025",2025-08-13,26,2,1,,House,173 Lee Street,-37.791115,144.96921,2025-09-09 16:30:15,17714315,10,0,0,False,House,House,Kelly & Shiel Pty Ltd,7026,Wally Omar,"Gas, Internal Laundry, Heating, Dishwasher, Built in wardrobes, Courtyard",https://www.domain.com.au/173-lee-street-carlton-north-vic-3054-17714315
17729597,CARLTON NORTH,3054,720,3129,"Tuesday, 16 September 2025",2025-08-25,15,2,1,1.0,Apartment / Unit / Flat,9/1086 Lygon Street,-37.780163,144.97064,2025-09-09 16:30:15,17729597,10,0,0,False,Apartment,Apartment / Unit / Flat,Barry Plant (Brunswick-Coburg),6048,Brea Nicolaides,"Built in wardrobes, Internal Laundry, Intercom, Heating, Balcony / Deck",https://www.domain.com.au/9-1086-lygon-street-carlton-north-vic-3054-17729597
17730744,CARLTON NORTH,3054,750,3259,"Friday, 03 October 2025",2025-08-25,14,2,1,,House,52 Station Street,-37.785088,144.97607,2025-09-09 16:30:15,17730744,9,0,0,False,House,House,Nelson Alexander Fitzroy,4718,Paige Hockley,"Internal Laundry, Heating",https://www.domain.com.au/52-station-street-carlton-north-vic-3054-17730744
17732754,CARLTON NORTH,3054,1420,7590,"Saturday, 04 October 2025",2025-08-26,14,3,2,1.0,House,251 Richardson Street,-37.78427,144.96722,2025-09-09 16:30:15,17732754,17,0,0,False,House,House,Jellis Craig Fitzroy,3709,"Jayde Cashion, Jellis Craig Inner North","Built in wardrobes, Dishwasher, Fully fenced, Ducted Cooling, Ducted Heating, Floorboards, Laundry, Open Plan Living",https://www.domain.com.au/251-richardson-street-carlton-north-vic-3054-17732754
17733589,CARLTON NORTH,3054,1100,4780,"Monday, 29 September 2025",2025-08-27,13,3,2,1.0,House,7 Fletcher Lane,-37.78533,144.97192,2025-09-09 16:30:15,17733589,6,0,0,False,House,House,Nelson Alexander | Carlton,4719,Monique Caparello,"Secure Parking, Bath",https://www.domain.com.au/7-fletcher-lane-carlton-north-vic-3054-17733589
17733656,CARLTON NORTH,3054,800,3476,"Monday, 01 September 2025",2025-08-27,13,2,1,,House,472 Rathdowne Street,-37.786366,144.97276,2025-09-09 16:30:15,17733656,10,0,1,True,House,House,Woodards,19,Samantha Maldonado,"Built in wardrobes, Heating, Balcony / Deck",https://www.domain.com.au/472-rathdowne-street-carlton-north-vic-3054-17733656
