listing_id,suburb,postcode,weekly_rent,bond,available_date,date_listed,days_listed,bedrooms,bathrooms,carspaces,property_type,address,lat,lon,scraped_date,domain_page_id,property_id,photo_count,video_count,floorplans_count,virtual_tour,primary_type,secondary_type,agency,agency_id,agent_names,structured_features,url
12696857,CARNEGIE,3163,849,3689,"Saturday, 27 September 2025",2025-09-08,1,3,2,2,Apartment / Unit / Flat,1/23 Ames Avenue,-37.89178,145.06175,2025-09-09 16:34:17,12696857,DE-7307-MU,8,0,0,False,Apartment,Apartment / Unit / Flat,LT Real Estate,20530,Larissa Tvarkovski,"Ensuite(s), Secure Parking, Air conditioning, Ensuite, Floorboards, Built in wardrobes, Internal Laundry, Gas, Heating, Dishwasher, North Facing, Fully fenced, Garden / Courtyard",https://www.domain.com.au/1-23-ames-avenue-carnegie-vic-3163-12696857
16206735,CARNEGIE,3163,450,1955,"Tuesday, 09 September 2025",2025-09-09,0,1,1,1,Apartment / Unit / Flat,103/1170 Dandenong Road,-37.885166,145.06631,2025-09-09 16:34:17,16206735,XN-6622-IB,7,1,0,False,Apartment,Apartment / Unit / Flat,Ray White Carnegie,5958,"Dale Browning, Nick Giannopoulos","Gas, Internal Laundry, Broadband internet access, Dishwasher, Balcony / Deck, Air conditioning, Built in wardrobes, Secure Parking",https://www.domain.com.au/103-1170-dandenong-road-carnegie-vic-3163-16206735
17711215,CARNEGIE,3163,575,2499,"Friday, 22 August 2025",2025-08-12,28,2,1,1,Apartment / Unit / Flat,4/20 Kokaribb Road,-37.887913,145.05582,2025-09-09 16:34:17,17711215,,10,0,1,False,Apartment,Apartment / Unit / Flat,Ray White Bentleigh,38248,"Lachie Whitehead, Zidan Mulyandi","Heating, Floorboards, Built in wardrobes, Internal Laundry, Pets Allowed, Bath, Secure Parking",https://www.domain.com.au/4-20-kokaribb-road-carnegie-vic-3163-17711215
17723088,CARNEGIE,3163,650,2824,"Wednesday, 20 August 2025",2025-08-20,20,2,2,1,Apartment / Unit / Flat,207/2 Morton Avenue,-37.886623,145.05823,2025-09-09 16:34:17,17723088,,8,0,0,False,Apartment,Apartment / Unit / Flat,Ray White Carnegie,5958,"Lachie Whitehead, Nick Giannopoulos","Built in wardrobes, Internal Laundry, Heating, Dishwasher, Balcony / Deck",https://www.domain.com.au/207-2-morton-avenue-carnegie-vic-3163-17723088
17736483,CARNEGIE,3163,400,1738,"Thursday, 04 September 2025",2025-08-28,12,1,1,1,Apartment / Unit / Flat,7/160 Grange Road,-37.893074,145.04625,2025-09-09 16:34:17,17736483,,7,0,0,False,Apartment,Apartment / Unit / Flat,Jellis Craig Bentleigh,30117,Daniel Biviano,"Air conditioning, Bath, Heating",https://www.domain.com.au/7-160-grange-road-carnegie-vic-3163-17736483
17741199,CARNEGIE,3163,580,2520,"Friday, 19 September 2025",2025-09-01,8,2,1,1,Apartment / Unit / Flat,1/10 Rosstown Road,-37.884323,145.05244,2025-09-09 16:34:17,17741199,,7,0,0,False,Apartment,Apartment / Unit / Flat,Ray White Bentleigh,38248,"Lachie Whitehead, Zidan Mulyandi","Heating, Built in wardrobes, Onsite Parking",https://www.domain.com.au/1-10-rosstown-road-carnegie-vic-3163-17741199
17743954,CARNEGIE,3163,320,1390,"Friday, 05 September 2025",2025-09-02,6,1,1,1,Apartment / Unit / Flat,12/38 Moonya Road,-37.896713,145.0601,2025-09-09 16:34:17,17743954,,7,1,1,False,Apartment,Apartment / Unit / Flat,   Gary Peer,26354,Tania Crawley,"Air conditioning, Built in wardrobes",https://www.domain.com.au/12-38-moonya-road-carnegie-vic-3163-17743954
17744629,CARNEGIE,3163,500,2173,"Friday, 05 September 2025",2025-09-03,6,2,1,1,Apartment / Unit / Flat,6/30 Shepparson Avenue,-37.89054,145.05806,2025-09-09 16:34:17,17744629,,9,0,0,False,Apartment,Apartment / Unit / Flat,Buxton Stonnington,122,Cameron  Gibson,Built in wardrobes,https://www.domain.com.au/6-30-shepparson-avenue-carnegie-vic-3163-17744629
17746216,CARNEGIE,3163,700,3042,"Monday, 22 September 2025",2025-09-03,5,2,1,1,Apartment / Unit / Flat,1/12 Rosanna Street,-37.898834,145.05753,2025-09-09 16:34:17,17746216,,12,0,1,False,Apartment,Apartment / Unit / Flat,Jellis Craig Carnegie,30115,"Susan Johnston, Daniel Biviano","Built in wardrobes, Internal Laundry, Bath, Heating",https://www.domain.com.au/1-12-rosanna-street-carnegie-vic-3163-17746216
17746873,CARNEGIE,3163,1600,9600,"Tuesday, 30 September 2025",2025-09-04,5,4,3,2,Townhouse,14A Oakleigh Road,-37.89859,145.04634,2025-09-09 16:34:17,17746873,,19,0,1,False,Townhouse/Villa,Townhouse,Beck & Small Property,32041,Bradley Small,"Air conditioning, Study, Built in wardrobes, Garden / Courtyard, Dishwasher, Ducted Heating, Floorboards, Outdoor Entertainment Area, Swimming Pool, Remote Garage, Secure Parking",https://www.domain.com.au/14a-oakleigh-road-carnegie-vic-3163-17746873
